yVar,terms
ap,gqDistType * postGQ + nsewDistType * postNSEW + gqDistType * postGQ * bank_t + gqDistType * postGQ * edu_lit_7_t + gqDistType * postGQ * edu_sec_15_t + gqDistType * postGQ * di_e_2 + nsewDistType * postNSEW * cr_s + nsewDistType * postNSEW * est_sh_1 + spatialState * year
at,gqDistType * postGQ + nsewDistType * postNSEW + gqDistType * postGQ * e_pr_fin3 + gqDistType * postGQ * edu_sec_15_t + gqDistType * postGQ * cr_s + gqDistType * postGQ * di_e_2 + nsewDistType * postNSEW * bank_t + nsewDistType * postNSEW * e_pr_fin3 + nsewDistType * postNSEW * edu_lit_7_t + nsewDistType * postNSEW * cr_s + nsewDistType * postNSEW * e_own1 + spatialState * year
nd,gqDistType * postGQ + nsewDistType * postNSEW + gqDistType * postGQ * bank_t + gqDistType * postGQ * di_e_2 + nsewDistType * postNSEW * e_pr_fin3 + nsewDistType * postNSEW * edu_lit_7_t + nsewDistType * postNSEW * e_own1 + nsewDistType * postNSEW * est_sh_1 + spatialState * year
povrate_rur,gqDistType * postGQ + nsewDistType * postNSEW + gqDistType * postGQ * bank_t + gqDistType * postGQ * e_pr_fin3 + gqDistType * postGQ * di_e_2 + gqDistType * postGQ * e_own1 + gqDistType * postGQ * est_sh_1 + nsewDistType * postNSEW * e_pr_fin3 + nsewDistType * postNSEW * e_own1 + spatialState * year
povrate_tot,gqDistType * postGQ + nsewDistType * postNSEW + gqDistType * postGQ * bank_t + gqDistType * postGQ * e_pr_fin3 + gqDistType * postGQ * cr_s + gqDistType * postGQ * e_own1 + gqDistType * postGQ * est_sh_1 + nsewDistType * postNSEW * e_pr_fin3 + nsewDistType * postNSEW * edu_lit_7_t + spatialState * year
povrate_urb,gqDistType * postGQ + nsewDistType * postNSEW + gqDistType * postGQ * cr_s + gqDistType * postGQ * est_sh_1 + nsewDistType * postNSEW * e_pr_fin3 + nsewDistType * postNSEW * edu_lit_7_t + nsewDistType * postNSEW * e_own1 + nsewDistType * postNSEW * est_sh_1 + spatialState * year
emp_7_f,gqDistType * postGQ + nsewDistType * postNSEW + gqDistType * postGQ * bank_t + gqDistType * postGQ * edu_sec_15_t + gqDistType * postGQ * e_own1 + nsewDistType * postNSEW * bank_t + nsewDistType * postNSEW * e_pr_fin3 + nsewDistType * postNSEW * edu_sec_15_t + nsewDistType * postNSEW * cr_s + spatialState * year
emp_7_t,gqDistType * postGQ + nsewDistType * postNSEW + gqDistType * postGQ * edu_sec_15_t + gqDistType * postGQ * e_own1 + nsewDistType * postNSEW * e_pr_fin3 + nsewDistType * postNSEW * edu_sec_15_t + nsewDistType * postNSEW * cr_s + nsewDistType * postNSEW * di_e_2 + spatialState * year
emp_rwg_f,gqDistType * postGQ + nsewDistType * postNSEW + gqDistType * postGQ * e_pr_fin3 + gqDistType * postGQ * edu_sec_15_t + gqDistType * postGQ * cr_s + gqDistType * postGQ * e_own1 + nsewDistType * postNSEW * bank_t + nsewDistType * postNSEW * cr_s + nsewDistType * postNSEW * di_e_2 + nsewDistType * postNSEW * e_own1 + nsewDistType * postNSEW * est_sh_1 + spatialState * year
emp_rwg_t,gqDistType * postGQ + nsewDistType * postNSEW + gqDistType * postGQ * edu_lit_7_t + gqDistType * postGQ * edu_sec_15_t + gqDistType * postGQ * e_own1 + gqDistType * postGQ * est_sh_1 + nsewDistType * postNSEW * bank_t + nsewDistType * postNSEW * e_pr_fin3 + nsewDistType * postNSEW * edu_lit_7_t + nsewDistType * postNSEW * edu_sec_15_t + nsewDistType * postNSEW * di_e_2 + nsewDistType * postNSEW * e_own1 + spatialState * year
emp_slf_f,gqDistType * postGQ + nsewDistType * postNSEW + gqDistType * postGQ * edu_sec_15_t + gqDistType * postGQ * est_sh_1 + nsewDistType * postNSEW * bank_t + nsewDistType * postNSEW * edu_lit_7_t + nsewDistType * postNSEW * edu_sec_15_t + nsewDistType * postNSEW * cr_s + nsewDistType * postNSEW * di_e_2 + spatialState * year
emp_slf_t,gqDistType * postGQ + nsewDistType * postNSEW + gqDistType * postGQ * edu_lit_7_t + gqDistType * postGQ * di_e_2 + gqDistType * postGQ * est_sh_1 + nsewDistType * postNSEW * bank_t + nsewDistType * postNSEW * e_pr_fin3 + nsewDistType * postNSEW * edu_lit_7_t + nsewDistType * postNSEW * edu_sec_15_t + nsewDistType * postNSEW * di_e_2 + spatialState * year
pct_emp_both_tot,gqDistType * postGQ + nsewDistType * postNSEW + gqDistType * postGQ * edu_lit_7_t + gqDistType * postGQ * edu_sec_15_t + gqDistType * postGQ * di_e_2 + gqDistType * postGQ * est_sh_1 + nsewDistType * postNSEW * bank_t + nsewDistType * postNSEW * edu_lit_7_t + nsewDistType * postNSEW * cr_s + spatialState * year
pct_emp_f_tot,gqDistType * postGQ + nsewDistType * postNSEW + gqDistType * postGQ * bank_t + gqDistType * postGQ * edu_sec_15_t + gqDistType * postGQ * est_sh_1 + nsewDistType * postNSEW * e_pr_fin3 + nsewDistType * postNSEW * edu_lit_7_t + nsewDistType * postNSEW * edu_sec_15_t + nsewDistType * postNSEW * di_e_2 + spatialState * year
pct_emp_m_tot,gqDistType * postGQ + nsewDistType * postNSEW + gqDistType * postGQ * edu_lit_7_t + gqDistType * postGQ * di_e_2 + nsewDistType * postNSEW * bank_t + nsewDistType * postNSEW * e_pr_fin3 + nsewDistType * postNSEW * edu_lit_7_t + nsewDistType * postNSEW * cr_s + spatialState * year
pct_regWage_both_tot,gqDistType * postGQ + nsewDistType * postNSEW + gqDistType * postGQ * edu_lit_7_t + gqDistType * postGQ * cr_s + gqDistType * postGQ * est_sh_1 + nsewDistType * postNSEW * bank_t + nsewDistType * postNSEW * edu_lit_7_t + nsewDistType * postNSEW * di_e_2 + nsewDistType * postNSEW * est_sh_1 + spatialState * year
pct_regWage_f_tot,gqDistType * postGQ + nsewDistType * postNSEW + gqDistType * postGQ * bank_t + gqDistType * postGQ * di_e_2 + gqDistType * postGQ * e_own1 + nsewDistType * postNSEW * e_pr_fin3 + nsewDistType * postNSEW * edu_lit_7_t + nsewDistType * postNSEW * e_own1 + nsewDistType * postNSEW * est_sh_1 + spatialState * year
