distCode,spatialId,finalId,distName,spatialState,spatialDistrict,nss2001State,nss2001District,nss2010State,nss2010District,Note,state,district,long,lat,gqDistance,nsewDistance,gqStraightDistance,nsewStraightDistance,districtType
102,3_1_8_0,3_1_8_0,Baramula,Jammu and Kashmir,Baramula,Jammu  & Kashmir,Baramula,Jammu  & Kashmir,Baramula,Bandipore district split from Baramula,Jammu and Kashmir,Baramula,74.29498717,34.15477531,672.1888186560438,315.4644255940169,676.2799431782519,347.9423714149752,not nodal
103,3_1_10_0,3_1_10_0,Srinagar,Jammu and Kashmir,Srinagar,Jammu  & Kashmir,Srinagar,Jammu  & Kashmir,Srinagar,Ganderbal district split from Srinagar,Jammu and Kashmir,Srinagar,74.89700645,34.12234317,647.3415241399172,294.0384559256837,651.6024030549037,329.4274790007537,not nodal
105,3_1_12_0,3_1_12_0,Pulwama,Jammu and Kashmir,Pulwama,Jammu  & Kashmir,Pulwama,Jammu  & Kashmir,Pulwama,Shupiyan district split from Pulwama,Jammu and Kashmir,Pulwama,75.00767506,33.94024637,624.7856662661691,271.9612219524242,629.0549355046329,307.6382234741166,not nodal
112,3_1_6_0,3_1_6_0,Rajauri,Jammu and Kashmir,Rajouri,Jammu  & Kashmir,Rajauri,Jammu  & Kashmir,Rajauri,NA,Jammu and Kashmir,Rajouri,74.3502605,33.26737082,581.7613404181891,225.8071909798533,585.6907274011548,255.19475015306847,not nodal
113,3_1_21_0,3_1_21_0,Jammu,Jammu and Kashmir,Jammu,Jammu  & Kashmir,Jammu,Jammu  & Kashmir,Jammu,Samba district formed from parts of Jammu and Kathua,Jammu and Kashmir,Jammu,74.74232553,32.80321598,518.9266220248924,162.58592819813634,522.8938856771028,192.81673706827158,not nodal
201,3_2_23_0,3_2_23_0,Chamba,Himachal Pradesh,Chamba,Himachal Pradesh,Chamba,Himachal Pradesh,Chamba,NA,Himachal Pradesh,Chamba,76.3474488,32.67523291,455.1073087851984,141.3654470601169,459.89093815705644,178.59232551466428,not nodal
202,3_2_24_0,3_2_24_0,Kangra,Himachal Pradesh,Kangra,Himachal Pradesh,Kangra,Himachal Pradesh,Kangra,NA,Himachal Pradesh,Kangra,76.31507448,32.10897046,394.08934309081513,88.73033576932596,398.73973820884754,122.39300860587055,not nodal
204,3_2_26_0,3_2_26_0,Kullu,Himachal Pradesh,Kullu,Himachal Pradesh,Kullu,Himachal Pradesh,Kullu,NA,Himachal Pradesh,Kullu,77.39532767,31.90503842,361.73656550554193,170.70895317180313,367.1783794879014,189.3871697533338,not nodal
205,3_2_27_0,3_2_27_0,Mandi,Himachal Pradesh,Mandi,Himachal Pradesh,Mandi,Himachal Pradesh,Mandi,NA,Himachal Pradesh,Mandi,76.99094888,31.6380413,332.49881340124983,123.62151409986951,337.65083184157254,141.58115534329053,not nodal
206,3_2_28_0,3_2_28_0,Hamirpur,Himachal Pradesh,Hamirpur,Himachal Pradesh,Hamirpur,Himachal Pradesh,Hamirpur,NA,Himachal Pradesh,Hamirpur,76.52569064,31.66809789,341.87525036667773,84.91846596301497,346.6147103870258,104.51723427182566,not nodal
208,3_2_30_0,3_2_30_0,Bilaspur,Himachal Pradesh,Bilaspur,Himachal Pradesh,Bilaspur,Himachal Pradesh,Bilaspur,NA,Himachal Pradesh,Bilaspur,76.66725599,31.37149738,306.89590986689274,85.37827687487419,311.71090385995006,100.41697428226242,not nodal
209,3_2_31_0,3_2_31_0,Solan,Himachal Pradesh,Solan,Himachal Pradesh,Solan,Himachal Pradesh,Solan,NA,Himachal Pradesh,Solan,76.90727493,31.04441907,267.4565034369681,70.4222961866102,272.4693101560814,103.13023497097477,not nodal
210,3_2_32_0,3_2_32_0,Sirmaur,Himachal Pradesh,Sirmaur,Himachal Pradesh,Sirmaur,Himachal Pradesh,Sirmaur,NA,Himachal Pradesh,Sirmaur,77.43178537,30.66671987,224.3748863860507,68.18364012169295,229.91366391415974,127.35850409579162,not nodal
