yVar,highway,capitalVariable,estimate.x,labourVariable,estimate.y,landVariable,estimate.x.x,productVariable,estimate.y.y
ap,GQ,bank_t,-0.0981,edu_ter_15_t,0.4373**,cr_s,-0.0156,di_e_2,1.629***
at,GQ,e_pr_fin3,-0.0015,edu_ter_15_t,-0.0032**,cr_s,5e-04**,di_e_2,-0.0066
cm,GQ,e_pr_fin3,-0.3188**,ger_t,-0.0515,cr_s,0.0132,est_sh_1,0.0432
fo_s,GQ,bank_t,0.0595,edu_lit_7_t,-0.0803,cr_s,0.0114,e_own1,0.0771
nd,GQ,e_pr_fin3,0.5981,edu_lit_7_t,-0.26,c_oper_t,-8e-04,di_e_2,0.8303
povrate_tot,GQ,bank_t,0.3187**,edu_lit_15_t,-0.1139,cr_s,0.071,est_sh_1,-0.2634**
emp_7_f,GQ,e_fin3,-0.4854**,edu_sec_15_t,-0.161*,c_oper_t,-0.0011**,e_own1,0.5639**
emp_7_t,GQ,e_fin3,-0.3188**,edu_sec_15_t,-0.1258**,c_oper_t,-7e-04**,e_own1,0.3153**
emp_rwg_f,GQ,e_pr_fin3,0.4769*,edu_sec_15_t,0.1068,cr_s,-0.0727**,e_own1,-1.0628***
emp_rwg_t,GQ,e_pr_fin3,0.2376,edu_sec_15_t,0.1956**,cr_s,-0.0315,e_own1,-0.7044***
pct_emp_both_tot,GQ,e_fin3,-0.0024,edu_lit_7_t,0.0011,c_oper_t,0,di_e_2,-0.0117*
pct_emp_f_tot,GQ,e_fin3,-0.0018,ger_t,0.0024*,c_oper_t,0,est_sh_1,0.0013
pct_formal_both_tot,GQ,e_fin3,0.0034,ger_t,-0.0015**,cr_s,-7e-04***,e_own1,-0.0031
pct_formal_f_tot,GQ,bank_t,-0.002***,edu_sec_15_t,-0.0018,cr_s,-5e-04,e_own1,-0.0039
pct_hhemp_both_tot,GQ,bank_t,-9e-04,ger_t,0.0023**,c_oper_t,0,di_e_2,-0.0195***
pct_hhemp_f_tot,GQ,e_pr_fin3,0.0077,ger_t,0.0059***,cr_s,-0.0012,di_e_2,-0.029*
pct_inactive_both_tot,GQ,e_fin3,0.0018,ger_t,-0.0013,cr_s,-3e-04,est_sh_1,-8e-04
pct_inactive_f_tot,GQ,e_fin3,8e-04,ger_t,-0.0026*,c_oper_t,0,est_sh_1,-0.0012
pct_regWage_both_tot,GQ,e_fin3,0.0019,ger_t,-0.0029***,cr_s,-8e-04**,est_sh_1,-5e-04
pct_regWage_f_tot,GQ,bank_t,-0.0023**,edu_lit_7_t,-0.0011,cr_s,-7e-04*,e_own2,0.0043
pct_selfemp_both_tot,GQ,e_pr_fin3,-0.004,edu_sec_15_t,0.0034***,cr_s,4e-04,e_own2,0.0058*
pct_selfemp_f_tot,GQ,bank_t,0.0022,edu_sec_15_t,0.0046*,cr_s,8e-04,e_own1,-0.0081
pct_wage_both_tot,GQ,e_pr_fin3,0.0035,ger_t,-0.0031**,cr_s,-5e-04,est_sh_1,-0.0014
pct_wage_f_tot,GQ,bank_t,-6e-04,ger_t,-0.0034,c_oper_t,0,est_sh_1,-0.0022
cons_pc_mean_tot,GQ,bank_t,-2.6194**,ger_t,-1.6819,cr_s,-1.1801**,e_own1,9.8332**
gdp,GQ,bank_t,-6.1219,edu_ter_15_t,16.4269,cr_s,-2.8616*,di_e_2,17.9661
gdp_pc,GQ,bank_t,1.7079*,edu_ter_15_t,4.3679*,cr_s,-0.5149,e_own2,8.2807**
logCons_pc_mean_tot,GQ,bank_t,-0.0044**,ger_t,-0.0024,cr_s,-0.0019**,e_own1,0.0135*
logGdp,GQ,bank_t,-0.0021,ger_t,0.0014,c_oper_t,0,est_sh_1,-9e-04
ntl_a,GQ,bank_t,0.1546**,edu_lit_15_t,0.187***,cr_s,-0.0154,e_own2,-0.4772***
ntl_pc,GQ,e_fin3,0.3086,edu_ter_15_t,0.2957,cr_s,0.0713*,est_sh_1,0.1549**
