yVar,highway,capitalVariable,estimate.x,labourVariable,estimate.y,landVariable,estimate.x.x,productVariable,estimate.y.y
ap,NSEW,e_pr_fin3,0.5608,edu_lit_7_t,0.2502**,cr_s,-0.132***,est_sh_1,-0.1115*
at,NSEW,e_pr_fin3,0.0038,edu_lit_15_t,-8e-04,cr_s,8e-04***,di_e_2,0.0055
cm,NSEW,bank_t,-0.0396,ger_t,-0.0269,c_oper_t,-0.001,di_e_2,0.6625*
fo_s,NSEW,bank_t,0.0582,edu_ter_15_t,-0.214*,cr_s,-0.0164,di_e_2,0.4016
nd,NSEW,e_pr_fin3,0.4175,edu_lit_7_t,-0.4616*,c_oper_t,0.0016,e_own1,1.1827
povrate_tot,NSEW,e_fin3,1.8618,edu_lit_15_t,-0.1615,lcrt,0.385**,e_own1,0.4153
emp_7_f,NSEW,bank_t,0.1737**,edu_sec_15_t,0.1808,cr_s,0.043,di_e_2,-0.4375
emp_7_t,NSEW,bank_t,0.1218**,edu_sec_15_t,0.0628,cr_s,0.0182,di_e_2,-0.3924
emp_rwg_f,NSEW,e_pr_fin3,0.7251,edu_lit_15_t,0.1395**,cr_s,-0.0763*,e_own1,0.707*
emp_rwg_t,NSEW,bank_t,0.0679,edu_lit_7_t,0.1789**,cr_s,-0.0629,e_own1,0.572*
pct_emp_both_tot,NSEW,bank_t,-5e-04,edu_lit_7_t,-0.0032**,irr_all,0.0011,di_e_2,0.0048
pct_emp_f_tot,NSEW,e_fin3,0.0134,edu_lit_15_t,-0.0022,lcrt,0.0037***,di_e_2,0.0075
pct_formal_both_tot,NSEW,e_fin3,-0.0052,edu_lit_7_t,0.0022**,ac_irr,-0.0012*,di_e_2,0.0097
pct_formal_f_tot,NSEW,e_fin3,-0.0183***,edu_lit_7_t,0.0036***,irr_all,-0.0015*,est_sh_1,-0.0014**
pct_hhemp_both_tot,NSEW,bank_t,-0.0017,edu_ter_15_t,-0.0048*,c_oper_t,0,est_sh_1,-5e-04
pct_hhemp_f_tot,NSEW,bank_t,-0.0037,edu_lit_7_t,-0.0057*,c_oper_t,-1e-04**,e_own2,-0.0127
pct_inactive_both_tot,NSEW,bank_t,5e-04,edu_lit_7_t,0.0031**,lcrt,-0.002**,di_e_2,-0.0041
pct_inactive_f_tot,NSEW,e_fin3,-0.0133,edu_lit_7_t,0.003,lcrt,-0.0053***,di_e_2,-0.0074
pct_regWage_both_tot,NSEW,bank_t,0.0014,edu_lit_7_t,0.0037***,irr_all,-7e-04,est_sh_1,-3e-04
pct_regWage_f_tot,NSEW,e_fin3,-0.017**,edu_lit_7_t,0.0047***,c_oper_t,0,e_own1,-0.009
pct_selfemp_both_tot,NSEW,e_fin3,0.0043,edu_ter_15_t,0.005*,irr_all,-8e-04,di_e_2,0.0177*
pct_selfemp_f_tot,NSEW,bank_t,0.001,edu_lit_7_t,0.0046*,irr_all,-8e-04,di_e_2,0.0264
pct_wage_both_tot,NSEW,bank_t,0.0023,edu_sec_15_t,-0.0022,c_oper_t,0,di_e_2,-0.012
pct_wage_f_tot,NSEW,bank_t,0.0024,edu_sec_15_t,-0.0053,c_oper_t,1e-04**,di_e_2,-0.0189
cons_pc_mean_tot,NSEW,e_fin3,-14.7091,edu_lit_15_t,2.3404*,lcrt,-6.2689***,di_e_2,-14.4963
gdp,NSEW,e_fin3,-16.3047,edu_lit_15_t,7.6946**,c_oper_t,0.1094*,di_e_2,69.8465*
gdp_pc,NSEW,e_fin3,-4.5933,edu_lit_7_t,2.994**,c_oper_t,0.0317**,di_e_2,14.0279*
logCons_pc_mean_tot,NSEW,e_fin3,-0.0227,edu_lit_15_t,0.003,lcrt,-0.0081***,di_e_2,-0.0183
logGdp,NSEW,e_fin3,0.0014,edu_lit_7_t,0.0028,c_oper_t,-0.014**,di_e_2,0.009
ntl_a,NSEW,bank_t,0.0452,edu_ter_15_t,-0.1766,cr_s,-0.0195,di_e_2,-0.4893
ntl_pc,NSEW,bank_t,-0.1603,ger_t,-0.0596,cr_s,-0.0381,e_own2,0.4183
