yVar,productNSEW,yType,capitalVar,labourVar,landVar,productVar,capitalGQ,capitalNSEW,GQ,Intercept,labourGQ,labourNSEW,landGQ,landNSEW,NSEW,productGQ
apLog,-0.0199,environment,bank_t,edu_ter_15_t,cr_s,e_own1,0.002,-0.0097,2.6102,1.0478***,0.0209,-0.0088,-9e-04,-0.0078**,3.5411,-0.0286
at,-1e-04,environment,e_fin3,edu_lit_15_t,lcrt,est_sh_1,-5e-04,0.004,0.095***,0.3611***,-0.0011**,-0.001**,NA,NA,0.0751*,3e-04
ndLog,-5e-04,environment,bank_t,edu_lit_7_t,cr_s,est_sh_1,4e-04,0.0013,0.2612**,4.9894***,-0.0021,-0.0039***,-2e-04,-3e-04,0.2501**,-3e-04
povrate_rur,-1.6415,equality,bank_t,edu_lit_15_t,lcrt,e_own1,0.4007**,-0.0958,64.6491,64.3288***,-0.0558,0.0515,NA,0.3221,165.3345,-0.8037
povrate_tot,-0.5865,equality,e_fin3,edu_ter_15_t,lcrt,di_e_2,0.4257,-1.759,6.5146,-52.2363***,-0.5237,-0.371,NA,-0.3416**,12.225,-0.6797
povrate_urb,-0.2469,equality,bank_t,edu_ter_15_t,cr_s,e_own1,0.3019,-0.4388,15.6914,55.7761***,0.0512,1.1242,0.0542,-0.0402,39.0591,-0.3471
pct_hhemp_both_tot,9e-04,inclusion,bank_t,edu_lit_15_t,cr_s,e_own2,-2e-04,-0.0019,0.1886***,0.2213***,-0.0013,-0.0011,-7e-04**,-3e-04,0.2229*,-0.0049
pct_hhemp_f_tot,0.0043,inclusion,bank_t,edu_lit_7_t,cr_s,e_own2,-6e-04,-0.0031,0.3981**,0.7442***,-0.0023,-0.0041,-0.0014,-5e-04,0.5668,-0.0113
pct_regWage_both_tot,-0.0062,inclusion,e_fin3,ger_t,cr_s,e_own2,0.0018,-8e-04,0.2707***,0.2076***,-0.003***,-2e-04,-6e-04*,-5e-04,0.0974,7e-04
pct_regWage_f_tot,-0.002**,inclusion,e_pr_fin3,ger_t,cr_s,est_sh_1,-2e-04,-0.0223**,0.2013*,0.0198***,-0.0021*,-0.0016,-6e-04,-0.0015**,0.3219***,1e-04
pct_selfemp_both_tot,-0.0077,inclusion,bank_t,edu_ter_15_t,ac_irr,e_own1,0.001,-0.001,0.6308**,0.3531***,3e-04,0.0074**,NA,-6e-04,0.7254,-0.007**
pct_selfemp_f_tot,2e-04,inclusion,e_pr_fin3,ger_t,lcrt,est_sh_1,-0.0061,-0.0075,0.3343**,0.207***,-0.0035**,-0.0028**,NA,-2e-04,0.2644**,-4e-04
logCons_pc_mean_tot,-0.01,welfare,e_fin3,edu_ter_15_t,cr_s,e_own2,-0.0049,-0.0241,0.2304***,6.2455***,-0.0058,-0.0065,-0.002***,-0.0016,0.2498*,-0.0102
logGdp,-0.0011,welfare,e_pr_fin3,edu_ter_15_t,lcrt,est_sh_1,-0.0038,-0.0017,0.1401***,6.3526***,-0.0066*,-5e-04,NA,NA,0.0439,-0.0013
logGdpPc,-9e-04,welfare,e_pr_fin3,edu_ter_15_t,lcrt,est_sh_1,-0.0015,-0.003,0.0938*,5.7408***,-0.0015,-7e-04,NA,NA,0.0298,-0.0012
logNtl_a,-0.0019,welfare,bank_t,edu_ter_15_t,cr_s,est_sh_1,-0.0058,-0.0039,0.3584,1.5472***,0.0117,-0.0028,0.0011,-0.0033,0.7036*,-0.0029
logNtl_pc,-0.002,welfare,bank_t,edu_lit_15_t,cr_s,est_sh_1,-0.0045,-0.004,0.6928,2.8752***,-0.0053,-0.0049,0.0022,-0.0045,1.0582*,-0.0036
