yVar,yType,capitalVar,labourVar,landVar,productVar,Intercept,GQ,NSEW,capitalGQ,capitalNSEW,labourGQ,labourNSEW,landGQ,landNSEW,NSEW,productGQ,productNSEW
apLog,environment,bank_t,edu_lit_15_t,lcrt,e_own1,2.0674***,0.9119,4.9812*,0.0032,-0.0117,0.0126**,0.01*,NA,NA,4.9812*,-0.0203,-0.0477
at,environment,e_pr_fin3,edu_lit_15_t,lcrt,di_e_2,0.3611***,0.1591***,0.0343,0.0023,0.0039,-0.0011**,-8E-04,NA,NA,0.0343,-0.0133***,0.004
ndLog,environment,bank_t,edu_lit_7_t,lcrt,est_sh_1,4.9694***,0.2371**,0.2008**,5E-04,0.0021*,-0.002,-0.0037***,NA,NA,0.2008**,-3E-04,-9e-04*
povrate_rur,equality,bank_t,ger_t,lcrt,e_own1,-42.2888***,69.0576,150.0927,0.4296**,0.2118,-0.0804,0.1848,NA,0.3694*,150.0927,-0.8461,-1.8253
povrate_tot,equality,e_fin3,edu_ter_15_t,lcrt,di_e_2,-52.2363***,6.5146,12.225,0.4257,-1.759,-0.5237,-0.371,NA,-0.3416**,12.225,-0.6797,-0.5865
povrate_urb,equality,bank_t,edu_ter_15_t,cr_s,e_own1,55.7761***,15.6914,39.0591,0.3019,-0.4388,0.0512,1.1242,0.0542,-0.0402,39.0591,-0.3471,-0.2469
pct_hhemp_both_tot,inclusion,e_pr_fin3,edu_lit_7_t,lcrt,di_e_2,0.1572***,0.1756**,0.1316,0.0062*,-0.0048,-0.0012,-0.0023,NA,-4E-04,0.1316,-0.0179**,0.0099
pct_hhemp_f_tot,inclusion,e_pr_fin3,edu_lit_7_t,ac_irr,di_e_2,0.618***,0.3488*,0.2598,0.0119,0.0139,-0.003,-0.0059*,NA,0.0018,0.2598,-0.0223,0.023
pct_regWage_both_tot,inclusion,e_fin3,ger_t,cr_s,est_sh_1,0.1931***,0.3287***,0.0929,0.0029,-0.0055,-0.0034***,-1E-04,-7e-04**,-7E-04,0.0929,-5E-04,-9E-04
pct_regWage_f_tot,inclusion,e_pr_fin3,ger_t,irr_all,e_own2,0.1131***,0.1229,0.2419**,-0.0025,-0.018*,-0.0016,-0.0017*,NA,-0.0015,0.2419**,0.0037,-0.0067
pct_selfemp_both_tot,inclusion,bank_t,edu_lit_15_t,cr_s,e_own1,0.3209***,0.3736,0.4274,3E-04,-0.0018,0.0013,0.002*,7e-04**,7E-04,0.4274,-0.0052,-0.0055
pct_selfemp_f_tot,inclusion,e_pr_fin3,ger_t,cr_s,di_e_2,0.1642***,0.1462,0.2698,-0.0051,-0.0101,-0.0031*,-0.0034**,0.0014**,-8E-04,0.2698,0.0163,0.0163
logCons_pc_mean_tot,welfare,e_pr_fin3,edu_ter_15_t,cr_s,e_own2,6.245***,0.231***,0.2494*,-0.0051,-0.0241,-0.0058,-0.0064,-0.002***,-0.0016,0.2494*,-0.0103,-0.0101
logGdp,welfare,e_pr_fin3,edu_ter_15_t,lcrt,est_sh_1,6.3526***,0.1401***,0.0439,-0.0038,-0.0017,-0.0066*,-5E-04,NA,NA,0.0439,-0.0013,-0.0011
logGdpPc,welfare,e_pr_fin3,edu_ter_15_t,lcrt,est_sh_1,5.7408***,0.0938*,0.0298,-0.0015,-0.003,-0.0015,-7E-04,NA,NA,0.0298,-0.0012,-9E-04
logNtl_a,welfare,bank_t,edu_ter_15_t,irr_all,est_sh_1,1.1348***,0.3434,0.5315,-0.0042,-0.0035,0.0117,0.003,NA,NA,0.5315,-0.0031,-0.0014
logNtl_pc,welfare,bank_t,edu_ter_15_t,irr_all,est_sh_1,2.1459***,0.2625,0.4477,-0.0083,-0.0062,0.0189,0.0152,NA,NA,0.4477,-0.0035,1E-04
