yVar,yType,description,nobs,adjRSq,GQ,GQ:bank_t,GQ:cr_s,GQ:di_e_2,GQ:e_own1,GQ:e_pr_fin3,GQ:edu_lit_7_t,GQ:edu_sec_15_t,GQ:est_sh_1,GQ:governanceIndex,NSEW,NSEW:bank_t,NSEW:cr_s,NSEW:di_e_2,NSEW:e_own1,NSEW:e_pr_fin3,NSEW:edu_lit_7_t,NSEW:edu_sec_15_t,NSEW:est_sh_1,NSEW:governanceIndex
ap,environment,Aerosol particle radius (percent of small particles) in logs,832,0.5,-22.9201***,-0.3018***,NA,0.594,NA,NA,0.4969***,NA,NA,-1.6181,3.2207,NA,-0.0907**,NA,NA,NA,NA,NA,-0.1743***,13.9812
at,environment,Aerosol optical thickness (thickness scale  0–1 ),832,0.4,0.1203***,NA,-2e-04,-0.0152**,NA,0.0023,NA,-0.0012,NA,0.0216,-0.0155,-0.0015,3e-04,NA,-3e-04,0.0084,0,NA,NA,0.1177
nd,environment,Nitrogen dioxide levels (billion molecules/mm2) in logs,832,0.2,1.2286,NA,NA,1.8644,NA,NA,NA,NA,NA,-19.7485,23.7507,NA,NA,NA,-0.4018,-1.3416,0.1589,NA,NA,8.877
povrate_rur,equality,Reduction in poverty rate (rural),1627,0.2,-0.5385,-0.0026,NA,NA,0.0055,0.0077,NA,NA,0.0029**,0.0259,0.089,NA,NA,NA,NA,-0.0151,NA,NA,NA,-0.1049
povrate_tot,equality,Reduction in poverty rate (total),1627,0.2,-0.5936,-0.0032*,-4e-04,NA,0.0065,0.0085,NA,NA,0.0026**,0.0693,0.1186,NA,NA,NA,NA,-0.0174,NA,NA,NA,-0.1629
povrate_urb,equality,Reduction in poverty rate (urban),1592,-0.1,-0.0068,NA,-0.001,NA,NA,NA,NA,NA,0.0021,0.1291,-0.0223,NA,NA,NA,NA,-0.0133,0.0019,NA,0.0024,-0.1678
emp_7_f,inclusion,"Employment rate, 7+ years, main + marginal, Female(percent of age group)",832,-0.4,-35.8195*,NA,NA,NA,0.4782**,NA,NA,-0.2721***,NA,-5.6263,-1.8251,NA,-0.0125,NA,NA,0.4265,NA,0.1551,NA,-7.6487
emp_7_t,inclusion,"Employment rate, 7+ years, main + marginal, Total(percent of age group)",832,-0.5,-20.923,NA,NA,NA,0.2955**,NA,NA,-0.1844***,NA,-5.3525*,-0.1244,NA,-0.0079,NA,NA,0.3431,NA,0.1003,NA,-8.3498*
emp_rwg_f,inclusion,"Regular wage earners, Female (percent of total empl)",832,0.4,108.3938***,NA,-0.0237,NA,-1.1482***,-0.4093,NA,0.3048***,NA,-8.6503*,-78.8269**,0.0437,-0.1364***,1.0991,0.9207**,NA,NA,NA,-0.0711,-8.1009
emp_rwg_t,inclusion,"Regular wage earners, Total (percent of total emplt)",832,0,69.2324***,NA,NA,NA,-0.6218***,NA,-0.2334***,0.3028***,-0.0448,-0.9503,-72.54**,-0.0479,NA,1.6057**,0.608*,-0.7299,0.2476**,-0.067,NA,-4.6565
