variable,term,estimate,std.error,statistic,p.value,significance
poverty rate (rural),postGQ,-19.2,3.77,-5.09,0.0,***
poverty rate (rural),postNSEW,-8.5,3.81,-2.23,0.03,**
poverty rate (rural),gqDistTypenodal:postGQ,6.47,7.15,0.9,0.37,
poverty rate (rural),gqDistType0-40:postGQ,0.48,1.82,0.26,0.79,
poverty rate (rural),gqDistType40-100:postGQ,0.44,1.81,0.24,0.81,
poverty rate (rural),nsewDistTypenodal:postNSEW,-10.87,8.27,-1.31,0.19,
poverty rate (rural),nsewDistType0-40:postNSEW,-0.88,2.73,-0.32,0.75,
poverty rate (rural),nsewDistType40-100:postNSEW,-1.73,2.19,-0.79,0.43,
poverty rate (urban),postGQ,-6.99,4.19,-1.67,0.1,
poverty rate (urban),postNSEW,-19.86,4.23,-4.7,0.0,***
poverty rate (urban),gqDistTypenodal:postGQ,0.72,7.93,0.09,0.93,
poverty rate (urban),gqDistType0-40:postGQ,-1.51,2.03,-0.75,0.46,
poverty rate (urban),gqDistType40-100:postGQ,-0.26,2.05,-0.13,0.9,
poverty rate (urban),nsewDistTypenodal:postNSEW,-9.9,9.17,-1.08,0.28,
poverty rate (urban),nsewDistType0-40:postNSEW,-3.66,3.04,-1.2,0.23,
poverty rate (urban),nsewDistType40-100:postNSEW,-4.22,2.45,-1.72,0.09,
poverty rate (total),postGQ,-18.83,3.37,-5.59,0.0,***
poverty rate (total),postNSEW,-10.92,3.4,-3.21,0.0,***
poverty rate (total),gqDistTypenodal:postGQ,2.08,6.39,0.33,0.74,
poverty rate (total),gqDistType0-40:postGQ,0.27,1.62,0.17,0.87,
poverty rate (total),gqDistType40-100:postGQ,0.55,1.62,0.34,0.73,
poverty rate (total),nsewDistTypenodal:postNSEW,-8.24,7.39,-1.12,0.27,
poverty rate (total),nsewDistType0-40:postNSEW,-0.64,2.44,-0.26,0.79,
poverty rate (total),nsewDistType40-100:postNSEW,-2.29,1.96,-1.17,0.24,
mean hh consumption,postGQ,173.36,26.6,6.52,0.0,***
mean hh consumption,postNSEW,153.31,26.85,5.71,0.0,***
mean hh consumption,gqDistTypenodal:postGQ,96.5,50.41,1.91,0.06,
mean hh consumption,gqDistType0-40:postGQ,5.5,12.8,0.43,0.67,
mean hh consumption,gqDistType40-100:postGQ,-4.04,12.77,-0.32,0.75,
mean hh consumption,nsewDistTypenodal:postNSEW,26.12,58.3,0.45,0.65,
mean hh consumption,nsewDistType0-40:postNSEW,0.34,19.28,0.02,0.99,
mean hh consumption,nsewDistType40-100:postNSEW,-14.77,15.43,-0.96,0.34,
mean hh consumption,postGQ,76.9,36.52,2.11,0.04,**
mean hh consumption,postNSEW,124.58,36.86,3.38,0.0,***
mean hh consumption,gqDistTypenodal:postGQ,67.36,69.2,0.97,0.33,
mean hh consumption,gqDistType0-40:postGQ,13.77,17.7,0.78,0.44,
mean hh consumption,gqDistType40-100:postGQ,-14.24,17.93,-0.79,0.43,
mean hh consumption,nsewDistTypenodal:postNSEW,47.08,80.02,0.59,0.56,
mean hh consumption,nsewDistType0-40:postNSEW,4.55,26.54,0.17,0.86,
mean hh consumption,nsewDistType40-100:postNSEW,6.82,21.39,0.32,0.75,
mean hh consumption,postGQ,153.76,24.64,6.24,0.0,***
mean hh consumption,postNSEW,150.41,24.88,6.05,0.0,***
mean hh consumption,gqDistTypenodal:postGQ,89.33,46.7,1.91,0.06,
mean hh consumption,gqDistType0-40:postGQ,9.17,11.85,0.77,0.44,
mean hh consumption,gqDistType40-100:postGQ,-11.85,11.83,-1.0,0.32,
mean hh consumption,nsewDistTypenodal:postNSEW,14.6,54.01,0.27,0.79,
mean hh consumption,nsewDistType0-40:postNSEW,-12.3,17.86,-0.69,0.49,
mean hh consumption,nsewDistType40-100:postNSEW,-10.65,14.3,-0.74,0.46,
N rural females employed/female rural population,postGQ,-0.05,0.03,-1.58,0.11,
N rural females employed/female rural population,postNSEW,-0.04,0.03,-1.19,0.23,
N rural females employed/female rural population,gqDistTypenodal:postGQ,-0.04,0.06,-0.67,0.5,
N rural females employed/female rural population,gqDistType0-40:postGQ,0.03,0.02,1.56,0.12,
N rural females employed/female rural population,gqDistType40-100:postGQ,-0.02,0.02,-1.16,0.25,
N rural females employed/female rural population,nsewDistTypenodal:postNSEW,0.0,0.07,0.05,0.96,
N rural females employed/female rural population,nsewDistType0-40:postNSEW,-0.01,0.02,-0.25,0.8,
N rural females employed/female rural population,nsewDistType40-100:postNSEW,0.02,0.02,0.9,0.37,
N rural  males employed/male rural population,postGQ,-0.04,0.02,-2.47,0.01,**
N rural  males employed/male rural population,postNSEW,-0.04,0.02,-2.73,0.01,**
N rural  males employed/male rural population,gqDistTypenodal:postGQ,0.01,0.03,0.28,0.78,
N rural  males employed/male rural population,gqDistType0-40:postGQ,0.01,0.01,1.23,0.22,
N rural  males employed/male rural population,gqDistType40-100:postGQ,0.0,0.01,0.67,0.5,
N rural  males employed/male rural population,nsewDistTypenodal:postNSEW,-0.01,0.03,-0.3,0.77,
N rural  males employed/male rural population,nsewDistType0-40:postNSEW,-0.01,0.01,-0.88,0.38,
N rural  males employed/male rural population,nsewDistType40-100:postNSEW,0.02,0.01,1.7,0.09,
N rural  employed/Total rural population,postGQ,-0.04,0.02,-2.27,0.02,**
N rural  employed/Total rural population,postNSEW,-0.04,0.02,-2.08,0.04,**
N rural  employed/Total rural population,gqDistTypenodal:postGQ,-0.01,0.04,-0.27,0.79,
N rural  employed/Total rural population,gqDistType0-40:postGQ,0.01,0.01,1.52,0.13,
N rural  employed/Total rural population,gqDistType40-100:postGQ,-0.01,0.01,-0.88,0.38,
N rural  employed/Total rural population,nsewDistTypenodal:postNSEW,-0.0,0.04,-0.04,0.97,
N rural  employed/Total rural population,nsewDistType0-40:postNSEW,-0.01,0.01,-0.49,0.62,
N rural  employed/Total rural population,nsewDistType40-100:postNSEW,0.02,0.01,1.51,0.13,
N urban females employed/female urban population,postGQ,0.09,0.02,3.88,0.0,***
N urban females employed/female urban population,postNSEW,-0.06,0.02,-2.54,0.01,**
N urban females employed/female urban population,gqDistTypenodal:postGQ,-0.02,0.04,-0.39,0.69,
N urban females employed/female urban population,gqDistType0-40:postGQ,-0.01,0.01,-1.26,0.21,
N urban females employed/female urban population,gqDistType40-100:postGQ,-0.01,0.01,-0.98,0.33,
N urban females employed/female urban population,nsewDistTypenodal:postNSEW,-0.01,0.05,-0.22,0.83,
N urban females employed/female urban population,nsewDistType0-40:postNSEW,-0.03,0.02,-2.07,0.04,**
N urban females employed/female urban population,nsewDistType40-100:postNSEW,-0.02,0.01,-1.56,0.12,
N urban  males employed/male urban population,postGQ,-0.01,0.02,-0.72,0.47,
N urban  males employed/male urban population,postNSEW,-0.01,0.02,-0.53,0.59,
N urban  males employed/male urban population,gqDistTypenodal:postGQ,-0.02,0.04,-0.41,0.68,
N urban  males employed/male urban population,gqDistType0-40:postGQ,-0.01,0.01,-0.85,0.4,
N urban  males employed/male urban population,gqDistType40-100:postGQ,-0.02,0.01,-1.8,0.07,
N urban  males employed/male urban population,nsewDistTypenodal:postNSEW,0.01,0.04,0.13,0.9,
N urban  males employed/male urban population,nsewDistType0-40:postNSEW,-0.01,0.01,-0.82,0.41,
N urban  males employed/male urban population,nsewDistType40-100:postNSEW,-0.01,0.01,-0.48,0.63,
N urban  employed/Total urban population,postGQ,0.03,0.02,2.08,0.04,**
N urban  employed/Total urban population,postNSEW,-0.04,0.02,-2.21,0.03,**
N urban  employed/Total urban population,gqDistTypenodal:postGQ,-0.02,0.03,-0.57,0.57,
N urban  employed/Total urban population,gqDistType0-40:postGQ,-0.01,0.01,-1.61,0.11,
N urban  employed/Total urban population,gqDistType40-100:postGQ,-0.02,0.01,-1.96,0.05,
N urban  employed/Total urban population,nsewDistTypenodal:postNSEW,0.01,0.04,0.37,0.71,
N urban  employed/Total urban population,nsewDistType0-40:postNSEW,-0.03,0.01,-2.15,0.03,**
N urban  employed/Total urban population,nsewDistType40-100:postNSEW,-0.01,0.01,-1.22,0.22,
N females employed/female total population,postGQ,0.07,0.03,2.31,0.02,**
N females employed/female total population,postNSEW,-0.05,0.03,-1.61,0.11,
N females employed/female total population,gqDistTypenodal:postGQ,-0.07,0.05,-1.28,0.2,
N females employed/female total population,gqDistType0-40:postGQ,-0.0,0.01,-0.11,0.92,
N females employed/female total population,gqDistType40-100:postGQ,-0.01,0.01,-0.73,0.47,
N females employed/female total population,nsewDistTypenodal:postNSEW,0.01,0.06,0.13,0.9,
N females employed/female total population,nsewDistType0-40:postNSEW,-0.02,0.02,-0.93,0.35,
N females employed/female total population,nsewDistType40-100:postNSEW,0.0,0.02,0.26,0.79,
N males employed/male total population,postGQ,-0.01,0.01,-0.66,0.51,
