yVar,yType,description,nobs,adjRSq,GQ,GQ:bank_t,GQ:cr_s,GQ:di_e_2,GQ:e_own1,GQ:e_pr_fin3,GQ:edu_lit_7_t,GQ:est_sh_1,NSEW,NSEW:bank_t,NSEW:cr_s,NSEW:di_e_2,NSEW:e_own1,NSEW:e_pr_fin3,NSEW:edu_lit_7_t,NSEW:est_sh_1
ap,environment,Aerosol particle radius (percent of small particles) in logs,854,0.6,-17.8644***,-0.1558**,NA,1.086**,NA,NA,0.2869***,NA,14.9903***,NA,-0.1641***,NA,NA,NA,NA,-0.1569***
at,environment,Aerosol optical thickness (thickness scale  0–1 ),854,0.6,0.0724*,NA,3e-04,-0.006,NA,0.0034,-8e-04,NA,0.3119,-8e-04,7e-04**,NA,-0.0036,0.0072,NA,NA
nd,environment,Nitrogen dioxide levels (billion molecules/mm2) in logs,854,0.6,-9.8351*,NA,NA,1.9606,NA,NA,NA,NA,-83.5001,NA,NA,NA,1.2378,1.363,-0.5962**,NA
povrate_rur,equality,Reduction in poverty rate (rural),1661,0.4,-0.6395,-0.0041**,NA,NA,0.0072,0.0116,NA,0.0026**,0.0383,NA,NA,NA,NA,-0.0126,NA,NA
povrate_tot,equality,Reduction in poverty rate (total),1661,0.3,-0.5996,-0.0032*,-7e-04,NA,0.007,0.0096,NA,0.0024**,0.0531,NA,NA,NA,NA,-0.0195,NA,NA
povrate_urb,equality,Reduction in poverty rate (urban),1626,-0,0.0207,NA,-0.001,NA,NA,NA,NA,0.0018,-0.1921,NA,NA,NA,NA,-0.0225,0.0037,0.002
emp_7_f,inclusion,"Employment rate, 7+ years, main + marginal, Female(percent of age group)",854,-0.3,-50.2879**,-0.1188*,NA,NA,0.5771***,NA,NA,NA,-12.7365*,NA,0.0629*,NA,NA,0.4365,0.0987,NA
emp_7_t,inclusion,"Employment rate, 7+ years, main + marginal, Total(percent of age group)",854,-0.3,-21.0847*,-0.0531,NA,NA,0.2729**,NA,-0.0461,NA,-3.7906**,NA,0.0316,NA,NA,0.4027,NA,NA
emp_rwg_f,inclusion,"Regular wage earners, Female (percent of total empl)",854,0.5,79.4262***,NA,NA,NA,-0.8295***,NA,NA,NA,-67.77*,0.1611*,-0.0582,1.0865,0.6685*,NA,NA,-0.0806
emp_rwg_t,inclusion,"Regular wage earners, Total (percent of total emplt)",854,0,59.9487***,0.0724,NA,NA,-0.5729***,NA,-0.116*,NA,-64.177**,0.076,NA,1.0264*,0.6088*,NA,NA,NA
