yVar,nobs,adjRSq,GQ,GQ:bank_t,GQ:cr_s,GQ:di_e_2,GQ:e_own1,GQ:e_pr_fin3,GQ:edu_lit_15_t,GQ:edu_lit_7_t,GQ:edu_sec_15_t,GQ:edu_ter_15_t,GQ:est_sh_1,GQ:ger_t,NSEW,NSEW:bank_t,NSEW:cr_s,NSEW:di_e_2,NSEW:e_own1,NSEW:e_pr_fin3,NSEW:edu_lit_15_t,NSEW:edu_lit_7_t,NSEW:edu_sec_15_t,NSEW:edu_ter_15_t,NSEW:est_sh_1,NSEW:ger_t
ap,746,0.6737174898839253,-8.3449,-0.1421*,NA,NA,NA,NA,NA,0.1248,NA,NA,NA,0.11,6.6271,NA,-0.1449***,NA,NA,NA,NA,NA,NA,NA,-0.1424**,0.0754
at,746,0.6118832015432751,0.1783*,NA,4e-04*,-0.0175***,NA,0.0034,NA,-0.0011,NA,-0.0039**,NA,8e-04,-0.0022,0.0011,5e-04,NA,NA,NA,-9e-04,NA,NA,-0.002,NA,NA
consumptGr,1236,-0.3577909196735105,-0.4407,NA,NA,NA,NA,-0.0248*,NA,0.0071*,NA,NA,NA,NA,0.841**,-0.0092**,-0.0035*,-0.0395,NA,NA,NA,NA,NA,NA,NA,NA
logCons_pc_mean_tot,1451,0.33923519553431625,-1.4128**,-0.0034,-0.0018**,NA,0.0165**,NA,-0.0039,0.0046,NA,NA,0.0022,NA,0.1617,-0.006*,NA,-0.026,NA,NA,0.0078***,NA,NA,-0.0118*,NA,-0.0023
logGdp,746,0.8812317380305206,-0.1546,NA,NA,NA,NA,-0.0061,NA,NA,NA,-0.0052,NA,0.0029**,-0.1972,-0.0027,0.0017,NA,NA,0.0121,NA,0.0032,NA,NA,NA,NA
logGdpPc,746,0.8190988050647445,-0.2503**,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0033**,-0.3243,-0.0035,0.0021*,NA,NA,0.0137,NA,0.0052*,NA,NA,NA,NA
logNtl_a,854,0.7191266544040582,-0.0765,-0.0044,NA,NA,NA,NA,NA,0.007,NA,NA,NA,NA,0.1122,NA,-0.0029,NA,NA,NA,NA,NA,NA,NA,NA,NA
logNtl_pc,746,0.5980919500114216,2.8636*,NA,0.0041**,NA,-0.0306*,NA,-0.0057,NA,NA,0.025*,NA,NA,0.5347,-0.0081,NA,NA,NA,0.0535,NA,NA,NA,NA,NA,-0.0029
nd,854,0.6025836381209475,34.7635,NA,NA,NA,NA,NA,NA,-0.298,NA,NA,NA,NA,-115.7406,NA,NA,NA,1.4856,1.6017,-0.4833*,NA,0.5483,-0.8211,-0.179,NA
pct_hhemp_both_tot,1421,0.006623853718180084,-0.7498*,NA,-5e-04,-0.0171**,0.0074*,0.0061,-0.0024***,NA,NA,NA,0.001,0.0034***,0.2243**,-0.0021,NA,NA,NA,NA,-0.0018,NA,0.0033,-0.0041,NA,NA
pct_hhemp_f_tot,1421,-0.09084107051083867,-1.2079,-0.0032,NA,NA,0.0121,0.0142,NA,-0.0047,NA,NA,0.0021,0.0065***,0.3427,NA,NA,NA,NA,NA,NA,-0.0103**,0.0058,NA,NA,0.0033*
pct_regWage_both_tot,1421,-0.023046108607924554,0.3431***,NA,-7e-04**,NA,NA,0.0039,NA,-0.0021*,NA,0.0035,NA,-0.0025***,-0.1996*,-0.0014,NA,NA,NA,NA,NA,0.0037***,NA,NA,NA,NA
pct_regWage_f_tot,1421,-0.168433473666306,0.0463,-0.0017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.506***,NA,NA,0.0228*,NA,-0.0182*,-0.0029,0.0106**,NA,NA,NA,-0.0022**
pct_selfemp_both_tot,1626,-0.2602143219299624,0.6414*,0.0024**,NA,NA,-0.0087**,-0.0136***,0.0027***,NA,NA,-0.0036,NA,NA,-0.1254,-0.0015,7e-04,0.017*,NA,NA,NA,NA,NA,0.0079***,NA,NA
pct_selfemp_f_tot,1421,-0.25568780695126314,0.4301,0.0033*,9e-04,NA,-0.0076,-0.0137*,0.0021,NA,NA,NA,NA,NA,-0.4412*,NA,NA,0.0289*,NA,NA,NA,0.0054**,NA,NA,NA,-0.0017
povrate_rur,1451,0.38761482454789087,-0.8788,-0.0039*,NA,0.0195,0.0085,0.011,NA,NA,NA,NA,0.0034***,NA,-0.0736,NA,NA,NA,NA,NA,NA,0.0031,NA,NA,NA,-0.0026*
povrate_tot,1451,0.35626006991477555,-1.2473*,-0.0035*,-8e-04,0.0185,0.0129*,0.0099,NA,NA,NA,NA,0.0031***,NA,-0.0332,-0.0033,NA,NA,NA,NA,NA,0.0046,NA,NA,NA,-0.0021
povrate_urb,1626,-0.04791529495857727,0.2833**,-0.0037*,NA,NA,NA,NA,-0.0037,NA,0.0059,NA,NA,NA,-0.267,NA,NA,NA,NA,NA,NA,0.0053,NA,-0.0131*,NA,NA
