title,yType,var,year,totalObs,obsWithData,min,q25,median,q75,max,mean,sd
Aerosole Radius,environment,ap,1993,427,0,NA,NA,NA,NA,NA,NaN,NaN
Aerosole Radius,environment,ap,2001,427,427,0,6.1,11.2,18.5,74.51,14.44,13.05
Aerosole Radius,environment,ap,2004,427,0,NA,NA,NA,NA,NA,NaN,NaN
Aerosole Radius,environment,ap,2011,427,427,0,10.9,20.6,30.65,74.51,23.48,17.14
Aerosole Optical thickness,environment,at,1993,427,0,NA,NA,NA,NA,NA,NaN,NaN
Aerosole Optical thickness,environment,at,2001,427,427,0.14,0.26,0.32,0.47,0.68,0.36,0.13
Aerosole Optical thickness,environment,at,2004,427,0,NA,NA,NA,NA,NA,NaN,NaN
Aerosole Optical thickness,environment,at,2011,427,427,0.14,0.31,0.38,0.56,0.73,0.43,0.16
Nitrogen Dioxide,environment,nd,1993,427,0,NA,NA,NA,NA,NA,NaN,NaN
Nitrogen Dioxide,environment,nd,2001,427,427,69.82,131,159,193.25,370.11,165.49,52.7
Nitrogen Dioxide,environment,nd,2004,427,0,NA,NA,NA,NA,NA,NaN,NaN
Nitrogen Dioxide,environment,nd,2011,427,427,69.82,144.5,176,215.5,370.11,185.76,62.95
Rural HH Poverty Rate,equality,povrate_rur,1993,427,403,0.1,0.27,0.42,0.58,1,0.43,0.2
Rural HH Poverty Rate,equality,povrate_rur,2001,427,417,0.1,0.4,0.55,0.75,1,0.56,0.22
Rural HH Poverty Rate,equality,povrate_rur,2004,427,421,0.13,0.45,0.64,0.79,1,0.62,0.21
Rural HH Poverty Rate,equality,povrate_rur,2011,427,420,0.12,0.6,0.76,0.9,1,0.73,0.2
Rural + Urban HH Poverty Rate,equality,povrate_tot,1993,427,403,0.15,0.34,0.46,0.58,0.82,0.47,0.16
Rural + Urban HH Poverty Rate,equality,povrate_tot,2001,427,417,0.15,0.41,0.55,0.71,0.98,0.55,0.2
Rural + Urban HH Poverty Rate,equality,povrate_tot,2004,427,421,0.15,0.46,0.62,0.75,0.98,0.6,0.19
Rural + Urban HH Poverty Rate,equality,povrate_tot,2011,427,420,0.17,0.6,0.74,0.86,0.98,0.71,0.18
Urban HH Poverty Rate,equality,povrate_urb,1993,427,403,0.24,0.43,0.54,0.61,0.89,0.54,0.14
Urban HH Poverty Rate,equality,povrate_urb,2001,427,388,0.12,0.39,0.55,0.72,0.98,0.55,0.22
Urban HH Poverty Rate,equality,povrate_urb,2004,427,418,0.12,0.42,0.58,0.74,0.98,0.58,0.22
Urban HH Poverty Rate,equality,povrate_urb,2011,427,417,0.17,0.53,0.71,0.85,0.98,0.68,0.2
Percent household employed (total),inclusion,pct_hhemp_both_tot,1993,427,403,0.02,0.13,0.2,0.27,0.47,0.2,0.09
Percent household employed (total),inclusion,pct_hhemp_both_tot,2001,427,388,0.02,0.14,0.22,0.3,0.47,0.22,0.1
Percent household employed (total),inclusion,pct_hhemp_both_tot,2004,427,418,0.03,0.18,0.24,0.31,0.47,0.25,0.1
Percent household employed (total),inclusion,pct_hhemp_both_tot,2011,427,417,0.02,0.1,0.18,0.25,0.47,0.18,0.1
Percent females household employed (total),inclusion,pct_hhemp_f_tot,1993,427,403,0.01,0.22,0.36,0.5,0.84,0.36,0.19
Percent females household employed (total),inclusion,pct_hhemp_f_tot,2001,427,388,0,0.24,0.39,0.52,0.87,0.38,0.2
Percent females household employed (total),inclusion,pct_hhemp_f_tot,2004,427,418,0.03,0.3,0.44,0.59,0.87,0.45,0.2
Percent females household employed (total),inclusion,pct_hhemp_f_tot,2011,427,417,0,0.17,0.35,0.51,0.87,0.35,0.22
Percent regular wage employed (total),inclusion,pct_regWage_both_tot,1993,427,403,0.02,0.11,0.16,0.22,0.5,0.17,0.09
Percent regular wage employed (total),inclusion,pct_regWage_both_tot,2001,427,388,0.01,0.06,0.11,0.17,0.5,0.13,0.1
Percent regular wage employed (total),inclusion,pct_regWage_both_tot,2004,427,418,0.01,0.06,0.1,0.16,0.5,0.13,0.09
Percent regular wage employed (total),inclusion,pct_regWage_both_tot,2011,427,417,0.01,0.06,0.1,0.17,0.5,0.13,0.1
Percent females regular wage employed (total),inclusion,pct_regWage_f_tot,1993,427,403,0,0.04,0.08,0.15,0.53,0.11,0.09
Percent females regular wage employed (total),inclusion,pct_regWage_f_tot,2001,427,388,0,0.02,0.05,0.11,0.53,0.09,0.11
Percent females regular wage employed (total),inclusion,pct_regWage_f_tot,2004,427,418,0,0.02,0.05,0.1,0.53,0.09,0.1
Percent females regular wage employed (total),inclusion,pct_regWage_f_tot,2011,427,417,0,0.03,0.07,0.15,0.53,0.11,0.12
Percent self employed (total),inclusion,pct_selfemp_both_tot,1993,427,403,0.16,0.26,0.32,0.4,0.61,0.33,0.09
Percent self employed (total),inclusion,pct_selfemp_both_tot,2001,427,388,0.16,0.26,0.34,0.41,0.61,0.34,0.1
Percent self employed (total),inclusion,pct_selfemp_both_tot,2004,427,418,0.16,0.28,0.35,0.43,0.61,0.36,0.1
Percent self employed (total),inclusion,pct_selfemp_both_tot,2011,427,417,0.16,0.27,0.35,0.43,0.61,0.35,0.11
Percent females self employed (total),inclusion,pct_selfemp_f_tot,1993,427,403,0,0.11,0.17,0.28,0.68,0.2,0.13
Percent females self employed (total),inclusion,pct_selfemp_f_tot,2001,427,388,0,0.07,0.16,0.29,0.68,0.2,0.15
Percent females self employed (total),inclusion,pct_selfemp_f_tot,2004,427,418,0,0.09,0.15,0.26,0.68,0.2,0.15
Percent females self employed (total),inclusion,pct_selfemp_f_tot,2011,427,417,0,0.07,0.16,0.31,0.68,0.21,0.18
Growth Rate of Consumption,welfare,consumptGr,1993,427,0,NA,NA,NA,NA,NA,NaN,NaN
Growth Rate of Consumption,welfare,consumptGr,2001,427,399,-0.48,-0.05,0.04,0.16,0.48,0.05,0.16
Growth Rate of Consumption,welfare,consumptGr,2004,427,417,-0.38,-0.02,0.1,0.21,0.72,0.1,0.18
Growth Rate of Consumption,welfare,consumptGr,2011,427,420,-0.41,-0.01,0.11,0.23,0.82,0.11,0.19
Log of Rural + Urban HH Consumption,welfare,logCons_pc_mean_tot,1993,427,403,5.88,6.12,6.26,6.38,6.94,6.26,0.19
Log of Rural + Urban HH Consumption,welfare,logCons_pc_mean_tot,2001,427,417,5.88,6.17,6.3,6.46,6.9,6.31,0.21
Log of Rural + Urban HH Consumption,welfare,logCons_pc_mean_tot,2004,427,421,5.88,6.22,6.38,6.57,7,6.41,0.25
Log of Rural + Urban HH Consumption,welfare,logCons_pc_mean_tot,2011,427,420,5.89,6.36,6.5,6.66,7,6.52,0.23
Log GDP,welfare,logGdp,1993,427,0,NA,NA,NA,NA,NA,NaN,NaN
Log GDP,welfare,logGdp,2001,427,427,3.95,5.67,6.21,6.9,8.71,6.19,1.02
Log GDP,welfare,logGdp,2004,427,0,NA,NA,NA,NA,NA,NaN,NaN
Log GDP,welfare,logGdp,2011,427,427,3.95,5.98,6.59,7.28,8.71,6.53,1.09
Log GDP per capita,welfare,logGdpPc,1993,427,0,NA,NA,NA,NA,NA,NaN,NaN
Log GDP per capita,welfare,logGdpPc,2001,427,427,4.56,5.35,5.72,6.06,7.15,5.66,0.56
Log GDP per capita,welfare,logGdpPc,2004,427,0,NA,NA,NA,NA,NA,NaN,NaN
Log GDP per capita,welfare,logGdpPc,2011,427,427,4.56,5.61,6.02,6.39,7.15,5.93,0.64
Light Intensity (area),welfare,logNtl_a,1993,427,0,NA,NA,NA,NA,NA,NaN,NaN
Light Intensity (area),welfare,logNtl_a,2001,427,427,-1.56,0.64,1.5,2.07,5.43,1.34,1.2
Light Intensity (area),welfare,logNtl_a,2004,427,0,NA,NA,NA,NA,NA,NaN,NaN
Light Intensity (area),welfare,logNtl_a,2011,427,427,-1.56,1.36,2.1,2.64,5.43,1.98,1.07
Light Intensity per 1000 ppl,welfare,logNtl_pc,1993,427,0,NA,NA,NA,NA,NA,NaN,NaN
Light Intensity per 1000 ppl,welfare,logNtl_pc,2001,427,427,-0.28,1.67,2.55,3.17,4.18,2.29,1.08
Light Intensity per 1000 ppl,welfare,logNtl_pc,2004,427,0,NA,NA,NA,NA,NA,NaN,NaN
Light Intensity per 1000 ppl,welfare,logNtl_pc,2011,427,427,-0.28,2.24,2.95,3.57,4.18,2.81,0.89
