title,yType,var,totalObs,obsWithData,min,q25,median,q75,max,mean,sd
Aerosole Radius,environment,ap,1708,854,0,8.12,15.55,25.6,74.51,18.96,15.88
Aerosole Optical thickness,environment,at,1708,854,0.14,0.28,0.36,0.52,0.73,0.39,0.15
Nitrogen Dioxide,environment,nd,1708,854,69.82,137.25,167,207,370.11,175.63,58.9
Rural HH Poverty Rate,equality,povrate_rur,1708,1661,0.1,0.41,0.6,0.78,1,0.59,0.23
Rural + Urban HH Poverty Rate,equality,povrate_tot,1708,1661,0.15,0.43,0.59,0.74,0.98,0.59,0.2
Urban HH Poverty Rate,equality,povrate_urb,1708,1626,0.12,0.43,0.58,0.75,0.98,0.59,0.2
Female Employment Rate,inclusion,emp_7_f,1708,854,8.7,20.72,33,42.88,61.19,32.31,13.2
Total Employment Rate,inclusion,emp_7_t,1708,854,33.1,40.9,48,53.39,65.34,47.55,7.65
Female wage earners,inclusion,emp_rwg_f,1708,854,4.7,12,19.8,36.56,92.55,27.54,21.27
Total wage earners,inclusion,emp_rwg_t,1708,854,10.75,22.8,31.4,46.75,95.96,37.05,19.71
Female Self Employed,inclusion,emp_slf_f,1708,854,0.9,2.5,4.2,7.28,35.84,6.15,6.15
Total Self Employed,inclusion,emp_slf_t,1708,854,0.9,2.1,3,4.3,16.54,3.74,2.65
Percent employed (total),inclusion,pct_emp_both_tot,1708,1626,0.38,0.49,0.56,0.63,0.78,0.56,0.09
Percent females employed (total),inclusion,pct_emp_f_tot,1708,1626,0.03,0.19,0.31,0.46,0.69,0.32,0.17
Percent males employed (total),inclusion,pct_emp_m_tot,1708,1626,0.65,0.75,0.79,0.83,0.91,0.79,0.06
Percent regular wage employed (total),inclusion,pct_regWage_both_tot,1708,1626,0.01,0.07,0.12,0.19,0.5,0.14,0.1
Percent females regular wage employed (total),inclusion,pct_regWage_f_tot,1708,1626,0,0.03,0.06,0.13,0.53,0.1,0.11
Female Farm Employed,inclusion,totFarmEmp_f,1708,854,1.77,53.11,73.85,84.1,95.5,66.17,22.98
Total Farm Employed,inclusion,totFarmEmp_tot,1708,854,1.39,49,64.55,73.79,89.6,59.13,19.85
Female Non-Farm Employed,inclusion,totNonFarmEmp_f,1708,854,6.1,15.9,26.15,46.84,99.15,33.7,22.83
Total Non-Farm Employed,inclusion,totNonFarmEmp_tot,1708,854,11.75,26.21,35.42,50.9,99.06,40.79,19.84
Growth Rate of Consumption,welfare,consumptGr,1708,1236,-0.48,-0.03,0.08,0.2,0.82,0.09,0.18
Log of Rural + Urban HH Consumption,welfare,logCons_pc_mean_tot,1708,1661,5.88,6.2,6.36,6.53,7,6.37,0.24
Log GDP,welfare,logGdp,1708,854,3.95,5.81,6.39,7.07,8.71,6.36,1.07
Log GDP per capita,welfare,logGdpPc,1708,854,4.56,5.43,5.84,6.21,7.15,5.79,0.61
Light Intensity (area),welfare,logNtl_a,1708,854,-1.56,0.96,1.81,2.39,5.43,1.66,1.18
Light Intensity per 1000 ppl,welfare,logNtl_pc,1708,854,-0.28,1.93,2.77,3.35,4.18,2.55,1.02
