description,zType,var,year,totalObs,obsWithData,min,q25,median,q75,max,mean,sd
"Households' access to banking services, total (percent of households)",Capital market,bank_t,1993,427,427,7.2,24.26,32.6,44.05,76,34.86,14.09
"Households' access to banking services, total (percent of households)",Capital market,bank_t,2001,427,427,7.2,24.26,32.6,44.05,76,34.86,14.09
"Households' access to banking services, total (percent of households)",Capital market,bank_t,2004,427,427,13.75,36.45,46.35,55.6,84.1,46.87,14.03
"Households' access to banking services, total (percent of households)",Capital market,bank_t,2011,427,427,20.3,47.45,59.5,70.25,93.9,58.88,15.41
Non-agr. enter.’ fin. serv.-Borrow from fin. inst.(percent of est.),Capital market,e_fin3,1993,427,427,0.1,1.52,2.8,4.65,20,3.71,3.27
Non-agr. enter.’ fin. serv.-Borrow from fin. inst.(percent of est.),Capital market,e_fin3,2001,427,427,0.1,1.52,2.8,4.65,20,3.71,3.27
Non-agr. enter.’ fin. serv.-Borrow from fin. inst.(percent of est.),Capital market,e_fin3,2004,427,427,0.1,1.52,2.8,4.65,20,3.71,3.27
Non-agr. enter.’ fin. serv.-Borrow from fin. inst.(percent of est.),Capital market,e_fin3,2011,427,427,0.1,1.52,2.8,4.65,20,3.71,3.27
Priv. non-agr. enter.’ fin. serv.-Borrow from fin. inst.(percent of est.),Capital market,e_pr_fin3,1993,427,427,0.1,1.5,2.75,4.5,19.8,3.61,3.21
Priv. non-agr. enter.’ fin. serv.-Borrow from fin. inst.(percent of est.),Capital market,e_pr_fin3,2001,427,427,0.1,1.5,2.75,4.5,19.8,3.61,3.21
Priv. non-agr. enter.’ fin. serv.-Borrow from fin. inst.(percent of est.),Capital market,e_pr_fin3,2004,427,427,0.1,1.5,2.75,4.5,19.8,3.61,3.21
Priv. non-agr. enter.’ fin. serv.-Borrow from fin. inst.(percent of est.),Capital market,e_pr_fin3,2011,427,427,0.1,1.5,2.75,4.5,19.8,3.61,3.21
"Literacy rate,15+ years,total(percent of population group)",Labor market,edu_lit_15_t,1993,427,427,18.7,58.75,68.9,78.3,97.5,68.66,13.7
"Literacy rate,15+ years,total(percent of population group)",Labor market,edu_lit_15_t,2001,427,427,18.7,58.75,68.9,78.3,97.5,68.66,13.7
"Literacy rate,15+ years,total(percent of population group)",Labor market,edu_lit_15_t,2004,427,427,18.7,58.75,68.9,78.3,97.5,68.66,13.7
"Literacy rate,15+ years,total(percent of population group)",Labor market,edu_lit_15_t,2011,427,427,18.7,58.75,68.9,78.3,97.5,68.66,13.7
"Literacy rate,7+ years,total(percent of population group)",Labor market,edu_lit_7_t,1993,427,427,30.5,55.7,63.6,72.3,95.8,63.5,12.66
"Literacy rate,7+ years,total(percent of population group)",Labor market,edu_lit_7_t,2001,427,427,30.5,55.7,63.6,72.3,95.8,63.5,12.66
"Literacy rate,7+ years,total(percent of population group)",Labor market,edu_lit_7_t,2004,427,427,37.98,60.55,67.55,75.72,96.8,67.86,11.26
"Literacy rate,7+ years,total(percent of population group)",Labor market,edu_lit_7_t,2011,427,427,39.7,65.33,72.05,79.2,97.9,72.21,10.1
"Secondary education completion rate,15+ years,total(percent of population group)",Labor market,edu_sec_15_t,1993,427,427,3.4,17,22.8,28.95,47.4,23.2,8.46
