Source Code,Name
A,"Source: MODIS Land Cover Type I product (MODIS). Information and images obtained from National Aeronautics and Space Administration (NASA) Land Processes Distributed Active Archive Center (LP DAAC), USGS/Earth Resources Observation and Science (EROS) Center, Sioux Falls, South Dakota, https://lpdaac.usgs.gov/data_access. "
B,"National Aeronautics and Space Administration (NASA) Earth Observations (NEO-ND), http://neo.sci.gsfc.nasa.gov/view.php?datasetId=AURA_NO2_M. "
C,Labour Force Survey
D,"Census of India–Primary Census Abstract (PHC–PCA), Office of the Registrar General and Census Commissioner, India, http://censusindia.gov.in. "
E,"State-wise Gross District Domestic Product (DDP), Directorate of Economics and Statistics, Planning Commission, Government of India, http://planningcommission.nic.in/plans/stateplan/index.php?state=ssphdbody.htm. "
F,"DSMP-OLS Radiance Calibrated Nighttime Lights (RCNTL). National Oceanic and Atmospheric Administration’s National Geophysical Data Center (NGDC), http://ngdc.noaa.gov/eog/dmsp/download_radcal.html. "
G,"Census of India–Houselisting and Housing Census (PHC–HH), Office of the Registrar General and Census Commissioner, India, http://censusindia.gov.in. "
H,"Economic Census (EC) of 2005, Central Statistical Office, Ministry of Statistics & Programme Implementation of India, http://164.100.34.62/index.php/catalog/21/. "
I,"The Household Consumption Expenditure Survey of National Sample Survey (NSS–HCE), National Sample Survey Office (NSSO), the Ministry of Statistics and Programme Implementation, Government of India, http://mospi.nic.in/Mospi_New/site/inner.aspx?status=2&menu_id=71. "
J,"Annual Survey of Industries (ASI), Central Statistical Office (Industrial Statistics Wing), the Ministry of Statistics and Programme Implementation, Government of India, http://mospi.nic.in/Mospi_New/site/inner.aspx?status=2&menu_id=92 "
