yVar,yType,description,nobs,adjRSq,GQ,GQ:bank_t,GQ:cr_s,GQ:di_e_2,GQ:e_own1,GQ:e_pr_fin3,GQ:edu_lit_7_t,GQ:edu_sec_15_t,GQ:est_sh_1,NSEW,NSEW:bank_t,NSEW:cr_s,NSEW:di_e_2,NSEW:e_own1,NSEW:e_pr_fin3,NSEW:edu_lit_7_t,NSEW:edu_sec_15_t,NSEW:est_sh_1
ap,environment,Aerosol particle radius (percent of small particles) in logs,854,0.6,-17.8644***,-0.1558**,NA,1.086**,NA,NA,0.2869***,NA,NA,14.9903***,NA,-0.1641***,NA,NA,NA,NA,NA,-0.1569***
at,environment,Aerosol optical thickness (thickness scale  0–1 ),854,0.6,0.0605**,NA,3E-04,-0.0076*,NA,0.0034,NA,-0.0015**,NA,0.3685,-0.0012,8e-04**,NA,-0.0048,0.0066,0.001,NA,NA
nd,environment,Nitrogen dioxide levels (billion molecules/mm2) in logs,854,0.6,-9.8351*,NA,NA,1.9606,NA,NA,NA,NA,NA,-83.5001,NA,NA,NA,1.2378,1.363,-0.5962**,NA,NA
povrate_rur,equality,Reduction in poverty rate (rural),1661,0.4,-0.6395,-0.0041**,NA,NA,0.0072,0.0116,NA,NA,0.0026**,0.0383,NA,NA,NA,NA,-0.0126,NA,NA,NA
povrate_tot,equality,Reduction in poverty rate (total),1661,0.3,-0.5996,-0.0032*,-7E-04,NA,0.007,0.0096,NA,NA,0.0024**,0.0531,NA,NA,NA,NA,-0.0195,NA,NA,NA
povrate_urb,equality,Reduction in poverty rate (urban),1626,0,0.0207,NA,-0.001,NA,NA,NA,NA,NA,0.0018,-0.1921,NA,NA,NA,NA,-0.0225,0.0037,NA,0.002
emp_7_f,inclusion,"Employment rate, 7+ years, main + marginal, Female(percent of age group)",854,-0.3,-51.89***,NA,NA,NA,0.6083***,NA,NA,-0.2164***,NA,-11.2019***,NA,0.0482,NA,NA,0.5378,NA,0.2232**,NA
emp_7_t,inclusion,"Employment rate, 7+ years, main + marginal, Total(percent of age group)",854,-0.3,-30.985**,NA,NA,NA,0.3745***,NA,NA,-0.1621***,NA,-6.3982***,NA,0.0308,NA,NA,0.4498,NA,0.0993,NA
emp_rwg_f,inclusion,"Regular wage earners, Female (percent of total empl)",854,0.5,104.198***,NA,-0.0321,NA,-1.1089***,-0.39,NA,0.2104**,NA,-87.8325**,0.1436*,-0.0606,1.059,0.8903**,NA,NA,NA,-0.0744
emp_rwg_t,inclusion,"Regular wage earners, Total (percent of total emplt)",854,0.1,70.0101***,NA,NA,NA,-0.6569***,NA,-0.208***,0.3194***,-0.0448,-66.6533**,0.1328,NA,1.2423**,0.5579*,-0.6284,0.1495,-0.1651,NA
