Variable,Description,source,Y/Z/Control?,in1993,in2001,in2004,in2011
a_dec_pre_1,Precipitation anomaly - Jan (millimeters),spatial database,,0,1,0,1
a_dec_pre_10,Precipitation anomaly - Oct (millimeters),spatial database,,0,1,0,1
a_dec_pre_11,Precipitation anomaly - Nov (millimeters),spatial database,,0,1,0,1
a_dec_pre_12,Precipitation anomaly - Dec (millimeters),spatial database,,0,1,0,1
a_dec_pre_2,Precipitation anomaly - Feb (millimeters),spatial database,,0,1,0,1
a_dec_pre_3,Precipitation anomaly - Mar (millimeters),spatial database,,0,1,0,1
a_dec_pre_4,Precipitation anomaly - Apr (millimeters),spatial database,,0,1,0,1
a_dec_pre_5,Precipitation anomaly - May (millimeters),spatial database,,0,1,0,1
a_dec_pre_6,Precipitation anomaly - Jun (millimeters),spatial database,,0,1,0,1
a_dec_pre_7,Precipitation anomaly - Jul (millimeters),spatial database,,0,1,0,1
a_dec_pre_8,Precipitation anomaly - Aug (millimeters),spatial database,,0,1,0,1
a_dec_pre_9,Precipitation anomaly - Sep (millimeters),spatial database,,0,1,0,1
a_dec_tmp_1,Temperature anomaly - Jan (Co),spatial database,,0,1,0,1
a_dec_tmp_10,Temperature anomaly - Oct (Co),spatial database,,0,1,0,1
a_dec_tmp_11,Temperature anomaly - Nov (Co),spatial database,,0,1,0,1
a_dec_tmp_12,Temperature anomaly - Dec (Co),spatial database,,0,1,0,1
a_dec_tmp_2,Temperature anomaly - Feb (Co),spatial database,,0,1,0,1
a_dec_tmp_3,Temperature anomaly - Mar (Co),spatial database,,0,1,0,1
a_dec_tmp_4,Temperature anomaly - Apr (Co),spatial database,,0,1,0,1
a_dec_tmp_5,Temperature anomaly - May (Co),spatial database,,0,1,0,1
a_dec_tmp_6,Temperature anomaly - Jun (Co),spatial database,,0,1,0,1
a_dec_tmp_7,Temperature anomaly - Jul (Co),spatial database,,0,1,0,1
a_dec_tmp_8,Temperature anomaly - Aug (Co),spatial database,,0,1,0,1
a_dec_tmp_9,Temperature anomaly - Sep (Co),spatial database,,0,1,0,1
ac_irr,Land area actually irrigated (percent of land area),spatial database,,0,1,0,1
anc,Three ante-natal care visits (percent of population group),spatial database,,0,0,0,1
ap,Aerosol particle radius (percent of small particles),spatial database,,0,1,0,1
area,Area (sq. km.),spatial database,,0,1,0,1
area_bu,Area (sq. km.),spatial database,,0,1,0,1
area_lit,Area (sq. km.),spatial database,,0,1,0,1
at,Aerosol optical thickness (thickness scale  0–1 ),spatial database,,0,1,0,1
bank_slm,"Households' access to banking services, in slums (percent of households)",spatial database,,0,0,0,1
bank_t,"Households' access to banking services, total (percent of households)",spatial database,,0,1,0,1
bmas_ins_slm,"Households use biomass to cook indoors,slums(percent of households)",spatial database,,0,0,0,1
bmas_ins_t,Households use biomass to cook indoors(percent of households),spatial database,,0,0,0,1
c_oper_t,Mineral production capacity  (million metric tons per year ),spatial database,,0,1,0,1
cbr_t,"Crude birth rate, total (live births per 1000 people)",spatial database,,0,0,0,1
cdr_f,"Crude death rate, female (deaths per 1000 people)",spatial database,,0,0,0,1
cdr_m,"Crude death rate, male (deaths per 1000 people)",spatial database,,0,0,0,1
cdr_t,"Crude death rate, total (deaths per 1000 people)",spatial database,,0,0,0,1
cls_good_pri,Classrooms in good condition in primary schools (percent of classrooms),spatial database,,0,0,0,1
cm,Carbon monoxide levels (parts per billion by volume),spatial database,,0,1,0,1
cond,Female use of condom (percent of population group),spatial database,,0,0,0,1
cr_s,Cropland (percent of area),spatial database,,0,1,0,1
dens,Population density (people per sq. km.),spatial database,,0,1,0,1
dens_bu,Population density (people per sq. km.),spatial database,,0,1,0,1
dens_lit,Population density (people per sq. km.),spatial database,,0,1,0,1
dep_rat_014,"Dependency ratio, 0-14 years (percent)",spatial database,,0,1,0,1
dep_rat_ag,"Dependency ratio, 65+ years (percent)",spatial database,,0,1,0,1
dep_rat_t,"Dependency ratio, 0-14 or 65+ years (percent)",spatial database,,0,1,0,1
di_e_2,"Diversification index of Non-agr. enterprises, ISIC 3.1 -2 digit(index)",spatial database,,0,0,0,1
di_e_4,"Diversification index of Non-agr. enterprises, ISIC 3.1 -4 digit(index)",spatial database,,0,0,0,1
dpt,DPT immunization (percent of population group),spatial database,,0,0,0,1
drrh,Diarrhea treatment (percent of population group),spatial database,,0,0,0,1
e,Non-agr. enterprises   (thousands),spatial database,,0,0,0,1
e_elc_pr,"Non-agriculture enterprises' use of electricity,private(percent of establishment",spatial database,,0,0,0,1
e_elc_pu,"Non-agriculture enterprises' use of electricity,public(percent of establishments",spatial database,,0,0,0,1
e_elc_t,"Non-agriculture enterprises' use of electricity,total(percent of establishments)",spatial database,,0,0,0,1
e_fin1,Non-agr. enter.’ fin. serv.-No finance/self-finance(percent of est.),spatial database,,0,0,0,1
e_fin2,Non-agr. enter.’ fin. serv.-Assist. from gov. sources(percent of est.),spatial database,,0,0,0,1
e_fin3,Non-agr. enter.’ fin. serv.-Borrow from fin. inst.(percent of est.),spatial database,,0,0,0,1
e_fin4,Non-agr. enter.’ fin. serv.-Borrow from non-fin. inst.(percent of est.),spatial database,,0,0,0,1
e_fin5,"Non-agr. enter.’ fin. serv.-Others (NGOs, etc.)(percent of est.)",spatial database,,0,0,0,1
e_own1,Non-agr. enterprises by ownership -Private(percent of establishments),spatial database,,0,0,0,1
e_own2,Non-agr. enterprises by ownership -Public(percent of establishments),spatial database,,0,0,0,1
e_pr_fin1,Priv. non-agr. enter.’ fin. serv.-No finance/self-finance(percent of est.),spatial database,,0,0,0,1
e_pr_fin2,Priv. non-agr. enter.’ fin. serv.-Assist. from gov. sources(percent of est.),spatial database,,0,0,0,1
e_pr_fin3,Priv. non-agr. enter.’ fin. serv.-Borrow from fin. inst.(percent of est.),spatial database,,0,0,0,1
e_pr_fin4,Priv. non-agr. enter.’ fin. serv.-Borrow from non-fin. inst.(percent of est.),spatial database,,0,0,0,1
e_pr_fin5,"Priv. non-agr. enter.’ fin. serv.-Others (NGOs, etc.)(percent of est.)",spatial database,,0,0,0,1
e_s1,"Non-agr. by sect.,ISIC3.1-Mining and quarrying(C)(percent of est.)",spatial database,,0,0,0,1
e_s10,"Non-agr. by sect.,ISIC3.1-Education,health and social(M, N, O)(percent of est.)",spatial database,,0,0,0,1
e_s2,"Non-agr. by sect.,ISIC3.1-Manufacturing(D)(percent of est.)",spatial database,,0,0,0,1
e_s3,"Non-agr. by sect.,ISIC3.1-Electricity,gas and water supply(E)(percent of est.)",spatial database,,0,0,0,1
e_s4,"Non-agr. by sect.,ISIC3.1-Construction(F)(percent of est.)",spatial database,,0,0,0,1
e_s5,"Non-agr. by sect.,ISIC3.1-Trade,hotels and restaurants(G, H)(percent of est.)",spatial database,,0,0,0,1
e_s6,"Non-agr. by sect.,ISIC3.1-Trans.,storage and communications.(I)(percent of est.)",spatial database,,0,0,0,1
e_s7,"Non-agr. by sect.,ISIC3.1-Financial intermediation(J)(percent of est.)",spatial database,,0,0,0,1
e_s8,"Non-agr. by sect.,ISIC3.1-Real estate & business activities (K)(percent of est.)",spatial database,,0,0,0,1
e_s9,"Non-agr. by sect.,ISIC3.1-Public administration(L)(percent of est.)",spatial database,,0,0,0,1
e_z1,Non-agr. enterprises by size -1(percent of establishments),spatial database,,0,0,0,1
e_z2,Non-agr. enterprises by size -2-5(percent of establishments),spatial database,,0,0,0,1
e_z3,Non-agr. enterprises by size -6-9(percent of establishments),spatial database,,0,0,0,1
e_z4,Non-agr. enterprises by size -10-19(percent of establishments),spatial database,,0,0,0,1
e_z5,Non-agr. enterprises by size -20-99(percent of establishments),spatial database,,0,0,0,1
e_z6,Non-agr. enterprises by size -100+(percent of establishments),spatial database,,0,0,0,1
ear_agr,"Labor earnings by sector,Agriculture(current USD per day)",spatial database,,0,0,0,1
ear_f,"Labor earnings by gender,Female(current USD per day)",spatial database,,0,0,0,1
ear_ind,"Labor earnings by sector,Industry(current USD per day)",spatial database,,0,0,0,1
ear_m,"Labor earnings by gender,Male(current USD per day)",spatial database,,0,0,0,1
ear_sev,"Labor earnings by sector,Services(current USD per day)",spatial database,,0,0,0,1
ear_t,"Labor earnings by gender,Total(current USD per day)",spatial database,,0,0,0,1
edu_lit_15_f,"Literacy rate,15+ years,female(percent of population group)",spatial database,,0,0,0,1
edu_lit_15_m,"Literacy rate,15+ years,male(percent of population group)",spatial database,,0,0,0,1
edu_lit_15_t,"Literacy rate,15+ years,total(percent of population group)",spatial database,,0,0,0,1
edu_lit_7_f,"Literacy rate,7+ years,female(percent of population group)",spatial database,,0,1,0,1
edu_lit_7_m,"Literacy rate,7+ years,male(percent of population group)",spatial database,,0,1,0,1
edu_lit_7_t,"Literacy rate,7+ years,total(percent of population group)",spatial database,,0,1,0,1
edu_sec_15_f,"Secondary education completion rate,15+ years,female(percent of population group",spatial database,,0,0,0,1
edu_sec_15_m,"Secondary education completion rate,15+ years,male(percent of population group)",spatial database,,0,0,0,1
edu_sec_15_t,"Secondary education completion rate,15+ years,total(percent of population group)",spatial database,,0,0,0,1
edu_ter_15_f,"Tertiary education completion rate,15+ years,female(percent of population group)",spatial database,,0,0,0,1
edu_ter_15_m,"Tertiary education completion rate,15+ years,male(percent of population group)",spatial database,,0,0,0,1
edu_ter_15_t,"Tertiary education completion rate,15+ years,total(percent of population group)",spatial database,,0,0,0,1
elec_sch_pri,Access to electricity in primary schools (percent of schools),spatial database,,0,0,0,1
elev,Elevation (meters),spatial database,,0,1,0,1
emp_7_f,"Employment rate, 7+ years, main + marginal,       Female(percent of age group)",spatial database,,0,1,0,1
emp_7_m,"Employment rate, 7+ years, main + marginal,          Male(percent of age group)",spatial database,,0,1,0,1
emp_7_t,"Employment rate, 7+ years, main + marginal,          Total(percent of age group)",spatial database,,0,1,0,1
emp_agr,"Employment by sector,Agriculture(percent of total employment)",spatial database,,0,0,0,1
emp_cwg_f,"Casual wage earners,       Female(percent of total employment)",spatial database,,0,1,0,1
emp_cwg_m,"Casual wage earners,          Male(percent of total employment)",spatial database,,0,1,0,1
emp_cwg_t,"Casual wage earners,          Total(percent of total employment)",spatial database,,0,1,0,1
emp_fmr_f,"Farmers,       Female(percent of total employment)",spatial database,,0,1,0,1
emp_fmr_m,"Farmers,          Male(percent of total employment)",spatial database,,0,1,0,1
emp_fmr_t,"Farmers,          Total(percent of total employment)",spatial database,,0,1,0,1
emp_ind,"Employment by sector,Industry (incl. manufacturing)(percent of total employment)",spatial database,,0,0,0,1
emp_man,"Employment by sector,Manufacturing(percent of total employment)",spatial database,,0,0,0,1
emp_rwg_f,"Regular wage earners,       Female(percent of total employment)",spatial database,,0,1,0,1
emp_rwg_m,"Regular wage earners,          Male(percent of total employment)",spatial database,,0,1,0,1
emp_rwg_t,"Regular wage earners,          Total(percent of total employment)",spatial database,,0,1,0,1
emp_sev,"Employment by sector,Services(percent of total employment)",spatial database,,0,0,0,1
emp_slf_f,"Self-employed,       Female(percent of total employment)",spatial database,,0,1,0,1
emp_slf_m,"Self-employed,          Male(percent of total employment)",spatial database,,0,1,0,1
emp_slf_t,"Self-employed,          Total(percent of total employment)",spatial database,,0,1,0,1
est_sh_1,"formal manu,Food/beverage/tobacco (15, 16)(percent of establishments)",spatial database,,0,0,0,1
est_sh_1,"Informal manu,Food/beverage/tobacco (15, 16)(percent of establishments)",spatial database,,0,0,0,1
est_sh_10,"formal manu,Electrical equipment (31)(percent of establishments)",spatial database,,0,0,0,1
est_sh_10,"Informal manu,Electrical equipment (31)(percent of establishments)",spatial database,,0,0,0,1
est_sh_11,"formal manu,Machinery and equipment (29)(percent of establishments)",spatial database,,0,0,0,0
est_sh_11,"Informal manu,Machinery and equipment (29)(percent of establishments)",spatial database,,0,0,0,0
est_sh_11,"Informal serv,Education, health, social and other services (M, N, O)(percent of",spatial database,,0,0,0,0
est_sh_12,"formal manu,Transportation equipment (34, 35)(percent of establishments)",spatial database,,0,0,0,1
est_sh_12,"Informal manu,Transportation equipment (34, 35)(percent of establishments)",spatial database,,0,0,0,1
est_sh_13,"formal manu,Other (36, 37, 38)(percent of establishments)",spatial database,,0,0,0,1
est_sh_13,"Informal manu,Other (36, 37, 38)(percent of establishments)",spatial database,,0,0,0,1
est_sh_2,"formal manu,Textiles/apparel/leather(17, 18, 19)(percent of establishments)",spatial database,,0,0,0,1
est_sh_2,"Informal manu,Textiles/apparel/leather(17, 18, 19)(percent of establishments)",spatial database,,0,0,0,1
est_sh_3,"formal manu,Wood/paper products (20, 21)(percent of establishments)",spatial database,,0,0,0,1
est_sh_3,"Informal manu,Wood/paper products (20, 21)(percent of establishments)",spatial database,,0,0,0,1
est_sh_4,"formal manu,Printing/recorded media (22)(percent of establishments)",spatial database,,0,0,0,1
est_sh_4,"Informal manu,Printing/recorded media (22)(percent of establishments)",spatial database,,0,0,0,1
est_sh_5,"formal manu,Coke and refined petroleum (23)(percent of establishments)",spatial database,,0,0,0,1
est_sh_5,"Informal manu,Coke and refined petroleum (23)(percent of establishments)",spatial database,,0,0,0,1
est_sh_6,"formal manu,Chemicals pharmaceuticals (24)(percent of establishments)",spatial database,,0,0,0,0
est_sh_6,"Informal manu,Chemicals pharmaceuticals (24)(percent of establishments)",spatial database,,0,0,0,0
est_sh_6,"Informal serv,Trade, hotels and restaurants (G, H)(percent of establishments)",spatial database,,0,0,0,0
est_sh_7,"formal manu,Rubber/plastics/nonmetallic mineral(25,26)(percent of establishments",spatial database,,0,0,0,0
est_sh_7,"Informal manu,Rubber/plastics/nonmetallic mineral(25,26)(percent of establishmen",spatial database,,0,0,0,0
est_sh_7,"Informal serv,Transportation, storage and communications (I)(percent of establis",spatial database,,0,0,0,0
est_sh_8,"formal manu,Basic metals/fabricated metals(27, 28)(percent of establishments)",spatial database,,0,0,0,0
est_sh_8,"Informal manu,Basic metals/fabricated metals(27, 28)(percent of establishments)",spatial database,,0,0,0,0
est_sh_8,"Informal serv,Financial intermediation (J)(percent of establishments)",spatial database,,0,0,0,0
est_sh_9,"formal manu,Computer/electronic/optical(30,32,33)(percent of establishments)",spatial database,,0,0,0,0
est_sh_9,"Informal manu,Computer/electronic/optical(30,32,33)(percent of establishments)",spatial database,,0,0,0,0
est_sh_9,"Informal serv,Real estate, renting and business activities (K)(percent of establ",spatial database,,0,0,0,0
exp_sh_b40,Share of bottom 40 percent(percent of population),spatial database,,0,0,0,1
fam_pln,Female contraceptive prevalence (percent of population group),spatial database,,0,0,0,1
fo_s,Forest (percent of area),spatial database,,0,1,0,1
full_imm,Full immunization (percent of population group),spatial database,,0,0,0,1
gdp,"GDP  (current USD, in millions)",spatial database,,0,1,0,1
gdp_pc,GDP per capita (current USD),spatial database,,0,1,0,1
ger_f,"Gross primary enrollment, female (percent of population group)",spatial database,,0,0,0,1
ger_m,"Gross primary enrollment, male (percent of population group)",spatial database,,0,0,0,1
ger_t,"Gross primary enrollment, total (percent of population group)",spatial database,,0,0,0,1
grl_tlt_pri,Girls' toilets in primary schools(percent of schools with girls),spatial database,,0,0,0,1
hh_cell_slm,"Households' access to cellphone,slum(percent of households)",spatial database,,0,0,0,1
hh_cell_t,"Households' access to cellphone,total(percent of households)",spatial database,,0,0,0,1
hh_elec_slm,"Households' access to electricity,slums(percent of households)",spatial database,,0,0,0,1
hh_elec_t,"Households' access to electricity,total(percent of households)",spatial database,,0,1,0,1
hh_fuel_cook_1,"Households' use of fuel for cooking,biomass(percent of households)",spatial database,,0,1,0,1
hh_fuel_cook_2,"Households' use of fuel for cooking,coal/charcoal(percent of households)",spatial database,,0,1,0,1
hh_fuel_cook_3,"Households' use of fuel for cooking,kerosene(percent of households)",spatial database,,0,1,0,1
hh_fuel_cook_4,"Households' use of fuel for cooking,LPG/PNG(percent of households)",spatial database,,0,1,0,1
hh_fuel_cook_5,"Households' use of fuel for cooking,electricity(percent of households)",spatial database,,0,1,0,1
hh_fuel_cook_6,"Households' use of fuel for cooking,biogas(percent of households)",spatial database,,0,1,0,1
hh_fuel_lit_1,"Households's use of fuel for lighting,kerosene(percent of households)",spatial database,,0,0,0,1
hh_fuel_lit_2,"Households's use of fuel for lighting,gas/other oil(percent of households)",spatial database,,0,0,0,1
hh_fuel_lit_3,"Households's use of fuel for lighting,electricity(percent of households)",spatial database,,0,0,0,1
hh_fuel_lit_4,"Households's use of fuel for lighting,candle/others(percent of households)",spatial database,,0,0,0,1
hh_fuel_lit_5,"Households's use of fuel for lighting,no lighting(percent of households)",spatial database,,0,0,0,1
hh_intt_slm,"Households' access to compute with Internet,slum(percent of households)",spatial database,,0,0,0,1
hh_intt_t,"Households' access to compute with Internet,total(percent of households)",spatial database,,0,0,0,1
hh_size_t,"People per household,total(people)",spatial database,,0,1,0,1
hous_slm,Housing units located in urban slums(percent of housing units),spatial database,,0,0,0,1
hs_good_slm,Housing units in good condition(percent of households),spatial database,,0,0,0,1
hs_good_t,Housing units in good condition(percent of households),spatial database,,0,0,0,1
