asiState,asiDistrict,id
A  & N Islands,Andamans,3_35_639_0
Andhra Pradesh,Adilabad,3_28_532_0
Andhra Pradesh,Anantapur,3_28_553_0
Andhra Pradesh,Chittoor,3_28_554_0
Andhra Pradesh,Cuddapah,3_28_551_0
Andhra Pradesh,East Godavari,3_28_545_0
Andhra Pradesh,Guntur,3_28_548_0
Andhra Pradesh,Hyderabad,3_28_536_0
Andhra Pradesh,Karimnagar,3_28_534_0
Andhra Pradesh,Khammam,3_28_541_0
Andhra Pradesh,Krishna,3_28_547_0
Andhra Pradesh,Kurnool,3_28_552_0
Andhra Pradesh,Mahbubnagar,3_28_538_0
Andhra Pradesh,Medak,3_28_535_0
Andhra Pradesh,Nalgonda,3_28_539_0
Andhra Pradesh,Nellore,3_28_550_0
Andhra Pradesh,Nizamabad,3_28_533_0
Andhra Pradesh,Prakasam,3_28_549_0
Andhra Pradesh,Rangareddi,3_28_537_0
Andhra Pradesh,Srikakulam,3_28_542_0
Andhra Pradesh,Visakhapatnam,3_28_544_0
Andhra Pradesh,Vizianagaram,3_28_543_0
Andhra Pradesh,Warangal,3_28_540_0
Andhra Pradesh,West Godavari,3_28_546_0
Assam,Barpeta,3_18_303_0
Assam,Cachar,3_18_316_0
Assam,Darrang,3_18_325_0
Assam,Dhubri,3_18_301_0
Assam,Dibrugarh,3_18_310_0
Assam,Goalpara,3_18_302_0
Assam,Golaghat,3_18_313_0
Assam,Hailakandi,3_18_318_0
Assam,Jorhat,3_18_312_0
Assam,Kamrup,3_18_321_0
Assam,Karimganj,3_18_317_0
Assam,Kokrajhar,3_18_300_0
Assam,Lakhimpur,3_18_307_0
Assam,Nagaon,3_18_305_0
Assam,Nalbari,3_18_323_0
Assam,North Cachar Hills,3_18_315_0
Assam,Sibsagar,3_18_311_0
Assam,Sonitpur,3_18_306_0
Assam,Tinsukia,3_18_309_0
Bihar,Araria,3_10_209_0
Bihar,Aurangabad,3_10_235_0
Bihar,Banka,3_10_225_0
Bihar,Begusarai,3_10_222_0
Bihar,Bhagalpur,3_10_224_0
Bihar,Bhojpur,3_10_231_0
Bihar,Darbhanga,3_10_215_0
Bihar,Gaya,3_10_236_0
Bihar,Gopalganj,3_10_217_0
Bihar,Kaimur (Bhabua),3_10_233_0
Bihar,Katihar,3_10_212_0
Bihar,Kishanganj,3_10_210_0
Bihar,Lakhisarai,3_10_227_0
Bihar,Madhepura,3_10_213_0
Bihar,Madhubani,3_10_207_0
Bihar,Munger,3_10_226_0
Bihar,Muzaffarpur,3_10_216_0
Bihar,Nalanda,3_10_229_0
Bihar,Nawada,3_10_237_0
Bihar,Pashchim Champaran,3_10_203_0
Bihar,Patna,3_10_230_0
Bihar,Purba Champaran,3_10_204_0
Bihar,Purnia,3_10_211_0
Bihar,Rohtas,3_10_234_0
Bihar,Saharsa,3_10_214_0
Bihar,Samastipur,3_10_221_0
Bihar,Saran,3_10_219_0
Bihar,Sitamarhi,3_10_206_0
Bihar,Siwan,3_10_218_0
Bihar,Vaishali,3_10_220_0
Chandigarh,Chandigarh,3_4_55_0
Chhatisgarh,Bastar,3_22_414_0
Chhatisgarh,Bilaspur,3_22_406_0
Chhatisgarh,Dhamtari,3_22_412_0
Chhatisgarh,Durg,3_22_409_0
Chhatisgarh,Janjgir-Champa,3_22_405_0
Chhatisgarh,Korba,3_22_404_0
Chhatisgarh,Koria,3_22_400_0
Chhatisgarh,Mahasamund,3_22_411_0
Chhatisgarh,Raigarh,3_22_403_0
Chhatisgarh,Raipur,3_22_410_0
Chhatisgarh,Rajnandgaon,3_22_408_0
Dadra & Nagar Haveli,Dadra & Nagar Haveli,3_26_496_0
Daman & Diu,Daman,3_25_495_0
Delhi,North West,3_7_90_0
Goa,North Goa,3_30_585_0
Goa,South Goa,3_30_586_0
Gujarat,Ahmadabad,3_24_474_0
Gujarat,Amreli,3_24_480_0
Gujarat,Anand,3_24_482_0
Gujarat,Bharuch,3_24_488_0
Gujarat,Bhavnagar,3_24_481_0
Gujarat,Dohad,3_24_485_0
Gujarat,Gandhinagar,3_24_473_0
Gujarat,Jamnagar,3_24_477_0
Gujarat,Junagadh,3_24_479_0
Gujarat,Kachchh,3_24_468_0
Gujarat,Kheda,3_24_483_0
Gujarat,Mahesana,3_24_471_0
Gujarat,Navsari,3_24_490_0
Gujarat,Panch Mahals,3_24_484_0
Gujarat,Patan,3_24_470_0
Gujarat,Porbandar,3_24_478_0
Gujarat,Rajkot,3_24_476_0
Gujarat,Sabar Kantha,3_24_472_0
Gujarat,Surat,3_24_492_0
Gujarat,Surendranagar,3_24_475_0
Gujarat,Vadodara,3_24_486_0
Gujarat,Valsad,3_24_491_0
Haryana,Ambala,3_6_70_0
Haryana,Bhiwani,3_6_81_0
Haryana,Faridabad,3_6_88_0
Haryana,Fatehabad,3_6_78_0
Haryana,Gurgaon,3_6_86_0
Haryana,Jhajjar,3_6_83_0
Haryana,Jind,3_6_77_0
Haryana,Kaithal,3_6_73_0
Haryana,Karnal,3_6_74_0
Haryana,Kurukshetra,3_6_72_0
Haryana,Mahendragarh,3_6_84_0
Haryana,Panchkula,3_6_69_0
Haryana,Panipat,3_6_75_0
Haryana,Rewari,3_6_85_0
Haryana,Rohtak,3_6_82_0
Haryana,Sirsa,3_6_79_0
Haryana,Sonipat,3_6_76_0
Haryana,Yamunanagar,3_6_71_0
Himachal Pradesh,Hamirpur,3_2_28_0
Himachal Pradesh,Kangra,3_2_24_0
Himachal Pradesh,Kullu,3_2_26_0
Himachal Pradesh,Mandi,3_2_27_0
Himachal Pradesh,Shimla,3_2_33_0
Himachal Pradesh,Sirmaur,3_2_32_0
Himachal Pradesh,Solan,3_2_31_0
Himachal Pradesh,Una,3_2_29_0
Jammu  & Kashmir,Badgam,3_1_2_0
Jammu  & Kashmir,Kargil,3_1_4_0
Jammu  & Kashmir,Kupwara,3_1_1_0
Jammu  & Kashmir,Punch,3_1_5_0
Jammu  & Kashmir,Rajauri,3_1_6_0
Jammu  & Kashmir,Srinagar,3_1_10_0
Jammu  & Kashmir,Udhampur,3_1_19_0
Jharkhand,Bokaro,3_20_355_0
Jharkhand,Deoghar,3_20_350_0
Jharkhand,Dhanbad,3_20_354_0
Jharkhand,Dumka,3_20_362_0
Jharkhand,Garhwa,3_20_346_0
Jharkhand,Giridih,3_20_349_0
Jharkhand,Gumla,3_20_366_0
Jharkhand,Hazaribagh,3_20_360_0
Jharkhand,Kodarma,3_20_348_0
Jharkhand,Lohardaga,3_20_356_0
Jharkhand,Pakaur,3_20_353_0
Jharkhand,Palamu,3_20_358_0
Jharkhand,Pashchimi singhbhum,3_20_368_0
Jharkhand,Purbi Singhbhum,3_20_357_0
Jharkhand,Ranchi,3_20_364_0
Jharkhand,Sahibganj,3_20_352_0
Karnataka,Bagalkot,3_29_556_0
Karnataka,Bangalore,3_29_572_0
Karnataka,Bangalore (Rural),3_29_583_0
Karnataka,Belgaum,3_29_555_0
Karnataka,Bellary,3_29_565_0
Karnataka,Bidar,3_29_558_0
Karnataka,Bijapur,3_29_557_0
Karnataka,Chamarajanagar,3_29_578_0
Karnataka,Chikmagalur,3_29_570_0
Karnataka,Chitradurga,3_29_566_0
Karnataka,Dakshina Kannada,3_29_575_0
Karnataka,Davanagere,3_29_567_0
Karnataka,Dharwad,3_29_562_0
Karnataka,Gadag,3_29_561_0
Karnataka,Gulbarga,3_29_579_0
Karnataka,Hassan,3_29_574_0
Karnataka,Haveri,3_29_564_0
Karnataka,Kodagu,3_29_576_0
Karnataka,Kolar,3_29_581_0
Karnataka,Koppal,3_29_560_0
Karnataka,Mandya,3_29_573_0
Karnataka,Mysore,3_29_577_0
Karnataka,Raichur,3_29_559_0
Karnataka,Shimoga,3_29_568_0
Karnataka,Tumkur,3_29_571_0
Karnataka,Udupi,3_29_569_0
Karnataka,Uttara Kannada,3_29_563_0
Kerala,Alappuzha,3_32_598_0
Kerala,Ernakulam,3_32_595_0
Kerala,Idukki,3_32_596_0
Kerala,Kannur,3_32_589_0
Kerala,Kasaragod,3_32_588_0
Kerala,Kollam,3_32_600_0
Kerala,Kottayam,3_32_597_0
Kerala,Kozhikode,3_32_591_0
Kerala,Malappuram,3_32_592_0
Kerala,Palakkad,3_32_593_0
Kerala,Pathanamthitta,3_32_599_0
Kerala,Thiruvanantha- puram,3_32_601_0
Kerala,Thrissur,3_32_594_0
Kerala,Wayanad,3_32_590_0
Madhya Pradesh,Balaghat,3_23_457_0
Madhya Pradesh,Barwani,3_23_441_0
Madhya Pradesh,Bhind,3_23_420_0
Madhya Pradesh,Bhopal,3_23_444_0
Madhya Pradesh,Chhindwara,3_23_455_0
Madhya Pradesh,Damoh,3_23_428_0
Madhya Pradesh,Dewas,3_23_437_0
Madhya Pradesh,Dhar,3_23_438_0
Madhya Pradesh,East Nimar,3_23_466_0
Madhya Pradesh,Guna,3_23_458_0
Madhya Pradesh,Gwalior,3_23_421_0
Madhya Pradesh,Harda,3_23_448_0
Madhya Pradesh,Hoshangabad,3_23_449_0
Madhya Pradesh,Indore,3_23_439_0
Madhya Pradesh,Jabalpur,3_23_451_0
Madhya Pradesh,Jhabua,3_23_464_0
Madhya Pradesh,Katni,3_23_450_0
Madhya Pradesh,Mandla,3_23_454_0
Madhya Pradesh,Mandsaur,3_23_433_0
Madhya Pradesh,Morena,3_23_419_0
Madhya Pradesh,Narsimhapur,3_23_452_0
Madhya Pradesh,Raisen,3_23_446_0
Madhya Pradesh,Rajgarh,3_23_442_0
Madhya Pradesh,Ratlam,3_23_434_0
Madhya Pradesh,Rewa,3_23_430_0
Madhya Pradesh,Sagar,3_23_427_0
Madhya Pradesh,Satna,3_23_429_0
Madhya Pradesh,Sehore,3_23_445_0
Madhya Pradesh,Shajapur,3_23_436_0
Madhya Pradesh,Sidhi,3_23_462_0
Madhya Pradesh,Ujjain,3_23_435_0
Madhya Pradesh,West Nimar,3_23_440_0
Maharashtra,Ahmadnagar,3_27_522_0
Maharashtra,Akola,3_27_501_0
Maharashtra,Amaravati,3_27_503_0
Maharashtra,Aurangabad,3_27_515_0
Maharashtra,Bhandara,3_27_506_0
Maharashtra,Bid,3_27_523_0
Maharashtra,Buldana,3_27_500_0
Maharashtra,Chandrapur,3_27_509_0
Maharashtra,Dhule,3_27_498_0
Maharashtra,Gadchiroli,3_27_508_0
Maharashtra,Gondiya,3_27_507_0
Maharashtra,Jalgaon,3_27_499_0
Maharashtra,Jalna,3_27_514_0
Maharashtra,Kolhapur,3_27_530_0
Maharashtra,Latur,3_27_524_0
Maharashtra,Mumbai Suburban,3_27_518_0
Maharashtra,Nagpur,3_27_505_0
Maharashtra,Nanded,3_27_511_0
Maharashtra,Nandurbar,3_27_497_0
Maharashtra,Nashik,3_27_516_0
Maharashtra,Osamanabad,3_27_525_0
Maharashtra,Parbhani,3_27_513_0
Maharashtra,Pune,3_27_521_0
Maharashtra,Raigarh,3_27_520_0
Maharashtra,Ratnagiri,3_27_528_0
Maharashtra,Sangli,3_27_531_0
Maharashtra,Satara,3_27_527_0
Maharashtra,Sindhudurg,3_27_529_0
Maharashtra,Solapur,3_27_526_0
Maharashtra,Thane,3_27_517_0
Maharashtra,Wardha,3_27_504_0
Maharashtra,Washim,3_27_502_0
Maharashtra,Yavatmal,3_27_510_0
Manipur,Imphal East,3_14_278_0
Manipur,Imphal West,3_14_277_0
Meghalaya,East Khasi Hills,3_17_298_0
Meghalaya,Jaintia Hills,3_17_299_0
Meghalaya,Ri Bhoi,3_17_297_0
Nagaland,Dimapur,3_13_265_0
Nagaland,Mokokchung,3_13_262_0
Nagaland,Mon,3_13_261_0
Orissa,Anugul,3_21_384_0
Orissa,Balangir,3_21_393_0
Orissa,Baleshwar,3_21_377_0
Orissa,Bargarh,3_21_370_0
Orissa,Bhadrak,3_21_378_0
Orissa,Cuttack,3_21_381_0
Orissa,Dhenkanal,3_21_383_0
Orissa,Ganjam,3_21_388_0
Orissa,Jagatsinghapur,3_21_380_0
Orissa,Jajapur,3_21_382_0
Orissa,Jharsuguda,3_21_371_0
Orissa,Kalahandi,3_21_395_0
Orissa,Kendujhar,3_21_375_0
Orissa,Khordha,3_21_386_0
Orissa,Koraput,3_21_398_0
Orissa,Mayurbhanj,3_21_376_0
Orissa,Nabarangapur,3_21_397_0
Orissa,Puri,3_21_387_0
Orissa,Rayagada,3_21_396_0
Orissa,Sambalpur,3_21_372_0
Orissa,Sundargarh,3_21_374_0
Pondicherry,Karaikal,3_34_637_0
Pondicherry,Pondicherry,3_34_635_0
Pondicherry,Yanam,3_34_634_0
Punjab,Amritsar,3_3_49_0
Punjab,Bathinda,3_3_46_0
Punjab,Faridkot,3_3_45_0
Punjab,Fatehgarh Sahib,3_3_40_0
Punjab,Firozpur,3_3_43_0
Punjab,Gurdaspur,3_3_35_0
Punjab,Hoshiarpur,3_3_38_0
Punjab,Jalandhar,3_3_37_0
Punjab,Kapurthala,3_3_36_0
Punjab,Ludhiana,3_3_41_0
Punjab,Moga,3_3_42_0
Punjab,Muktsar,3_3_44_0
Punjab,Nawanshahr,3_3_39_0
Punjab,Rupnagar,3_3_51_0
Rajasthan,Ajmer,3_8_119_0
Rajasthan,Alwar,3_8_104_0
Rajasthan,Baran,3_8_128_0
Rajasthan,Barmer,3_8_115_0
Rajasthan,Bhilwara,3_8_122_0
Rajasthan,Bikaner,3_8_101_0
Rajasthan,Churu,3_8_102_0
Rajasthan,Dausa,3_8_109_0
Rajasthan,Dhaulpur,3_8_106_0
Rajasthan,Ganganagar,3_8_99_0
Rajasthan,Hanumangarh,3_8_100_0
Rajasthan,Jaipur,3_8_110_0
Rajasthan,Jaisalmer,3_8_114_0
Rajasthan,Jhunjhunun,3_8_103_0
Rajasthan,Jodhpur,3_8_113_0
Rajasthan,Karauli,3_8_107_0
Rajasthan,Kota,3_8_127_0
Rajasthan,Nagaur,3_8_112_0
Rajasthan,Pali,3_8_118_0
Rajasthan,Rajsamand,3_8_123_0
Rajasthan,Sawai Madhopur,3_8_108_0
Rajasthan,Sirohi,3_8_117_0
Rajasthan,Tonk,3_8_120_0
Rajasthan,Udaipur,3_8_130_0
Tamil Nadu,Ariyalur,3_33_616_0
Tamil Nadu,Chennai,3_33_603_0
Tamil Nadu,Coimbatore,3_33_632_0
Tamil Nadu,Cuddalore,3_33_617_0
Tamil Nadu,Dharmapuri,3_33_630_0
Tamil Nadu,Dindigul,3_33_612_0
Tamil Nadu,Erode,3_33_610_0
Tamil Nadu,Kanchipuram,3_33_604_0
Tamil Nadu,Kanniyakumari,3_33_629_0
Tamil Nadu,Karur,3_33_613_0
Tamil Nadu,Madurai,3_33_623_0
Tamil Nadu,Nagapattinam,3_33_618_0
Tamil Nadu,Namakkal,3_33_609_0
Tamil Nadu,Nilgiris,3_33_611_0
Tamil Nadu,Pudukkottai,3_33_621_0
Tamil Nadu,Ramanathapuram,3_33_626_0
Tamil Nadu,Salem,3_33_608_0
Tamil Nadu,Sivaganga,3_33_622_0
