spatialId,spatialState,spatialDistrict,nss2001State,nss2001District,nss2010State,nss2010District,finalId,Note
3_35_638_0,Andaman & Nicobar Islands,Nicobars,A  & N Islands,Nicobars,A  & N Islands,Nicobars,3_35_638_0,NA
3_35_639_0,Andaman & Nicobar Islands,North  & Middle Andaman,NA,NA,A  & N Islands,North and Middle Andaman,3_35_639_0,NA
3_35_640_0,Andaman & Nicobar Islands,South Andaman,A  & N Islands,Andamans,A  & N Islands,South Andaman,3_35_640_0,NA
3_28_532_0,Andhra Pradesh,Adilabad,Andhra Pradesh,Adilabad,Andhra Pradesh,Adilabad,3_28_532_0,NA
3_28_553_0,Andhra Pradesh,Anantapur,Andhra Pradesh,Anantapur,Andhra Pradesh,Anantapur,3_28_553_0,NA
3_28_554_0,Andhra Pradesh,Chittoor,Andhra Pradesh,Chittoor,Andhra Pradesh,Chittoor,3_28_554_0,NA
3_28_545_0,Andhra Pradesh,East Godavari,Andhra Pradesh,East Godavari,Andhra Pradesh,East Godavari,3_28_545_0,NA
3_28_548_0,Andhra Pradesh,Guntur,Andhra Pradesh,Guntur,Andhra Pradesh,Guntur,3_28_548_0,NA
3_28_536_0,Andhra Pradesh,Hyderabad,Andhra Pradesh,Hyderabad,Andhra Pradesh,Hyderabad,3_28_536_0,NA
3_28_534_0,Andhra Pradesh,Karimnagar,Andhra Pradesh,Karimnagar,Andhra Pradesh,Karimnagar,3_28_534_0,NA
3_28_541_0,Andhra Pradesh,Khammam,Andhra Pradesh,Khammam,Andhra Pradesh,Khammam,3_28_541_0,NA
3_28_547_0,Andhra Pradesh,Krishna,Andhra Pradesh,Krishna,Andhra Pradesh,Krishna,3_28_547_0,NA
3_28_552_0,Andhra Pradesh,Kurnool,Andhra Pradesh,Kurnool,Andhra Pradesh,Kurnool,3_28_552_0,NA
3_28_538_0,Andhra Pradesh,Mahbubnagar,Andhra Pradesh,Mahbubnagar,Andhra Pradesh,Mahbubnagar,3_28_538_0,NA
3_28_535_0,Andhra Pradesh,Medak,Andhra Pradesh,Medak,Andhra Pradesh,Medak,3_28_535_0,NA
3_28_539_0,Andhra Pradesh,Nalgonda,Andhra Pradesh,Nalgonda,Andhra Pradesh,Nalgonda,3_28_539_0,NA
3_28_533_0,Andhra Pradesh,Nizamabad,Andhra Pradesh,Nizamabad,Andhra Pradesh,Nizamabad,3_28_533_0,NA
3_28_549_0,Andhra Pradesh,Prakasam,Andhra Pradesh,Prakasam,Andhra Pradesh,Prakasam,3_28_549_0,NA
3_28_537_0,Andhra Pradesh,Rangareddy,Andhra Pradesh,Rangareddi,Andhra Pradesh,Rangareddi,3_28_537_0,NA
3_28_550_0,Andhra Pradesh,Sri Potti Sriramulu Nellore,Andhra Pradesh,Nellore,Andhra Pradesh,Nellore,3_28_550_0,NA
3_28_542_0,Andhra Pradesh,Srikakulam,Andhra Pradesh,Srikakulam,Andhra Pradesh,Srikakulam,3_28_542_0,NA
3_28_544_0,Andhra Pradesh,Visakhapatnam,Andhra Pradesh,Visakhapatnam,Andhra Pradesh,Visakhapatnam,3_28_544_0,NA
3_28_543_0,Andhra Pradesh,Vizianagaram,Andhra Pradesh,Vizianagaram,Andhra Pradesh,Vizianagaram,3_28_543_0,NA
