spatialId,spatialState,spatialDistrict,NSS2010_state,NSS2010_dist,finalId,note,Note
3_35_638_0,Andaman & Nicobar Islands,Nicobars,A  & N Islands,Nicobars,NA,,NA
3_35_639_0,Andaman & Nicobar Islands,North  & Middle Andaman,A  & N Islands,North and Middle Andaman,NA,,NA
3_35_640_0,Andaman & Nicobar Islands,South Andaman,A  & N Islands,South Andaman,NA,Andaman split 2006,NA
3_28_532_0,Andhra Pradesh,Adilabad,Andhra Pradesh,Adilabad,3_28_532_0,,NA
3_28_553_0,Andhra Pradesh,Anantapur,Andhra Pradesh,Anantapur,3_28_553_0,,NA
3_28_554_0,Andhra Pradesh,Chittoor,Andhra Pradesh,Chittoor,3_28_554_0,,NA
3_28_551_0,Andhra Pradesh,Y.S.R.,Andhra Pradesh,Cuddapah,3_28_551_0,,NA
3_28_545_0,Andhra Pradesh,East Godavari,Andhra Pradesh,East Godavari,3_28_545_0,,NA
3_28_548_0,Andhra Pradesh,Guntur,Andhra Pradesh,Guntur,3_28_548_0,,NA
3_28_536_0,Andhra Pradesh,Hyderabad,Andhra Pradesh,Hyderabad,3_28_536_0,,NA
3_28_534_0,Andhra Pradesh,Karimnagar,Andhra Pradesh,Karimnagar,3_28_534_0,,NA
3_28_541_0,Andhra Pradesh,Khammam,Andhra Pradesh,Khammam,3_28_541_0,,NA
3_28_547_0,Andhra Pradesh,Krishna,Andhra Pradesh,Krishna,3_28_547_0,,NA
3_28_552_0,Andhra Pradesh,Kurnool,Andhra Pradesh,Kurnool,3_28_552_0,,NA
3_28_538_0,Andhra Pradesh,Mahbubnagar,Andhra Pradesh,Mahbubnagar,3_28_538_0,,NA
3_28_535_0,Andhra Pradesh,Medak,Andhra Pradesh,Medak,3_28_535_0,,NA
3_28_539_0,Andhra Pradesh,Nalgonda,Andhra Pradesh,Nalgonda,3_28_539_0,,NA
3_28_550_0,Andhra Pradesh,Sri Potti Sriramulu Nellore,Andhra Pradesh,Nellore,3_28_550_0,,NA
3_28_533_0,Andhra Pradesh,Nizamabad,Andhra Pradesh,Nizamabad,3_28_533_0,,NA
3_28_549_0,Andhra Pradesh,Prakasam,Andhra Pradesh,Prakasam,3_28_549_0,,NA
3_28_537_0,Andhra Pradesh,Rangareddy,Andhra Pradesh,Rangareddi,3_28_537_0,,NA
3_28_542_0,Andhra Pradesh,Srikakulam,Andhra Pradesh,Srikakulam,3_28_542_0,,NA
3_28_544_0,Andhra Pradesh,Visakhapatnam,Andhra Pradesh,Visakhapatnam,3_28_544_0,,NA
3_28_543_0,Andhra Pradesh,Vizianagaram,Andhra Pradesh,Vizianagaram,3_28_543_0,,NA
3_28_540_0,Andhra Pradesh,Warangal,Andhra Pradesh,Warangal,3_28_540_0,,NA
3_28_546_0,Andhra Pradesh,West Godavari,Andhra Pradesh,West Godavari,3_28_546_0,,NA
3_18_324_0,Assam,Baksa,Assam,Baksa,3_18_303_0,Barpeta + Nalbari + Kamrup,"2004-06-01: Baksa district formed from parts of Barpeta, Nalbari, and Kamrup."
3_18_303_0,Assam,Barpeta,Assam,Barpeta,3_18_303_0,Kamrup split 1983,"2004-06-01: Baksa district formed from parts of Barpeta, Nalbari, and Kamrup."
3_18_319_0,Assam,Bongaigaon,Assam,Bongaigaon,3_18_319_0,Goalpara +  Kokrajhar 1989,"2004-06-04: Chirang district formed from parts of Barpeta, Bongaigaon, and Kokrajhar."
3_18_316_0,Assam,Cachar,Assam,Cachar,3_18_316_0,,NA
3_18_320_0,Assam,Chirang,Assam,Chirang,3_18_319_0,Bongaigaon split 2004,"2004-06-04: Chirang district formed from parts of Barpeta, Bongaigaon, and Kokrajhar."
3_18_325_0,Assam,Darrang,Assam,Darrang,3_18_325_0,,2004-06-14: Udalguri district formed from parts of Darrang and Sonitpur.
3_18_308_0,Assam,Dhemaji,Assam,Dhemaji,3_18_308_0,Lakhimpur split 1989,NA
3_18_301_0,Assam,Dhubri,Assam,Dhubri,3_18_301_0,Goalpara split 1983,NA
3_18_310_0,Assam,Dibrugarh,Assam,Dibrugarh,3_18_310_0,,NA
3_18_302_0,Assam,Goalpara,Assam,Goalpara,3_18_302_0,,NA
3_18_313_0,Assam,Golaghat,Assam,Golaghat,3_18_313_0,Sibsagar split 1987,NA
3_18_318_0,Assam,Hailakandi,Assam,Hailakandi,3_18_318_0,Cachar split 1989,NA
3_18_312_0,Assam,Jorhat,Assam,Jorhat,3_18_312_0,Sibsagar split 1983,NA
3_18_322_0,Assam,Kamrup Metropolitan,Assam,Kamrup metro,NA,,NA
3_18_321_0,Assam,Kamrup,Assam,Kamrup rural,NA,,NA
3_18_314_0,Assam,Karbi Anglong,Assam,Karbi Anglong,3_18_314_0,,NA
3_18_317_0,Assam,Karimganj,Assam,Karimganj,3_18_317_0,Cachar split 1983,NA
3_18_300_0,Assam,Kokrajhar,Assam,Kokrajhar,3_18_319_0,Goalpara split 1983,"2004-06-04: Chirang district formed from parts of Barpeta, Bongaigaon, and Kokrajhar."
3_18_307_0,Assam,Lakhimpur,Assam,Lakhimpur,3_18_307_0,,NA
3_18_304_0,Assam,Morigaon,Assam,Marigaon,NA,Nagaon split 1989,NA
3_18_305_0,Assam,Nagaon,Assam,Nagaon,3_18_305_0,,NA
3_18_323_0,Assam,Nalbari,Assam,Nalbari,3_18_303_0,Kamrup split 1985,"2004-06-01: Baksa district formed from parts of Barpeta, Nalbari, and Kamrup."
3_18_315_0,Assam,Dima Hasao,Assam,North Cachar Hills,3_18_315_0,,NA
3_18_311_0,Assam,Sivasagar,Assam,Sibsagar,3_18_311_0,,NA
3_18_306_0,Assam,Sonitpur,Assam,Sonitpur,3_18_325_0,Darrang split 1983,2004-06-14: Udalguri district formed from parts of Darrang and Sonitpur.
3_18_309_0,Assam,Tinsukia,Assam,Tinsukia,3_18_309_0,Dibrugarh split 1989,NA
