state_CONSISTENT,districtname,plant1994,plant_size1994,plant2000,plant_size2000,plant2005,plant_size2005,plant2007,plant_size2007,plant2009,plant_size2009,empt1994,empt2000,empt2005,empt2007,empt2009,output1994,output2000,output2005,output2007,output2009
ANDHRA PRADESH,Adilabad,183.00000023841858,2608591,193.46520376205444,3577024.75,53.94899940490723,8411641,47.56760025024414,11092905,53.524099349975586,9977183,13624.999996344382,7277.969290733337,8032.170174598694,8511.388000488281,9547.530587673187,477372142.78125,692029838.296875,453799634.484375,527662877.984375,534019743.875
ANDHRA PRADESH,Anantapur,296.0000001192093,1452672.5,128.37050247192383,1751828.125,235.27490079402924,5048009,225.13299751281738,6491748.5,248.2745976448059,7987620,8901.999996256236,8468.631631851196,8149.129706978798,11442.063926696777,11713.253363132477,429991051.5605469,224883054.03125,1187669849.2333984,1461506817.34375,1983123130.015625
ANDHRA PRADESH,Chittoor,252.9999994635582,2474790,160.64870166778564,1568835.625,322.07559871673584,5721605.5,455.2467951774597,5907881.5,565.1121945381165,5130594,18003.999971492343,8363.338459014893,18969.48108482361,25957.38384771347,33392.4588842392,626121860.2055664,252031414.46875,1842789439.0927734,2689544073.8671875,2899361349.7460938
ANDHRA PRADESH,Cuddapah,105.99999964237213,3502257,227.18760347366333,2416472,140.4838981628418,4052269.75,212.9092993736267,3710020,206.40189838409424,5610578,7232.99999956839,9254.547034740448,5643.9458928108215,7077.7794823646545,8754.204365253448,371239234.7871094,548992497.49609375,569278667.4921875,789897756.9296875,1158033957.4326172
ANDHRA PRADESH,East Godavari,406.9999997615814,4895349.5,419.32939863204956,14503782,645.8242926597595,5167755,549.4864970445633,6111293.5,581.4343934059143,7219892,21066.00000630302,67289.45103216171,27511.83853006363,23986.61997783184,25767.605374336243,1992407267.7305908,6081862216.75,3337461568.881836,3358073193.3671875,4197893432.7109375
ANDHRA PRADESH,Guntur,454.9999997615814,2042830.125,270.0423059463501,2307292.75,909.7977929115295,2299338,1017.3232078552246,2885196,790.9442930221558,5312634,19150.99999998877,8151.618475437164,30876.97124350071,36966.25692176819,39913.19846057892,929487688.72265625,623066661.890625,2091932674.8554688,2935176749.379883,4201997679.0429688
ANDHRA PRADESH,Hyderabad,389.9999998807907,3592322,566.4323997497559,2763405,324.4140976667404,4423285.5,321.24609899520874,6321305,392.41149711608887,5141072,27958.000014179375,22973.48414850235,13948.429584980011,25443.551862239838,27263.923031806946,1401005595.1125488,1565282108.5419922,1434976238.8085938,2030694554.5078125,2017415704.96875
ANDHRA PRADESH,Karimnagar,830,708793.8125,52.011199951171875,10998620,237.92129611968994,1912238.5,233.30700206756592,4124974.25,273.4183931350708,3741689.25,33964.00000429651,3594.8968029022217,30834.866578102112,30996.446390151978,19552.115140914917,588298888.3798828,572051439.96875,454962248.40625,962385401.4921875,1023046691.46875
ANDHRA PRADESH,Khammam,78,5511261.5,295.20490026474,2458689,368.31489992141724,2231475.25,473.3658881187439,2413546,443.53389072418213,870677.5625,7379,6432.979907512665,10790.892793178558,15009.208127975464,9955.352358818054,429878380.328125,725817014.015625,821885567.2265625,1142490334.421875,386175003.109375
ANDHRA PRADESH,Krishna,405.9999997615814,3052250,1524.325587272644,3816584.25,500.56279587745667,3186401,631.6337025165558,3845617.5,723.3491940498352,4624814,22398.999997148152,91475.06376361847,22912.963988304138,26406.457724571228,44440.145231723785,1239213512.3291016,5817717217.28125,1594993759.4589844,2429021685.984375,3345355323.3671875
