city,district,pop2011,pop2001
Agra,3_9_146_0,1760285,1331339
Ahmedabad,3_24_474_0,6357693,4525013
Allahabad,3_9_175_0,1212395,1042229
Amritsar,3_3_49_0,1183549,1003917
Asansol,3_19_335_0,1243414,1067369
Aurangabad,3_27_515_0,1193167,892483
Bangalore,3_29_572_0,8520435,5701446
Bhopal,3_23_444_0,1886100,1458416
Chandigarh,3_4_55_0,1055450,808515
Chennai,3_33_603_0,8653521,6560242
Coimbatore,3_33_632_0,2136916,1461139
Delhi,3_7_95_0,16349831,12877470
Dhanbad,3_20_354_0,1196214,1065327
Durg-Bhilainagar,3_22_409_0,1064222,927864
Faridabad,3_6_88_0,1414050,1055938
Ghaziabad,3_9_140_0,2375820,968256
Guwahati,3_18_322_0,1260419,
Gwalior,3_23_421_0,1117740,865548
Hyderabad,3_28_536_0,7677018,5742036
Indore,3_23_439_0,2170295,1506062
Jabalpur,3_23_451_0,1268848,1098000
Jaipur,3_8_110_0,3046163,2322575
Jamshedpur,3_20_357_0,1339438,1104713
Jodhpur,3_8_113_0,1138300,860818
Kannur,3_32_589_0,1640986,498207
Kanpur,3_9_164_0,2920496,2715555
Kochi,3_32_595_0,2119724,1355972
Kolkata,3_19_342_0,14057991,13205697
Kollam,3_32_600_0,1110668,380091
Kota,3_8_127_0,1001694,703150
Kozhikode,3_32_591_0,2028399,880247
Lucknow,3_9_157_0,2902920,2245509
Ludhiana,3_3_41_0,1618879,1398467
Madurai,3_33_623_0,1465625,1203095
Malappuram,3_32_592_0,1699060,170409
Meerut,3_9_138_0,1420902,1161716
Mumbai,3_27_518_0,18394912,16434386
Nagpur,3_27_505_0,2497870,2129500
Nashik,3_27_516_0,1561809,1152326
Patna,3_10_230_0,2049156,1697976
Pune,3_27_521_0,5057709,3760636
Raipur,3_22_410_0,1123558,700113
Rajkot,3_24_476_0,1390640,1003015
Ranchi,3_20_364_0,1120374,863495
Srinagar,3_1_10_0,1264202,988210
Surat,3_24_492_0,4591246,2811614
Thiruvananthapuram,3_32_601_0,1679754,889635
Thrissur,3_32_594_0,1861269,330122
Tiruchirappalli,3_33_614_0,1022518,866354
Vadodara,3_24_486_0,1822221,1491045
Varanasi,3_9_197_0,1432280,1203961
Vasai-Virar,3_27_517_0,1222390,
Vijayawada,3_28_547_0,1476931,1039518
Visakhapatnam,3_28_544_0,1728128,1345938
