distCode,spatialId,finalId,distName,spatialState,spatialDistrict,nss2001State,nss2001District,nss2010State,nss2010District,Note
102,3_1_8_0,3_1_8_0,Baramula,Jammu and Kashmir,Baramula,Jammu  & Kashmir,Baramula,Jammu  & Kashmir,Baramula,Bandipore district split from Baramula
103,3_1_10_0,3_1_10_0,Srinagar,Jammu and Kashmir,Srinagar,Jammu  & Kashmir,Srinagar,Jammu  & Kashmir,Srinagar,Ganderbal district split from Srinagar
105,3_1_12_0,3_1_12_0,Pulwama,Jammu and Kashmir,Pulwama,Jammu  & Kashmir,Pulwama,Jammu  & Kashmir,Pulwama,Shupiyan district split from Pulwama
112,3_1_6_0,3_1_6_0,Rajauri,Jammu and Kashmir,Rajouri,Jammu  & Kashmir,Rajauri,Jammu  & Kashmir,Rajauri,NA
113,3_1_21_0,3_1_21_0,Jammu,Jammu and Kashmir,Jammu,Jammu  & Kashmir,Jammu,Jammu  & Kashmir,Jammu,Samba district formed from parts of Jammu and Kathua
201,3_2_23_0,3_2_23_0,Chamba,Himachal Pradesh,Chamba,Himachal Pradesh,Chamba,Himachal Pradesh,Chamba,NA
202,3_2_24_0,3_2_24_0,Kangra,Himachal Pradesh,Kangra,Himachal Pradesh,Kangra,Himachal Pradesh,Kangra,NA
204,3_2_26_0,3_2_26_0,Kullu,Himachal Pradesh,Kullu,Himachal Pradesh,Kullu,Himachal Pradesh,Kullu,NA
205,3_2_27_0,3_2_27_0,Mandi,Himachal Pradesh,Mandi,Himachal Pradesh,Mandi,Himachal Pradesh,Mandi,NA
206,3_2_28_0,3_2_28_0,Hamirpur,Himachal Pradesh,Hamirpur,Himachal Pradesh,Hamirpur,Himachal Pradesh,Hamirpur,NA
208,3_2_30_0,3_2_30_0,Bilaspur,Himachal Pradesh,Bilaspur,Himachal Pradesh,Bilaspur,Himachal Pradesh,Bilaspur,NA
209,3_2_31_0,3_2_31_0,Solan,Himachal Pradesh,Solan,Himachal Pradesh,Solan,Himachal Pradesh,Solan,NA
210,3_2_32_0,3_2_32_0,Sirmaur,Himachal Pradesh,Sirmaur,Himachal Pradesh,Sirmaur,Himachal Pradesh,Sirmaur,NA
211,3_2_33_0,3_2_33_0,Shimla,Himachal Pradesh,Shimla,Himachal Pradesh,Shimla,Himachal Pradesh,Shimla,NA
301,3_3_35_0,3_3_35_0,Gurdaspur,Punjab,Gurdaspur,Punjab,Gurdaspur,Punjab,Gurdaspur,NA
302,3_3_49_0,3_3_49_0,Amritsar,Punjab,Amritsar,Punjab,Amritsar,Punjab,Amritsar,Tarn Taran district split from Amritsar
303,3_3_36_0,3_3_36_0,Kapurthala,Punjab,Kapurthala,Punjab,Kapurthala,Punjab,Kapurthala,NA
304,3_3_37_0,3_3_37_0,Jalandhar,Punjab,Jalandhar,Punjab,Jalandhar,Punjab,Jalandhar,NA
305,3_3_38_0,3_3_38_0,Hoshiarpur,Punjab,Hoshiarpur,Punjab,Hoshiarpur,Punjab,Hoshiarpur,NA
306,3_3_39_0,3_3_39_0,Nawanshahr,Punjab,Shahid Bhagat Singh Nagar,Punjab,Nawanshahr,Punjab,Nawanshahr,NA
307,3_3_51_0,3_3_48_0,Rupnagar,Punjab,Rupnagar,Punjab,Rupnagar,Punjab,Rupnagar,Mohali district formed from parts of Patiala and Rupnagar
308,3_3_40_0,3_3_40_0,Fatehgarh,Punjab,Fatehgarh Sahib,Punjab,Fatehgarh Sahib,Punjab,Fatehgarh Sahib,NA
309,3_3_41_0,3_3_41_0,Ludhiana,Punjab,Ludhiana,Punjab,Ludhiana,Punjab,Ludhiana,NA
310,3_3_42_0,3_3_42_0,Moga,Punjab,Moga,Punjab,Moga,Punjab,Moga,NA
311,3_3_43_0,3_3_43_0,Firozpur,Punjab,Firozpur,Punjab,Firozpur,Punjab,Firozpur,NA
316,3_3_53_0,3_3_53_0,Sangrur,Punjab,Sangrur,Punjab,Sangrur,Punjab,Sangrur,Barnala district split from Sangrur
317,3_3_48_0,3_3_48_0,Patiala,Punjab,Patiala,Punjab,Patiala,Punjab,Patiala,Mohali district formed from parts of Patiala and Rupnagar
404,3_4_55_0,3_4_55_0,Chandigarh,Chandigarh,Chandigarh,Chandigarh,Chandigarh,Chandigarh,Chandigarh,NA
505,3_5_60_0,3_5_60_0,Dehradun,Uttarakhand,Dehradun,Uttaranchal,Dehradun,Uttarakhand,Dehradun (P),NA
