distCode,distName,spatialId,finalId
102,Baramula,3_1_8_0,3_1_8_0
103,Srinagar,3_1_10_0,3_1_10_0
105,Pulwama,3_1_12_0,3_1_12_0
112,Rajauri,3_1_6_0,3_1_6_0
113,Jammu,3_1_21_0,3_1_21_0
201,Chamba,3_2_23_0,3_2_23_0
202,Kangra,3_2_24_0,3_2_24_0
204,Kullu,3_2_26_0,3_2_26_0
205,Mandi,3_2_27_0,3_2_27_0
206,Hamirpur,3_2_28_0,3_2_28_0
208,Bilaspur,3_2_30_0,3_2_30_0
209,Solan,3_2_31_0,3_2_31_0
210,Sirmaur,3_2_32_0,3_2_32_0
211,Shimla,3_2_33_0,3_2_33_0
301,Gurdaspur,3_3_35_0,3_3_35_0
302,Amritsar,3_3_49_0,3_3_49_0
303,Kapurthala,3_3_36_0,3_3_36_0
304,Jalandhar,3_3_37_0,3_3_37_0
305,Hoshiarpur,3_3_38_0,3_3_38_0
306,Nawanshahr,3_3_39_0,3_3_39_0
307,Rupnagar,3_3_51_0,3_3_48_0
308,Fatehgarh,3_3_40_0,3_3_40_0
309,Ludhiana,3_3_41_0,3_3_41_0
310,Moga,3_3_42_0,3_3_42_0
311,Firozpur,3_3_43_0,3_3_43_0
316,Sangrur,3_3_53_0,3_3_53_0
317,Patiala,3_3_48_0,3_3_48_0
404,Chandigarh,3_4_55_0,3_4_55_0
505,Dehradun,3_5_60_0,3_5_60_0
508,Bageshwar,3_5_63_0,3_5_63_0
509,Almora,3_5_64_0,3_5_64_0
511,Nainital,3_5_66_0,3_5_66_0
512,Udham Singh Nagar,3_5_67_0,3_5_67_0
513,Hardwar,3_5_68_0,3_5_68_0
601,Panchkula,3_6_69_0,3_6_69_0
602,Ambala,3_6_70_0,3_6_70_0
603,Yamunanagar,3_6_71_0,3_6_71_0
604,Kurukshetra,3_6_72_0,3_6_72_0
605,Kaithal,3_6_73_0,3_6_73_0
606,Karnal,3_6_74_0,3_6_74_0
608,Sonipat,3_6_76_0,3_6_76_0
609,Jind,3_6_77_0,3_6_77_0
610,Fatehabad,3_6_78_0,3_6_78_0
612,Hissar,3_6_80_0,3_6_80_0
613,Bhiwani,3_6_81_0,3_6_81_0
617,Rewari,3_6_85_0,3_6_85_0
618,Gurgaon,3_6_86_0,3_6_86_0
619,Faridabad,3_6_88_0,3_6_88_0
701,North West,3_7_90_0,3_7_90_0
702,North,3_7_91_0,3_7_91_0
703,North East,3_7_92_0,3_7_92_0
704,East,3_7_93_0,3_7_93_0
707,West,3_7_96_0,3_7_96_0
708,South West,3_7_97_0,3_7_97_0
709,South,3_7_98_0,3_7_98_0
710,Delhi Municipal Corp,NA,NA
711,New Delhi Municipal C,NA,NA
712,Kirari Suleman Nagar,NA,NA
803,Bikaner,3_8_101_0,3_8_101_0
804,Churu,3_8_102_0,3_8_102_0
805,Jhunjhunu,3_8_103_0,3_8_103_0
806,Alwar,3_8_104_0,3_8_104_0
807,Bharatpur,3_8_105_0,3_8_105_0
808,Dhaulpur,3_8_106_0,3_8_106_0
809,Karauli,3_8_107_0,3_8_107_0
