misAll2010State,misAll2010District,spatialId
ANDHRA PRADESH,Adilabad,3_28_532_0
ANDHRA PRADESH,Anantapur,3_28_553_0
ANDHRA PRADESH,Chittoor,3_28_554_0
ANDHRA PRADESH,Cuddapah,3_28_551_0
ANDHRA PRADESH,East Godavari,3_28_545_0
ANDHRA PRADESH,Guntur,3_28_548_0
ANDHRA PRADESH,Hyderabad,3_28_536_0
ANDHRA PRADESH,Karimnagar,3_28_534_0
ANDHRA PRADESH,Khammam,3_28_541_0
ANDHRA PRADESH,Krishna,3_28_547_0
ANDHRA PRADESH,Kurnool,3_28_552_0
ANDHRA PRADESH,Mahbubnagar,3_28_538_0
ANDHRA PRADESH,Medak,3_28_535_0
ANDHRA PRADESH,Nalgonda,3_28_539_0
ANDHRA PRADESH,Nellore,3_28_550_0
ANDHRA PRADESH,Nizamabad,3_28_533_0
ANDHRA PRADESH,Prakasam,3_28_549_0
ANDHRA PRADESH,Rangareddi,3_28_537_0
ANDHRA PRADESH,Srikakulam,3_28_542_0
ANDHRA PRADESH,Visakhapatnam,3_28_544_0
ANDHRA PRADESH,Vizianagaram,3_28_543_0
ANDHRA PRADESH,Warangal,3_28_540_0
ANDHRA PRADESH,West Godavari,3_28_546_0
BIHAR,Aurangabad,3_10_235_0
BIHAR,Begusarai,3_10_222_0
BIHAR,Bhagalpur,3_10_224_0
BIHAR,Bhojpur,3_10_231_0
BIHAR,Champaran(E),3_10_204_0
BIHAR,Champaran(W),3_10_203_0
BIHAR,Darbhanga,3_10_215_0
BIHAR,Deoghar,3_20_350_0
BIHAR,Dhanbad,3_20_354_0
BIHAR,Dumka,3_20_362_0
BIHAR,Gaya,3_10_236_0
BIHAR,Giridih,3_20_349_0
BIHAR,Godda,3_20_351_0
BIHAR,Gopalganj,3_10_217_0
BIHAR,Gumla,3_20_366_0
BIHAR,Hazaribag,3_20_360_0
BIHAR,Jehanabad,3_10_239_0
BIHAR,Katihar,3_10_212_0
BIHAR,Khagaria,3_10_223_0
BIHAR,Lohardaga,3_20_356_0
BIHAR,Madhepura,3_10_213_0
BIHAR,Madhubani,3_10_207_0
BIHAR,Munger,3_10_226_0
BIHAR,Muzaffarpur,3_10_216_0
BIHAR,Nalanda,3_10_229_0
BIHAR,Nawada,3_10_237_0
BIHAR,Palamu,3_20_358_0
BIHAR,Patna,3_10_230_0
BIHAR,Purnia,3_10_211_0
BIHAR,Ranchi,3_20_364_0
BIHAR,Rohtas,3_10_234_0
BIHAR,Saharsa,3_10_214_0
BIHAR,Sahibganj,3_20_352_0
BIHAR,Samastipur,3_10_221_0
BIHAR,Saran,3_10_219_0
BIHAR,Singhbhum,3_20_368_0
BIHAR,Sitamarhi,3_10_206_0
BIHAR,Siwan,3_10_218_0
BIHAR,Vaishali,3_10_220_0
CHANDIGARH,Chandigarh,3_4_55_0
DELHI,Delhi,3_7_94_0
GOA,North Goa,3_30_585_0
GOA,South Goa,3_30_586_0
GUJARAT,Ahmedabad,3_24_474_0
GUJARAT,Amreli,3_24_480_0
GUJARAT,Bans Kantha,3_24_469_0
GUJARAT,Mahesana,3_24_471_0
GUJARAT,Bharuch,3_24_488_0
GUJARAT,Bhavnagar,3_24_481_0
GUJARAT,Gandhinagar,3_24_473_0
GUJARAT,Jamnagar,3_24_477_0
GUJARAT,Junagadh,3_24_479_0
GUJARAT,Kachchh,3_24_468_0
GUJARAT,Kheda,3_24_483_0
GUJARAT,Panch Mahals,3_24_484_0
GUJARAT,Rajkot,3_24_476_0
GUJARAT,Sabar Kantha,3_24_472_0
GUJARAT,Surat,3_24_492_0
GUJARAT,Surendranagar,3_24_475_0
GUJARAT,The Dangs,3_24_489_0
GUJARAT,Vadodara,3_24_486_0
GUJARAT,Valsad,3_24_491_0
HARYANA,Ambala,3_6_70_0
HARYANA,Bhiwani,3_6_81_0
HARYANA,Faridabad,3_6_88_0
HARYANA,Gurgaon,3_6_86_0
HARYANA,Hisar,3_6_80_0
HARYANA,Jind,3_6_77_0
HARYANA,Kaithal,3_6_73_0
HARYANA,Karnal,3_6_74_0
HARYANA,Kurukshetra,3_6_72_0
HARYANA,Mahendragarh,3_6_84_0
HARYANA,Panipat,3_6_75_0
HARYANA,Rewari,3_6_85_0
HARYANA,Rohtak,3_6_82_0
HARYANA,Sirsa,3_6_79_0
HARYANA,Sonipat,3_6_76_0
HARYANA,Yamunanagar,3_6_71_0
HIMACHAL PRADESH,Bilaspur,3_2_30_0
HIMACHAL PRADESH,Chamba,3_2_23_0
HIMACHAL PRADESH,Hamirpur,3_2_28_0
HIMACHAL PRADESH,Kangra,3_2_24_0
HIMACHAL PRADESH,Kinnaur,3_2_34_0
HIMACHAL PRADESH,Kullu,3_2_26_0
