state,district,spatialId,finalId,year,mis_out_3b,mis_Y_3b,mis_L_3b,mis_T_3b,mis_KT_3b,mis_K_3b
ANDHRA PRADESH,Adilabad,3_28_532_0,3_28_532_0,2e3,-1.121604,-1.029292,-0.118932,-0.936303,-0.956822,-1.0149
ANDHRA PRADESH,Adilabad,3_28_532_0,3_28_532_0,2010.0,-0.899807,-0.911209,-0.32285,-0.430224,-0.793853,-0.96808399999999994
ANDHRA PRADESH,Anantapur,3_28_553_0,3_28_553_0,2e3,-0.484472,-0.513185,-0.107767,-0.032929,-0.008488,0.034787
ANDHRA PRADESH,Anantapur,3_28_553_0,3_28_553_0,2010.0,-1.145965,-1.233288,-0.237429,-0.29277,-0.545419,-0.605265
ANDHRA PRADESH,Chittoor,3_28_554_0,3_28_554_0,2e3,-1.339184,-1.392348,-0.157357,-1.029423,-1.008591,-0.970544
ANDHRA PRADESH,Chittoor,3_28_554_0,3_28_554_0,2010.0,-0.878477,-0.928587,0.258941,-0.240448,-0.316508,-0.34196
ANDHRA PRADESH,Cuddapah,3_28_551_0,3_28_551_0,2e3,-0.689856,-0.877848,-0.019461,-0.096623,-0.500671,-0.915615
ANDHRA PRADESH,Cuddapah,3_28_551_0,3_28_551_0,2010.0,-1.051249,-1.191941,-0.086052,-0.168123,-0.852789,-1.201875
ANDHRA PRADESH,East Godavari,3_28_545_0,3_28_545_0,2e3,-0.895548,-1.198833,-0.301285,-0.52386,-0.817782,-0.926158
ANDHRA PRADESH,East Godavari,3_28_545_0,3_28_545_0,2010.0,-0.406402,-1.237224,-0.270958,0.088426,-0.086124,-0.161603
ANDHRA PRADESH,Guntur,3_28_548_0,3_28_548_0,2e3,-0.978375,-1.029695,-0.340986,-0.48279300000000003,-0.696978,-0.865737
ANDHRA PRADESH,Guntur,3_28_548_0,3_28_548_0,2010.0,-0.945331,-0.942079,-0.45279,-0.380685,-0.507463,-0.611037
