state,district,spatialId,distt_id55,finalId,spatialState,spatialDistrict,nss2010State,nss2010District,state.y,district.y,note
ANDHRA PRADESH,Adilabad,3_28_532_0,219,3_28_532_0,Andhra Pradesh,Adilabad,Andhra Pradesh,Adilabad,Andhra Pradesh,Adilabad,NA
ANDHRA PRADESH,Anantapur,3_28_553_0,212,3_28_553_0,Andhra Pradesh,Anantapur,Andhra Pradesh,Anantapur,Andhra Pradesh,Anantpur,NA
ANDHRA PRADESH,Chittoor,3_28_554_0,210,3_28_554_0,Andhra Pradesh,Chittoor,Andhra Pradesh,Chittoor,Andhra Pradesh,Chittoor,NA
ANDHRA PRADESH,Cuddapah,3_28_551_0,211,3_28_551_0,Andhra Pradesh,Y.S.R.,Andhra Pradesh,Cuddapah,Andhra Pradesh,Cuddapah,NA
ANDHRA PRADESH,East Godavari,3_28_545_0,204,3_28_545_0,Andhra Pradesh,East Godavari,Andhra Pradesh,East Godavari,Andhra Pradesh,East Godavari,NA
ANDHRA PRADESH,Guntur,3_28_548_0,207,3_28_548_0,Andhra Pradesh,Guntur,Andhra Pradesh,Guntur,Andhra Pradesh,Guntur,NA
ANDHRA PRADESH,Hyderabad,3_28_536_0,216,3_28_536_0,Andhra Pradesh,Hyderabad,Andhra Pradesh,Hyderabad,Andhra Pradesh,Hyderabad,NA
ANDHRA PRADESH,Karimnagar,3_28_534_0,220,3_28_534_0,Andhra Pradesh,Karimnagar,Andhra Pradesh,Karimnagar,Andhra Pradesh,Karimnagar,NA
ANDHRA PRADESH,Khammam,3_28_541_0,222,3_28_541_0,Andhra Pradesh,Khammam,Andhra Pradesh,Khammam,Andhra Pradesh,Khammam,NA
ANDHRA PRADESH,Krishna,3_28_547_0,206,3_28_547_0,Andhra Pradesh,Krishna,Andhra Pradesh,Krishna,Andhra Pradesh,Krishna,NA
ANDHRA PRADESH,Kurnool,3_28_552_0,213,3_28_552_0,Andhra Pradesh,Kurnool,Andhra Pradesh,Kurnool,Andhra Pradesh,Kurnool,NA
ANDHRA PRADESH,Mahbubnagar,3_28_538_0,214,3_28_538_0,Andhra Pradesh,Mahbubnagar,Andhra Pradesh,Mahbubnagar,Andhra Pradesh,Mahbubnagar,NA
ANDHRA PRADESH,Medak,3_28_535_0,217,3_28_535_0,Andhra Pradesh,Medak,Andhra Pradesh,Medak,Andhra Pradesh,Medak,NA
ANDHRA PRADESH,Nalgonda,3_28_539_0,223,3_28_539_0,Andhra Pradesh,Nalgonda,Andhra Pradesh,Nalgonda,Andhra Pradesh,Nalgonda,NA
ANDHRA PRADESH,Nellore,3_28_550_0,209,3_28_550_0,Andhra Pradesh,Sri Potti Sriramulu Nellore,Andhra Pradesh,Nellore,Andhra Pradesh,Nellore,NA
ANDHRA PRADESH,Nizamabad,3_28_533_0,218,3_28_533_0,Andhra Pradesh,Nizamabad,Andhra Pradesh,Nizamabad,Andhra Pradesh,Nizamabad,NA
ANDHRA PRADESH,Prakasam,3_28_549_0,208,3_28_549_0,Andhra Pradesh,Prakasam,Andhra Pradesh,Prakasam,Andhra Pradesh,Prakasam,NA
ANDHRA PRADESH,Rangareddi,3_28_537_0,215,3_28_537_0,Andhra Pradesh,Rangareddy,Andhra Pradesh,Rangareddi,Andhra Pradesh,Rangareddy,NA
ANDHRA PRADESH,Srikakulam,3_28_542_0,201,3_28_542_0,Andhra Pradesh,Srikakulam,Andhra Pradesh,Srikakulam,Andhra Pradesh,Srikakulam,NA
ANDHRA PRADESH,Visakhapatnam,3_28_544_0,203,3_28_544_0,Andhra Pradesh,Visakhapatnam,Andhra Pradesh,Visakhapatnam,Andhra Pradesh,Vishakhapatnam,NA
ANDHRA PRADESH,Vizianagaram,3_28_543_0,202,3_28_543_0,Andhra Pradesh,Vizianagaram,Andhra Pradesh,Vizianagaram,Andhra Pradesh,Vizianagaram,NA
ANDHRA PRADESH,Warangal,3_28_540_0,221,3_28_540_0,Andhra Pradesh,Warangal,Andhra Pradesh,Warangal,Andhra Pradesh,Warangal,NA
ANDHRA PRADESH,West Godavari,3_28_546_0,205,3_28_546_0,Andhra Pradesh,West Godavari,Andhra Pradesh,West Godavari,Andhra Pradesh,West Godavari,NA
BIHAR,Aurangabad,3_10_235_0,505,3_10_235_0,Bihar,Aurangabad,Bihar,Aurangabad,Bihar,Aurangabad,NA
BIHAR,Begusarai,3_10_222_0,517,3_10_222_0,Bihar,Begusarai,Bihar,Begusarai,Bihar,Begusarai,NA
BIHAR,Bhagalpur,3_10_224_0,527,3_10_224_0,Bihar,Bhagalpur,Bihar,Bhagalpur,Bihar,Bhagalpur,NA
BIHAR,Bhojpur,3_10_231_0,503,3_10_231_0,Bihar,Bhojpur,Bihar,Bhojpur,Bihar,Bhojpur,NA
BIHAR,Champaran(E),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BIHAR,Champaran(W),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BIHAR,Darbhanga,3_10_215_0,519,3_10_215_0,Bihar,Darbhanga,Bihar,Darbhanga,Bihar,Darbhanga,NA
BIHAR,Deoghar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BIHAR,Dhanbad,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BIHAR,Dumka,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BIHAR,Gaya,3_10_236_0,507,3_10_236_0,Bihar,Gaya,Bihar,Gaya,Bihar,Gaya,NA
BIHAR,Giridih,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BIHAR,Godda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BIHAR,Gopalganj,3_10_217_0,511,3_10_217_0,Bihar,Gopalganj,Bihar,Gopalganj,Bihar,Gopalganj,NA
BIHAR,Gumla,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BIHAR,Hazaribag,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BIHAR,Jehanabad,3_10_239_0,506,3_10_239_0,Bihar,Jehanabad,Bihar,Jehanabad,Bihar,Jehanabad,2001-08-20: Arwal district split from Jehanabad.
BIHAR,Katihar,3_10_212_0,524,3_10_212_0,Bihar,Katihar,Bihar,Katihar,Bihar,Katihar,NA
BIHAR,Khagaria,3_10_223_0,525,3_10_223_0,Bihar,Khagaria,Bihar,Khagaria,Bihar,Khagaria,NA
BIHAR,Lohardaga,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BIHAR,Madhepura,3_10_213_0,522,3_10_213_0,Bihar,Madhepura,Bihar,Madhepura,Bihar,Madhepura,NA
BIHAR,Madhubani,3_10_207_0,520,3_10_207_0,Bihar,Madhubani,Bihar,Madhubani,Bihar,Madhubani,NA
BIHAR,Munger,3_10_226_0,526,3_10_226_0,Bihar,Munger,Bihar,Munger,Bihar,Munger,NA
BIHAR,Muzaffarpur,3_10_216_0,515,3_10_216_0,Bihar,Muzaffarpur,Bihar,Muzaffarpur,Bihar,Muzaffarpur,NA
BIHAR,Nalanda,3_10_229_0,502,3_10_229_0,Bihar,Nalanda,Bihar,Nalanda,Bihar,Nalanda,NA
BIHAR,Nawada,3_10_237_0,508,3_10_237_0,Bihar,Nawada,Bihar,Nawada,Bihar,Nawada,NA
BIHAR,Palamu,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BIHAR,Patna,3_10_230_0,501,3_10_230_0,Bihar,Patna,Bihar,Patna,Bihar,Patna,NA
BIHAR,Purnia,3_10_211_0,523,3_10_211_0,Bihar,Purnia,Bihar,Purnia,Bihar,Purnea,NA
BIHAR,Ranchi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BIHAR,Rohtas,3_10_234_0,504,3_10_234_0,Bihar,Rohtas,Bihar,Rohtas,Bihar,Rohtas,NA
BIHAR,Saharsa,3_10_214_0,521,3_10_214_0,Bihar,Saharsa,Bihar,Saharsa,Bihar,Saharsa,NA
BIHAR,Sahibganj,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BIHAR,Samastipur,3_10_221_0,518,3_10_221_0,Bihar,Samastipur,Bihar,Samastipur,Bihar,Samastipur,NA
BIHAR,Saran,3_10_219_0,509,3_10_219_0,Bihar,Saran,Bihar,Saran,Bihar,Saran,NA
BIHAR,Singhbhum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BIHAR,Sitamarhi,3_10_206_0,514,3_10_206_0,Bihar,Sitamarhi,Bihar,Sitamarhi,Bihar,Sitamarhi,1994: Sheohar district split from Sitamarhi.
BIHAR,Siwan,3_10_218_0,510,3_10_218_0,Bihar,Siwan,Bihar,Siwan,Bihar,Siwan,NA
BIHAR,Vaishali,3_10_220_0,516,3_10_220_0,Bihar,Vaishali,Bihar,Vaishali,Bihar,Vaishali,NA
CHANDIGARH,Chandigarh,3_4_55_0,2801,3_4_55_0,Chandigarh,Chandigarh,Chandigarh,Chandigarh,Chandigarh,Chandigarh,NA
DELHI,Delhi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GOA,North Goa,3_30_585_0,601,3_30_585_0,Goa,North Goa,Goa,North Goa,Goa,North Goa,NA
GOA,South Goa,3_30_586_0,602,3_30_586_0,Goa,South Goa,Goa,South Goa,Goa,South Goa,NA
GUJARAT,Ahmedabad,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GUJARAT,Amreli,3_24_480_0,705,3_24_480_0,Gujarat,Amreli,Gujarat,Amreli,Gujarat,Amreli,NA
GUJARAT,Bans Kantha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GUJARAT,Mahesana,3_24_471_0,710,3_24_469_0,Gujarat,Mahesana,Gujarat,Mahesana,Gujarat,Mahesana,2000: Patan district formed from parts of Banas Kantha and Mahesana.
GUJARAT,Bharuch,3_24_488_0,716,3_24_488_0,Gujarat,Bharuch,Gujarat,Bharuch,Gujarat,Bharuch,1997-10-02: Narmada district formed from Bharuch and a small part of Vadodara
GUJARAT,Bhavnagar,3_24_481_0,704,3_24_481_0,Gujarat,Bhavnagar,Gujarat,Bhavnagar,Gujarat,Bhavnagar,NA
GUJARAT,Gandhinagar,3_24_473_0,711,3_24_473_0,Gujarat,Gandhinagar,Gujarat,Gandhinagar,Gujarat,Gandhinagar,NA
GUJARAT,Jamnagar,3_24_477_0,701,3_24_477_0,Gujarat,Jamnagar,Gujarat,Jamnagar,Gujarat,Jamnagar,NA
GUJARAT,Junagadh,3_24_479_0,706,3_24_479_0,Gujarat,Junagadh,Gujarat,Junagadh,Gujarat,Junagadh,1997-10-02: Porbandar district split from Junagadh.
GUJARAT,Kachchh,3_24_468_0,707,3_24_468_0,Gujarat,Kachchh,Gujarat,Kachchh,Gujarat,Kachchh,NA
GUJARAT,Kheda,3_24_483_0,713,3_24_483_0,Gujarat,Kheda,Gujarat,Kheda,Gujarat,Kheda,1997-10-02: Anand district split from Kheda;
GUJARAT,Panch Mahals,3_24_484_0,714,3_24_484_0,Gujarat,Panch Mahals,Gujarat,Panch Mahals,Gujarat,Panch Mahals,1997-10-02:  Dahod district split from Panch Mahals
GUJARAT,Rajkot,3_24_476_0,702,3_24_476_0,Gujarat,Rajkot,Gujarat,Rajkot,Gujarat,Rajkot,NA
GUJARAT,Sabar Kantha,3_24_472_0,709,3_24_472_0,Gujarat,Sabar Kantha,Gujarat,Sabar Kantha,Gujarat,Sabar Kantha,NA
GUJARAT,Surat,3_24_492_0,717,3_24_492_0,Gujarat,Surat,Gujarat,Surat,Gujarat,Surat,2007-10-02: Tapi district split from Surat.
GUJARAT,Surendranagar,3_24_475_0,703,3_24_475_0,Gujarat,Surendranagar,Gujarat,Surendranagar,Gujarat,Surendranagar,NA
GUJARAT,The Dangs,3_24_489_0,719,3_24_489_0,Gujarat,The Dangs,Gujarat,The Dangs,Gujarat,The Dangs,NA
GUJARAT,Vadodara,3_24_486_0,715,3_24_486_0,Gujarat,Vadodara,Gujarat,Vadodara,Gujarat,Vadodara,1997-10-02: Narmada district formed from Bharuch and a small part of Vadodara
GUJARAT,Valsad,3_24_491_0,718,3_24_491_0,Gujarat,Valsad,Gujarat,Valsad,Gujarat,Valsad,1997-10-02: Navsari district split from Valsad;
HARYANA,Ambala,3_6_70_0,801,3_6_70_0,Haryana,Ambala,Haryana,Ambala,Haryana,Ambala,~1994: Panchkula district split from Ambala.
