fromArea,toArea,from,to
Porbandar,Jetpur,"69.62926540000001, 21.6417069","70.6276279, 21.7615246"
Jetpur,Gondal,"70.6276279, 21.7615246","70.79229699999996, 21.9619463"
Gondal,Rajkot,"70.79229699999996, 21.9619463","70.80215989999999, 22.3038945"
Rajkot,Bhalgam,"70.80215989999999, 22.3038945","71.084875, 22.428052"
Bhalgam,Morbi,"71.084875, 22.428052","70.82361949999995, 22.8119895"
Morbi,Samkhiyali,"70.82361949999995, 22.8119895","70.50566900000001, 23.3031522"
Samkhiyali,Gagodhar,"70.50566900000001, 23.3031522","70.81348179999998, 23.409592"
Gagodhar,Radhanpur,"70.81348179999998, 23.409592","71.61393479999992, 23.8286354"
Radhanpur,Deesa,"71.61393479999992, 23.8286354","72.19067210000003, 24.2585031"
Deesa,Palanpur,"72.19067210000003, 24.2585031","72.4330989, 24.174051"
Palanpur,Abu Road,"72.4330989, 24.174051","72.77177749999998, 24.4640731"
Abu Road,Swaroopganj,"72.77177749999998, 24.4640731","72.9259012, 24.6552948"
Swaroopganj,Sirohi,"72.9259012, 24.6552948","73.032478, 24.779943"
Sirohi,Pahar,"73.032478, 24.779943","73.111903, 24.678048"
Pahar,Gogunda,"73.111903, 24.678048","73.52701890000003, 24.7521631"
Gogunda,Udaipur,"73.52701890000003, 24.7521631","73.71247900000003, 24.585445"
Chittorgarh,Kota,"74.62692160000006, 24.8887435","75.86475270000005, 25.2138156"
Kota,Raj/MP Border,"75.86475270000005, 25.2138156","77.382568, 25.247657"
Raj/MP Border,Shivpuri,"77.382568, 25.247657","77.66506600000002, 25.4357869"
Shivpuri,Jhansi,"77.66506600000002, 25.4357869","78.56845939999994, 25.4484257"
Bhogpur,Ludhiana,"75.63826569999992, 31.55611949999999","75.85727580000002, 30.900965"
Ludhiana,Ambala,"75.85727580000002, 30.900965","76.77669739999999, 30.3781788"
Ambala,Panipat,"76.77669739999999, 30.3781788","76.96350230000007, 29.3909464"
Panipat,New Delhi,"76.96350230000007, 29.3909464","77.13879930000007, 28.590903"
Agra,Mania,"78.00807450000002, 27.1766701","77.91817400000002, 26.8194406"
Mania,Dholpur,"77.91817400000002, 26.8194406","77.89339100000007, 26.7025181"
Dholpur,Gwalior,"77.89339100000007, 26.7025181","78.18283079999992, 26.2182871"
Nagpur,Borkhedi,"79.08815460000005, 21.1458004","78.96983139999998, 20.8594763"
Kelapur,MH/Tel Border,"78.53343070000005, 19.9999499","78.578470, 19.813337"
MH/Tel Border,Nizamabad,"78.578470, 19.813337","78.210088, 18.602264"
Nizamabad,Hyderabad,"78.210088, 18.602264","78.486671, 17.385044"
Hyderabad,Bangalore,"78.486671, 17.385044","77.59456269999998, 12.9715987"
Bangalore,Hosur,"77.59456269999998, 12.9715987","77.8252923, 12.7409127"
Hosur,Krishnagiri,"77.8252923, 12.7409127","78.21373649999998, 12.5186113"
Krishnagiri,Salem,"78.21373649999998, 12.5186113","78.14601419999997, 11.664325"
Salem,Madurai,"78.14601419999997, 11.664325","78.11977539999998, 9.9252007"
Madurai,Kanniyakumari,"78.11977539999998, 9.9252007","77.5384507, 8.0883064"
Salem,TN/Ker border,"78.14601419999997, 11.664325","76.84614959999999, 10.8345281"
