id,spatial_data_yr,geography,L0_code,L0_name,L1_code,L1_name,L2_code,L2_name,area_lit,pop_lit,dens_lit
3_10_203_0,2001,Rural,3,India,10,Bihar,203,Pashchim Champaran,5237,2742,.52
3_10_203_0,2001,Total,3,India,10,Bihar,203,Pashchim Champaran,5244,2787,531
3_10_203_0,2001,Urban,3,India,10,Bihar,203,Pashchim Champaran,7.600000000000001,45.6,5967
3_10_204_0,2001,Rural,3,India,10,Bihar,204,Purba Champaran,3977,3490,.88
3_10_204_0,2001,Total,3,India,10,Bihar,204,Purba Champaran,3997,3562,891
3_10_204_0,2001,Urban,3,India,10,Bihar,204,Purba Champaran,19.6,71.8,3661
3_10_205_0,2001,Rural,3,India,10,Bihar,205,Sheohar,447,394,.88
3_10_205_0,2001,Total,3,India,10,Bihar,205,Sheohar,447,394,880
3_10_205_0,2001,Urban,3,India,10,Bihar,205,Sheohar,0,0,
3_10_206_0,2001,Rural,3,India,10,Bihar,206,Sitamarhi,2145,1969,.92
3_10_206_0,2001,Total,3,India,10,Bihar,206,Sitamarhi,2155,1999,928
3_10_206_0,2001,Urban,3,India,10,Bihar,206,Sitamarhi,9.200000000000001,30.9,3356
3_10_207_0,2001,Rural,3,India,10,Bihar,207,Madhubani,3446,3008,.87
3_10_207_0,2001,Total,3,India,10,Bihar,207,Madhubani,3449,3020,876
3_10_207_0,2001,Urban,3,India,10,Bihar,207,Madhubani,2.3,12,5202
3_10_208_0,2001,Rural,3,India,10,Bihar,208,Supaul,2465,1745,.71
3_10_208_0,2001,Total,3,India,10,Bihar,208,Supaul,2465,1745,708
3_10_208_0,2001,Urban,3,India,10,Bihar,208,Supaul,0,0,
3_10_209_0,2001,Rural,3,India,10,Bihar,209,Araria,2756,2207,.8
3_10_209_0,2001,Total,3,India,10,Bihar,209,Araria,2759,2214,803
3_10_209_0,2001,Urban,3,India,10,Bihar,209,Araria,2.9,7.7,2614
3_10_210_0,2001,Rural,3,India,10,Bihar,210,Kishanganj,1907,1416,.74
3_10_210_0,2001,Total,3,India,10,Bihar,210,Kishanganj,1921,1443,751
3_10_210_0,2001,Urban,3,India,10,Bihar,210,Kishanganj,13.9,26.3,1887
3_10_211_0,2001,Rural,3,India,10,Bihar,211,Purnia,3180,2042,.64
3_10_211_0,2001,Total,3,India,10,Bihar,211,Purnia,3220,2167,673
