id,spatial_data_yr,geography,L0_code,L0_name,L1_code,L1_name,L2_code,L2_name,ap,at,cm,nd
3_10_203_0,2001,Total,3,India,10,Bihar,203,Pashchim Champaran,11.8,.49,104,134
3_10_204_0,2001,Total,3,India,10,Bihar,204,Purba Champaran,12.3,.5700000000000001,107,172
3_10_205_0,2001,Total,3,India,10,Bihar,205,Sheohar,15.3,.54,108,169
3_10_206_0,2001,Total,3,India,10,Bihar,206,Sitamarhi,13.7,.54,108,160
3_10_207_0,2001,Total,3,India,10,Bihar,207,Madhubani,9,.54,121,151
3_10_208_0,2001,Total,3,India,10,Bihar,208,Supaul,11.1,.54,125,149
3_10_209_0,2001,Total,3,India,10,Bihar,209,Araria,14.3,.51,130,154
3_10_210_0,2001,Total,3,India,10,Bihar,210,Kishanganj,25.8,.45,131,156
3_10_211_0,2001,Total,3,India,10,Bihar,211,Purnia,13.7,.54,110,171
3_10_212_0,2001,Total,3,India,10,Bihar,212,Katihar,13.9,.5600000000000001,108,187
3_10_213_0,2001,Total,3,India,10,Bihar,213,Madhepura,12.9,.54,111,173
3_10_214_0,2001,Total,3,India,10,Bihar,214,Saharsa,10.4,.6,108,175
3_10_215_0,2001,Total,3,India,10,Bihar,215,Darbhanga,11,.59,113,166
3_10_216_0,2001,Total,3,India,10,Bihar,216,Muzaffarpur,10.7,.63,107,177
3_10_217_0,2001,Total,3,India,10,Bihar,217,Gopalganj,9.4,.63,107,180
3_10_218_0,2001,Total,3,India,10,Bihar,218,Siwan,10.8,.64,107,183
3_10_219_0,2001,Total,3,India,10,Bihar,219,Saran,10.1,.64,105,183
3_10_220_0,2001,Total,3,India,10,Bihar,220,Vaishali,8.9,.67,103,190
3_10_221_0,2001,Total,3,India,10,Bihar,221,Samastipur,9.1,.65,104,183
3_10_222_0,2001,Total,3,India,10,Bihar,222,Begusarai,7.7,.62,106,195
3_10_223_0,2001,Total,3,India,10,Bihar,223,Khagaria,9.4,.61,107,189
3_10_224_0,2001,Total,3,India,10,Bihar,224,Bhagalpur,11.9,.5700000000000001,108,229
3_10_225_0,2001,Total,3,India,10,Bihar,225,Banka,17.3,.43,104,195
3_10_226_0,2001,Total,3,India,10,Bihar,226,Munger,18.5,.52,107,191
3_10_227_0,2001,Total,3,India,10,Bihar,227,Lakhisarai,11.6,.51,106,186
3_10_228_0,2001,Total,3,India,10,Bihar,228,Sheikhpura,14.7,.49,103,193
3_10_229_0,2001,Total,3,India,10,Bihar,229,Nalanda,16.8,.49,103,187
3_10_230_0,2001,Total,3,India,10,Bihar,230,Patna,16.5,.5700000000000001,104,188
3_10_231_0,2001,Total,3,India,10,Bihar,231,Bhojpur,17.4,.5700000000000001,105,182
3_10_232_0,2001,Total,3,India,10,Bihar,232,Buxar,15.6,.5600000000000001,104,190
3_10_233_0,2001,Total,3,India,10,Bihar,233,Kaimur (Bhabua),22,.46,104,190
3_10_234_0,2001,Total,3,India,10,Bihar,234,Rohtas,20.2,.46,105,183
3_10_235_0,2001,Total,3,India,10,Bihar,235,Aurangabad,15.9,.48,105,182
3_10_236_0,2001,Total,3,India,10,Bihar,236,Gaya,17.1,.45,105,183
3_10_237_0,2001,Total,3,India,10,Bihar,237,Nawada,17.7,.45,104,183
3_10_238_0,2001,Total,3,India,10,Bihar,238,Jamui,16.8,.4,103,178
3_10_239_0,2001,Total,3,India,10,Bihar,239,Jehanabad,17.7,.52,104,179
3_10_240_0,2001,Total,3,India,10,Bihar,240,Arwal,15.5,.53,105,176
3_11_241_0,2001,Total,3,India,11,Sikkim,241,North  District,54.6,.1,157,26.5
3_11_242_0,2001,Total,3,India,11,Sikkim,242,West District,53.7,.11,157,65
3_11_243_0,2001,Total,3,India,11,Sikkim,243,South District,47.90000000000001,.14,157,73.40000000000001
3_11_244_0,2001,Total,3,India,11,Sikkim,244,East District,62.3,.1,157,75.2
3_12_245_1,2001,Total,3,India,12,India/China  1,245,Tawang,14.2,.07,142,42.5
3_12_246_1,2001,Total,3,India,12,India/China  1,246,West Kameng,62.2,.08,130,61.90000000000001
3_12_247_1,2001,Total,3,India,12,India/China  1,247,East Kameng,83.60000000000001,.08,133,58.1
3_12_248_0,2001,Total,3,India,12,Arunachal Pradesh,248,Papum Pare,90.40000000000001,.06,136,71.3
3_12_248_1,2001,Total,3,India,12,India/China  1,248,Papum Pare,90.40000000000001,.06,136,71.3
3_12_249_1,2001,Total,3,India,12,India/China  1,249,Upper Subansiri,77.80000000000001,.08,122,61.2
3_12_250_0,2001,Total,3,India,12,Arunachal Pradesh,250,West Siang,74.5,.08,128,67.8
3_12_250_1,2001,Total,3,India,12,India/China  1,250,West Siang,74.5,.08,128,67.8
3_12_251_0,2001,Total,3,India,12,Arunachal Pradesh,251,East Siang,74.8,.09,131,71.40000000000001
3_12_251_1,2001,Total,3,India,12,India/China  1,251,East Siang,74.8,.09,131,71.40000000000001
3_12_252_1,2001,Total,3,India,12,India/China  1,252,Upper Siang,66.90000000000001,.07,130,55.7
3_12_253_0,2001,Total,3,India,12,Arunachal Pradesh,253,Changlang,62.7,.12,127,54.6
3_12_254_0,2001,Total,3,India,12,Arunachal Pradesh,254,Tirap,56.2,.22,128,78.30000000000001
3_12_255_1,2001,Total,3,India,12,India/China  1,255,Lower Subansiri,93.90000000000001,.07,132,54.8
3_12_256_1,2001,Total,3,India,12,India/China  1,256,Kurung Kumey,83.7,.08,128,60.3
3_12_257_1,2001,Total,3,India,12,India/China  1,257,Dibang Valley,58.1,.05,127,55.6
3_12_258_1,2001,Total,3,India,12,India/China  1,258,Lower Dibang Valley,64.5,.09,129,71.5
3_12_258_0,2001,Total,3,India,12,Arunachal Pradesh,258,Lower Dibang Valley,64.5,.09,129,71.5
3_12_259_0,2001,Total,3,India,12,Arunachal Pradesh,259,Lohit,66.90000000000001,.11,126,60.3
3_12_259_1,2001,Total,3,India,12,India/China  1,259,Lohit,66.90000000000001,.11,126,60.3
3_12_260_1,2001,Total,3,India,12,India/China  1,260,Anjaw,100,.06,124,38.7
3_12_260_0,2001,Total,3,India,12,Arunachal Pradesh,260,Anjaw,100,.06,124,38.7
3_13_261_0,2001,Total,3,India,13,Nagaland,261,Mon,58.90000000000001,.21,125,83.30000000000001
3_13_262_0,2001,Total,3,India,13,Nagaland,262,Mokokchung,45.8,.24,125,84.5
3_13_263_0,2001,Total,3,India,13,Nagaland,263,Zunheboto,63,.17,116,76.40000000000001
3_13_264_0,2001,Total,3,India,13,Nagaland,264,Wokha,35.1,.27,124,79.10000000000001
3_13_265_0,2001,Total,3,India,13,Nagaland,265,Dimapur,40.5,.24,108,77.80000000000001
3_13_266_0,2001,Total,3,India,13,Nagaland,266,Phek,57.6,.15,107,70.2
3_13_267_0,2001,Total,3,India,13,Nagaland,267,Tuensang,67.40000000000001,.12,123,78.10000000000001
3_13_268_0,2001,Total,3,India,13,Nagaland,268,Longleng,52.7,.21,125,83.10000000000001
3_13_269_0,2001,Total,3,India,13,Nagaland,269,Kiphire,46.7,.12,108,72
3_13_270_0,2001,Total,3,India,13,Nagaland,270,Kohima,50.7,.21,107,73.8
3_13_271_0,2001,Total,3,India,13,Nagaland,271,Peren,49.3,.22,108,84.30000000000001
3_14_272_0,2001,Total,3,India,14,Manipur,272,Senapati,55.3,.17,107,81
3_14_273_0,2001,Total,3,India,14,Manipur,273,Tamenglong,46.1,.16,108,106
3_14_274_0,2001,Total,3,India,14,Manipur,274,Churachandpur,48.1,.15,107,113
3_14_275_0,2001,Total,3,India,14,Manipur,275,Bishnupur,35.1,.23,107,94.2
3_14_276_0,2001,Total,3,India,14,Manipur,276,Thoubal,18.1,.26,107,90
3_14_277_0,2001,Total,3,India,14,Manipur,277,Imphal West,47.7,.22,107,94.30000000000001
3_14_278_0,2001,Total,3,India,14,Manipur,278,Imphal East,42.90000000000001,.21,107,96.10000000000001
3_14_279_0,2001,Total,3,India,14,Manipur,279,Ukhrul,54.6,.16,107,81.10000000000001
3_14_280_0,2001,Total,3,India,14,Manipur,280,Chandel,40.6,.18,107,91.30000000000001
3_15_281_0,2001,Total,3,India,15,Mizoram,281,Mamit,63.3,.18,103,141
3_15_282_0,2001,Total,3,India,15,Mizoram,282,Kolasib,46.5,.2,101,137
3_15_283_0,2001,Total,3,India,15,Mizoram,283,Aizawl,63.5,.13,104,142
3_15_284_0,2001,Total,3,India,15,Mizoram,284,Champhai,43.90000000000001,.11,109,146
3_15_285_0,2001,Total,3,India,15,Mizoram,285,Serchhip,54.1,.11,106,152
3_15_286_0,2001,Total,3,India,15,Mizoram,286,Lunglei,51.40000000000001,.13,101,135
3_15_287_0,2001,Total,3,India,15,Mizoram,287,Lawngtlai,51.8,.13,98.60000000000001,127
3_15_288_0,2001,Total,3,India,15,Mizoram,288,Saiha,51,.11,102,130
3_16_289_0,2001,Total,3,India,16,Tripura,289,West Tripura,28.8,.32,105,145
3_16_290_0,2001,Total,3,India,16,Tripura,290,South Tripura,39.2,.25,106,132
3_16_291_0,2001,Total,3,India,16,Tripura,291,Dhalai,41.6,.22,104,133
3_16_292_0,2001,Total,3,India,16,Tripura,292,North Tripura,36.2,.27,101,131
3_17_293_0,2001,Total,3,India,17,Meghalaya,293,West Garo Hills,38.8,.35,104,123
3_17_294_0,2001,Total,3,India,17,Meghalaya,294,East Garo Hills,47.40000000000001,.29,103,119
3_17_295_0,2001,Total,3,India,17,Meghalaya,295,South Garo Hills,57.1,.22,103,130
3_17_296_0,2001,Total,3,India,17,Meghalaya,296,West Khasi Hills,54.5,.21,108,107
3_17_297_0,2001,Total,3,India,17,Meghalaya,297,Ribhoi,43.2,.28,112,101
3_17_298_0,2001,Total,3,India,17,Meghalaya,298,East Khasi Hills,47.5,.18,109,101
3_17_299_0,2001,Total,3,India,17,Meghalaya,299,Jaintia Hills,53.1,.2,110,96.80000000000001
3_18_300_0,2001,Total,3,India,18,Assam,300,Kokrajhar,40.6,.29,125,130
3_18_301_0,2001,Total,3,India,18,Assam,301,Dhubri,24.2,.41,119,124
