id,spatial_data_yr,geography,L0_code,L0_name,L1_code,L1_name,L2_code,L2_name,elev,rough,irr_all,ac_irr,irr_gw,irr_sw,lcrt
3_10_203_0,2001,Total,3,India,10,Bihar,203,Pashchim Champaran,109,58.6,,,,,
3_10_204_0,2001,Total,3,India,10,Bihar,204,Purba Champaran,69.2,5.100000000000001,,,,,
3_10_205_0,2001,Total,3,India,10,Bihar,205,Sheohar,65.90000000000001,2.7,,,,,
3_10_206_0,2001,Total,3,India,10,Bihar,206,Sitamarhi,66.5,6.7,,,,,
3_10_207_0,2001,Total,3,India,10,Bihar,207,Madhubani,62.1,7.300000000000001,,,,,
3_10_208_0,2001,Total,3,India,10,Bihar,208,Supaul,60.40000000000001,7.4,,,,,
3_10_209_0,2001,Total,3,India,10,Bihar,209,Araria,56,6.9,,,,,
3_10_210_0,2001,Total,3,India,10,Bihar,210,Kishanganj,60.5,8.5,,,,,
3_10_211_0,2001,Total,3,India,10,Bihar,211,Purnia,41.3,3.8,,,,,
3_10_212_0,2001,Total,3,India,10,Bihar,212,Katihar,32.4,3.2,,,,,
3_10_213_0,2001,Total,3,India,10,Bihar,213,Madhepura,44.90000000000001,5.7,,,,,
3_10_214_0,2001,Total,3,India,10,Bihar,214,Saharsa,43.3,2.6,,,,,
3_10_215_0,2001,Total,3,India,10,Bihar,215,Darbhanga,50.2,4,,,,,
3_10_216_0,2001,Total,3,India,10,Bihar,216,Muzaffarpur,56.8,3,,,,,
3_10_217_0,2001,Total,3,India,10,Bihar,217,Gopalganj,70.60000000000001,4.100000000000001,,,,,
3_10_218_0,2001,Total,3,India,10,Bihar,218,Siwan,64.10000000000001,2.8,,,,,
3_10_219_0,2001,Total,3,India,10,Bihar,219,Saran,56.1,3.2,,,,,
3_10_220_0,2001,Total,3,India,10,Bihar,220,Vaishali,51.8,3.5,,,,,
3_10_221_0,2001,Total,3,India,10,Bihar,221,Samastipur,47.5,3.2,,,,,
3_10_222_0,2001,Total,3,India,10,Bihar,222,Begusarai,43.2,2.8,,,,,
3_10_223_0,2001,Total,3,India,10,Bihar,223,Khagaria,38.1,2.1,,,,,
3_10_224_0,2001,Total,3,India,10,Bihar,224,Bhagalpur,37.6,6.600000000000001,,,,,
3_10_225_0,2001,Total,3,India,10,Bihar,225,Banka,125,59.8,,,,,
3_10_226_0,2001,Total,3,India,10,Bihar,226,Munger,77.60000000000001,64.60000000000001,,,,,
3_10_227_0,2001,Total,3,India,10,Bihar,227,Lakhisarai,68.60000000000001,59.5,,,,,
3_10_228_0,2001,Total,3,India,10,Bihar,228,Sheikhpura,52.3,6.600000000000001,,,,,
3_10_229_0,2001,Total,3,India,10,Bihar,229,Nalanda,59.3,22.2,,,,,
3_10_230_0,2001,Total,3,India,10,Bihar,230,Patna,53.6,7.9,,,,,
3_10_231_0,2001,Total,3,India,10,Bihar,231,Bhojpur,66.7,9.200000000000001,,,,,
3_10_232_0,2001,Total,3,India,10,Bihar,232,Buxar,68.10000000000001,5.9,,,,,
3_10_233_0,2001,Total,3,India,10,Bihar,233,Kaimur (Bhabua),194,157,,,,,
3_10_234_0,2001,Total,3,India,10,Bihar,234,Rohtas,151,120,,,,,
3_10_235_0,2001,Total,3,India,10,Bihar,235,Aurangabad,119,40.5,,,,,
3_10_236_0,2001,Total,3,India,10,Bihar,236,Gaya,145,54.90000000000001,,,,,
3_10_237_0,2001,Total,3,India,10,Bihar,237,Nawada,134,77.30000000000001,,,,,
3_10_238_0,2001,Total,3,India,10,Bihar,238,Jamui,181,86.90000000000001,,,,,
3_10_239_0,2001,Total,3,India,10,Bihar,239,Jehanabad,71.2,8.5,,,,,
3_10_240_0,2001,Total,3,India,10,Bihar,240,Arwal,77.5,4.600000000000001,,,,,
3_11_241_0,2001,Total,3,India,11,Sikkim,241,North  District,4209,1245,,,,,
3_11_242_0,2001,Total,3,India,11,Sikkim,242,West District,2697,1295,,,,,
3_11_243_0,2001,Total,3,India,11,Sikkim,243,South District,1715,957,,,,,
3_11_244_0,2001,Total,3,India,11,Sikkim,244,East District,2153,1103,,,,,
3_12_245_1,2001,Total,3,India,12,India/China  1,245,Tawang,3740,1000,,,,,
3_12_246_1,2001,Total,3,India,12,India/China  1,246,West Kameng,2178,1055,,,,,
3_12_247_1,2001,Total,3,India,12,India/China  1,247,East Kameng,1742,1189,,,,,
3_12_248_1,2001,Total,3,India,12,India/China  1,248,Papum Pare,1160,788,,,,,
3_12_248_0,2001,Total,3,India,12,Arunachal Pradesh,248,Papum Pare,1160,788,,,,,
3_12_249_1,2001,Total,3,India,12,India/China  1,249,Upper Subansiri,2350,1234,,,,,
3_12_250_1,2001,Total,3,India,12,India/China  1,250,West Siang,1814,1204,,,,,
3_12_250_0,2001,Total,3,India,12,Arunachal Pradesh,250,West Siang,1814,1204,,,,,
3_12_251_1,2001,Total,3,India,12,India/China  1,251,East Siang,710,547,,,,,
3_12_251_0,2001,Total,3,India,12,Arunachal Pradesh,251,East Siang,710,547,,,,,
3_12_252_1,2001,Total,3,India,12,India/China  1,252,Upper Siang,2211,1075,,,,,
3_12_253_0,2001,Total,3,India,12,Arunachal Pradesh,253,Changlang,1153,861,,,,,
3_12_254_0,2001,Total,3,India,12,Arunachal Pradesh,254,Tirap,903,528,,,,,
3_12_255_1,2001,Total,3,India,12,India/China  1,255,Lower Subansiri,1396,541,,,,,
3_12_256_1,2001,Total,3,India,12,India/China  1,256,Kurung Kumey,2355,1198,,,,,
3_12_257_1,2001,Total,3,India,12,India/China  1,257,Dibang Valley,3037,947,,,,,
3_12_258_1,2001,Total,3,India,12,India/China  1,258,Lower Dibang Valley,1465,1150,,,,,
3_12_258_0,2001,Total,3,India,12,Arunachal Pradesh,258,Lower Dibang Valley,1465,1150,,,,,
3_12_259_0,2001,Total,3,India,12,Arunachal Pradesh,259,Lohit,967,978,,,,,
3_12_259_1,2001,Total,3,India,12,India/China  1,259,Lohit,967,978,,,,,
3_12_260_1,2001,Total,3,India,12,India/China  1,260,Anjaw,2881,994,,,,,
3_12_260_0,2001,Total,3,India,12,Arunachal Pradesh,260,Anjaw,2881,994,,,,,
3_13_261_0,2001,Total,3,India,13,Nagaland,261,Mon,759,512,,,,,
3_13_262_0,2001,Total,3,India,13,Nagaland,262,Mokokchung,591,298,,,,,
3_13_263_0,2001,Total,3,India,13,Nagaland,263,Zunheboto,1211,444,,,,,
3_13_264_0,2001,Total,3,India,13,Nagaland,264,Wokha,511,290,,,,,
3_13_265_0,2001,Total,3,India,13,Nagaland,265,Dimapur,355,204,,,,,
3_13_266_0,2001,Total,3,India,13,Nagaland,266,Phek,1406,435,,,,,
3_13_267_0,2001,Total,3,India,13,Nagaland,267,Tuensang,1501,492,,,,,
3_13_268_0,2001,Total,3,India,13,Nagaland,268,Longleng,679,322,,,,,
3_13_269_0,2001,Total,3,India,13,Nagaland,269,Kiphire,1486,560,,,,,
3_13_270_0,2001,Total,3,India,13,Nagaland,270,Kohima,1218,504,,,,,
3_13_271_0,2001,Total,3,India,13,Nagaland,271,Peren,790,420,,,,,
3_14_272_0,2001,Total,3,India,14,Manipur,272,Senapati,1353,410,,,,,
3_14_273_0,2001,Total,3,India,14,Manipur,273,Tamenglong,852,470,,,,,
3_14_274_0,2001,Total,3,India,14,Manipur,274,Churachandpur,787,361,,,,,
3_14_275_0,2001,Total,3,India,14,Manipur,275,Bishnupur,780,19.8,,,,,
3_14_276_0,2001,Total,3,India,14,Manipur,276,Thoubal,788,35.9,,,,,
3_14_277_0,2001,Total,3,India,14,Manipur,277,Imphal West,814,89.10000000000001,,,,,
3_14_278_0,2001,Total,3,India,14,Manipur,278,Imphal East,564,351,,,,,
3_14_279_0,2001,Total,3,India,14,Manipur,279,Ukhrul,1212,447,,,,,
3_14_280_0,2001,Total,3,India,14,Manipur,280,Chandel,917,363,,,,,
3_15_281_0,2001,Total,3,India,15,Mizoram,281,Mamit,378,233,,,,,
3_15_282_0,2001,Total,3,India,15,Mizoram,282,Kolasib,302,215,,,,,
3_15_283_0,2001,Total,3,India,15,Mizoram,283,Aizawl,641,299,,,,,
3_15_284_0,2001,Total,3,India,15,Mizoram,284,Champhai,1055,285,,,,,
3_15_285_0,2001,Total,3,India,15,Mizoram,285,Serchhip,860,270,,,,,
3_15_286_0,2001,Total,3,India,15,Mizoram,286,Lunglei,509,291,,,,,
3_15_287_0,2001,Total,3,India,15,Mizoram,287,Lawngtlai,441,340,,,,,
3_15_288_0,2001,Total,3,India,15,Mizoram,288,Saiha,767,408,,,,,
3_16_289_0,2001,Total,3,India,16,Tripura,289,West Tripura,62.2,44.6,,,,,
3_16_290_0,2001,Total,3,India,16,Tripura,290,South Tripura,67.60000000000001,39.90000000000001,,,,,
3_16_291_0,2001,Total,3,India,16,Tripura,291,Dhalai,132,61.5,,,,,
3_16_292_0,2001,Total,3,India,16,Tripura,292,North Tripura,120,113,,,,,
3_17_293_0,2001,Total,3,India,17,Meghalaya,293,West Garo Hills,189,201,,,,,
3_17_294_0,2001,Total,3,India,17,Meghalaya,294,East Garo Hills,346,191,,,,,
3_17_295_0,2001,Total,3,India,17,Meghalaya,295,South Garo Hills,260,234,,,,,
3_17_296_0,2001,Total,3,India,17,Meghalaya,296,West Khasi Hills,933,455,,,,,
3_17_297_0,2001,Total,3,India,17,Meghalaya,297,Ribhoi,614,264,,,,,
3_17_298_0,2001,Total,3,India,17,Meghalaya,298,East Khasi Hills,1113,555,,,,,
3_17_299_0,2001,Total,3,India,17,Meghalaya,299,Jaintia Hills,932,332,,,,,
3_18_300_0,2001,Total,3,India,18,Assam,300,Kokrajhar,79.2,52.5,,,,,
3_18_301_0,2001,Total,3,India,18,Assam,301,Dhubri,31.3,6.4,,,,,
3_18_302_0,2001,Total,3,India,18,Assam,302,Goalpara,49.90000000000001,34,,,,,
3_18_303_0,2001,Total,3,India,18,Assam,303,Barpeta,42,4.5,,,,,
3_18_304_0,2001,Total,3,India,18,Assam,304,Morigaon,67.40000000000001,42.5,,,,,
3_18_305_0,2001,Total,3,India,18,Assam,305,Nagaon,93.7,69.90000000000001,,,,,
3_18_306_0,2001,Total,3,India,18,Assam,306,Sonitpur,91.2,33.2,,,,,
3_18_307_0,2001,Total,3,India,18,Assam,307,Lakhimpur,97.30000000000001,26.2,,,,,
3_18_308_0,2001,Total,3,India,18,Assam,308,Dhemaji,122,75.10000000000001,,,,,
3_18_309_0,2001,Total,3,India,18,Assam,309,Tinsukia,144,33.9,,,,,
3_18_310_0,2001,Total,3,India,18,Assam,310,Dibrugarh,113,22.6,,,,,
3_18_311_0,2001,Total,3,India,18,Assam,311,Sivasagar,105,20.2,,,,,
3_18_312_0,2001,Total,3,India,18,Assam,312,Jorhat,98.5,27.8,,,,,
3_18_313_0,2001,Total,3,India,18,Assam,313,Golaghat,105,26.6,,,,,
3_18_314_0,2001,Total,3,India,18,Assam,314,Karbi Anglong,393,255,,,,,
3_18_315_0,2001,Total,3,India,18,Assam,315,Dima Hasao,544,348,,,,,
3_18_316_0,2001,Total,3,India,18,Assam,316,Cachar,138,209,,,,,
3_18_317_0,2001,Total,3,India,18,Assam,317,Karimganj,44.5,32.6,,,,,
3_18_318_0,2001,Total,3,India,18,Assam,318,Hailakandi,72.3,71.8,,,,,
3_18_319_0,2001,Total,3,India,18,Assam,319,Bongaigaon,55.7,41.7,,,,,
3_18_320_0,2001,Total,3,India,18,Assam,320,Chirang,112,62.3,,,,,
3_18_321_0,2001,Total,3,India,18,Assam,321,Kamrup,110,144,,,,,
3_18_322_0,2001,Total,3,India,18,Assam,322,Kamrup Metropolitan,134,105,,,,,
3_18_323_0,2001,Total,3,India,18,Assam,323,Nalbari,49.2,5.4,,,,,
3_18_324_0,2001,Total,3,India,18,Assam,324,Baksa,78.40000000000001,34.1,,,,,
3_18_325_0,2001,Total,3,India,18,Assam,325,Darrang,60.3,9.4,,,,,
3_18_326_0,2001,Total,3,India,18,Assam,326,Udalguri,121,57.90000000000001,,,,,
3_19_327_0,2001,Total,3,India,19,West Bengal,327,Darjiling,918,771,,,,,
3_19_328_0,2001,Total,3,India,19,West Bengal,328,Jalpaiguri,126,118,,,,,
3_19_329_0,2001,Total,3,India,19,West Bengal,329,Koch Bihar,47.2,10.8,,,,,
