id,spatial_data_yr,geography,L0_code,L0_name,L1_code,L1_name,L2_code,L2_name,bank_t
3_10_203_0,2001,Rural,3,India,10,Bihar,203,Pashchim Champaran,11.1
3_10_203_0,2001,Total,3,India,10,Bihar,203,Pashchim Champaran,12.9
3_10_203_0,2001,Urban,3,India,10,Bihar,203,Pashchim Champaran,30.2
3_10_204_0,2001,Rural,3,India,10,Bihar,204,Purba Champaran,14.9
3_10_204_0,2001,Total,3,India,10,Bihar,204,Purba Champaran,16.5
3_10_204_0,2001,Urban,3,India,10,Bihar,204,Purba Champaran,41.3
3_10_205_0,2001,Rural,3,India,10,Bihar,205,Sheohar,9.1
3_10_205_0,2001,Total,3,India,10,Bihar,205,Sheohar,9.5
3_10_205_0,2001,Urban,3,India,10,Bihar,205,Sheohar,17.7
3_10_206_0,2001,Rural,3,India,10,Bihar,206,Sitamarhi,11.8
3_10_206_0,2001,Total,3,India,10,Bihar,206,Sitamarhi,12.9
3_10_206_0,2001,Urban,3,India,10,Bihar,206,Sitamarhi,34
3_10_207_0,2001,Rural,3,India,10,Bihar,207,Madhubani,14.2
3_10_207_0,2001,Total,3,India,10,Bihar,207,Madhubani,14.9
3_10_207_0,2001,Urban,3,India,10,Bihar,207,Madhubani,35.8
3_10_208_0,2001,Rural,3,India,10,Bihar,208,Supaul,14.6
3_10_208_0,2001,Total,3,India,10,Bihar,208,Supaul,15.7
3_10_208_0,2001,Urban,3,India,10,Bihar,208,Supaul,38.3
3_10_209_0,2001,Rural,3,India,10,Bihar,209,Araria,6.800000000000001
3_10_209_0,2001,Total,3,India,10,Bihar,209,Araria,8.200000000000001
3_10_209_0,2001,Urban,3,India,10,Bihar,209,Araria,33.3
3_10_210_0,2001,Rural,3,India,10,Bihar,210,Kishanganj,5.2
3_10_210_0,2001,Total,3,India,10,Bihar,210,Kishanganj,7.2
3_10_210_0,2001,Urban,3,India,10,Bihar,210,Kishanganj,27.1
3_10_211_0,2001,Rural,3,India,10,Bihar,211,Purnia,7.800000000000001
3_10_211_0,2001,Total,3,India,10,Bihar,211,Purnia,10.5
3_10_211_0,2001,Urban,3,India,10,Bihar,211,Purnia,44.5
3_10_212_0,2001,Rural,3,India,10,Bihar,212,Katihar,10
3_10_212_0,2001,Total,3,India,10,Bihar,212,Katihar,12.5
3_10_212_0,2001,Urban,3,India,10,Bihar,212,Katihar,41.6
3_10_213_0,2001,Rural,3,India,10,Bihar,213,Madhepura,10.2
3_10_213_0,2001,Total,3,India,10,Bihar,213,Madhepura,11.3
3_10_213_0,2001,Urban,3,India,10,Bihar,213,Madhepura,38.6
3_10_214_0,2001,Rural,3,India,10,Bihar,214,Saharsa,9
3_10_214_0,2001,Total,3,India,10,Bihar,214,Saharsa,11.5
3_10_214_0,2001,Urban,3,India,10,Bihar,214,Saharsa,42.1
3_10_215_0,2001,Rural,3,India,10,Bihar,215,Darbhanga,13.1
3_10_215_0,2001,Total,3,India,10,Bihar,215,Darbhanga,15.1
3_10_215_0,2001,Urban,3,India,10,Bihar,215,Darbhanga,44.2
3_10_216_0,2001,Rural,3,India,10,Bihar,216,Muzaffarpur,19.3
3_10_216_0,2001,Total,3,India,10,Bihar,216,Muzaffarpur,22.5
3_10_216_0,2001,Urban,3,India,10,Bihar,216,Muzaffarpur,56.7
3_10_217_0,2001,Rural,3,India,10,Bihar,217,Gopalganj,35
3_10_217_0,2001,Total,3,India,10,Bihar,217,Gopalganj,35.5
3_10_217_0,2001,Urban,3,India,10,Bihar,217,Gopalganj,42.8
3_10_218_0,2001,Rural,3,India,10,Bihar,218,Siwan,40
3_10_218_0,2001,Total,3,India,10,Bihar,218,Siwan,40.6
3_10_218_0,2001,Urban,3,India,10,Bihar,218,Siwan,51.1
3_10_219_0,2001,Rural,3,India,10,Bihar,219,Saran,32.9
3_10_219_0,2001,Total,3,India,10,Bihar,219,Saran,34.2
3_10_219_0,2001,Urban,3,India,10,Bihar,219,Saran,47.40000000000001
3_10_220_0,2001,Rural,3,India,10,Bihar,220,Vaishali,25.1
3_10_220_0,2001,Total,3,India,10,Bihar,220,Vaishali,26.1
3_10_220_0,2001,Urban,3,India,10,Bihar,220,Vaishali,41.8
3_10_221_0,2001,Rural,3,India,10,Bihar,221,Samastipur,20.9
3_10_221_0,2001,Total,3,India,10,Bihar,221,Samastipur,22
3_10_221_0,2001,Urban,3,India,10,Bihar,221,Samastipur,52.2
3_10_222_0,2001,Rural,3,India,10,Bihar,222,Begusarai,19.1
3_10_222_0,2001,Total,3,India,10,Bihar,222,Begusarai,20.4
3_10_222_0,2001,Urban,3,India,10,Bihar,222,Begusarai,51.8
3_10_223_0,2001,Rural,3,India,10,Bihar,223,Khagaria,9.700000000000001
3_10_223_0,2001,Total,3,India,10,Bihar,223,Khagaria,10.7
3_10_223_0,2001,Urban,3,India,10,Bihar,223,Khagaria,29
3_10_224_0,2001,Rural,3,India,10,Bihar,224,Bhagalpur,19.2
3_10_224_0,2001,Total,3,India,10,Bihar,224,Bhagalpur,23.7
3_10_224_0,2001,Urban,3,India,10,Bihar,224,Bhagalpur,46.40000000000001
3_10_225_0,2001,Rural,3,India,10,Bihar,225,Banka,19.2
3_10_225_0,2001,Total,3,India,10,Bihar,225,Banka,20
3_10_225_0,2001,Urban,3,India,10,Bihar,225,Banka,44.1
3_10_226_0,2001,Rural,3,India,10,Bihar,226,Munger,25.2
3_10_226_0,2001,Total,3,India,10,Bihar,226,Munger,32.6
3_10_226_0,2001,Urban,3,India,10,Bihar,226,Munger,53.7
3_10_227_0,2001,Rural,3,India,10,Bihar,227,Lakhisarai,25.2
3_10_227_0,2001,Total,3,India,10,Bihar,227,Lakhisarai,26.9
3_10_227_0,2001,Urban,3,India,10,Bihar,227,Lakhisarai,37.9
3_10_228_0,2001,Rural,3,India,10,Bihar,228,Sheikhpura,17
3_10_228_0,2001,Total,3,India,10,Bihar,228,Sheikhpura,19
3_10_228_0,2001,Urban,3,India,10,Bihar,228,Sheikhpura,30.7
3_10_229_0,2001,Rural,3,India,10,Bihar,229,Nalanda,21
