id,spatial_data_yr,geography,L0_code,L0_name,L1_code,L1_name,L2_code,L2_name,area,pop,dens
3_10_203_0,2001,Rural,3,India,10,Bihar,203,Pashchim Champaran,5150,2734,531
3_10_203_0,2001,Total,3,India,10,Bihar,203,Pashchim Champaran,5244,3043,580
3_10_203_0,2001,Urban,3,India,10,Bihar,203,Pashchim Champaran,94,310,3293
3_10_204_0,2001,Rural,3,India,10,Bihar,204,Purba Champaran,3922,3617,922
3_10_204_0,2001,Total,3,India,10,Bihar,204,Purba Champaran,3997,3860,966
3_10_204_0,2001,Urban,3,India,10,Bihar,204,Purba Champaran,75,243,3247
3_10_205_0,2001,Rural,3,India,10,Bihar,205,Sheohar,437,495,1132
3_10_205_0,2001,Total,3,India,10,Bihar,205,Sheohar,447,516,1154
3_10_205_0,2001,Urban,3,India,10,Bihar,205,Sheohar,10.2,21.3,2079
3_10_206_0,2001,Rural,3,India,10,Bihar,206,Sitamarhi,2119,2529,1194
3_10_206_0,2001,Total,3,India,10,Bihar,206,Sitamarhi,2155,2667,1238
3_10_206_0,2001,Urban,3,India,10,Bihar,206,Sitamarhi,35.4,137,3876
3_10_207_0,2001,Rural,3,India,10,Bihar,207,Madhubani,3417,3451,1010
3_10_207_0,2001,Total,3,India,10,Bihar,207,Madhubani,3449,3575,1037
3_10_207_0,2001,Urban,3,India,10,Bihar,207,Madhubani,31.5,125,3956
3_10_208_0,2001,Rural,3,India,10,Bihar,208,Supaul,2428,1644,677
3_10_208_0,2001,Total,3,India,10,Bihar,208,Supaul,2465,1733,703
3_10_208_0,2001,Urban,3,India,10,Bihar,208,Supaul,36.5,88.2,2414
3_10_209_0,2001,Rural,3,India,10,Bihar,209,Araria,2707,2026,748
3_10_209_0,2001,Total,3,India,10,Bihar,209,Araria,2759,2159,782
3_10_209_0,2001,Urban,3,India,10,Bihar,209,Araria,52,132,2544
3_10_210_0,2001,Rural,3,India,10,Bihar,210,Kishanganj,1854,1167,630
3_10_210_0,2001,Total,3,India,10,Bihar,210,Kishanganj,1921,1296,675
3_10_210_0,2001,Urban,3,India,10,Bihar,210,Kishanganj,66.8,129,1932
