id,spatial_data_yr,geography,L0_code,L0_name,L1_code,L1_name,L2_code,L2_name,sex_rat_t,sex_rat_04,dep_rat_t,dep_rat_ag,dep_rat_014
3_10_203_0,2001,Rural,3,India,10,Bihar,203,Pashchim Champaran,90.30000000000001,96.7,80.40000000000001,6,74.40000000000001
3_10_203_0,2001,Total,3,India,10,Bihar,203,Pashchim Champaran,90.10000000000001,96.60000000000001,79.40000000000001,6,73.40000000000001
3_10_203_0,2001,Urban,3,India,10,Bihar,203,Pashchim Champaran,88.5,96.2,71.40000000000001,5.800000000000001,65.60000000000001
3_10_204_0,2001,Rural,3,India,10,Bihar,204,Purba Champaran,90,96,81.7,6.300000000000001,75.40000000000001
3_10_204_0,2001,Total,3,India,10,Bihar,204,Purba Champaran,89.7,95.90000000000001,80.80000000000001,6.2,74.60000000000001
3_10_204_0,2001,Urban,3,India,10,Bihar,204,Purba Champaran,85.5,94,68.5,5.5,63
3_10_205_0,2001,Rural,3,India,10,Bihar,205,Sheohar,88.60000000000001,93.10000000000001,79.60000000000001,7.2,72.40000000000001
3_10_205_0,2001,Total,3,India,10,Bihar,205,Sheohar,88.5,93.30000000000001,79.7,7.2,72.5
3_10_205_0,2001,Urban,3,India,10,Bihar,205,Sheohar,87.90000000000001,96,80.7,6.100000000000001,74.60000000000001
3_10_206_0,2001,Rural,3,India,10,Bihar,206,Sitamarhi,89.40000000000001,94.7,79.80000000000001,6.7,73.10000000000001
3_10_206_0,2001,Total,3,India,10,Bihar,206,Sitamarhi,89.2,94.7,79,6.7,72.40000000000001
3_10_206_0,2001,Urban,3,India,10,Bihar,206,Sitamarhi,86.10000000000001,94.7,68.10000000000001,6,62
3_10_207_0,2001,Rural,3,India,10,Bihar,207,Madhubani,94.40000000000001,95,79.30000000000001,7.100000000000001,72.3
3_10_207_0,2001,Total,3,India,10,Bihar,207,Madhubani,94.2,95,79.10000000000001,7.100000000000001,72
3_10_207_0,2001,Urban,3,India,10,Bihar,207,Madhubani,89.30000000000001,93.60000000000001,71.8,6.4,65.40000000000001
3_10_208_0,2001,Rural,3,India,10,Bihar,208,Supaul,92.30000000000001,93.30000000000001,83.2,6.600000000000001,76.60000000000001
3_10_208_0,2001,Total,3,India,10,Bihar,208,Supaul,92,93.30000000000001,82.5,6.5,76
3_10_208_0,2001,Urban,3,India,10,Bihar,208,Supaul,87.60000000000001,91.60000000000001,71.2,5.800000000000001,65.40000000000001
3_10_209_0,2001,Rural,3,India,10,Bihar,209,Araria,91.7,97.60000000000001,86.40000000000001,6,80.40000000000001
3_10_209_0,2001,Total,3,India,10,Bihar,209,Araria,91.30000000000001,97.40000000000001,85.60000000000001,6,79.60000000000001
3_10_209_0,2001,Urban,3,India,10,Bihar,209,Araria,86.7,94.90000000000001,73.7,6,67.7
3_10_210_0,2001,Rural,3,India,10,Bihar,210,Kishanganj,94.5,94.30000000000001,86.90000000000001,5.300000000000001,81.60000000000001
3_10_210_0,2001,Total,3,India,10,Bihar,210,Kishanganj,93.60000000000001,94.40000000000001,85.5,5.300000000000001,80.2
3_10_210_0,2001,Urban,3,India,10,Bihar,210,Kishanganj,86.30000000000001,95.60000000000001,74.3,5.4,68.90000000000001
3_10_211_0,2001,Rural,3,India,10,Bihar,211,Purnia,92.10000000000001,98.2,86,5.9,80.10000000000001
3_10_211_0,2001,Total,3,India,10,Bihar,211,Purnia,91.5,98,84.2,5.800000000000001,78.30000000000001
3_10_211_0,2001,Urban,3,India,10,Bihar,211,Purnia,85.10000000000001,94.7,66.8,5.5,61.3
3_10_212_0,2001,Rural,3,India,10,Bihar,212,Katihar,92.40000000000001,98.10000000000001,89,6.100000000000001,82.90000000000001
3_10_212_0,2001,Total,3,India,10,Bihar,212,Katihar,91.90000000000001,97.90000000000001,86.5,6.100000000000001,80.40000000000001
3_10_212_0,2001,Urban,3,India,10,Bihar,212,Katihar,86.90000000000001,94.10000000000001,65.60000000000001,6.100000000000001,59.5
