id,spatial_data_yr,geography,L0_code,L0_name,L1_code,L1_name,L2_code,L2_name,edu_lit_7_t,edu_lit_7_f,edu_lit_7_m
3_10_203_0,2001,Rural,3,India,10,Bihar,203,Pashchim Champaran,36,21.9,48.5
3_10_203_0,2001,Total,3,India,10,Bihar,203,Pashchim Champaran,38.90000000000001,25.2,51.1
3_10_203_0,2001,Urban,3,India,10,Bihar,203,Pashchim Champaran,63.5,53.3,72.40000000000001
3_10_204_0,2001,Rural,3,India,10,Bihar,204,Purba Champaran,35.4,22,47.40000000000001
3_10_204_0,2001,Total,3,India,10,Bihar,204,Purba Champaran,37.5,24.3,49.3
3_10_204_0,2001,Urban,3,India,10,Bihar,204,Purba Champaran,67.10000000000001,57.2,75.5
3_10_205_0,2001,Rural,3,India,10,Bihar,205,Sheohar,34.9,23.6,44.90000000000001
3_10_205_0,2001,Total,3,India,10,Bihar,205,Sheohar,35.3,23.9,45.3
3_10_205_0,2001,Urban,3,India,10,Bihar,205,Sheohar,43.7,31.2,54.5
3_10_206_0,2001,Rural,3,India,10,Bihar,206,Sitamarhi,36.7,24.3,47.7
3_10_206_0,2001,Total,3,India,10,Bihar,206,Sitamarhi,38.5,26.1,49.40000000000001
3_10_206_0,2001,Urban,3,India,10,Bihar,206,Sitamarhi,66.2,56.2,74.7
3_10_207_0,2001,Rural,3,India,10,Bihar,207,Madhubani,41.2,25.4,56.1
3_10_207_0,2001,Total,3,India,10,Bihar,207,Madhubani,42,26.2,56.8
3_10_207_0,2001,Urban,3,India,10,Bihar,207,Madhubani,63.1,50.90000000000001,73.90000000000001
3_10_208_0,2001,Rural,3,India,10,Bihar,208,Supaul,35.9,19.3,51.2
3_10_208_0,2001,Total,3,India,10,Bihar,208,Supaul,37.3,20.8,52.40000000000001
3_10_208_0,2001,Urban,3,India,10,Bihar,208,Supaul,61.40000000000001,48.2,72.8
3_10_209_0,2001,Rural,3,India,10,Bihar,209,Araria,33.2,20.4,44.7
3_10_209_0,2001,Total,3,India,10,Bihar,209,Araria,35,22.4,46.40000000000001
3_10_209_0,2001,Urban,3,India,10,Bihar,209,Araria,61.40000000000001,51.5,69.8
3_10_210_0,2001,Rural,3,India,10,Bihar,210,Kishanganj,27.8,15.4,39.5
3_10_210_0,2001,Total,3,India,10,Bihar,210,Kishanganj,31.1,18.6,42.7
3_10_210_0,2001,Urban,3,India,10,Bihar,210,Kishanganj,59.3,48.2,68.7
3_10_211_0,2001,Rural,3,India,10,Bihar,211,Purnia,31.4,19.6,42.2
3_10_211_0,2001,Total,3,India,10,Bihar,211,Purnia,35.1,23.4,45.6
3_10_211_0,2001,Urban,3,India,10,Bihar,211,Purnia,70.90000000000001,62.1,78.2
3_10_212_0,2001,Rural,3,India,10,Bihar,212,Katihar,31.1,19.7,41.40000000000001
3_10_212_0,2001,Total,3,India,10,Bihar,212,Katihar,35.1,23.8,45.3
3_10_212_0,2001,Urban,3,India,10,Bihar,212,Katihar,72.3,63,80.2
3_10_213_0,2001,Rural,3,India,10,Bihar,213,Madhepura,34.5,20.6,47.40000000000001
3_10_213_0,2001,Total,3,India,10,Bihar,213,Madhepura,36.1,22.1,48.8
3_10_213_0,2001,Urban,3,India,10,Bihar,213,Madhepura,66.90000000000001,55.2,76.40000000000001
3_10_214_0,2001,Rural,3,India,10,Bihar,214,Saharsa,36.1,22.1,48.8
3_10_214_0,2001,Total,3,India,10,Bihar,214,Saharsa,39.1,25.3,51.7
3_10_214_0,2001,Urban,3,India,10,Bihar,214,Saharsa,70.7,59.8,79.80000000000001
3_10_215_0,2001,Rural,3,India,10,Bihar,215,Darbhanga,41.5,27.6,54.2
3_10_215_0,2001,Total,3,India,10,Bihar,215,Darbhanga,44.3,30.8,56.7
3_10_215_0,2001,Urban,3,India,10,Bihar,215,Darbhanga,74.90000000000001,65.60000000000001,83
3_10_216_0,2001,Rural,3,India,10,Bihar,216,Muzaffarpur,44.7,32.1,56.40000000000001
3_10_216_0,2001,Total,3,India,10,Bihar,216,Muzaffarpur,48,35.8,59.1
3_10_216_0,2001,Urban,3,India,10,Bihar,216,Muzaffarpur,77.30000000000001,70.5,83
3_10_217_0,2001,Rural,3,India,10,Bihar,217,Gopalganj,46.5,31,62.3
3_10_217_0,2001,Total,3,India,10,Bihar,217,Gopalganj,47.5,32.2,63
3_10_217_0,2001,Urban,3,India,10,Bihar,217,Gopalganj,62,50,73.2
3_10_218_0,2001,Rural,3,India,10,Bihar,218,Siwan,50.5,35.6,66.5
3_10_218_0,2001,Total,3,India,10,Bihar,218,Siwan,51.6,36.9,67.3
3_10_218_0,2001,Urban,3,India,10,Bihar,218,Siwan,69.7,59.90000000000001,78.40000000000001
3_10_219_0,2001,Rural,3,India,10,Bihar,219,Saran,50.3,34,66.3
3_10_219_0,2001,Total,3,India,10,Bihar,219,Saran,51.8,35.8,67.3
3_10_219_0,2001,Urban,3,India,10,Bihar,219,Saran,66.10000000000001,54.3,76.5
3_10_220_0,2001,Rural,3,India,10,Bihar,220,Vaishali,49.3,35.2,62.3
3_10_220_0,2001,Total,3,India,10,Bihar,220,Vaishali,50.5,36.6,63.2
3_10_220_0,2001,Urban,3,India,10,Bihar,220,Vaishali,65.60000000000001,55.1,74.90000000000001
3_10_221_0,2001,Rural,3,India,10,Bihar,221,Samastipur,43.90000000000001,30.3,56.5
3_10_221_0,2001,Total,3,India,10,Bihar,221,Samastipur,45.1,31.7,57.6
3_10_221_0,2001,Urban,3,India,10,Bihar,221,Samastipur,75.7,66.40000000000001,83.90000000000001
3_10_222_0,2001,Rural,3,India,10,Bihar,222,Begusarai,46.5,34,57.8
3_10_222_0,2001,Total,3,India,10,Bihar,222,Begusarai,48,35.6,59.1
3_10_222_0,2001,Urban,3,India,10,Bihar,222,Begusarai,77.7,69.40000000000001,84.90000000000001
3_10_223_0,2001,Rural,3,India,10,Bihar,223,Khagaria,39.5,27.3,50.1
3_10_223_0,2001,Total,3,India,10,Bihar,223,Khagaria,41.3,29.3,51.8
3_10_223_0,2001,Urban,3,India,10,Bihar,223,Khagaria,69.8,60.90000000000001,77.10000000000001
3_10_224_0,2001,Rural,3,India,10,Bihar,224,Bhagalpur,44.40000000000001,32.1,54.8
3_10_224_0,2001,Total,3,India,10,Bihar,224,Bhagalpur,49.5,38.1,59.2
3_10_224_0,2001,Urban,3,India,10,Bihar,224,Bhagalpur,70.7,62.90000000000001,77.30000000000001
3_10_225_0,2001,Rural,3,India,10,Bihar,225,Banka,42.1,27.9,54.8
3_10_225_0,2001,Total,3,India,10,Bihar,225,Banka,42.7,28.7,55.3
3_10_225_0,2001,Urban,3,India,10,Bihar,225,Banka,59.90000000000001,50.6,67.8
3_10_226_0,2001,Rural,3,India,10,Bihar,226,Munger,52.8,39.3,64.5
3_10_226_0,2001,Total,3,India,10,Bihar,226,Munger,59.5,47.40000000000001,69.90000000000001
3_10_226_0,2001,Urban,3,India,10,Bihar,226,Munger,76,67.8,83.10000000000001
3_10_227_0,2001,Rural,3,India,10,Bihar,227,Lakhisarai,45.6,31.2,58.8
3_10_227_0,2001,Total,3,India,10,Bihar,227,Lakhisarai,48,34,60.7
3_10_227_0,2001,Urban,3,India,10,Bihar,227,Lakhisarai,61.1,49.7,71.10000000000001
3_10_228_0,2001,Rural,3,India,10,Bihar,228,Sheikhpura,46,30.9,59.90000000000001
3_10_228_0,2001,Total,3,India,10,Bihar,228,Sheikhpura,48.6,33.9,61.90000000000001
3_10_228_0,2001,Urban,3,India,10,Bihar,228,Sheikhpura,62.3,50.5,72.7
3_10_229_0,2001,Rural,3,India,10,Bihar,229,Nalanda,50.40000000000001,35,64.5
3_10_229_0,2001,Total,3,India,10,Bihar,229,Nalanda,53.2,38.6,66.40000000000001
3_10_229_0,2001,Urban,3,India,10,Bihar,229,Nalanda,68.5,58.6,77.2
