id,spatial_data_yr,geography,L0_code,L0_name,L1_code,L1_name,L2_code,L2_name,area_bu,pop_bu,dens_bu
3_10_203_0,2001,Rural,3,India,10,Bihar,203,Pashchim Champaran,5212,2686,.52
3_10_203_0,2001,Total,3,India,10,Bihar,203,Pashchim Champaran,5244,2787,531
3_10_203_0,2001,Urban,3,India,10,Bihar,203,Pashchim Champaran,32,101,3150
3_10_204_0,2001,Rural,3,India,10,Bihar,204,Purba Champaran,3966,3462,.87
3_10_204_0,2001,Total,3,India,10,Bihar,204,Purba Champaran,3997,3562,891
3_10_204_0,2001,Urban,3,India,10,Bihar,204,Purba Champaran,30.5,100,3277
3_10_205_0,2001,Rural,3,India,10,Bihar,205,Sheohar,446,393,.88
3_10_205_0,2001,Total,3,India,10,Bihar,205,Sheohar,447,394,880
3_10_205_0,2001,Urban,3,India,10,Bihar,205,Sheohar,1.2,.36,312
3_10_206_0,2001,Rural,3,India,10,Bihar,206,Sitamarhi,2135,1956,.92
3_10_206_0,2001,Total,3,India,10,Bihar,206,Sitamarhi,2155,1999,928
3_10_206_0,2001,Urban,3,India,10,Bihar,206,Sitamarhi,19.1,43.6,2281
3_10_207_0,2001,Rural,3,India,10,Bihar,207,Madhubani,3409,2965,.87
3_10_207_0,2001,Total,3,India,10,Bihar,207,Madhubani,3449,3020,876
3_10_207_0,2001,Urban,3,India,10,Bihar,207,Madhubani,39.90000000000001,54.40000000000001,1365
3_10_208_0,2001,Rural,3,India,10,Bihar,208,Supaul,2461,1740,.71
3_10_208_0,2001,Total,3,India,10,Bihar,208,Supaul,2465,1745,708
3_10_208_0,2001,Urban,3,India,10,Bihar,208,Supaul,3.5,5,1443
3_10_209_0,2001,Rural,3,India,10,Bihar,209,Araria,2751,2195,.8
3_10_209_0,2001,Total,3,India,10,Bihar,209,Araria,2759,2214,803
3_10_209_0,2001,Urban,3,India,10,Bihar,209,Araria,8.1,19.8,2461
3_10_210_0,2001,Rural,3,India,10,Bihar,210,Kishanganj,1916,1428,.75
3_10_210_0,2001,Total,3,India,10,Bihar,210,Kishanganj,1921,1443,751
3_10_210_0,2001,Urban,3,India,10,Bihar,210,Kishanganj,5.300000000000001,14.5,2750
3_10_211_0,2001,Rural,3,India,10,Bihar,211,Purnia,3190,2076,.65
3_10_211_0,2001,Total,3,India,10,Bihar,211,Purnia,3220,2167,673
3_10_211_0,2001,Urban,3,India,10,Bihar,211,Purnia,29.7,91.60000000000001,3080
3_10_212_0,2001,Rural,3,India,10,Bihar,212,Katihar,3059,2330,.76
3_10_212_0,2001,Total,3,India,10,Bihar,212,Katihar,3072,2399,781
3_10_212_0,2001,Urban,3,India,10,Bihar,212,Katihar,12.8,68.7,5347
3_10_213_0,2001,Rural,3,India,10,Bihar,213,Madhepura,1772,1315,.74
3_10_213_0,2001,Total,3,India,10,Bihar,213,Madhepura,1777,1320,743
3_10_213_0,2001,Urban,3,India,10,Bihar,213,Madhepura,4.9,5.600000000000001,1126
3_10_214_0,2001,Rural,3,India,10,Bihar,214,Saharsa,1700,1106,.65
3_10_214_0,2001,Total,3,India,10,Bihar,214,Saharsa,1710,1148,671
3_10_214_0,2001,Urban,3,India,10,Bihar,214,Saharsa,10.5,42.5,4061
3_10_215_0,2001,Rural,3,India,10,Bihar,215,Darbhanga,2489,3065,1.2
3_10_215_0,2001,Total,3,India,10,Bihar,215,Darbhanga,2528,3204,1267
3_10_215_0,2001,Urban,3,India,10,Bihar,215,Darbhanga,38.8,139,3573
3_10_216_0,2001,Rural,3,India,10,Bihar,216,Muzaffarpur,3172,3258,1
3_10_216_0,2001,Total,3,India,10,Bihar,216,Muzaffarpur,3212,3430,1068
3_10_216_0,2001,Urban,3,India,10,Bihar,216,Muzaffarpur,39.8,172,4329
3_10_217_0,2001,Rural,3,India,10,Bihar,217,Gopalganj,2017,2206,1.1
3_10_217_0,2001,Total,3,India,10,Bihar,217,Gopalganj,2038,2251,1105
3_10_217_0,2001,Urban,3,India,10,Bihar,217,Gopalganj,20.6,45.3,2201
3_10_218_0,2001,Rural,3,India,10,Bihar,218,Siwan,2204,2831,1.3
3_10_218_0,2001,Total,3,India,10,Bihar,218,Siwan,2226,2894,1300
3_10_218_0,2001,Urban,3,India,10,Bihar,218,Siwan,22,63.7,2891
3_10_219_0,2001,Rural,3,India,10,Bihar,219,Saran,2594,2773,1.1
3_10_219_0,2001,Total,3,India,10,Bihar,219,Saran,2639,2894,1097
3_10_219_0,2001,Urban,3,India,10,Bihar,219,Saran,44.6,121,2713
3_10_220_0,2001,Rural,3,India,10,Bihar,220,Vaishali,1995,2611,1.3
3_10_220_0,2001,Total,3,India,10,Bihar,220,Vaishali,2016,2701,1340
3_10_220_0,2001,Urban,3,India,10,Bihar,220,Vaishali,21,89.7,4274
3_10_221_0,2001,Rural,3,India,10,Bihar,221,Samastipur,2581,3400,1.3
3_10_221_0,2001,Total,3,India,10,Bihar,221,Samastipur,2600,3458,1330
3_10_221_0,2001,Urban,3,India,10,Bihar,221,Samastipur,19.2,58.2,3024
3_10_222_0,2001,Rural,3,India,10,Bihar,222,Begusarai,1827,2448,1.3
3_10_222_0,2001,Total,3,India,10,Bihar,222,Begusarai,1886,2717,1441
3_10_222_0,2001,Urban,3,India,10,Bihar,222,Begusarai,58.2,269,4634
3_10_223_0,2001,Rural,3,India,10,Bihar,223,Khagaria,1473,1150,.78
3_10_223_0,2001,Total,3,India,10,Bihar,223,Khagaria,1488,1176,791
3_10_223_0,2001,Urban,3,India,10,Bihar,223,Khagaria,15.1,25.9,1721
3_10_224_0,2001,Rural,3,India,10,Bihar,224,Bhagalpur,2471,1730,.7000000000000001
3_10_224_0,2001,Total,3,India,10,Bihar,224,Bhagalpur,2559,1969,769
3_10_224_0,2001,Urban,3,India,10,Bihar,224,Bhagalpur,88,239,2717
3_10_225_0,2001,Rural,3,India,10,Bihar,225,Banka,3038,1638,.54
3_10_225_0,2001,Total,3,India,10,Bihar,225,Banka,3078,1669,542
3_10_225_0,2001,Urban,3,India,10,Bihar,225,Banka,39.8,31.5,792
3_10_226_0,2001,Rural,3,India,10,Bihar,226,Munger,1343,769,.5700000000000001
