id,spatial_data_yr,geography,L0_code,L0_name,L1_code,L1_name,L2_code,L2_name,m_tmp_1,m_tmp_2,m_tmp_3,m_tmp_4,m_tmp_5,m_tmp_6,m_tmp_7,m_tmp_8,m_tmp_9,m_tmp_10,m_tmp_11,m_tmp_12,m_dec_tmp_1,m_dec_tmp_2,m_dec_tmp_3,m_dec_tmp_4,m_dec_tmp_5,m_dec_tmp_6,m_dec_tmp_7,m_dec_tmp_8,m_dec_tmp_9,m_dec_tmp_10,m_dec_tmp_11,m_dec_tmp_12,sd_dec_tmp_1,sd_dec_tmp_2,sd_dec_tmp_3,sd_dec_tmp_4,sd_dec_tmp_5,sd_dec_tmp_6,sd_dec_tmp_7,sd_dec_tmp_8,sd_dec_tmp_9,sd_dec_tmp_10,sd_dec_tmp_11,sd_dec_tmp_12,a_dec_tmp_1,a_dec_tmp_2,a_dec_tmp_3,a_dec_tmp_4,a_dec_tmp_5,a_dec_tmp_6,a_dec_tmp_7,a_dec_tmp_8,a_dec_tmp_9,a_dec_tmp_10,a_dec_tmp_11,a_dec_tmp_12,m_pre_1,m_pre_2,m_pre_3,m_pre_4,m_pre_5,m_pre_6,m_pre_7,m_pre_8,m_pre_9,m_pre_10,m_pre_11,m_pre_12,m_dec_pre_1,m_dec_pre_2,m_dec_pre_3,m_dec_pre_4,m_dec_pre_5,m_dec_pre_6,m_dec_pre_7,m_dec_pre_8,m_dec_pre_9,m_dec_pre_10,m_dec_pre_11,m_dec_pre_12,sd_dec_pre_1,sd_dec_pre_2,sd_dec_pre_3,sd_dec_pre_4,sd_dec_pre_5,sd_dec_pre_6,sd_dec_pre_7,sd_dec_pre_8,sd_dec_pre_9,sd_dec_pre_10,sd_dec_pre_11,sd_dec_pre_12,a_dec_pre_1,a_dec_pre_2,a_dec_pre_3,a_dec_pre_4,a_dec_pre_5,a_dec_pre_6,a_dec_pre_7,a_dec_pre_8,a_dec_pre_9,a_dec_pre_10,a_dec_pre_11,a_dec_pre_12
3_10_203_0,2001,Total,3,India,10,Bihar,203,Pashchim Champaran,16.981096,19.633728,23.33762,28.345058,29.941805,29.863808,29.328856,29.61561,29.911268,27.798172,23.570869,18.280581,16.356428,18.617987,23.929541,28.046165,30.326338,30.491003,29.435408,29.128357,29.013462,26.768869,22.559015,17.818552,.70675772,1.0044924,1.0749882,.79575604,.86080664,.58512855,.27352253,.36499757,.59320444,.97301406,.96221596,.66886628,-.62626421,-.67028749,-.64162254,-.076268621,-.45353317,-.14047636,-.40654093,-.30606923,-.5705843,-.6951226,-1.1422474,-.89241898,5.7466726,7.9995875,30.549862,35.431263,66.569931,275.2511,608.39087,463.50729,227.64017,67.371429,1.4533964,3.8213582,15.020211,9.1896572,15.125957,38.312382,120.91034,298.32617,458.64728,409.32333,279.53845,48.904621,5.5311394,10.578053,15.970378,5.0085382,13.119723,23.061966,56.104855,85.022453,133.69011,67.978752,74.16671,48.661781,5.9240808,20.955509,1.1311628,4.614511,.32816845,2.3328164,-20.052044,-32.368305,56.617134,-20.930899,25.469296,34.890083,.08168073,.41469899
3_10_204_0,2001,Total,3,India,10,Bihar,204,Purba Champaran,17.229717,19.975073,23.764507,28.963722,30.362333,30.11363,29.506744,29.93964,30.31049,28.273432,24.073565,18.664619,16.506449,19.021288,24.295528,28.61105,30.819876,30.94165,29.796333,29.33675,29.402327,27.367294,23.105921,18.17836,.8233794,1.1027801,1.0326227,.81207681,.79684657,.7321043,.28849241,.47208411,.60307443,.92774165,.84127229,.64943576,-.40804976,-.62961411,-.6567688,-.10014677,-.46857208,-.19997244,-.36547688,-.13281326,-.50370216,-.72246909,-1.1396981,-.83511412,4.2206192,6.7501402,26.297892,22.896215,43.733696,222.14838,524.76367,409.06067,175.75848,53.402271,.53015935,2.0704629,13.090609,7.8167806,10.40188,23.023333,81.493462,176.77837,348.58759,303.39182,216.01546,44.517635,5.5532098,5.6887698,14.360112,4.5547357,9.4327126,15.08505,45.967049,50.350319,123.72338,79.948021,62.475273,47.154373,7.0938191,12.878465,-.11181632,4.5367517,2.0061493,5.6511092,-3.9537768,26.043356,85.58651,24.145638,47.471531,37.965271,.80010396,1.1794471
3_10_205_0,2001,Total,3,India,10,Bihar,205,Sheohar,17.199999,19.799999,23.657616,28.857615,30.157616,29.903046,29.396955,29.851524,30.200001,28.251522,24.051525,18.700001,16.412668,18.986803,24.188463,28.473049,30.581587,30.697001,29.64077,29.198063,29.298338,27.378798,23.106623,18.187057,.89283085,1.2007853,1.0022564,.82277471,.78369612,.72861874,.29496163,.51613641,.59233642,.90454966,.78489017,.6600008,-.2998246,-.61788398,-.65448636,-.12562923,-.46416786,-.19919126,-.32733497,-.048062027,-.46338868,-.71373594,-1.1134826,-.80219966,3.7969532,6.7847648,26.008593,20.726324,43.019405,210.46236,504.81033,392.21527,165.84464,49.255119,.45457047,1.7301948,12.523293,7.6826243,9.5771112,20.837429,79.021027,143.91879,320.68307,272.0675,197.75697,44.172001,5.4537144,4.8011098,13.949695,4.6958232,8.9120626,14.203419,48.73016,48.263599,124.37951,94.809967,63.433426,49.262989,7.5438232,11.736663,-.82269305,4.3254547,2.9765646,7.2437439,1.8082895,46.987728,97.681236,39.673229,52.192921,39.254089,.9901067,1.5170351
3_10_206_0,2001,Total,3,India,10,Bihar,206,Sitamarhi,17.189436,19.628523,23.251808,28.451811,29.60837,29.590296,29.314333,29.686411,29.96554,28.093321,23.973776,18.689436,16.316969,18.779713,23.799625,27.962727,30.026062,30.152252,29.391769,29.058969,29.093546,27.203712,22.992365,18.15519,.90218288,1.2226815,.99882942,.84206134,.7984255,.61903477,.28449446,.50858235,.58890158,.91704553,.77646774,.68578517,-.3114785,-.66115439,-.66443843,-.14425689,-.48128805,-.16197163,-.31934369,-.0319026,-.47521043,-.68460023,-1.0823188,-.81225365,3.7212443,7.2326818,26.279692,24.46353,54.40749,221.55647,527.02777,400.29401,183.74234,47.612267,.93527752,1.6060011,12.045953,7.6934714,9.8216801,26.690624,92.415039,147.31439,334.04922,276.36023,205.70023,43.782269,5.473495,4.6869435,13.346263,4.7661762,9.2867861,17.730488,55.493011,55.040615,132.99773,103.21694,63.693825,50.742065,7.579977,11.885753,-1.0737756,3.9275794,3.4311852,7.2413607,1.8988137,59.913681,101.33011,39.476662,49.862015,40.106819,1.1609036,1.8586276
3_10_207_0,2001,Total,3,India,10,Bihar,207,Madhubani,17.14797,19.396248,23.164804,28.232792,29.064116,29.196953,28.910383,29.412704,29.615543,27.888842,23.865931,18.778143,16.177053,18.713985,23.621038,27.705338,29.446325,29.542126,28.899872,28.689619,28.730043,27.067793,22.854578,18.147791,.99989438,1.3702214,.95487446,.86026627,.76935858,.49450004,.26475492,.55667895,.59054106,.88097131,.66865462,.69133389,-.14443506,-.64800215,-.64537585,-.18602367,-.50441277,-.11178462,-.3042877,.082725272,-.39996007,-.6268366,-.97367823,-.70135474,3.6083956,7.5147705,23.682528,23.793327,74.125984,222.4852,466.21869,348.01892,178.96898,55.268372,2.2008185,.6434086,14.100315,8.2187185,8.5516472,27.841173,84.702957,124.17991,294.49707,240.6664,186.35497,45.480099,5.760458,3.5455985,14.090732,5.5685749,8.728467,18.890717,58.210861,67.467545,123.64961,113.1597,62.22287,55.548607,8.0769157,9.5375404,-3.0488646,3.4392946,4.7201648,4.9588313,11.952078,84.354202,110.78102,44.03104,53.009674,37.573944,1.8759247,2.0186939
3_10_208_0,2001,Total,3,India,10,Bihar,208,Supaul,16.950943,19.168369,23.135523,27.887943,28.672365,28.910637,28.742081,29.24329,29.329138,27.688042,23.725372,18.858053,16.139484,18.579552,23.467003,27.389908,28.944666,29.091286,28.638788,28.50164,28.417343,26.854277,22.525087,17.955908,.93183202,1.3674961,.91520476,.88562149,.77286339,.39232859,.29491675,.47560364,.59928268,.91752958,.65384346,.6764065,-.11118131,-.54221022,-.57267028,-.15038273,-.5271579,-.11369667,-.32265976,.10689657,-.34504434,-.59706974,-.74545759,-.47786865,3.0647762,7.4120793,23.498903,28.215034,108.7386,264.13559,462.45883,334.91748,199.93806,72.250526,3.3984392,.1035388,13.817849,8.3376913,9.1596727,35.537636,99.513672,162.82382,309.39743,259.31219,217.51299,55.879902,7.0185657,3.8316152,12.036666,5.4731288,8.9141417,23.350773,57.611916,67.419182,116.91667,106.07251,61.549011,61.912205,8.8555899,9.7124653,-3.9469852,2.9339085,5.4063191,2.7683976,12.333468,84.543701,118.78546,29.458288,33.003887,29.237419,2.8841953,2.49158
3_10_209_0,2001,Total,3,India,10,Bihar,209,Araria,16.905533,19.236784,23.12948,27.502874,28.224634,28.636826,28.653252,29.158178,29.131533,27.362459,23.583815,18.983448,16.311928,18.664877,23.409607,27.014637,28.432989,28.687725,28.485001,28.362989,28.179007,26.630871,22.305386,17.883242,.93274641,1.3265771,.94593149,.9195075,.8260026,.33647954,.33136219,.41156462,.61625946,.90076232,.8043285,.71621251,-.18315002,-.50662363,-.52301425,-.10704064,-.52243119,-.096363239,-.35180509,.076202102,-.29658636,-.59240687,-.55212539,-.29209027,2.5476487,7.7418604,20.838573,37.41061,160.40508,323.71942,509.61993,364.41965,249.35796,96.850578,3.7180963,.0020636565,12.876019,8.8047886,8.8129053,50.3521,128.81029,228.86116,367.1236,319.87335,284.65125,71.799843,6.9168706,4.6102157,10.565176,5.8896632,8.3506584,32.723988,60.937656,68.304749,123.39871,115.17409,80.682327,73.173752,7.9271131,10.57286,-4.2906451,2.5662153,5.5159564,-.52351338,9.8769341,72.746986,132.43578,9.9557972,11.427321,22.885502,3.1552918,2.7098093
3_10_210_0,2001,Total,3,India,10,Bihar,210,Kishanganj,17.082203,19.482203,23.238693,27.063528,27.831305,28.40505,28.542919,29.043497,28.90505,27.204472,23.577387,19.451973,16.657326,18.881857,23.477175,26.63685,27.898077,28.356682,28.337185,28.288275,27.892313,26.599695,22.218178,18.213144,.97965413,1.2932554,.94202429,.94571614,.82228994,.39730513,.3206622,.35068911,.6125133,.85501444,.9792574,.80017161,-.2493902,-.4676626,-.4858979,-.088136017,-.4388513,-.10916512,-.33423531,.0011253743,-.20627512,-.56822908,-.34998724,-.21371314,2.0865662,8.4109697,21.65873,49.008991,224.82237,385.73895,566.15588,395.2962,306.13721,126.72244,3.8399296,0,11.632944,9.5298948,10.315449,69.721565,165.98572,310.04669,437.98734,391.78214,361.13745,90.19001,6.7362957,5.0398502,9.6674967,6.696898,9.506237,45.670826,67.084297,70.980064,137.65225,133.34709,117.13235,87.113449,7.304666,10.66576,-4.6062374,2.3723435,6.3786173,-5.9900727,6.1934175,50.039322,135.70612,-18.907309,-14.99514,18.866566,2.9273911,2.1848834
3_10_211_0,2001,Total,3,India,10,Bihar,211,Purnia,16.874458,19.271578,23.550858,27.984594,28.565853,28.749439,28.628309,29.220711,29.182224,27.451281,23.631193,18.919439,16.427145,18.937719,23.790398,27.577906,28.82637,28.951757,28.576822,28.465139,28.224722,26.766533,22.37233,17.798168,.79492438,1.4540402,.90561616,.94206882,.83350033,.38479602,.29341114,.41475147,.64719725,.85910302,.74420857,.68023413,-.11514521,-.46106675,-.47824141,-.1174941,-.47020325,-.069821902,-.28868434,.093370877,-.20807746,-.52142984,-.55452609,-.16173205,2.5198269,6.7817602,21.303633,31.593624,147.15582,302.44519,433.36707,325.43677,219.02312,100.85555,4.4736896,0,12.994087,8.6491032,7.6006575,42.100719,115.40361,195.1266,314.76285,275.30606,263.40839,78.578117,6.7062736,3.4232686,10.989673,6.2076845,7.6909814,29.98439,48.987591,65.899803,98.596733,120.34053,70.189545,72.842789,8.3440657,7.5568399,-3.4135194,2.0812371,6.5764475,1.289868,6.5118017,76.800232,132.23253,30.187506,12.888337,15.761121,3.0938377,2.4774528
3_10_212_0,2001,Total,3,India,10,Bihar,212,Katihar,16.979879,19.34432,23.830053,28.187346,28.65308,28.795605,28.674147,29.24317,29.199238,27.421431,23.709705,18.996323,16.606991,19.143198,24.037182,27.77392,28.871208,29.020615,28.625099,28.484823,28.233688,26.755587,22.43309,17.84487,.77515233,1.4578531,.90542829,.94728571,.83576143,.39166394,.28687236,.41262907,.66461486,.83992517,.76883674,.69326454,-.11270513,-.43943414,-.4404752,-.1069765,-.40634745,-.043243475,-.2746371,.085749954,-.15731819,-.47651348,-.49206114,-.097723879,2.239069,6.1387134,20.764313,32.105011,156.64012,304.4501,408.42532,312.65765,214.80083,108.82364,4.9798107,0,12.157548,8.2956161,7.1905589,43.773376,118.82147,197.90363,306.3075,274.63254,266.11453,84.660873,6.8779349,3.389751,10.175514,6.0948768,7.3621101,32.009102,45.717113,63.295086,90.897881,120.93619,72.969711,76.216232,8.4264364,7.2518029,-3.0446069,1.693361,6.873836,.71342272,4.1156349,71.593277,128.24731,27.348675,8.7289906,11.903294,2.8827047,2.4380262
