id,spatial_data_yr,geography,L0_code,L0_name,L1_code,L1_name,L2_code,L2_name,emp_fmr_t,emp_slf_t,emp_cwg_t,emp_rwg_t,emp_fmr_f,emp_slf_f,emp_cwg_f,emp_rwg_f,emp_fmr_m,emp_slf_m,emp_cwg_m,emp_rwg_m
3_10_203_0,2001,Rural,3,India,10,Bihar,203,Pashchim Champaran,22.4,2.4,65.40000000000001,9.800000000000001,13.7,2.4,80.40000000000001,3.6,26.3,2.4,58.8,12.5
3_10_203_0,2001,Total,3,India,10,Bihar,203,Pashchim Champaran,21.4,2.6,62.3,13.7,13.4,2.7,79.2,4.800000000000001,24.7,2.6,55.3,17.5
3_10_203_0,2001,Urban,3,India,10,Bihar,203,Pashchim Champaran,8.1,5.5,24.5,61.90000000000001,6.300000000000001,10.9,50.40000000000001,32.4,8.4,4.5,19.7,67.40000000000001
3_10_204_0,2001,Rural,3,India,10,Bihar,204,Purba Champaran,28.3,2.7,56.7,12.3,18.3,3.9,72.5,5.300000000000001,31.1,2.4,52.2,14.3
3_10_204_0,2001,Total,3,India,10,Bihar,204,Purba Champaran,27.2,2.8,54.8,15.2,18,4.2,71.5,6.2,29.7,2.4,50.2,17.6
3_10_204_0,2001,Urban,3,India,10,Bihar,204,Purba Champaran,6.4,4.2,19.1,70.3,5.7,16.9,34.3,43.1,6.4,2.6,17.3,73.7
3_10_205_0,2001,Rural,3,India,10,Bihar,205,Sheohar,26.2,2.2,62.2,9.4,15.1,4.600000000000001,70.90000000000001,9.300000000000001,28.1,1.8,60.7,9.4
3_10_205_0,2001,Total,3,India,10,Bihar,205,Sheohar,25.6,2.3,61.3,10.7,15,4.800000000000001,70,10.2,27.4,1.9,59.90000000000001,10.8
3_10_205_0,2001,Urban,3,India,10,Bihar,205,Sheohar,10.5,5.2,41.1,43.2,13.1,8.800000000000001,47.7,30.4,10.1,4.600000000000001,40,45.3
3_10_206_0,2001,Rural,3,India,10,Bihar,206,Sitamarhi,25,3.3,57.3,14.4,16.9,7.100000000000001,66.60000000000001,9.4,26.7,2.6,55.40000000000001,15.4
3_10_206_0,2001,Total,3,India,10,Bihar,206,Sitamarhi,24.1,3.4,55.3,17.2,16.6,7.300000000000001,65.5,10.6,25.5,2.6,53.3,18.5
3_10_206_0,2001,Urban,3,India,10,Bihar,206,Sitamarhi,5.100000000000001,4.7,16.2,74,7.4,15.6,22.3,54.7,4.9,3.7,15.6,75.8
3_10_207_0,2001,Rural,3,India,10,Bihar,207,Madhubani,31.2,3.3,53.6,11.9,26.2,4.2,65.10000000000001,4.5,33.2,2.9,49,14.9
3_10_207_0,2001,Total,3,India,10,Bihar,207,Madhubani,30.5,3.4,52.8,13.3,25.9,4.4,64.8,4.9,32.3,3,48,16.7
3_10_207_0,2001,Urban,3,India,10,Bihar,207,Madhubani,5.5,8.4,20.3,65.90000000000001,5.800000000000001,15.6,42.40000000000001,36.2,5.4,7.2,16.5,70.90000000000001
3_10_208_0,2001,Rural,3,India,10,Bihar,208,Supaul,35.2,1.8,55.90000000000001,7.100000000000001,30.6,1.8,65.40000000000001,2.1,38.1,1.8,49.90000000000001,10.1
3_10_208_0,2001,Total,3,India,10,Bihar,208,Supaul,34.2,1.9,54.8,9,30.2,2,65.3,2.6,36.7,1.9,48.6,12.9
3_10_208_0,2001,Urban,3,India,10,Bihar,208,Supaul,6.9,4.600000000000001,26.1,62.3,8,10.3,55.40000000000001,26.2,6.600000000000001,3.2,18.9,71.2
3_10_209_0,2001,Rural,3,India,10,Bihar,209,Araria,26.2,1.9,64.7,7.2,19.1,3.1,74.5,3.3,29.5,1.4,60.1,9
3_10_209_0,2001,Total,3,India,10,Bihar,209,Araria,25.3,2,62.8,10,18.8,3.1,74.10000000000001,4,28.3,1.4,57.6,12.7
3_10_209_0,2001,Urban,3,India,10,Bihar,209,Araria,5.9,2.2,18.7,73.10000000000001,3.3,7,44.90000000000001,44.8,6.2,1.6,15.5,76.60000000000001
3_10_210_0,2001,Rural,3,India,10,Bihar,210,Kishanganj,28.2,2,61,8.800000000000001,16.7,6.5,68.8,8,30.4,1.1,59.6,8.9
3_10_210_0,2001,Total,3,India,10,Bihar,210,Kishanganj,26.4,2,57.6,14,16,6.600000000000001,66.8,10.6,28.3,1.2,55.90000000000001,14.6
3_10_210_0,2001,Urban,3,India,10,Bihar,210,Kishanganj,7.600000000000001,2.3,20.9,69.10000000000001,3.6,8.4,29.9,58.2,8,1.7,20,70.3
3_10_211_0,2001,Rural,3,India,10,Bihar,211,Purnia,24,1.6,66.3,8.1,15.3,2,79.80000000000001,2.9,27.8,1.4,60.40000000000001,10.4
3_10_211_0,2001,Total,3,India,10,Bihar,211,Purnia,22.9,1.7,63.3,12.1,15.1,2.2,78.7,4,26.1,1.5,56.8,15.5
3_10_211_0,2001,Urban,3,India,10,Bihar,211,Purnia,5.5,3.2,16.9,74.40000000000001,5.2,7.2,40.3,47.3,5.600000000000001,2.6,13.5,78.30000000000001
3_10_212_0,2001,Rural,3,India,10,Bihar,212,Katihar,23.7,2.5,64.3,9.5,16.4,3.8,75.60000000000001,4.2,26.9,1.9,59.3,11.9
3_10_212_0,2001,Total,3,India,10,Bihar,212,Katihar,22.4,2.5,61,14.1,16.1,3.9,74.5,5.5,25.1,1.9,55.40000000000001,17.6
3_10_212_0,2001,Urban,3,India,10,Bihar,212,Katihar,2.6,3.5,9.1,84.80000000000001,2.2,9.700000000000001,19,69,2.6,2.8,8.1,86.40000000000001
3_10_213_0,2001,Rural,3,India,10,Bihar,213,Madhepura,34,1.7,57.40000000000001,6.9,29.7,1.7,66.2,2.4,36.9,1.7,51.40000000000001,10
3_10_213_0,2001,Total,3,India,10,Bihar,213,Madhepura,33.3,1.8,56.3,8.700000000000001,29.4,1.8,65.90000000000001,2.8,35.8,1.7,49.90000000000001,12.5
3_10_213_0,2001,Urban,3,India,10,Bihar,213,Madhepura,8.4,4.100000000000001,20.2,67.3,8.300000000000001,8.6,47.2,35.9,8.4,3.1,14.1,74.3
3_10_214_0,2001,Rural,3,India,10,Bihar,214,Saharsa,32.9,2,54.7,10.4,26.5,2.3,67.3,3.9,36.5,1.8,47.7,14
3_10_214_0,2001,Total,3,India,10,Bihar,214,Saharsa,31.5,2.1,52.5,13.9,26.1,2.4,66.8,4.7,34.3,1.9,45,18.8
3_10_214_0,2001,Urban,3,India,10,Bihar,214,Saharsa,4.5,3,13,79.5,4.4,7.4,40.5,47.8,4.600000000000001,2.5,9.600000000000001,83.40000000000001
3_10_215_0,2001,Rural,3,India,10,Bihar,215,Darbhanga,24.4,4,54.3,17.3,17.1,6.2,68.40000000000001,8.300000000000001,26.7,3.3,50,20.1
3_10_215_0,2001,Total,3,India,10,Bihar,215,Darbhanga,23,4,51.1,21.9,16.7,6.4,66.7,10.3,24.9,3.3,46.5,25.3
3_10_215_0,2001,Urban,3,India,10,Bihar,215,Darbhanga,1.2,4.5,1.3,93,2.6,10.9,1.1,85.30000000000001,1.1,3.8,1.3,93.80000000000001
3_10_216_0,2001,Rural,3,India,10,Bihar,216,Muzaffarpur,27.6,3.4,48.90000000000001,20.1,19.6,4.5,65.7,10.2,29.7,3.1,44.5,22.7
3_10_216_0,2001,Total,3,India,10,Bihar,216,Muzaffarpur,25.6,3.5,45.5,25.4,18.8,4.800000000000001,63.2,13.2,27.4,3.1,41.1,28.4
3_10_216_0,2001,Urban,3,India,10,Bihar,216,Muzaffarpur,2.2,4.2,5.9,87.60000000000001,1.7,11,9.9,77.30000000000001,2.3,3.4,5.4,89
3_10_217_0,2001,Rural,3,India,10,Bihar,217,Gopalganj,42.40000000000001,2.5,41.1,14,31.5,2.8,61,4.7,46.2,2.4,34.2,17.3
3_10_217_0,2001,Total,3,India,10,Bihar,217,Gopalganj,41,2.6,40.1,16.2,31,3,60.8,5.300000000000001,44.40000000000001,2.5,33.1,20
3_10_217_0,2001,Urban,3,India,10,Bihar,217,Gopalganj,16.1,5,22.4,56.6,13.2,8.6,55,23.2,16.6,4.3,16.4,62.6
3_10_218_0,2001,Rural,3,India,10,Bihar,218,Siwan,42.90000000000001,3.5,35.1,18.5,31.4,5,55.5,8.1,46.7,3,28.3,22
3_10_218_0,2001,Total,3,India,10,Bihar,218,Siwan,41.2,3.6,33.7,21.5,31,5.300000000000001,54.6,9.1,44.40000000000001,3.1,27.1,25.4
3_10_218_0,2001,Urban,3,India,10,Bihar,218,Siwan,7.300000000000001,6.2,7.600000000000001,78.90000000000001,12.6,17.8,20,49.6,6.5,4.600000000000001,5.9,82.90000000000001
3_10_219_0,2001,Rural,3,India,10,Bihar,219,Saran,38.3,3.8,39.40000000000001,18.5,24.7,5.4,61.8,8.1,41.8,3.4,33.8,21.1
3_10_219_0,2001,Total,3,India,10,Bihar,219,Saran,35.7,4,37.5,22.8,23.8,5.9,60.40000000000001,9.9,38.6,3.5,32.1,25.8
3_10_219_0,2001,Urban,3,India,10,Bihar,219,Saran,6.800000000000001,6.2,17.4,69.60000000000001,4.3,15.8,32.7,47.1,7.100000000000001,5,15.6,72.3
3_10_220_0,2001,Rural,3,India,10,Bihar,220,Vaishali,32.5,4,42.90000000000001,20.5,23.3,6.4,58.7,11.5,34.6,3.5,39.2,22.6
3_10_220_0,2001,Total,3,India,10,Bihar,220,Vaishali,31,4.2,41.6,23.2,22.7,6.7,57.8,12.8,32.8,3.6,38,25.5
3_10_220_0,2001,Urban,3,India,10,Bihar,220,Vaishali,6.5,6.2,22,65.3,6.4,12.8,34.6,46.2,6.600000000000001,5.300000000000001,20.4,67.7
3_10_221_0,2001,Rural,3,India,10,Bihar,221,Samastipur,27.8,4.4,48.6,19.2,19.2,7,62.6,11.2,30.5,3.6,44.3,21.7
3_10_221_0,2001,Total,3,India,10,Bihar,221,Samastipur,27.1,4.4,47.40000000000001,21.1,19,7.100000000000001,61.90000000000001,12,29.5,3.6,43.1,23.8
3_10_221_0,2001,Urban,3,India,10,Bihar,221,Samastipur,2.6,5.100000000000001,9,83.2,1.5,15.9,16.1,66.60000000000001,2.8,3.7,8.1,85.5
3_10_222_0,2001,Rural,3,India,10,Bihar,222,Begusarai,19.6,6.9,49.40000000000001,24,12.7,11.8,62.6,12.9,21.9,5.4,45.2,27.6
3_10_222_0,2001,Total,3,India,10,Bihar,222,Begusarai,19.1,6.9,47.90000000000001,26.2,12.6,11.9,61.7,13.8,21.1,5.300000000000001,43.5,30.1
3_10_222_0,2001,Urban,3,India,10,Bihar,222,Begusarai,3.6,4.9,5.100000000000001,86.30000000000001,3.3,15.3,9.5,71.90000000000001,3.7,3.7,4.600000000000001,88.10000000000001
3_10_223_0,2001,Rural,3,India,10,Bihar,223,Khagaria,26.7,2.3,56.2,14.8,19.8,3,69.60000000000001,7.600000000000001,29.6,2.1,50.40000000000001,17.9
3_10_223_0,2001,Total,3,India,10,Bihar,223,Khagaria,25.8,2.5,54.40000000000001,17.3,19.6,3.3,68.90000000000001,8.200000000000001,28.4,2.3,48.3,21
3_10_223_0,2001,Urban,3,India,10,Bihar,223,Khagaria,6.600000000000001,7.4,10.7,75.40000000000001,3.4,24.1,18.2,54.3,6.9,5.600000000000001,9.9,77.60000000000001
3_10_224_0,2001,Rural,3,India,10,Bihar,224,Bhagalpur,22.6,6.4,54.40000000000001,16.6,17.2,8.700000000000001,65.90000000000001,8.200000000000001,25,5.4,49.3,20.3
3_10_224_0,2001,Total,3,India,10,Bihar,224,Bhagalpur,19.9,7.4,48.2,24.5,16.4,9.9,62.6,11.1,21.3,6.4,42.5,29.8
3_10_224_0,2001,Urban,3,India,10,Bihar,224,Bhagalpur,3.1,13.6,10.1,73.3,4.5,26.2,19.1,50.3,2.8,11.5,8.6,77.10000000000001
3_10_225_0,2001,Rural,3,India,10,Bihar,225,Banka,34.4,4.5,52.2,8.9,29.6,6.100000000000001,60.40000000000001,3.8,36.9,3.7,47.90000000000001,11.5
3_10_225_0,2001,Total,3,India,10,Bihar,225,Banka,33.8,4.600000000000001,51.7,9.9,29.4,6.2,60.3,4.100000000000001,36.1,3.7,47.3,12.9
3_10_225_0,2001,Urban,3,India,10,Bihar,225,Banka,12.1,7.600000000000001,32.2,48.1,11.5,13.7,54.7,20.1,12.2,6.2,27.2,54.40000000000001
3_10_226_0,2001,Rural,3,India,10,Bihar,226,Munger,20,4.2,51,24.8,15.7,6.7,63.5,14.1,21.4,3.3,47,28.3
3_10_226_0,2001,Total,3,India,10,Bihar,226,Munger,16.2,4.5,41.6,37.7,14.5,7.600000000000001,58.1,19.8,16.7,3.6,37.1,42.6
3_10_226_0,2001,Urban,3,India,10,Bihar,226,Munger,2.7,5.7,8,83.5,3.7,15.4,12.3,68.60000000000001,2.6,4.600000000000001,7.5,85.30000000000001
3_10_227_0,2001,Rural,3,India,10,Bihar,227,Lakhisarai,35.2,2.4,45.90000000000001,16.6,25.8,3.1,61.2,9.9,39.6,2,38.6,19.7
3_10_227_0,2001,Total,3,India,10,Bihar,227,Lakhisarai,32.3,2.9,43.6,21.2,24.3,3.7,60.6,11.4,35.8,2.5,36,25.6
3_10_227_0,2001,Urban,3,India,10,Bihar,227,Lakhisarai,12.5,6.600000000000001,27.5,53.5,6.800000000000001,10.8,54.1,28.2,13.9,5.5,20.8,59.90000000000001
3_10_228_0,2001,Rural,3,India,10,Bihar,228,Sheikhpura,41.2,2.5,44.8,11.5,32.5,2.8,58.40000000000001,6.4,45.7,2.4,37.8,14.1
3_10_228_0,2001,Total,3,India,10,Bihar,228,Sheikhpura,37.5,3.2,42.2,17.1,31,3.4,57.40000000000001,8.200000000000001,40.7,3.1,34.9,21.3
3_10_228_0,2001,Urban,3,India,10,Bihar,228,Sheikhpura,10.2,8.4,22.4,58.90000000000001,10.9,11.1,44.2,33.7,10.1,7.800000000000001,17.4,64.7
3_10_229_0,2001,Rural,3,India,10,Bihar,229,Nalanda,38.8,3.3,45.8,12,34.2,3.6,55.8,6.5,41.40000000000001,3.2,40.3,15.1
3_10_229_0,2001,Total,3,India,10,Bihar,229,Nalanda,35.5,4.600000000000001,42.1,17.7,32.6,5.4,53.6,8.4,37,4.3,36.3,22.5
3_10_229_0,2001,Urban,3,India,10,Bihar,229,Nalanda,8.6,15.4,12.1,63.90000000000001,10.8,30.6,23,35.6,8,11.5,9.300000000000001,71.3
3_10_230_0,2001,Rural,3,India,10,Bihar,230,Patna,32.2,3.3,46.90000000000001,17.6,20.4,4.3,66.8,8.5,36.3,3,40.1,20.7
3_10_230_0,2001,Total,3,India,10,Bihar,230,Patna,22,3.9,32.9,41.2,17.2,5.300000000000001,57.3,20.2,23.3,3.5,26.6,46.6
3_10_230_0,2001,Urban,3,India,10,Bihar,230,Patna,3,5,6.5,85.5,3.3,9.700000000000001,15.6,71.40000000000001,3,4.4,5.4,87.2
3_10_231_0,2001,Rural,3,India,10,Bihar,231,Bhojpur,38.40000000000001,3.7,42.90000000000001,15,25.9,5.9,59,9.300000000000001,41.90000000000001,3.1,38.3,16.6
3_10_231_0,2001,Total,3,India,10,Bihar,231,Bhojpur,34.7,3.9,39.5,22,24.8,6.100000000000001,57.5,11.5,37.2,3.3,34.8,24.7
3_10_231_0,2001,Urban,3,India,10,Bihar,231,Bhojpur,5.600000000000001,5,12.6,76.80000000000001,3.6,10.1,28.8,57.6,5.800000000000001,4.5,11.1,78.60000000000001
3_10_232_0,2001,Rural,3,India,10,Bihar,232,Buxar,38.6,3.6,42.7,15.1,22.6,5.5,63.2,8.6,42.6,3.2,37.5,16.8
3_10_232_0,2001,Total,3,India,10,Bihar,232,Buxar,36.1,3.9,40.1,19.9,21.9,6,61.3,10.7,39.5,3.4,35.1,22.1
3_10_232_0,2001,Urban,3,India,10,Bihar,232,Buxar,4.5,7.600000000000001,8.200000000000001,79.7,4.7,19.2,10.6,65.60000000000001,4.5,6.4,8,81.2
3_10_233_0,2001,Rural,3,India,10,Bihar,233,Kaimur (Bhabua),34.3,3.4,49.7,12.6,23.3,4.7,63.40000000000001,8.6,38.90000000000001,2.9,44.1,14.2
3_10_233_0,2001,Total,3,India,10,Bihar,233,Kaimur (Bhabua),33.8,3.5,48.8,13.9,23.2,4.800000000000001,63.2,8.9,38.1,3,43,15.9
3_10_233_0,2001,Urban,3,India,10,Bihar,233,Kaimur (Bhabua),9.800000000000001,6.9,9,74.3,3.9,13.9,34.5,47.6,10.4,6.2,6.300000000000001,77.2
3_10_234_0,2001,Rural,3,India,10,Bihar,234,Rohtas,37.8,3.6,42.3,16.3,23.9,5.9,60.3,9.9,41.90000000000001,3,37,18.2
3_10_234_0,2001,Total,3,India,10,Bihar,234,Rohtas,34.6,3.9,38.8,22.7,23.1,6.300000000000001,58.5,12.1,37.7,3.2,33.5,25.6
3_10_234_0,2001,Urban,3,India,10,Bihar,234,Rohtas,6.300000000000001,6.100000000000001,8.700000000000001,78.90000000000001,6.600000000000001,15,21.8,56.7,6.300000000000001,5.100000000000001,7.4,81.2
3_10_235_0,2001,Rural,3,India,10,Bihar,235,Aurangabad,39,4.100000000000001,44,12.9,31,5,57.6,6.4,42.40000000000001,3.7,38.1,15.8
3_10_235_0,2001,Total,3,India,10,Bihar,235,Aurangabad,36.9,4.2,42.2,16.7,30.2,5.300000000000001,56.8,7.800000000000001,39.7,3.8,36.2,20.3
