id,spatial_data_yr,geography,L0_code,L0_name,L1_code,L1_name,L2_code,L2_name,hh_elec_t,hh_fuel_cook_1,hh_fuel_cook_2,hh_fuel_cook_3,hh_fuel_cook_4,hh_fuel_cook_5,hh_fuel_cook_6
3_10_203_0,2001,Rural,3,India,10,Bihar,203,Pashchim Champaran,3,98.80000000000001,0,.2,.6000000000000001,0,0
3_10_203_0,2001,Total,3,India,10,Bihar,203,Pashchim Champaran,6.2,96.5,0,.8,2.3,0,0
3_10_203_0,2001,Urban,3,India,10,Bihar,203,Pashchim Champaran,36.6,75,.2,6.300000000000001,17.8,0,.3
3_10_204_0,2001,Rural,3,India,10,Bihar,204,Purba Champaran,3.6,98.5,0,.2,.4,.1,0
3_10_204_0,2001,Total,3,India,10,Bihar,204,Purba Champaran,6.300000000000001,96.30000000000001,.1,.9,1.9,.1,0
3_10_204_0,2001,Urban,3,India,10,Bihar,204,Purba Champaran,48.90000000000001,62.3,.6000000000000001,11.2,25,.1,.4
3_10_205_0,2001,Rural,3,India,10,Bihar,205,Sheohar,2.4,98.80000000000001,0,.1,.1,0,0
3_10_205_0,2001,Total,3,India,10,Bihar,205,Sheohar,3.1,98.60000000000001,.1,.2,.2,0,0
3_10_205_0,2001,Urban,3,India,10,Bihar,205,Sheohar,19,94.10000000000001,.5,2.5,2.3,.1,0
3_10_206_0,2001,Rural,3,India,10,Bihar,206,Sitamarhi,3.5,96.40000000000001,0,.3,.4,0,0
3_10_206_0,2001,Total,3,India,10,Bihar,206,Sitamarhi,5.4,94.90000000000001,.1,.7000000000000001,1.5,0,.1
3_10_206_0,2001,Urban,3,India,10,Bihar,206,Sitamarhi,41.1,66.10000000000001,.5,9.300000000000001,22.4,0,.3
3_10_207_0,2001,Rural,3,India,10,Bihar,207,Madhubani,3.9,94.5,.1,.4,.6000000000000001,.1,.1
3_10_207_0,2001,Total,3,India,10,Bihar,207,Madhubani,5.100000000000001,93.5,.1,.7000000000000001,1.3,.1,.1
3_10_207_0,2001,Urban,3,India,10,Bihar,207,Madhubani,42.1,64.40000000000001,.8,11.8,20.2,0,.2
3_10_208_0,2001,Rural,3,India,10,Bihar,208,Supaul,3.3,98.5,0,.2,.3,0,0
3_10_208_0,2001,Total,3,India,10,Bihar,208,Supaul,4.7,97.5,0,.7000000000000001,.8,0,0
3_10_208_0,2001,Urban,3,India,10,Bihar,208,Supaul,31.4,77.90000000000001,.2,11.1,9.200000000000001,.1,.3
3_10_209_0,2001,Rural,3,India,10,Bihar,209,Araria,1.2,97.40000000000001,0,.1,.3,.1,0
3_10_209_0,2001,Total,3,India,10,Bihar,209,Araria,3.3,96,0,.4,1.5,.1,0
3_10_209_0,2001,Urban,3,India,10,Bihar,209,Araria,42.2,70.5,.2,5.9,22.3,0,.2
