id,spatial_data_yr,geography,L0_code,L0_name,L1_code,L1_name,L2_code,L2_name,hh_size_t,ppl_room_t,ovr_crw_t
3_10_203_0,2001,Rural,3,India,10,Bihar,203,Pashchim Champaran,5.600000000000001,3.2,40.7
3_10_203_0,2001,Total,3,India,10,Bihar,203,Pashchim Champaran,5.600000000000001,3.2,40.8
3_10_203_0,2001,Urban,3,India,10,Bihar,203,Pashchim Champaran,5.800000000000001,3.2,41.1
3_10_204_0,2001,Rural,3,India,10,Bihar,204,Purba Champaran,5.800000000000001,3.2,41.3
3_10_204_0,2001,Total,3,India,10,Bihar,204,Purba Champaran,5.800000000000001,3.2,41
3_10_204_0,2001,Urban,3,India,10,Bihar,204,Purba Champaran,6,3,35.7
3_10_205_0,2001,Rural,3,India,10,Bihar,205,Sheohar,5,3.1,38.3
3_10_205_0,2001,Total,3,India,10,Bihar,205,Sheohar,5,3.1,38.6
3_10_205_0,2001,Urban,3,India,10,Bihar,205,Sheohar,5.100000000000001,3.5,45.90000000000001
3_10_206_0,2001,Rural,3,India,10,Bihar,206,Sitamarhi,5,3.4,44.40000000000001
3_10_206_0,2001,Total,3,India,10,Bihar,206,Sitamarhi,5,3.4,44.1
3_10_206_0,2001,Urban,3,India,10,Bihar,206,Sitamarhi,5.600000000000001,3.1,38
3_10_207_0,2001,Rural,3,India,10,Bihar,207,Madhubani,5.5,3.3,43.6
3_10_207_0,2001,Total,3,India,10,Bihar,207,Madhubani,5.5,3.3,43.6
3_10_207_0,2001,Urban,3,India,10,Bihar,207,Madhubani,5.800000000000001,3.4,43.6
3_10_208_0,2001,Rural,3,India,10,Bihar,208,Supaul,5.5,3.6,49.1
3_10_208_0,2001,Total,3,India,10,Bihar,208,Supaul,5.5,3.5,48.8
3_10_208_0,2001,Urban,3,India,10,Bihar,208,Supaul,5.7,3.2,41.3
3_10_209_0,2001,Rural,3,India,10,Bihar,209,Araria,5.100000000000001,3.8,53.6
3_10_209_0,2001,Total,3,India,10,Bihar,209,Araria,5.100000000000001,3.8,53.2
3_10_209_0,2001,Urban,3,India,10,Bihar,209,Araria,5.800000000000001,3.4,46.40000000000001
3_10_210_0,2001,Rural,3,India,10,Bihar,210,Kishanganj,5,4.4,63.2
3_10_210_0,2001,Total,3,India,10,Bihar,210,Kishanganj,5.100000000000001,4.3,62.2
3_10_210_0,2001,Urban,3,India,10,Bihar,210,Kishanganj,5.300000000000001,3.8,52.40000000000001
3_10_211_0,2001,Rural,3,India,10,Bihar,211,Purnia,5.100000000000001,3.9,53.8
3_10_211_0,2001,Total,3,India,10,Bihar,211,Purnia,5.100000000000001,3.8,53
3_10_211_0,2001,Urban,3,India,10,Bihar,211,Purnia,5.7,3.3,42.90000000000001
3_10_212_0,2001,Rural,3,India,10,Bihar,212,Katihar,5.2,3.9,56.1
3_10_212_0,2001,Total,3,India,10,Bihar,212,Katihar,5.2,3.9,55.5
3_10_212_0,2001,Urban,3,India,10,Bihar,212,Katihar,5.7,3.6,48.1
3_10_213_0,2001,Rural,3,India,10,Bihar,213,Madhepura,5.600000000000001,3.7,52.90000000000001
3_10_213_0,2001,Total,3,India,10,Bihar,213,Madhepura,5.600000000000001,3.7,52.2
3_10_213_0,2001,Urban,3,India,10,Bihar,213,Madhepura,5.9,3.1,37.9
3_10_214_0,2001,Rural,3,India,10,Bihar,214,Saharsa,5.5,4.100000000000001,60
3_10_214_0,2001,Total,3,India,10,Bihar,214,Saharsa,5.600000000000001,4.100000000000001,58.5
3_10_214_0,2001,Urban,3,India,10,Bihar,214,Saharsa,5.9,3.2,39.7
3_10_215_0,2001,Rural,3,India,10,Bihar,215,Darbhanga,5.300000000000001,4.2,61
3_10_215_0,2001,Total,3,India,10,Bihar,215,Darbhanga,5.4,4.2,60.2
3_10_215_0,2001,Urban,3,India,10,Bihar,215,Darbhanga,6.100000000000001,3.6,47.8
3_10_216_0,2001,Rural,3,India,10,Bihar,216,Muzaffarpur,5.7,3.7,52.40000000000001
3_10_216_0,2001,Total,3,India,10,Bihar,216,Muzaffarpur,5.7,3.7,51
3_10_216_0,2001,Urban,3,India,10,Bihar,216,Muzaffarpur,5.800000000000001,3.1,36.3
3_10_217_0,2001,Rural,3,India,10,Bihar,217,Gopalganj,6.4,3.5,45.6
3_10_217_0,2001,Total,3,India,10,Bihar,217,Gopalganj,6.4,3.5,45.5
3_10_217_0,2001,Urban,3,India,10,Bihar,217,Gopalganj,6.2,3.4,43.40000000000001
3_10_218_0,2001,Rural,3,India,10,Bihar,218,Siwan,6.7,3.7,50.2
3_10_218_0,2001,Total,3,India,10,Bihar,218,Siwan,6.600000000000001,3.7,49.6
3_10_218_0,2001,Urban,3,India,10,Bihar,218,Siwan,6.4,3.2,37.9
3_10_219_0,2001,Rural,3,India,10,Bihar,219,Saran,6.5,3.9,53.1
3_10_219_0,2001,Total,3,India,10,Bihar,219,Saran,6.5,3.9,52.40000000000001
3_10_219_0,2001,Urban,3,India,10,Bihar,219,Saran,6.300000000000001,3.5,44.90000000000001
3_10_220_0,2001,Rural,3,India,10,Bihar,220,Vaishali,6.300000000000001,4.100000000000001,58.7
3_10_220_0,2001,Total,3,India,10,Bihar,220,Vaishali,6.300000000000001,4.100000000000001,58.1
3_10_220_0,2001,Urban,3,India,10,Bihar,220,Vaishali,6.4,3.7,48.7
