id,spatial_data_yr,geography,L0_code,L0_name,L1_code,L1_name,L2_code,L2_name,wkp_7_t,emp_7_t,wkp_7_f,emp_7_f,wkp_7_m,emp_7_m
3_10_203_0,2001,Rural,3,India,10,Bihar,203,Pashchim Champaran,78.40000000000001,49.8,77.7,32.4,78.90000000000001,65.3
3_10_203_0,2001,Total,3,India,10,Bihar,203,Pashchim Champaran,78.7,48.2,78.10000000000001,30.2,79.30000000000001,64.10000000000001
3_10_203_0,2001,Urban,3,India,10,Bihar,203,Pashchim Champaran,81.7,34.6,81.10000000000001,11.7,82.2,54.7
3_10_204_0,2001,Rural,3,India,10,Bihar,204,Purba Champaran,78.5,42.2,78,19.6,78.90000000000001,62.3
3_10_204_0,2001,Total,3,India,10,Bihar,204,Purba Champaran,78.7,41.5,78.30000000000001,18.8,79.2,61.6
3_10_204_0,2001,Urban,3,India,10,Bihar,204,Purba Champaran,82.40000000000001,31.4,81.7,7.5,83,51.5
3_10_205_0,2001,Rural,3,India,10,Bihar,205,Sheohar,79.40000000000001,39.40000000000001,79,12.4,79.7,63.1
3_10_205_0,2001,Total,3,India,10,Bihar,205,Sheohar,79.40000000000001,39.40000000000001,79,12.4,79.7,63.1
3_10_205_0,2001,Urban,3,India,10,Bihar,205,Sheohar,79,38.40000000000001,78.30000000000001,11.7,79.7,61.6
3_10_206_0,2001,Rural,3,India,10,Bihar,206,Sitamarhi,79.10000000000001,40.7,78.7,14.7,79.40000000000001,63.8
3_10_206_0,2001,Total,3,India,10,Bihar,206,Sitamarhi,79.30000000000001,40.2,78.90000000000001,14.2,79.60000000000001,63.2
3_10_206_0,2001,Urban,3,India,10,Bihar,206,Sitamarhi,82.40000000000001,32.3,81.80000000000001,6.2,82.90000000000001,54.6
3_10_207_0,2001,Rural,3,India,10,Bihar,207,Madhubani,79.60000000000001,43.5,79.60000000000001,25.8,79.5,60.3
3_10_207_0,2001,Total,3,India,10,Bihar,207,Madhubani,79.7,43.1,79.7,25.2,79.7,59.90000000000001
3_10_207_0,2001,Urban,3,India,10,Bihar,207,Madhubani,82.60000000000001,31.8,82.2,9.800000000000001,82.80000000000001,51.3
3_10_208_0,2001,Rural,3,India,10,Bihar,208,Supaul,78.60000000000001,54.40000000000001,78.60000000000001,43.40000000000001,78.60000000000001,64.5
3_10_208_0,2001,Total,3,India,10,Bihar,208,Supaul,78.80000000000001,53.3,78.7,41.90000000000001,78.90000000000001,63.90000000000001
3_10_208_0,2001,Urban,3,India,10,Bihar,208,Supaul,82.5,34.8,82.2,14.8,82.80000000000001,52.1
3_10_209_0,2001,Rural,3,India,10,Bihar,209,Araria,77.80000000000001,51.8,77.2,35,78.30000000000001,67
3_10_209_0,2001,Total,3,India,10,Bihar,209,Araria,78,50.7,77.40000000000001,33.4,78.60000000000001,66.3
3_10_209_0,2001,Urban,3,India,10,Bihar,209,Araria,81.5,33.4,80.60000000000001,8,82.2,55
3_10_210_0,2001,Rural,3,India,10,Bihar,210,Kishanganj,77.40000000000001,42.2,77.40000000000001,13.9,77.40000000000001,69
