id,spatial_data_yr,geography,L0_code,L0_name,L1_code,L1_name,L2_code,L2_name,ntl_pc,ntl_a
3_10_203_0,2001,Rural,3,India,10,Bihar,203,Pashchim Champaran,.66,.33
3_10_203_0,2001,Total,3,India,10,Bihar,203,Pashchim Champaran,.88,.47
3_10_203_0,2001,Urban,3,India,10,Bihar,203,Pashchim Champaran,3.4,8
3_10_204_0,2001,Rural,3,India,10,Bihar,204,Purba Champaran,.73,.62
3_10_204_0,2001,Total,3,India,10,Bihar,204,Purba Champaran,.87,.78
3_10_204_0,2001,Urban,3,India,10,Bihar,204,Purba Champaran,3.1,8.700000000000001
3_10_205_0,2001,Rural,3,India,10,Bihar,205,Sheohar,.18,.15
3_10_205_0,2001,Total,3,India,10,Bihar,205,Sheohar,.32,.28
3_10_205_0,2001,Urban,3,India,10,Bihar,205,Sheohar,4.2,5.800000000000001
3_10_206_0,2001,Rural,3,India,10,Bihar,206,Sitamarhi,.86,.77
3_10_206_0,2001,Total,3,India,10,Bihar,206,Sitamarhi,.92,.85
3_10_206_0,2001,Urban,3,India,10,Bihar,206,Sitamarhi,2.2,5.7
3_10_207_0,2001,Rural,3,India,10,Bihar,207,Madhubani,1,.89
3_10_207_0,2001,Total,3,India,10,Bihar,207,Madhubani,1.1,.9400000000000001
3_10_207_0,2001,Urban,3,India,10,Bihar,207,Madhubani,3.4,6.800000000000001
3_10_208_0,2001,Rural,3,India,10,Bihar,208,Supaul,.78,.54
3_10_208_0,2001,Total,3,India,10,Bihar,208,Supaul,.91,.64
3_10_208_0,2001,Urban,3,India,10,Bihar,208,Supaul,4,7.600000000000001
3_10_209_0,2001,Rural,3,India,10,Bihar,209,Araria,.45,.35
3_10_209_0,2001,Total,3,India,10,Bihar,209,Araria,.66,.53
3_10_209_0,2001,Urban,3,India,10,Bihar,209,Araria,5.2,9.9
3_10_210_0,2001,Rural,3,India,10,Bihar,210,Kishanganj,1.1,.78
3_10_210_0,2001,Total,3,India,10,Bihar,210,Kishanganj,1.3,.96
3_10_210_0,2001,Urban,3,India,10,Bihar,210,Kishanganj,3.8,5.9
3_10_211_0,2001,Rural,3,India,10,Bihar,211,Purnia,1.6,1
3_10_211_0,2001,Total,3,India,10,Bihar,211,Purnia,2.2,1.5
3_10_211_0,2001,Urban,3,India,10,Bihar,211,Purnia,8.200000000000001,15.3
3_10_212_0,2001,Rural,3,India,10,Bihar,212,Katihar,.9500000000000001,.71
3_10_212_0,2001,Total,3,India,10,Bihar,212,Katihar,1.2,.9400000000000001
3_10_212_0,2001,Urban,3,India,10,Bihar,212,Katihar,5.300000000000001,15.8
3_10_213_0,2001,Rural,3,India,10,Bihar,213,Madhepura,1.1,.77
3_10_213_0,2001,Total,3,India,10,Bihar,213,Madhepura,1.2,.92
3_10_213_0,2001,Urban,3,India,10,Bihar,213,Madhepura,5,9.9
3_10_214_0,2001,Rural,3,India,10,Bihar,214,Saharsa,1.1,.66
3_10_214_0,2001,Total,3,India,10,Bihar,214,Saharsa,1.3,.86
3_10_214_0,2001,Urban,3,India,10,Bihar,214,Saharsa,3.8,11.6
3_10_215_0,2001,Rural,3,India,10,Bihar,215,Darbhanga,1.1,1.4
3_10_215_0,2001,Total,3,India,10,Bihar,215,Darbhanga,1.3,1.6
3_10_215_0,2001,Urban,3,India,10,Bihar,215,Darbhanga,6.4,33.9
3_10_216_0,2001,Rural,3,India,10,Bihar,216,Muzaffarpur,1.7,1.8
3_10_216_0,2001,Total,3,India,10,Bihar,216,Muzaffarpur,2,2.2
3_10_216_0,2001,Urban,3,India,10,Bihar,216,Muzaffarpur,8.700000000000001,27.3
3_10_217_0,2001,Rural,3,India,10,Bihar,217,Gopalganj,1.1,1.2
3_10_217_0,2001,Total,3,India,10,Bihar,217,Gopalganj,1.1,1.3
3_10_217_0,2001,Urban,3,India,10,Bihar,217,Gopalganj,2.3,5.100000000000001
3_10_218_0,2001,Rural,3,India,10,Bihar,218,Siwan,.55,.7000000000000001
3_10_218_0,2001,Total,3,India,10,Bihar,218,Siwan,.64,.84
3_10_218_0,2001,Urban,3,India,10,Bihar,218,Siwan,4.100000000000001,10.9
3_10_219_0,2001,Rural,3,India,10,Bihar,219,Saran,1.8,1.9
3_10_219_0,2001,Total,3,India,10,Bihar,219,Saran,1.9,2.1
3_10_219_0,2001,Urban,3,India,10,Bihar,219,Saran,3.8,8.800000000000001
3_10_220_0,2001,Rural,3,India,10,Bihar,220,Vaishali,1.3,1.7
3_10_220_0,2001,Total,3,India,10,Bihar,220,Vaishali,1.4,1.9
3_10_220_0,2001,Urban,3,India,10,Bihar,220,Vaishali,4.100000000000001,13.8
3_10_221_0,2001,Rural,3,India,10,Bihar,221,Samastipur,.9400000000000001,1.2
3_10_221_0,2001,Total,3,India,10,Bihar,221,Samastipur,.98,1.3
3_10_221_0,2001,Urban,3,India,10,Bihar,221,Samastipur,3.6,9.1
3_10_222_0,2001,Rural,3,India,10,Bihar,222,Begusarai,2.4,3.4
3_10_222_0,2001,Total,3,India,10,Bihar,222,Begusarai,2.7,3.9
3_10_222_0,2001,Urban,3,India,10,Bihar,222,Begusarai,6.5,16.4
3_10_223_0,2001,Rural,3,India,10,Bihar,223,Khagaria,1.3,1
3_10_223_0,2001,Total,3,India,10,Bihar,223,Khagaria,1.3,1.1
3_10_223_0,2001,Urban,3,India,10,Bihar,223,Khagaria,3.3,9.600000000000001
3_10_224_0,2001,Rural,3,India,10,Bihar,224,Bhagalpur,3.9,2.8
3_10_224_0,2001,Total,3,India,10,Bihar,224,Bhagalpur,4.2,3.2
3_10_224_0,2001,Urban,3,India,10,Bihar,224,Bhagalpur,7.2,26.8
3_10_225_0,2001,Rural,3,India,10,Bihar,225,Banka,.52,.27
3_10_225_0,2001,Total,3,India,10,Bihar,225,Banka,.64,.35
3_10_225_0,2001,Urban,3,India,10,Bihar,225,Banka,4.2,6.800000000000001
3_10_226_0,2001,Rural,3,India,10,Bihar,226,Munger,3.6,2
3_10_226_0,2001,Total,3,India,10,Bihar,226,Munger,3.9,2.6
3_10_226_0,2001,Urban,3,India,10,Bihar,226,Munger,5.5,15.9
3_10_227_0,2001,Rural,3,India,10,Bihar,227,Lakhisarai,.88,.46
3_10_227_0,2001,Total,3,India,10,Bihar,227,Lakhisarai,1.4,.8
3_10_227_0,2001,Urban,3,India,10,Bihar,227,Lakhisarai,5.7,7
3_10_228_0,2001,Rural,3,India,10,Bihar,228,Sheikhpura,1.4,.96
3_10_228_0,2001,Total,3,India,10,Bihar,228,Sheikhpura,1.9,1.4
3_10_228_0,2001,Urban,3,India,10,Bihar,228,Sheikhpura,6,7.9
3_10_229_0,2001,Rural,3,India,10,Bihar,229,Nalanda,2,1.6
3_10_229_0,2001,Total,3,India,10,Bihar,229,Nalanda,2.3,2
3_10_229_0,2001,Urban,3,India,10,Bihar,229,Nalanda,4.600000000000001,14.4
3_10_230_0,2001,Rural,3,India,10,Bihar,230,Patna,4.2,3.1
3_10_230_0,2001,Total,3,India,10,Bihar,230,Patna,6.4,7.300000000000001
3_10_230_0,2001,Urban,3,India,10,Bihar,230,Patna,9.700000000000001,65.3
3_10_231_0,2001,Rural,3,India,10,Bihar,231,Bhojpur,.74,.52
3_10_231_0,2001,Total,3,India,10,Bihar,231,Bhojpur,.98,.75
3_10_231_0,2001,Urban,3,India,10,Bihar,231,Bhojpur,2.9,7.7
3_10_232_0,2001,Rural,3,India,10,Bihar,232,Buxar,1.2,.75
3_10_232_0,2001,Total,3,India,10,Bihar,232,Buxar,1.3,.85
3_10_232_0,2001,Urban,3,India,10,Bihar,232,Buxar,3.2,7.100000000000001
3_10_233_0,2001,Rural,3,India,10,Bihar,233,Kaimur (Bhabua),3,1.4
3_10_233_0,2001,Total,3,India,10,Bihar,233,Kaimur (Bhabua),3,1.4
3_10_233_0,2001,Urban,3,India,10,Bihar,233,Kaimur (Bhabua),4.2,10.7
3_10_234_0,2001,Rural,3,India,10,Bihar,234,Rohtas,2.5,1.3
3_10_234_0,2001,Total,3,India,10,Bihar,234,Rohtas,2.6,1.5
