id,spatial_data_yr,geography,L0_code,L0_name,L1_code,L1_name,L2_code,L2_name,yieldvus_all,yieldvus_sel7,yieldvus_sel6,yieldvus_sel1,yieldvus_sel2,yieldvus_sel3,yieldvus_sel4,yieldvus_sel5,yieldp_all,yieldp_sel7,yieldp_sel6,yieldp_sel1,yieldp_sel2,yieldp_sel3,yieldp_sel4,yieldp_sel5
3_10_203_0,2001,Total,3,India,10,Bihar,203,Pashchim Champaran,1.1,,.51,.45,.9400000000000001,.86,2.9,.85,8,,2.1,1.4,.96,2.1,48.40000000000001,2.7
3_10_204_0,2001,Total,3,India,10,Bihar,204,Purba Champaran,.73,,.5,.35,1.1,.55,2.6,.71,3.1,,2.1,1.2,1.1,1.3,42.90000000000001,2.3
3_10_205_0,2001,Total,3,India,10,Bihar,205,Sheohar,.67,,.63,.45,.72,.55,2.2,.58,3.3,,2.6,1.6,.75,1.3,36.6,1.9
3_10_206_0,2001,Total,3,India,10,Bihar,206,Sitamarhi,.64,,.59,.26,.8100000000000001,.49,2.1,.54,3.2,,2.5,1,.79,1.2,35.8,1.7
3_10_207_0,2001,Total,3,India,10,Bihar,207,Madhubani,.59,,.53,.3,.91,.49,2.1,.52,1.8,,2.2,1.2,.85,1.2,35.7,1.7
3_10_208_0,2001,Total,3,India,10,Bihar,208,Supaul,.8,,,,.59,,,,2.3,,,,.48,,,
3_10_209_0,2001,Total,3,India,10,Bihar,209,Araria,1,,,,.96,,,,2.7,,,,.79,,,
3_10_210_0,2001,Total,3,India,10,Bihar,210,Kishanganj,1.6,,.71,.4,.59,.49,1.5,.54,3,,2.9,1.4,.58,1.2,25.7,1.8
3_10_211_0,2001,Total,3,India,10,Bihar,211,Purnia,1.2,,.63,.41,.79,.59,1.7,.5700000000000001,2.9,,2.6,1.6,.6800000000000001,1.4,28.1,1.9
3_10_212_0,2001,Total,3,India,10,Bihar,212,Katihar,1.2,.96,.54,.43,.6800000000000001,.62,2.5,.65,3,1.2,2.2,1.4,.6900000000000001,1.5,41.8,2.1
3_10_213_0,2001,Total,3,India,10,Bihar,213,Madhepura,.9,,.84,.26,.8100000000000001,.54,2.4,.7000000000000001,2.6,,3.5,1,.67,1.3,40,2.3
3_10_214_0,2001,Total,3,India,10,Bihar,214,Saharsa,.71,,.75,.23,.74,.6,2.4,.79,2.1,,3.1,.9,.61,1.5,39.90000000000001,2.6
3_10_215_0,2001,Total,3,India,10,Bihar,215,Darbhanga,.52,,.5600000000000001,.21,.64,.38,1.7,.54,1.7,,2.3,.8300000000000001,.5700000000000001,.91,27.8,1.7
