id,spatial_data_yr,geography,L0_code,L0_name,L1_code,L1_name,L2_code,L2_name,st,sc
3_10_203_0,2001,Rural,3,India,10,Bihar,203,Pashchim Champaran,1.59,15
3_10_203_0,2001,Total,3,India,10,Bihar,203,Pashchim Champaran,1.48,14.28
3_10_203_0,2001,Urban,3,India,10,Bihar,203,Pashchim Champaran,.45,7.95
3_10_204_0,2001,Rural,3,India,10,Bihar,204,Purba Champaran,.12,13.44
3_10_204_0,2001,Total,3,India,10,Bihar,204,Purba Champaran,.12,13.05
3_10_204_0,2001,Urban,3,India,10,Bihar,204,Purba Champaran,.1,7.3
3_10_205_0,2001,Rural,3,India,10,Bihar,205,Sheohar,.01,14.38
3_10_205_0,2001,Total,3,India,10,Bihar,205,Sheohar,.01,14.42
3_10_205_0,2001,Urban,3,India,10,Bihar,205,Sheohar,.04,15.33
3_10_206_0,2001,Rural,3,India,10,Bihar,206,Sitamarhi,.07,11.93
3_10_206_0,2001,Total,3,India,10,Bihar,206,Sitamarhi,.07,11.77
3_10_206_0,2001,Urban,3,India,10,Bihar,206,Sitamarhi,.07,9.08
3_10_207_0,2001,Rural,3,India,10,Bihar,207,Madhubani,.04,13.62
3_10_207_0,2001,Total,3,India,10,Bihar,207,Madhubani,.04,13.48
3_10_207_0,2001,Urban,3,India,10,Bihar,207,Madhubani,.04,9.66
3_10_208_0,2001,Rural,3,India,10,Bihar,208,Supaul,.32,15.27
3_10_208_0,2001,Total,3,India,10,Bihar,208,Supaul,.3,14.8
3_10_208_0,2001,Urban,3,India,10,Bihar,208,Supaul,.04,6.07
3_10_209_0,2001,Rural,3,India,10,Bihar,209,Araria,1.44,13.85
3_10_209_0,2001,Total,3,India,10,Bihar,209,Araria,1.36,13.6
3_10_209_0,2001,Urban,3,India,10,Bihar,209,Araria,.24,9.700000000000001
3_10_210_0,2001,Rural,3,India,10,Bihar,210,Kishanganj,3.84,6.140000000000001
3_10_210_0,2001,Total,3,India,10,Bihar,210,Kishanganj,3.63,6.62
3_10_210_0,2001,Urban,3,India,10,Bihar,210,Kishanganj,1.74,10.97
3_10_211_0,2001,Rural,3,India,10,Bihar,211,Purnia,4.46,12.6
3_10_211_0,2001,Total,3,India,10,Bihar,211,Purnia,4.4,12.27
3_10_211_0,2001,Urban,3,India,10,Bihar,211,Purnia,3.8,8.83
3_10_212_0,2001,Rural,3,India,10,Bihar,212,Katihar,6.28,8.5
3_10_212_0,2001,Total,3,India,10,Bihar,212,Katihar,5.87,8.710000000000001
3_10_212_0,2001,Urban,3,India,10,Bihar,212,Katihar,1.8,10.78
3_10_213_0,2001,Rural,3,India,10,Bihar,213,Madhepura,.63,17.33
3_10_213_0,2001,Total,3,India,10,Bihar,213,Madhepura,.61,17.06
3_10_213_0,2001,Urban,3,India,10,Bihar,213,Madhepura,.23,11.38
3_10_214_0,2001,Rural,3,India,10,Bihar,214,Saharsa,.3,16.78
3_10_214_0,2001,Total,3,India,10,Bihar,214,Saharsa,.31,16.09
3_10_214_0,2001,Urban,3,India,10,Bihar,214,Saharsa,.36,8.43
3_10_215_0,2001,Rural,3,India,10,Bihar,215,Darbhanga,.02,15.95
3_10_215_0,2001,Total,3,India,10,Bihar,215,Darbhanga,.03,15.51
3_10_215_0,2001,Urban,3,India,10,Bihar,215,Darbhanga,.1,10.55
3_10_216_0,2001,Rural,3,India,10,Bihar,216,Muzaffarpur,.09,16.52
3_10_216_0,2001,Total,3,India,10,Bihar,216,Muzaffarpur,.09,15.87
3_10_216_0,2001,Urban,3,India,10,Bihar,216,Muzaffarpur,.15,9.540000000000001
3_10_217_0,2001,Rural,3,India,10,Bihar,217,Gopalganj,.29,12.56
3_10_217_0,2001,Total,3,India,10,Bihar,217,Gopalganj,.29,12.41
3_10_217_0,2001,Urban,3,India,10,Bihar,217,Gopalganj,.21,10.21
3_10_218_0,2001,Rural,3,India,10,Bihar,218,Siwan,.5,11.69
3_10_218_0,2001,Total,3,India,10,Bihar,218,Siwan,.51,11.38
3_10_218_0,2001,Urban,3,India,10,Bihar,218,Siwan,.63,6.12
3_10_219_0,2001,Rural,3,India,10,Bihar,219,Saran,.2,12.16
3_10_219_0,2001,Total,3,India,10,Bihar,219,Saran,.21,12
3_10_219_0,2001,Urban,3,India,10,Bihar,219,Saran,.26,10.4
3_10_220_0,2001,Rural,3,India,10,Bihar,220,Vaishali,.11,20.9
3_10_220_0,2001,Total,3,India,10,Bihar,220,Vaishali,.11,20.68
3_10_220_0,2001,Urban,3,India,10,Bihar,220,Vaishali,.1,17.73
3_10_221_0,2001,Rural,3,India,10,Bihar,221,Samastipur,.09,18.68
3_10_221_0,2001,Total,3,India,10,Bihar,221,Samastipur,.1,18.52
3_10_221_0,2001,Urban,3,India,10,Bihar,221,Samastipur,.4,14.47
3_10_222_0,2001,Rural,3,India,10,Bihar,222,Begusarai,.05,14.74
