id,spatial_data_yr,geography,L0_code,L0_name,L1_code,L1_name,L2_code,L2_name,und_15_t,und_15_f,und_15_m
3_10_203_0,2001,Rural,3,India,10,Bihar,203,Pashchim Champaran,5.300000000000001,12.3,2.1
3_10_203_0,2001,Total,3,India,10,Bihar,203,Pashchim Champaran,5.2,12.7,2
3_10_203_0,2001,Urban,3,India,10,Bihar,203,Pashchim Champaran,4.4,19.7,1
3_10_204_0,2001,Rural,3,India,10,Bihar,204,Purba Champaran,4,14,1.1
3_10_204_0,2001,Total,3,India,10,Bihar,204,Purba Champaran,3.9,14.1,1
3_10_204_0,2001,Urban,3,India,10,Bihar,204,Purba Champaran,2.5,16.5,.3
3_10_205_0,2001,Rural,3,India,10,Bihar,205,Sheohar,3.2,17.2,.6000000000000001
3_10_205_0,2001,Total,3,India,10,Bihar,205,Sheohar,3.3,18,.6000000000000001
3_10_205_0,2001,Urban,3,India,10,Bihar,205,Sheohar,6.800000000000001,38.8,1.3
3_10_206_0,2001,Rural,3,India,10,Bihar,206,Sitamarhi,3.1,13.9,.7000000000000001
3_10_206_0,2001,Total,3,India,10,Bihar,206,Sitamarhi,3,13.9,.7000000000000001
3_10_206_0,2001,Urban,3,India,10,Bihar,206,Sitamarhi,1.9,14,.2
3_10_207_0,2001,Rural,3,India,10,Bihar,207,Madhubani,5.2,14,1.7
3_10_207_0,2001,Total,3,India,10,Bihar,207,Madhubani,5.2,14,1.6
3_10_207_0,2001,Urban,3,India,10,Bihar,207,Madhubani,2.9,14.4,.6000000000000001
3_10_208_0,2001,Rural,3,India,10,Bihar,208,Supaul,3.2,5.5,1.8
3_10_208_0,2001,Total,3,India,10,Bihar,208,Supaul,3.2,5.600000000000001,1.8
3_10_208_0,2001,Urban,3,India,10,Bihar,208,Supaul,2.7,8.9,.9
3_10_209_0,2001,Rural,3,India,10,Bihar,209,Araria,4.3,8.4,2.3
3_10_209_0,2001,Total,3,India,10,Bihar,209,Araria,4.2,8.6,2.2
3_10_209_0,2001,Urban,3,India,10,Bihar,209,Araria,2.3,14.4,.4
3_10_210_0,2001,Rural,3,India,10,Bihar,210,Kishanganj,3,14.3,.8
3_10_210_0,2001,Total,3,India,10,Bihar,210,Kishanganj,3,14.9,.7000000000000001
3_10_210_0,2001,Urban,3,India,10,Bihar,210,Kishanganj,3.2,23.2,.4
3_10_211_0,2001,Rural,3,India,10,Bihar,211,Purnia,3,6.600000000000001,1.3
3_10_211_0,2001,Total,3,India,10,Bihar,211,Purnia,3,7.100000000000001,1.3
3_10_211_0,2001,Urban,3,India,10,Bihar,211,Purnia,3.7,19.4,.8
3_10_212_0,2001,Rural,3,India,10,Bihar,212,Katihar,3.6,8.200000000000001,1.6
3_10_212_0,2001,Total,3,India,10,Bihar,212,Katihar,3.7,8.9,1.5
3_10_212_0,2001,Urban,3,India,10,Bihar,212,Katihar,4,26.7,.4
3_10_213_0,2001,Rural,3,India,10,Bihar,213,Madhepura,3,4.800000000000001,1.8
3_10_213_0,2001,Total,3,India,10,Bihar,213,Madhepura,3,5,1.7
3_10_213_0,2001,Urban,3,India,10,Bihar,213,Madhepura,4.3,16,1
3_10_214_0,2001,Rural,3,India,10,Bihar,214,Saharsa,4.7,8.700000000000001,2.5
3_10_214_0,2001,Total,3,India,10,Bihar,214,Saharsa,4.600000000000001,9,2.3
3_10_214_0,2001,Urban,3,India,10,Bihar,214,Saharsa,4.100000000000001,20.7,.6000000000000001
3_10_215_0,2001,Rural,3,India,10,Bihar,215,Darbhanga,6.7,22.1,1.7
3_10_215_0,2001,Total,3,India,10,Bihar,215,Darbhanga,6.4,21.8,1.6
3_10_215_0,2001,Urban,3,India,10,Bihar,215,Darbhanga,3,16.9,.3
3_10_216_0,2001,Rural,3,India,10,Bihar,216,Muzaffarpur,5.5,19.8,1.4
3_10_216_0,2001,Total,3,India,10,Bihar,216,Muzaffarpur,5.300000000000001,19.4,1.3
3_10_216_0,2001,Urban,3,India,10,Bihar,216,Muzaffarpur,2.6,13.7,.4
3_10_217_0,2001,Rural,3,India,10,Bihar,217,Gopalganj,4.7,15.5,1.1
3_10_217_0,2001,Total,3,India,10,Bihar,217,Gopalganj,4.7,15.6,1
3_10_217_0,2001,Urban,3,India,10,Bihar,217,Gopalganj,3.3,18.2,.4
3_10_218_0,2001,Rural,3,India,10,Bihar,218,Siwan,6.7,22.4,1.5
3_10_218_0,2001,Total,3,India,10,Bihar,218,Siwan,6.5,22.4,1.4
3_10_218_0,2001,Urban,3,India,10,Bihar,218,Siwan,4.100000000000001,22.8,.6000000000000001
3_10_219_0,2001,Rural,3,India,10,Bihar,219,Saran,5.9,25.1,1
3_10_219_0,2001,Total,3,India,10,Bihar,219,Saran,5.800000000000001,25.7,.9
3_10_219_0,2001,Urban,3,India,10,Bihar,219,Saran,5.300000000000001,34.7,.5
3_10_220_0,2001,Rural,3,India,10,Bihar,220,Vaishali,5.100000000000001,21.3,1.1
3_10_220_0,2001,Total,3,India,10,Bihar,220,Vaishali,5,21.5,1
3_10_220_0,2001,Urban,3,India,10,Bihar,220,Vaishali,4.3,25.9,.6000000000000001
3_10_221_0,2001,Rural,3,India,10,Bihar,221,Samastipur,4.4,13.5,1.5
3_10_221_0,2001,Total,3,India,10,Bihar,221,Samastipur,4.4,13.5,1.5
3_10_221_0,2001,Urban,3,India,10,Bihar,221,Samastipur,2.8,14.7,.5
3_10_222_0,2001,Rural,3,India,10,Bihar,222,Begusarai,6.100000000000001,18,2
3_10_222_0,2001,Total,3,India,10,Bihar,222,Begusarai,6,17.9,1.9
3_10_222_0,2001,Urban,3,India,10,Bihar,222,Begusarai,3.2,16,.4
3_10_223_0,2001,Rural,3,India,10,Bihar,223,Khagaria,6.4,14.2,3
3_10_223_0,2001,Total,3,India,10,Bihar,223,Khagaria,6.2,14.2,2.8
3_10_223_0,2001,Urban,3,India,10,Bihar,223,Khagaria,2.8,15.3,.5
3_10_224_0,2001,Rural,3,India,10,Bihar,224,Bhagalpur,8.6,18.5,4.100000000000001
3_10_224_0,2001,Total,3,India,10,Bihar,224,Bhagalpur,8,18.9,3.6
3_10_224_0,2001,Urban,3,India,10,Bihar,224,Bhagalpur,5.2,22.2,1.2
3_10_225_0,2001,Rural,3,India,10,Bihar,225,Banka,6.5,14,2.6
3_10_225_0,2001,Total,3,India,10,Bihar,225,Banka,6.4,14,2.6
3_10_225_0,2001,Urban,3,India,10,Bihar,225,Banka,3.6,13.4,1.1
3_10_226_0,2001,Rural,3,India,10,Bihar,226,Munger,9.5,29.5,2.7
3_10_226_0,2001,Total,3,India,10,Bihar,226,Munger,8.300000000000001,28.9,2.1
3_10_226_0,2001,Urban,3,India,10,Bihar,226,Munger,4.800000000000001,26.1,.5
3_10_227_0,2001,Rural,3,India,10,Bihar,227,Lakhisarai,4.800000000000001,9.9,2.3
3_10_227_0,2001,Total,3,India,10,Bihar,227,Lakhisarai,5.2,11.3,2.4
3_10_227_0,2001,Urban,3,India,10,Bihar,227,Lakhisarai,7.7,24.7,2.8
3_10_228_0,2001,Rural,3,India,10,Bihar,228,Sheikhpura,3.8,8,1.6
3_10_228_0,2001,Total,3,India,10,Bihar,228,Sheikhpura,3.7,8.4,1.6
3_10_228_0,2001,Urban,3,India,10,Bihar,228,Sheikhpura,3.5,12.3,1.3
3_10_229_0,2001,Rural,3,India,10,Bihar,229,Nalanda,3.9,7.5,1.9
3_10_229_0,2001,Total,3,India,10,Bihar,229,Nalanda,3.8,7.800000000000001,1.8
3_10_229_0,2001,Urban,3,India,10,Bihar,229,Nalanda,3.2,10.4,1
3_10_230_0,2001,Rural,3,India,10,Bihar,230,Patna,5.5,15.9,1.9
3_10_230_0,2001,Total,3,India,10,Bihar,230,Patna,4.3,15.1,1.2
3_10_230_0,2001,Urban,3,India,10,Bihar,230,Patna,2.5,13.4,.4
3_10_231_0,2001,Rural,3,India,10,Bihar,231,Bhojpur,5.9,22.8,1.2
3_10_231_0,2001,Total,3,India,10,Bihar,231,Bhojpur,5.5,22.8,1
3_10_231_0,2001,Urban,3,India,10,Bihar,231,Bhojpur,2.9,22.9,.2
3_10_232_0,2001,Rural,3,India,10,Bihar,232,Buxar,5.5,22.7,1.1
3_10_232_0,2001,Total,3,India,10,Bihar,232,Buxar,5.300000000000001,22.6,1
3_10_232_0,2001,Urban,3,India,10,Bihar,232,Buxar,3.5,21,.4
3_10_233_0,2001,Rural,3,India,10,Bihar,233,Kaimur (Bhabua),5.800000000000001,14.4,2.3
3_10_233_0,2001,Total,3,India,10,Bihar,233,Kaimur (Bhabua),5.7,14.5,2.2
3_10_233_0,2001,Urban,3,India,10,Bihar,233,Kaimur (Bhabua),2.3,17.6,.2
3_10_234_0,2001,Rural,3,India,10,Bihar,234,Rohtas,6.2,18.7,1.9
3_10_234_0,2001,Total,3,India,10,Bihar,234,Rohtas,5.9,18.7,1.8
3_10_234_0,2001,Urban,3,India,10,Bihar,234,Rohtas,3,20.4,.2
3_10_235_0,2001,Rural,3,India,10,Bihar,235,Aurangabad,5.2,13.1,1.9
3_10_235_0,2001,Total,3,India,10,Bihar,235,Aurangabad,5.2,13.5,1.8
3_10_235_0,2001,Urban,3,India,10,Bihar,235,Aurangabad,4.600000000000001,24.2,.7000000000000001
3_10_236_0,2001,Rural,3,India,10,Bihar,236,Gaya,4.3,8.200000000000001,2.2
3_10_236_0,2001,Total,3,India,10,Bihar,236,Gaya,4.3,8.800000000000001,2
