id,spatial_data_yr,geography,L0_code,L0_name,L1_code,L1_name,L2_code,L2_name,hh_wtr_t,hh_snt2_t
3_10_203_0,2001,Rural,3,India,10,Bihar,203,Pashchim Champaran,89.30000000000001,4.800000000000001
3_10_203_0,2001,Total,3,India,10,Bihar,203,Pashchim Champaran,89.7,8.4
3_10_203_0,2001,Urban,3,India,10,Bihar,203,Pashchim Champaran,93.2,42.1
3_10_204_0,2001,Rural,3,India,10,Bihar,204,Purba Champaran,85.10000000000001,7
3_10_204_0,2001,Total,3,India,10,Bihar,204,Purba Champaran,85.60000000000001,9.1
3_10_204_0,2001,Urban,3,India,10,Bihar,204,Purba Champaran,93.40000000000001,43.3
3_10_205_0,2001,Rural,3,India,10,Bihar,205,Sheohar,88.90000000000001,8.800000000000001
3_10_205_0,2001,Total,3,India,10,Bihar,205,Sheohar,89,9.4
3_10_205_0,2001,Urban,3,India,10,Bihar,205,Sheohar,91.5,25.7
3_10_206_0,2001,Rural,3,India,10,Bihar,206,Sitamarhi,85.2,11.3
3_10_206_0,2001,Total,3,India,10,Bihar,206,Sitamarhi,85.5,13
3_10_206_0,2001,Urban,3,India,10,Bihar,206,Sitamarhi,91.7,46.8
3_10_207_0,2001,Rural,3,India,10,Bihar,207,Madhubani,85.80000000000001,8.9
3_10_207_0,2001,Total,3,India,10,Bihar,207,Madhubani,85.80000000000001,10
3_10_207_0,2001,Urban,3,India,10,Bihar,207,Madhubani,84,44.5
3_10_208_0,2001,Rural,3,India,10,Bihar,208,Supaul,92.90000000000001,4.9
3_10_208_0,2001,Total,3,India,10,Bihar,208,Supaul,92.80000000000001,6.100000000000001
3_10_208_0,2001,Urban,3,India,10,Bihar,208,Supaul,91.60000000000001,30.6
3_10_209_0,2001,Rural,3,India,10,Bihar,209,Araria,92.7,4.3
3_10_209_0,2001,Total,3,India,10,Bihar,209,Araria,92.90000000000001,6.2
3_10_209_0,2001,Urban,3,India,10,Bihar,209,Araria,95.5,41.2
3_10_210_0,2001,Rural,3,India,10,Bihar,210,Kishanganj,86.2,4
3_10_210_0,2001,Total,3,India,10,Bihar,210,Kishanganj,86.60000000000001,6.5
3_10_210_0,2001,Urban,3,India,10,Bihar,210,Kishanganj,89.80000000000001,31.5
