id,spatial_data_yr,geography,L0_code,L0_name,L1_code,L1_name,L2_code,L2_name,area_lit,pop_lit,dens_lit
3_10_203_0,2011,Rural,3,India,10,Bihar,203,Pashchim Champaran,5182,3577,.6900000000000001
3_10_203_0,2011,Total,3,India,10,Bihar,203,Pashchim Champaran,5244,3818,728
3_10_203_0,2011,Urban,3,India,10,Bihar,203,Pashchim Champaran,62.6,240,3840
3_10_204_0,2011,Rural,3,India,10,Bihar,204,Purba Champaran,3947,4781,1.2
3_10_204_0,2011,Total,3,India,10,Bihar,204,Purba Champaran,3997,5025,1257
3_10_204_0,2011,Urban,3,India,10,Bihar,204,Purba Champaran,49.6,244,4929
3_10_205_0,2011,Rural,3,India,10,Bihar,205,Sheohar,447,671,1.5
3_10_205_0,2011,Total,3,India,10,Bihar,205,Sheohar,447,671,1500
3_10_205_0,2011,Urban,3,India,10,Bihar,205,Sheohar,0,0,
3_10_206_0,2011,Rural,3,India,10,Bihar,206,Sitamarhi,2123,3387,1.6
3_10_206_0,2011,Total,3,India,10,Bihar,206,Sitamarhi,2155,3560,1652
3_10_206_0,2011,Urban,3,India,10,Bihar,206,Sitamarhi,31.4,173,5510
3_10_207_0,2011,Rural,3,India,10,Bihar,207,Madhubani,3400,5172,1.5
3_10_207_0,2011,Total,3,India,10,Bihar,207,Madhubani,3449,5374,1558
3_10_207_0,2011,Urban,3,India,10,Bihar,207,Madhubani,48.90000000000001,202,4131
3_10_208_0,2011,Rural,3,India,10,Bihar,208,Supaul,2425,2363,.97
3_10_208_0,2011,Total,3,India,10,Bihar,208,Supaul,2465,2453,995
3_10_208_0,2011,Urban,3,India,10,Bihar,208,Supaul,39.5,90.7,2298
3_10_209_0,2011,Rural,3,India,10,Bihar,209,Araria,2708,2845,1.1
3_10_209_0,2011,Total,3,India,10,Bihar,209,Araria,2759,2980,1080
3_10_209_0,2011,Urban,3,India,10,Bihar,209,Araria,51.2,135,2637
3_10_210_0,2011,Rural,3,India,10,Bihar,210,Kishanganj,1858,1452,.78
3_10_210_0,2011,Total,3,India,10,Bihar,210,Kishanganj,1921,1600,833
3_10_210_0,2011,Urban,3,India,10,Bihar,210,Kishanganj,62.6,148,2360
3_10_211_0,2011,Rural,3,India,10,Bihar,211,Purnia,3085,2547,.8300000000000001
3_10_211_0,2011,Total,3,India,10,Bihar,211,Purnia,3220,2912,904
3_10_211_0,2011,Urban,3,India,10,Bihar,211,Purnia,135,366,2703
3_10_212_0,2011,Rural,3,India,10,Bihar,212,Katihar,3008,2442,.8100000000000001
3_10_212_0,2011,Total,3,India,10,Bihar,212,Katihar,3072,2628,855
3_10_212_0,2011,Urban,3,India,10,Bihar,212,Katihar,64,186,2909
3_10_213_0,2011,Rural,3,India,10,Bihar,213,Madhepura,1748,1498,.86
3_10_213_0,2011,Total,3,India,10,Bihar,213,Madhepura,1777,1554,874
3_10_213_0,2011,Urban,3,India,10,Bihar,213,Madhepura,29.3,55.6,1900
3_10_214_0,2011,Rural,3,India,10,Bihar,214,Saharsa,1662,1312,.79
3_10_214_0,2011,Total,3,India,10,Bihar,214,Saharsa,1710,1519,888
3_10_214_0,2011,Urban,3,India,10,Bihar,214,Saharsa,47.8,207,4332
3_10_215_0,2011,Rural,3,India,10,Bihar,215,Darbhanga,2440,3364,1.4
3_10_215_0,2011,Total,3,India,10,Bihar,215,Darbhanga,2528,3743,1480
3_10_215_0,2011,Urban,3,India,10,Bihar,215,Darbhanga,88,379,4303
3_10_216_0,2011,Rural,3,India,10,Bihar,216,Muzaffarpur,3035,3770,1.2
3_10_216_0,2011,Total,3,India,10,Bihar,216,Muzaffarpur,3212,4429,1379
3_10_216_0,2011,Urban,3,India,10,Bihar,216,Muzaffarpur,176,659,3734
3_10_217_0,2011,Rural,3,India,10,Bihar,217,Gopalganj,2017,2698,1.3
3_10_217_0,2011,Total,3,India,10,Bihar,217,Gopalganj,2038,2778,1363
3_10_217_0,2011,Urban,3,India,10,Bihar,217,Gopalganj,21.5,79.60000000000001,3707
3_10_218_0,2011,Rural,3,India,10,Bihar,218,Siwan,2194,2936,1.3
3_10_218_0,2011,Total,3,India,10,Bihar,218,Siwan,2226,3052,1371
3_10_218_0,2011,Urban,3,India,10,Bihar,218,Siwan,32.3,116,3607
3_10_219_0,2011,Rural,3,India,10,Bihar,219,Saran,2460,3143,1.3
3_10_219_0,2011,Total,3,India,10,Bihar,219,Saran,2639,3507,1329
3_10_219_0,2011,Urban,3,India,10,Bihar,219,Saran,178,363,2036
3_10_220_0,2011,Rural,3,India,10,Bihar,220,Vaishali,1912,2532,1.3
3_10_220_0,2011,Total,3,India,10,Bihar,220,Vaishali,2016,2689,1334
3_10_220_0,2011,Urban,3,India,10,Bihar,220,Vaishali,103,157,1520
3_10_221_0,2011,Rural,3,India,10,Bihar,221,Samastipur,2529,3284,1.3
3_10_221_0,2011,Total,3,India,10,Bihar,221,Samastipur,2600,3398,1307
3_10_221_0,2011,Urban,3,India,10,Bihar,221,Samastipur,71.2,114,1598
3_10_222_0,2011,Rural,3,India,10,Bihar,222,Begusarai,1671,1924,1.2
3_10_222_0,2011,Total,3,India,10,Bihar,222,Begusarai,1886,2510,1331
3_10_222_0,2011,Urban,3,India,10,Bihar,222,Begusarai,214,586,2736
3_10_223_0,2011,Rural,3,India,10,Bihar,223,Khagaria,1467,1383,.9400000000000001
3_10_223_0,2011,Total,3,India,10,Bihar,223,Khagaria,1488,1441,968
3_10_223_0,2011,Urban,3,India,10,Bihar,223,Khagaria,20.8,57.90000000000001,2779
3_10_224_0,2011,Rural,3,India,10,Bihar,224,Bhagalpur,2360,1748,.74
3_10_224_0,2011,Total,3,India,10,Bihar,224,Bhagalpur,2559,2272,888
3_10_224_0,2011,Urban,3,India,10,Bihar,224,Bhagalpur,200,524,2623
3_10_225_0,2011,Rural,3,India,10,Bihar,225,Banka,3076,2337,.76
3_10_225_0,2011,Total,3,India,10,Bihar,225,Banka,3078,2343,761
3_10_225_0,2011,Urban,3,India,10,Bihar,225,Banka,1.6,6.600000000000001,4216
3_10_226_0,2011,Rural,3,India,10,Bihar,226,Munger,1329,831,.63
3_10_226_0,2011,Total,3,India,10,Bihar,226,Munger,1395,1163,834
3_10_226_0,2011,Urban,3,India,10,Bihar,226,Munger,65.90000000000001,332,5042
3_10_227_0,2011,Rural,3,India,10,Bihar,227,Lakhisarai,1264,868,.6900000000000001
3_10_227_0,2011,Total,3,India,10,Bihar,227,Lakhisarai,1295,948,732
3_10_227_0,2011,Urban,3,India,10,Bihar,227,Lakhisarai,30.8,79.80000000000001,2594
3_10_228_0,2011,Rural,3,India,10,Bihar,228,Sheikhpura,628,514,.8200000000000001
3_10_228_0,2011,Total,3,India,10,Bihar,228,Sheikhpura,643,531,825
3_10_228_0,2011,Urban,3,India,10,Bihar,228,Sheikhpura,14.7,16.4,1110
3_10_229_0,2011,Rural,3,India,10,Bihar,229,Nalanda,2161,2199,1
3_10_229_0,2011,Total,3,India,10,Bihar,229,Nalanda,2319,2625,1132
3_10_229_0,2011,Urban,3,India,10,Bihar,229,Nalanda,158,426,2693
3_10_230_0,2011,Rural,3,India,10,Bihar,230,Patna,2695,2425,.9
3_10_230_0,2011,Total,3,India,10,Bihar,230,Patna,3309,5627,1701
3_10_230_0,2011,Urban,3,India,10,Bihar,230,Patna,614,3202,5214
3_10_231_0,2011,Rural,3,India,10,Bihar,231,Bhojpur,2380,2380,1
3_10_231_0,2011,Total,3,India,10,Bihar,231,Bhojpur,2434,2681,1101
3_10_231_0,2011,Urban,3,India,10,Bihar,231,Bhojpur,53.90000000000001,301,5583
3_10_232_0,2011,Rural,3,India,10,Bihar,232,Buxar,1693,1537,.91
3_10_232_0,2011,Total,3,India,10,Bihar,232,Buxar,1703,1603,941
3_10_232_0,2011,Urban,3,India,10,Bihar,232,Buxar,10.3,65.5,6349
3_10_233_0,2011,Rural,3,India,10,Bihar,233,Kaimur (Bhabua),3309,1456,.44
3_10_233_0,2011,Total,3,India,10,Bihar,233,Kaimur (Bhabua),3338,1483,444
3_10_233_0,2011,Urban,3,India,10,Bihar,233,Kaimur (Bhabua),28.7,27.1,944
3_10_234_0,2011,Rural,3,India,10,Bihar,234,Rohtas,3762,2401,.64
3_10_234_0,2011,Total,3,India,10,Bihar,234,Rohtas,3862,2722,705
3_10_234_0,2011,Urban,3,India,10,Bihar,234,Rohtas,99.40000000000001,321,3235
3_10_235_0,2011,Rural,3,India,10,Bihar,235,Aurangabad,3306,2115,.64
3_10_235_0,2011,Total,3,India,10,Bihar,235,Aurangabad,3327,2213,665
3_10_235_0,2011,Urban,3,India,10,Bihar,235,Aurangabad,21.1,98,4645
3_10_236_0,2011,Rural,3,India,10,Bihar,236,Gaya,4801,3337,.7000000000000001
3_10_236_0,2011,Total,3,India,10,Bihar,236,Gaya,4986,3939,790
3_10_236_0,2011,Urban,3,India,10,Bihar,236,Gaya,185,602,3253
3_10_237_0,2011,Rural,3,India,10,Bihar,237,Nawada,2468,1891,.77
3_10_237_0,2011,Total,3,India,10,Bihar,237,Nawada,2503,1952,780
3_10_237_0,2011,Urban,3,India,10,Bihar,237,Nawada,35,61.3,1754
3_10_238_0,2011,Rural,3,India,10,Bihar,238,Jamui,3034,1690,.5600000000000001
3_10_238_0,2011,Total,3,India,10,Bihar,238,Jamui,3055,1745,571
3_10_238_0,2011,Urban,3,India,10,Bihar,238,Jamui,21,55.1,2626
3_10_239_0,2011,Rural,3,India,10,Bihar,239,Jehanabad,885,795,.9
3_10_239_0,2011,Total,3,India,10,Bihar,239,Jehanabad,916,890,973
3_10_239_0,2011,Urban,3,India,10,Bihar,239,Jehanabad,31,95.40000000000001,3078
3_10_240_0,2011,Rural,3,India,10,Bihar,240,Arwal,627,533,.85
3_10_240_0,2011,Total,3,India,10,Bihar,240,Arwal,627,533,850
3_10_240_0,2011,Urban,3,India,10,Bihar,240,Arwal,0,0,
3_11_241_0,2011,Rural,3,India,11,Sikkim,241,North  District,4212,62.7,.01
3_11_241_0,2011,Total,3,India,11,Sikkim,241,North  District,4212,62.7,14.9
3_11_241_0,2011,Urban,3,India,11,Sikkim,241,North  District,0,0,
3_11_242_0,2011,Rural,3,India,11,Sikkim,242,West District,1157,126,.11
3_11_242_0,2011,Total,3,India,11,Sikkim,242,West District,1174,131,112
3_11_242_0,2011,Urban,3,India,11,Sikkim,242,West District,16.3,5.100000000000001,311
