id,spatial_data_yr,geography,L0_code,L0_name,L1_code,L1_name,L2_code,L2_name,bank_t,bank_slm,e_fin1,e_fin2,e_fin3,e_fin4,e_fin5,e_pr_fin1,e_pr_fin2,e_pr_fin3,e_pr_fin4,e_pr_fin5
3_10_203_0,2011,Rural,3,India,10,Bihar,203,Pashchim Champaran,36.6,,94,5,.6000000000000001,.3,.2,93.7,.4,.6000000000000001,.3,.1
3_10_203_0,2011,Total,3,India,10,Bihar,203,Pashchim Champaran,37.8,,94.90000000000001,4.2,.6000000000000001,.2,.1,94.60000000000001,.4,.6000000000000001,.2,.1
3_10_203_0,2011,Urban,3,India,10,Bihar,203,Pashchim Champaran,48.1,41.2,96.80000000000001,2.4,.6000000000000001,.1,.1,96.7,.3,.6000000000000001,.1,.1
3_10_204_0,2011,Rural,3,India,10,Bihar,204,Purba Champaran,39.7,,91,4.800000000000001,2.8,1.1,.3,90.90000000000001,1.3,2.8,1.1,.2
3_10_204_0,2011,Total,3,India,10,Bihar,204,Purba Champaran,40.7,,90.2,4.7,3.6,1.2,.2,90.10000000000001,1.5,3.6,1.2,.2
3_10_204_0,2011,Urban,3,India,10,Bihar,204,Purba Champaran,54.3,48.2,87.7,4.4,6.2,1.6,.1,87.60000000000001,2.3,6.2,1.6,.1
3_10_205_0,2011,Rural,3,India,10,Bihar,205,Sheohar,54,,94.7,4.3,.7000000000000001,.1,.1,93,.7000000000000001,.7000000000000001,.1,.1
3_10_205_0,2011,Total,3,India,10,Bihar,205,Sheohar,54.40000000000001,,95.2,3.8,.6000000000000001,.3,.1,93.5,.8,.6000000000000001,.3,.1
3_10_205_0,2011,Urban,3,India,10,Bihar,205,Sheohar,64.5,55.2,97.10000000000001,2,.1,.8,0,95.40000000000001,1.3,.1,.8,0
3_10_206_0,2011,Rural,3,India,10,Bihar,206,Sitamarhi,31.6,,91.30000000000001,3.7,3.2,1.5,.2,90.40000000000001,1.8,3.2,1.5,.2
3_10_206_0,2011,Total,3,India,10,Bihar,206,Sitamarhi,32.7,,91.10000000000001,3.7,3.2,1.8,.2,90.2,1.9,3.2,1.8,.2
3_10_206_0,2011,Urban,3,India,10,Bihar,206,Sitamarhi,52.2,54.6,90,3.8,3.1,3,.1,89.40000000000001,2,3.1,3,.1
3_10_207_0,2011,Rural,3,India,10,Bihar,207,Madhubani,37.6,,90.40000000000001,6,2.4,.9,.2,89.40000000000001,1,2.4,.9,.2
3_10_207_0,2011,Total,3,India,10,Bihar,207,Madhubani,38,,90.40000000000001,5.800000000000001,2.6,1,.2,89.5,.9,2.6,1,.2
3_10_207_0,2011,Urban,3,India,10,Bihar,207,Madhubani,49.5,28.5,90,4.9,3.7,1.1,.2,89.7,.5,3.7,1.1,.2
3_10_208_0,2011,Rural,3,India,10,Bihar,208,Supaul,41.40000000000001,,93.80000000000001,3.9,1.3,.9,.1,93.40000000000001,.9,1.3,.9,.1
3_10_208_0,2011,Total,3,India,10,Bihar,208,Supaul,41.90000000000001,,93.5,3.8,1.8,.8,.1,93.10000000000001,.9,1.8,.8,.1
3_10_208_0,2011,Urban,3,India,10,Bihar,208,Supaul,53.8,42.7,92.2,3.6,3.6,.4,.2,92.10000000000001,1.1,3.6,.4,.2
3_10_209_0,2011,Rural,3,India,10,Bihar,209,Araria,19.2,,93,5.300000000000001,.9,.5,.2,92.80000000000001,.6000000000000001,.9,.5,.2
3_10_209_0,2011,Total,3,India,10,Bihar,209,Araria,20.6,,93.40000000000001,5.100000000000001,.9,.5,.2,93.2,.5,.9,.5,.2
3_10_209_0,2011,Urban,3,India,10,Bihar,209,Araria,44.8,,94.30000000000001,4.5,.7000000000000001,.4,0,94.10000000000001,.2,.7000000000000001,.4,0
3_10_210_0,2011,Rural,3,India,10,Bihar,210,Kishanganj,17.8,,87.5,8.300000000000001,2.8,.7000000000000001,.6000000000000001,86.2,1.4,2.8,.7000000000000001,.5
3_10_210_0,2011,Total,3,India,10,Bihar,210,Kishanganj,20.3,,88.80000000000001,6.9,3,.6000000000000001,.6000000000000001,87.60000000000001,1.2,3,.6000000000000001,.5
3_10_210_0,2011,Urban,3,India,10,Bihar,210,Kishanganj,45.2,34.5,92.80000000000001,2.8,3.3,.3,.8,91.60000000000001,.7000000000000001,3.3,.2,.6000000000000001
3_10_211_0,2011,Rural,3,India,10,Bihar,211,Purnia,22.9,,94.2,5.5,.3,.1,0,94,.4,.3,.1,0
3_10_211_0,2011,Total,3,India,10,Bihar,211,Purnia,25.7,,93.90000000000001,5.300000000000001,.5,.2,.1,93.7,.3,.5,.2,0
3_10_211_0,2011,Urban,3,India,10,Bihar,211,Purnia,51.40000000000001,29.5,93.30000000000001,4.800000000000001,1.1,.7000000000000001,.1,93.10000000000001,.1,1.1,.7000000000000001,.1
3_10_212_0,2011,Rural,3,India,10,Bihar,212,Katihar,25.2,,93.10000000000001,6.5,.2,.2,.1,92.90000000000001,.1,.2,.2,0
3_10_212_0,2011,Total,3,India,10,Bihar,212,Katihar,27.8,,93,6.600000000000001,.2,.1,.1,92.80000000000001,.2,.2,.1,0
3_10_212_0,2011,Urban,3,India,10,Bihar,212,Katihar,54.3,45.7,92.7,7.100000000000001,.2,0,0,92.40000000000001,.3,.2,0,0
3_10_213_0,2011,Rural,3,India,10,Bihar,213,Madhepura,29.6,,90.60000000000001,4.100000000000001,4,.6000000000000001,.8,90.40000000000001,.7000000000000001,4,.6000000000000001,.7000000000000001
3_10_213_0,2011,Total,3,India,10,Bihar,213,Madhepura,30.6,,91.40000000000001,3.7,3.4,.7000000000000001,.7000000000000001,91.2,.5,3.4,.7000000000000001,.7000000000000001
3_10_213_0,2011,Urban,3,India,10,Bihar,213,Madhepura,53.8,31.4,93.40000000000001,2.6,2,1.3,.7000000000000001,93.2,.2,2,1.3,.7000000000000001
3_10_214_0,2011,Rural,3,India,10,Bihar,214,Saharsa,34.1,,90.30000000000001,5.7,2.4,.9,.6000000000000001,89.80000000000001,.7000000000000001,2.4,.9,.5
3_10_214_0,2011,Total,3,India,10,Bihar,214,Saharsa,36,,91.10000000000001,5.7,2.1,.6000000000000001,.5,90.5,1.2,2,.6000000000000001,.5
3_10_214_0,2011,Urban,3,India,10,Bihar,214,Saharsa,58.3,48,92.5,5.800000000000001,1.3,.1,.3,91.90000000000001,2.1,1.3,.1,.3
3_10_215_0,2011,Rural,3,India,10,Bihar,215,Darbhanga,36.2,,96.2,2.7,.9,.2,0,96,.2,.9,.2,0
3_10_215_0,2011,Total,3,India,10,Bihar,215,Darbhanga,38.1,,96.2,2.8,.8,.1,.1,96,.2,.8,.1,.1
3_10_215_0,2011,Urban,3,India,10,Bihar,215,Darbhanga,56.8,47.7,96.10000000000001,3.2,.5,0,.1,95.80000000000001,.3,.5,0,.1
3_10_216_0,2011,Rural,3,India,10,Bihar,216,Muzaffarpur,45.40000000000001,,93.60000000000001,5,.5,.8,.1,93.40000000000001,.2,.5,.8,.1
3_10_216_0,2011,Total,3,India,10,Bihar,216,Muzaffarpur,47.40000000000001,,94,4.600000000000001,.6000000000000001,.7000000000000001,.1,93.80000000000001,.3,.6000000000000001,.7000000000000001,.1
