id,spatial_data_yr,geography,L0_code,L0_name,L1_code,L1_name,L2_code,L2_name,area,pop,dens
3_10_203_0,2011,Rural,3,India,10,Bihar,203,Pashchim Champaran,5143,3542,689
3_10_203_0,2011,Total,3,India,10,Bihar,203,Pashchim Champaran,5244,3935,750
3_10_203_0,2011,Urban,3,India,10,Bihar,203,Pashchim Champaran,101,393,3887
3_10_204_0,2011,Rural,3,India,10,Bihar,204,Purba Champaran,3869,4698,1214
3_10_204_0,2011,Total,3,India,10,Bihar,204,Purba Champaran,3997,5099,1276
3_10_204_0,2011,Urban,3,India,10,Bihar,204,Purba Champaran,128,401,3135
3_10_205_0,2011,Rural,3,India,10,Bihar,205,Sheohar,437,628,1438
3_10_205_0,2011,Total,3,India,10,Bihar,205,Sheohar,447,656,1468
3_10_205_0,2011,Urban,3,India,10,Bihar,205,Sheohar,10.2,28.1,2750
3_10_206_0,2011,Rural,3,India,10,Bihar,206,Sitamarhi,2116,3233,1528
3_10_206_0,2011,Total,3,India,10,Bihar,206,Sitamarhi,2155,3424,1589
3_10_206_0,2011,Urban,3,India,10,Bihar,206,Sitamarhi,38.7,190,4922
3_10_207_0,2011,Rural,3,India,10,Bihar,207,Madhubani,3414,4326,1267
3_10_207_0,2011,Total,3,India,10,Bihar,207,Madhubani,3449,4487,1301
3_10_207_0,2011,Urban,3,India,10,Bihar,207,Madhubani,34.2,161,4729
3_10_208_0,2011,Rural,3,India,10,Bihar,208,Supaul,2428,2124,875
3_10_208_0,2011,Total,3,India,10,Bihar,208,Supaul,2465,2229,904
3_10_208_0,2011,Urban,3,India,10,Bihar,208,Supaul,36.5,106,2889
3_10_209_0,2011,Rural,3,India,10,Bihar,209,Araria,2707,2643,976
3_10_209_0,2011,Total,3,India,10,Bihar,209,Araria,2759,2812,1019
3_10_209_0,2011,Urban,3,India,10,Bihar,209,Araria,52,169,3245
3_10_210_0,2011,Rural,3,India,10,Bihar,210,Kishanganj,1854,1529,825
3_10_210_0,2011,Total,3,India,10,Bihar,210,Kishanganj,1921,1690,880
3_10_210_0,2011,Urban,3,India,10,Bihar,210,Kishanganj,66.8,161,2413
3_10_211_0,2011,Rural,3,India,10,Bihar,211,Purnia,3113,2922,938
3_10_211_0,2011,Total,3,India,10,Bihar,211,Purnia,3220,3265,1014
3_10_211_0,2011,Urban,3,India,10,Bihar,211,Purnia,107,343,3215
3_10_212_0,2011,Rural,3,India,10,Bihar,212,Katihar,3024,2797,925
3_10_212_0,2011,Total,3,India,10,Bihar,212,Katihar,3072,3071,1000
3_10_212_0,2011,Urban,3,India,10,Bihar,212,Katihar,48.2,274,5686
3_10_213_0,2011,Rural,3,India,10,Bihar,213,Madhepura,1747,1913,1095
3_10_213_0,2011,Total,3,India,10,Bihar,213,Madhepura,1777,2002,1126
3_10_213_0,2011,Urban,3,India,10,Bihar,213,Madhepura,30.2,88.5,2927
3_10_214_0,2011,Rural,3,India,10,Bihar,214,Saharsa,1679,1744,1039
3_10_214_0,2011,Total,3,India,10,Bihar,214,Saharsa,1710,1901,1111
3_10_214_0,2011,Urban,3,India,10,Bihar,214,Saharsa,30.7,157,5098
3_10_215_0,2011,Rural,3,India,10,Bihar,215,Darbhanga,2456,3554,1447
3_10_215_0,2011,Total,3,India,10,Bihar,215,Darbhanga,2528,3937,1557
3_10_215_0,2011,Urban,3,India,10,Bihar,215,Darbhanga,71.8,383,5339
3_10_216_0,2011,Rural,3,India,10,Bihar,216,Muzaffarpur,3143,4328,1377
3_10_216_0,2011,Total,3,India,10,Bihar,216,Muzaffarpur,3212,4801,1495
3_10_216_0,2011,Urban,3,India,10,Bihar,216,Muzaffarpur,69.2,473,6840
3_10_217_0,2011,Rural,3,India,10,Bihar,217,Gopalganj,1988,2399,1207
3_10_217_0,2011,Total,3,India,10,Bihar,217,Gopalganj,2038,2562,1257
3_10_217_0,2011,Urban,3,India,10,Bihar,217,Gopalganj,50.2,163,3241
3_10_218_0,2011,Rural,3,India,10,Bihar,218,Siwan,2197,3148,1433
3_10_218_0,2011,Total,3,India,10,Bihar,218,Siwan,2226,3330,1496
3_10_218_0,2011,Urban,3,India,10,Bihar,218,Siwan,29.5,183,6191
3_10_219_0,2011,Rural,3,India,10,Bihar,219,Saran,2571,3599,1400
3_10_219_0,2011,Total,3,India,10,Bihar,219,Saran,2639,3952,1498
3_10_219_0,2011,Urban,3,India,10,Bihar,219,Saran,67.90000000000001,353,5204
3_10_220_0,2011,Rural,3,India,10,Bihar,220,Vaishali,1974,3262,1652
3_10_220_0,2011,Total,3,India,10,Bihar,220,Vaishali,2016,3495,1734
3_10_220_0,2011,Urban,3,India,10,Bihar,220,Vaishali,41.40000000000001,233,5623
3_10_221_0,2011,Rural,3,India,10,Bihar,221,Samastipur,2584,4114,1592
3_10_221_0,2011,Total,3,India,10,Bihar,221,Samastipur,2600,4262,1639
3_10_221_0,2011,Urban,3,India,10,Bihar,221,Samastipur,16.2,148,9111
3_10_222_0,2011,Rural,3,India,10,Bihar,222,Begusarai,1744,2401,1376
3_10_222_0,2011,Total,3,India,10,Bihar,222,Begusarai,1886,2971,1575
3_10_222_0,2011,Urban,3,India,10,Bihar,222,Begusarai,141,570,4032
3_10_223_0,2011,Rural,3,India,10,Bihar,223,Khagaria,1477,1580,1070
3_10_223_0,2011,Total,3,India,10,Bihar,223,Khagaria,1488,1667,1120
3_10_223_0,2011,Urban,3,India,10,Bihar,223,Khagaria,11.1,87.2,7881
3_10_224_0,2011,Rural,3,India,10,Bihar,224,Bhagalpur,2502,2435,973
3_10_224_0,2011,Total,3,India,10,Bihar,224,Bhagalpur,2559,3038,1187
3_10_224_0,2011,Urban,3,India,10,Bihar,224,Bhagalpur,57.40000000000001,603,10493
3_10_225_0,2011,Rural,3,India,10,Bihar,225,Banka,3044,1963,645
3_10_225_0,2011,Total,3,India,10,Bihar,225,Banka,3078,2035,661
3_10_225_0,2011,Urban,3,India,10,Bihar,225,Banka,33.8,71.3,2109
3_10_226_0,2011,Rural,3,India,10,Bihar,226,Munger,1335,988,740
3_10_226_0,2011,Total,3,India,10,Bihar,226,Munger,1395,1368,981
3_10_226_0,2011,Urban,3,India,10,Bihar,226,Munger,60.1,380,6325
3_10_227_0,2011,Rural,3,India,10,Bihar,227,Lakhisarai,1228,858,699
3_10_227_0,2011,Total,3,India,10,Bihar,227,Lakhisarai,1295,1001,773
3_10_227_0,2011,Urban,3,India,10,Bihar,227,Lakhisarai,66.90000000000001,143,2139
