id,spatial_data_yr,geography,L0_code,L0_name,L1_code,L1_name,L2_code,L2_name,sex_rat_t,sex_rat_04,sex_rat_b,dep_rat_t,dep_rat_ag,dep_rat_014
3_10_203_0,2011,Rural,3,India,10,Bihar,203,Pashchim Champaran,91.10000000000001,96.40000000000001,93.2,81.2,6.9,74.3
3_10_203_0,2011,Total,3,India,10,Bihar,203,Pashchim Champaran,90.90000000000001,96.10000000000001,92.90000000000001,79.40000000000001,6.800000000000001,72.5
3_10_203_0,2011,Urban,3,India,10,Bihar,203,Pashchim Champaran,89.7,93.10000000000001,89.5,64.5,6.4,58.1
3_10_204_0,2011,Rural,3,India,10,Bihar,204,Purba Champaran,90.30000000000001,94.10000000000001,89.60000000000001,81.90000000000001,6.9,75
3_10_204_0,2011,Total,3,India,10,Bihar,204,Purba Champaran,90.2,94,89.60000000000001,80.60000000000001,6.800000000000001,73.8
3_10_204_0,2011,Urban,3,India,10,Bihar,204,Purba Champaran,88.40000000000001,92.2,89.60000000000001,66.8,6.100000000000001,60.8
3_10_205_0,2011,Rural,3,India,10,Bihar,205,Sheohar,89.30000000000001,94.60000000000001,90.60000000000001,80,8.9,71.10000000000001
3_10_205_0,2011,Total,3,India,10,Bihar,205,Sheohar,89.30000000000001,94.60000000000001,90.30000000000001,79.90000000000001,8.800000000000001,71.10000000000001
3_10_205_0,2011,Urban,3,India,10,Bihar,205,Sheohar,88.90000000000001,96.2,85.30000000000001,77.30000000000001,6.800000000000001,70.5
3_10_206_0,2011,Rural,3,India,10,Bihar,206,Sitamarhi,90,94.2,91,79.80000000000001,7.5,72.3
3_10_206_0,2011,Total,3,India,10,Bihar,206,Sitamarhi,89.90000000000001,93.90000000000001,90.90000000000001,78.80000000000001,7.4,71.40000000000001
3_10_206_0,2011,Urban,3,India,10,Bihar,206,Sitamarhi,87.60000000000001,88.10000000000001,88.2,63.40000000000001,6.2,57.2
3_10_207_0,2011,Rural,3,India,10,Bihar,207,Madhubani,92.80000000000001,94,90.80000000000001,75,7.600000000000001,67.40000000000001
3_10_207_0,2011,Total,3,India,10,Bihar,207,Madhubani,92.60000000000001,93.90000000000001,90.60000000000001,74.5,7.5,67
3_10_207_0,2011,Urban,3,India,10,Bihar,207,Madhubani,89.90000000000001,92.2,84.40000000000001,62.5,6.300000000000001,56.2
3_10_208_0,2011,Rural,3,India,10,Bihar,208,Supaul,93.10000000000001,94.80000000000001,93.40000000000001,81.40000000000001,7,74.40000000000001
3_10_208_0,2011,Total,3,India,10,Bihar,208,Supaul,92.90000000000001,94.7,93.30000000000001,80.60000000000001,7,73.7
3_10_208_0,2011,Urban,3,India,10,Bihar,208,Supaul,89.2,92.40000000000001,90.80000000000001,66.2,5.9,60.3
3_10_209_0,2011,Rural,3,India,10,Bihar,209,Araria,92.30000000000001,96.5,94.5,84,6.2,77.80000000000001
3_10_209_0,2011,Total,3,India,10,Bihar,209,Araria,92.10000000000001,96.5,94.60000000000001,82.7,6.2,76.5
3_10_209_0,2011,Urban,3,India,10,Bihar,209,Araria,89.5,97.60000000000001,95.30000000000001,65.3,5.9,59.40000000000001
3_10_210_0,2011,Rural,3,India,10,Bihar,210,Kishanganj,95.2,97.5,96,84.30000000000001,5.7,78.5
3_10_210_0,2011,Total,3,India,10,Bihar,210,Kishanganj,95,97.40000000000001,95.5,82.10000000000001,5.7,76.40000000000001
3_10_210_0,2011,Urban,3,India,10,Bihar,210,Kishanganj,92.60000000000001,96.40000000000001,90.40000000000001,64.10000000000001,5.800000000000001,58.3
3_10_211_0,2011,Rural,3,India,10,Bihar,211,Purnia,92.30000000000001,95.7,92.7,83.60000000000001,6,77.60000000000001
