id,spatial_data_yr,geography,L0_code,L0_name,L1_code,L1_name,L2_code,L2_name,edu_lit_7_t,edu_lit_7_f,edu_lit_7_m,edu_lit_15_t,edu_lit_15_f,edu_lit_15_m,edu_sec_15_t,edu_sec_15_f,edu_sec_15_m,edu_ter_15_t,edu_ter_15_f,edu_ter_15_m
3_10_203_0,2011,Rural,3,India,10,Bihar,203,Pashchim Champaran,53.90000000000001,42.5,64.2,70.5,55.3,83.10000000000001,27.5,17.2,36,1.1,.5,1.6
3_10_203_0,2011,Total,3,India,10,Bihar,203,Pashchim Champaran,55.7,44.7,65.60000000000001,72,57.3,84.10000000000001,29.3,18.9,37.9,1.6,.7000000000000001,2.4
3_10_203_0,2011,Urban,3,India,10,Bihar,203,Pashchim Champaran,71.10000000000001,64,77.5,89.40000000000001,80.60000000000001,97,51.40000000000001,39.6,61.6,8.1,2,13.5
3_10_204_0,2011,Rural,3,India,10,Bihar,204,Purba Champaran,54.40000000000001,43.40000000000001,64.2,55.2,36.8,72.10000000000001,15.3,12.6,17.7,4.9,3.2,6.4
3_10_204_0,2011,Total,3,India,10,Bihar,204,Purba Champaran,55.8,45.1,65.3,55.8,37.5,72.5,15.8,13,18.4,5.100000000000001,3.1,7
3_10_204_0,2011,Urban,3,India,10,Bihar,204,Purba Champaran,71.60000000000001,64.60000000000001,77.7,70.5,55.6,82.10000000000001,31.3,24.2,36.8,11.2,0,19.9
3_10_205_0,2011,Rural,3,India,10,Bihar,205,Sheohar,53.40000000000001,44.90000000000001,60.90000000000001,33.3,22.4,41.5,10,3,15.2,3.8,8.200000000000001,.6000000000000001
3_10_205_0,2011,Total,3,India,10,Bihar,205,Sheohar,53.8,45.3,61.3,34.1,23.8,41.90000000000001,10.1,3.4,15.2,4.3,8,1.5
3_10_205_0,2011,Urban,3,India,10,Bihar,205,Sheohar,62,52.7,70.10000000000001,56.3,57.7,55,14.5,13.9,15,17.1,4.2,29.1
3_10_206_0,2011,Rural,3,India,10,Bihar,206,Sitamarhi,50.8,41,59.5,29,20.5,38.3,10.1,5.800000000000001,14.9,.9,.4,1.6
