id,spatial_data_yr,geography,L0_code,L0_name,L1_code,L1_name,L2_code,L2_name,hh_cell_t,hh_cell_slm
3_10_203_0,2011,Rural,3,India,10,Bihar,203,Pashchim Champaran,49.5,
3_10_203_0,2011,Total,3,India,10,Bihar,203,Pashchim Champaran,50.6,
3_10_203_0,2011,Urban,3,India,10,Bihar,203,Pashchim Champaran,60,53.40000000000001
3_10_204_0,2011,Rural,3,India,10,Bihar,204,Purba Champaran,56.2,
3_10_204_0,2011,Total,3,India,10,Bihar,204,Purba Champaran,57,
3_10_204_0,2011,Urban,3,India,10,Bihar,204,Purba Champaran,67.10000000000001,57.8
3_10_205_0,2011,Rural,3,India,10,Bihar,205,Sheohar,54.1,
3_10_205_0,2011,Total,3,India,10,Bihar,205,Sheohar,54.40000000000001,
3_10_205_0,2011,Urban,3,India,10,Bihar,205,Sheohar,63.6,54.5
3_10_206_0,2011,Rural,3,India,10,Bihar,206,Sitamarhi,44,
3_10_206_0,2011,Total,3,India,10,Bihar,206,Sitamarhi,44.8,
3_10_206_0,2011,Urban,3,India,10,Bihar,206,Sitamarhi,60.40000000000001,62.40000000000001
3_10_207_0,2011,Rural,3,India,10,Bihar,207,Madhubani,51.6,
3_10_207_0,2011,Total,3,India,10,Bihar,207,Madhubani,51.90000000000001,
3_10_207_0,2011,Urban,3,India,10,Bihar,207,Madhubani,59,32.5
3_10_208_0,2011,Rural,3,India,10,Bihar,208,Supaul,44.90000000000001,
3_10_208_0,2011,Total,3,India,10,Bihar,208,Supaul,45.6,
3_10_208_0,2011,Urban,3,India,10,Bihar,208,Supaul,60.5,38.3
3_10_209_0,2011,Rural,3,India,10,Bihar,209,Araria,40.40000000000001,
3_10_209_0,2011,Total,3,India,10,Bihar,209,Araria,41.40000000000001,
3_10_209_0,2011,Urban,3,India,10,Bihar,209,Araria,57.5,
3_10_210_0,2011,Rural,3,India,10,Bihar,210,Kishanganj,36,
3_10_210_0,2011,Total,3,India,10,Bihar,210,Kishanganj,37.6,
3_10_210_0,2011,Urban,3,India,10,Bihar,210,Kishanganj,53.8,45.40000000000001
3_10_211_0,2011,Rural,3,India,10,Bihar,211,Purnia,36.6,
3_10_211_0,2011,Total,3,India,10,Bihar,211,Purnia,38.8,
3_10_211_0,2011,Urban,3,India,10,Bihar,211,Purnia,59.1,38.6
3_10_212_0,2011,Rural,3,India,10,Bihar,212,Katihar,35.2,
3_10_212_0,2011,Total,3,India,10,Bihar,212,Katihar,37.5,
3_10_212_0,2011,Urban,3,India,10,Bihar,212,Katihar,61.40000000000001,52.1
3_10_213_0,2011,Rural,3,India,10,Bihar,213,Madhepura,43.5,
3_10_213_0,2011,Total,3,India,10,Bihar,213,Madhepura,44.1,
3_10_213_0,2011,Urban,3,India,10,Bihar,213,Madhepura,57.40000000000001,21.8
3_10_214_0,2011,Rural,3,India,10,Bihar,214,Saharsa,41.90000000000001,
3_10_214_0,2011,Total,3,India,10,Bihar,214,Saharsa,43.8,
3_10_214_0,2011,Urban,3,India,10,Bihar,214,Saharsa,66.90000000000001,61.1
3_10_215_0,2011,Rural,3,India,10,Bihar,215,Darbhanga,51.3,
3_10_215_0,2011,Total,3,India,10,Bihar,215,Darbhanga,52.6,
3_10_215_0,2011,Urban,3,India,10,Bihar,215,Darbhanga,64.60000000000001,57.8
3_10_216_0,2011,Rural,3,India,10,Bihar,216,Muzaffarpur,52.7,
3_10_216_0,2011,Total,3,India,10,Bihar,216,Muzaffarpur,54.6,
3_10_216_0,2011,Urban,3,India,10,Bihar,216,Muzaffarpur,72.5,68.40000000000001
3_10_217_0,2011,Rural,3,India,10,Bihar,217,Gopalganj,71.7,
3_10_217_0,2011,Total,3,India,10,Bihar,217,Gopalganj,71.8,
3_10_217_0,2011,Urban,3,India,10,Bihar,217,Gopalganj,73.10000000000001,53
3_10_218_0,2011,Rural,3,India,10,Bihar,218,Siwan,70.5,
3_10_218_0,2011,Total,3,India,10,Bihar,218,Siwan,71,
3_10_218_0,2011,Urban,3,India,10,Bihar,218,Siwan,80.30000000000001,
3_10_219_0,2011,Rural,3,India,10,Bihar,219,Saran,63.1,
3_10_219_0,2011,Total,3,India,10,Bihar,219,Saran,63.6,
3_10_219_0,2011,Urban,3,India,10,Bihar,219,Saran,69.10000000000001,43.1
3_10_220_0,2011,Rural,3,India,10,Bihar,220,Vaishali,58.8,
3_10_220_0,2011,Total,3,India,10,Bihar,220,Vaishali,59.3,
3_10_220_0,2011,Urban,3,India,10,Bihar,220,Vaishali,66.60000000000001,60.6
3_10_221_0,2011,Rural,3,India,10,Bihar,221,Samastipur,49.3,
3_10_221_0,2011,Total,3,India,10,Bihar,221,Samastipur,49.90000000000001,
3_10_221_0,2011,Urban,3,India,10,Bihar,221,Samastipur,67.8,55.7
3_10_222_0,2011,Rural,3,India,10,Bihar,222,Begusarai,52.1,
