id,spatial_data_yr,geography,L0_code,L0_name,L1_code,L1_name,L2_code,L2_name,hh_intt_t,hh_intt_slm,ictc_inf_man,ictc_inf_ser
3_10_203_0,2011,Rural,3,India,10,Bihar,203,Pashchim Champaran,.4,,0,.1
3_10_203_0,2011,Total,3,India,10,Bihar,203,Pashchim Champaran,.5,,0,1
3_10_203_0,2011,Urban,3,India,10,Bihar,203,Pashchim Champaran,1.6,.9,0,3.6
3_10_204_0,2011,Rural,3,India,10,Bihar,204,Purba Champaran,.6000000000000001,,0,.1
3_10_204_0,2011,Total,3,India,10,Bihar,204,Purba Champaran,.8,,0,.2
3_10_204_0,2011,Urban,3,India,10,Bihar,204,Purba Champaran,2.5,2.2,0,.6000000000000001
3_10_205_0,2011,Rural,3,India,10,Bihar,205,Sheohar,.3,,0,0
3_10_205_0,2011,Total,3,India,10,Bihar,205,Sheohar,.3,,0,0
3_10_205_0,2011,Urban,3,India,10,Bihar,205,Sheohar,1.1,.2,0,0
3_10_206_0,2011,Rural,3,India,10,Bihar,206,Sitamarhi,.4,,0,0
3_10_206_0,2011,Total,3,India,10,Bihar,206,Sitamarhi,.5,,0,.4
3_10_206_0,2011,Urban,3,India,10,Bihar,206,Sitamarhi,2.4,1.7,0,2.3
3_10_207_0,2011,Rural,3,India,10,Bihar,207,Madhubani,.5,,0,0
3_10_207_0,2011,Total,3,India,10,Bihar,207,Madhubani,.6000000000000001,,0,.5
3_10_207_0,2011,Urban,3,India,10,Bihar,207,Madhubani,2,.9,0,4.7
3_10_208_0,2011,Rural,3,India,10,Bihar,208,Supaul,.4,,0,.5
3_10_208_0,2011,Total,3,India,10,Bihar,208,Supaul,.4,,0,.7000000000000001
3_10_208_0,2011,Urban,3,India,10,Bihar,208,Supaul,1.2,.2,0,1.8
3_10_209_0,2011,Rural,3,India,10,Bihar,209,Araria,.4,,0,.1
3_10_209_0,2011,Total,3,India,10,Bihar,209,Araria,.5,,.1,.2
3_10_209_0,2011,Urban,3,India,10,Bihar,209,Araria,2.1,,.5,1.1
3_10_210_0,2011,Rural,3,India,10,Bihar,210,Kishanganj,.2,,0,1.2
3_10_210_0,2011,Total,3,India,10,Bihar,210,Kishanganj,.3,,.2,.8
3_10_210_0,2011,Urban,3,India,10,Bihar,210,Kishanganj,1.5,.9,.7000000000000001,0
3_10_211_0,2011,Rural,3,India,10,Bihar,211,Purnia,.4,,0,.9
3_10_211_0,2011,Total,3,India,10,Bihar,211,Purnia,.7000000000000001,,.8,1.8
3_10_211_0,2011,Urban,3,India,10,Bihar,211,Purnia,3.3,.5,6.5,7.300000000000001
3_10_212_0,2011,Rural,3,India,10,Bihar,212,Katihar,.3,,0,0
3_10_212_0,2011,Total,3,India,10,Bihar,212,Katihar,.5,,.2,1.1
3_10_212_0,2011,Urban,3,India,10,Bihar,212,Katihar,2.4,2.2,3.1,5.100000000000001
