id,spatial_data_yr,geography,L0_code,L0_name,L1_code,L1_name,L2_code,L2_name,road_lng_t,road_lng_h,road_lng_r,road_lng_o,road_int_t,road_int_h,road_int_r,road_int_o,station_nmb_t,station_nmb_r,station_nmb_m,station_den_t,station_den_r,station_den_m
3_10_203_0,2011,Rural,3,India,10,Bihar,203,Pashchim Champaran,820,407,368,44.5,160,79.2,71.60000000000001,8.700000000000001,5,5,0,.97,.97,0
3_10_203_0,2011,Total,3,India,10,Bihar,203,Pashchim Champaran,881,451,385,45.6,168,86,73.3,8.700000000000001,9,9,0,1.72,1.72,0
3_10_203_0,2011,Urban,3,India,10,Bihar,203,Pashchim Champaran,60.8,43.7,16.1,1,601,432,159,10.3,4,4,0,39.54,39.54,0
3_10_204_0,2011,Rural,3,India,10,Bihar,204,Purba Champaran,775,510,229,35.2,200,132,59.2,9.1,6,6,0,1.55,1.55,0
3_10_204_0,2011,Total,3,India,10,Bihar,204,Purba Champaran,900,574,259,65.90000000000001,225,144,64.90000000000001,16.5,13,13,0,3.25,3.25,0
3_10_204_0,2011,Urban,3,India,10,Bihar,204,Purba Champaran,125,63.90000000000001,30.4,30.7,976,499,237,240,7,7,0,54.67,54.67,0
3_10_205_0,2011,Rural,3,India,10,Bihar,205,Sheohar,164,92.80000000000001,71.2,.1,376,212,163,.2,0,0,0,0,0,0
3_10_205_0,2011,Total,3,India,10,Bihar,205,Sheohar,171,99.5,71.2,.1,382,222,159,.2,0,0,0,0,0,0
3_10_205_0,2011,Urban,3,India,10,Bihar,205,Sheohar,6.7,6.7,0,0,652,652,0,0,0,0,0,0,0,0
3_10_206_0,2011,Rural,3,India,10,Bihar,206,Sitamarhi,509,391,103,15.3,240,185,48.5,7.2,2,2,0,.9500000000000001,.9500000000000001,0
3_10_206_0,2011,Total,3,India,10,Bihar,206,Sitamarhi,537,416,105,15.3,249,193,48.90000000000001,7.100000000000001,5,5,0,2.32,2.32,0
3_10_206_0,2011,Urban,3,India,10,Bihar,206,Sitamarhi,28.4,25.8,2.6,0,733,666,67.3,0,3,3,0,77.51000000000001,77.51000000000001,0
3_10_207_0,2011,Rural,3,India,10,Bihar,207,Madhubani,1076,604,439,32.3,315,177,129,9.4,3,3,0,.88,.88,0
3_10_207_0,2011,Total,3,India,10,Bihar,207,Madhubani,1155,630,458,67.90000000000001,335,183,133,19.7,4,4,0,1.16,1.16,0
3_10_207_0,2011,Urban,3,India,10,Bihar,207,Madhubani,79.5,25.8,18,35.6,2328,757,528,1043,1,1,0,29.28,29.28,0
3_10_208_0,2011,Rural,3,India,10,Bihar,208,Supaul,614,494,86.80000000000001,34.1,253,203,35.7,14,1,1,0,.41,.41,0
3_10_208_0,2011,Total,3,India,10,Bihar,208,Supaul,672,514,96.90000000000001,60.5,273,209,39.3,24.5,1,1,0,.41,.41,0
3_10_208_0,2011,Urban,3,India,10,Bihar,208,Supaul,57.3,20.7,10.2,26.4,1569,567,278,724,0,0,0,0,0,0
3_10_209_0,2011,Rural,3,India,10,Bihar,209,Araria,462,389,68.3,4.9,171,144,25.2,1.8,4,4,0,1.48,1.48,0
3_10_209_0,2011,Total,3,India,10,Bihar,209,Araria,517,432,80,5.100000000000001,187,157,29,1.8,8,8,0,2.9,2.9,0
3_10_209_0,2011,Urban,3,India,10,Bihar,209,Araria,55,43.1,11.7,.2,1057,830,224,3.5,4,4,0,76.90000000000001,76.90000000000001,0
3_10_210_0,2011,Rural,3,India,10,Bihar,210,Kishanganj,209,172,37.4,0,113,92.80000000000001,20.2,0,1,1,0,.54,.54,0
3_10_210_0,2011,Total,3,India,10,Bihar,210,Kishanganj,243,206,37.4,0,127,107,19.5,0,3,3,0,1.56,1.56,0
3_10_210_0,2011,Urban,3,India,10,Bihar,210,Kishanganj,33.9,33.9,0,0,507,507,0,0,2,2,0,29.95,29.95,0
3_10_211_0,2011,Rural,3,India,10,Bihar,211,Purnia,468,368,99.7,.5,150,118,32,.1,3,3,0,.96,.96,0
3_10_211_0,2011,Total,3,India,10,Bihar,211,Purnia,540,427,113,.5,168,132,35.1,.1,6,6,0,1.86,1.86,0
3_10_211_0,2011,Urban,3,India,10,Bihar,211,Purnia,72.60000000000001,59.1,13.5,0,680,554,126,0,3,3,0,28.12,28.12,0
3_10_212_0,2011,Rural,3,India,10,Bihar,212,Katihar,360,299,32.8,28.5,119,98.90000000000001,10.9,9.4,14,14,0,4.63,4.63,0
3_10_212_0,2011,Total,3,India,10,Bihar,212,Katihar,404,321,54.8,28.8,132,104,17.8,9.4,18,18,0,5.86,5.86,0
3_10_212_0,2011,Urban,3,India,10,Bihar,212,Katihar,44.1,21.8,22,.3,915,452,457,6.4,4,4,0,83.06,83.06,0
3_10_213_0,2011,Rural,3,India,10,Bihar,213,Madhepura,376,268,106,1.1,215,154,60.8,.6000000000000001,2,2,0,1.14,1.14,0
3_10_213_0,2011,Total,3,India,10,Bihar,213,Madhepura,396,286,109,1.2,223,161,61.2,.7000000000000001,4,4,0,2.25,2.25,0
3_10_213_0,2011,Urban,3,India,10,Bihar,213,Madhepura,20.6,18,2.5,.1,681,596,81.30000000000001,3.7,2,2,0,66.18000000000001,66.18000000000001,0
3_10_214_0,2011,Rural,3,India,10,Bihar,214,Saharsa,528,290,219,19.1,315,173,131,11.4,5,5,0,2.98,2.98,0
3_10_214_0,2011,Total,3,India,10,Bihar,214,Saharsa,626,310,251,65.60000000000001,366,181,147,38.3,6,6,0,3.51,3.51,0
3_10_214_0,2011,Urban,3,India,10,Bihar,214,Saharsa,98.30000000000001,20.2,31.6,46.5,3200,656,1029,1514,1,1,0,32.57,32.57,0
3_10_215_0,2011,Rural,3,India,10,Bihar,215,Darbhanga,467,421,46,0,190,171,18.7,0,5,5,0,2.04,2.04,0
3_10_215_0,2011,Total,3,India,10,Bihar,215,Darbhanga,518,462,55.90000000000001,0,205,183,22.1,0,6,6,0,2.37,2.37,0
3_10_215_0,2011,Urban,3,India,10,Bihar,215,Darbhanga,51,41.1,9.9,0,710,572,138,0,1,1,0,13.93,13.93,0
3_10_216_0,2011,Rural,3,India,10,Bihar,216,Muzaffarpur,810,611,196,2.6,258,194,62.3,.8,3,3,0,.9500000000000001,.9500000000000001,0
3_10_216_0,2011,Total,3,India,10,Bihar,216,Muzaffarpur,896,669,217,9.5,279,208,67.40000000000001,3,7,7,0,2.18,2.18,0
3_10_216_0,2011,Urban,3,India,10,Bihar,216,Muzaffarpur,86,58.2,20.8,6.9,1242,841,301,100,4,4,0,57.79,57.79,0
3_10_217_0,2011,Rural,3,India,10,Bihar,217,Gopalganj,687,338,345,3.7,345,170,173,1.9,5,5,0,2.52,2.52,0
3_10_217_0,2011,Total,3,India,10,Bihar,217,Gopalganj,733,363,363,6.600000000000001,360,178,178,3.2,6,6,0,2.94,2.94,0
3_10_217_0,2011,Urban,3,India,10,Bihar,217,Gopalganj,46.5,24.7,18.9,2.9,925,491,376,57.40000000000001,1,1,0,19.91,19.91,0
3_10_218_0,2011,Rural,3,India,10,Bihar,218,Siwan,919,363,555,1.2,419,165,253,.5,5,5,0,2.28,2.28,0
3_10_218_0,2011,Total,3,India,10,Bihar,218,Siwan,973,387,578,8.800000000000001,437,174,260,3.9,9,9,0,4.04,4.04,0
3_10_218_0,2011,Urban,3,India,10,Bihar,218,Siwan,53.8,23.7,22.5,7.600000000000001,1820,801,762,257,4,4,0,135,135,0
3_10_219_0,2011,Rural,3,India,10,Bihar,219,Saran,748,365,377,6.600000000000001,291,142,147,2.6,12,12,0,4.67,4.67,0
3_10_219_0,2011,Total,3,India,10,Bihar,219,Saran,803,395,401,6.600000000000001,304,150,152,2.5,16,16,0,6.060000000000001,6.060000000000001,0
3_10_219_0,2011,Urban,3,India,10,Bihar,219,Saran,54.6,30.2,24.4,0,804,445,359,0,4,4,0,58.93,58.93,0
3_10_220_0,2011,Rural,3,India,10,Bihar,220,Vaishali,378,254,123,1.2,192,129,62.3,.6000000000000001,3,3,0,1.52,1.52,0
3_10_220_0,2011,Total,3,India,10,Bihar,220,Vaishali,432,285,130,17.5,214,141,64.5,8.700000000000001,4,4,0,1.98,1.98,0
3_10_220_0,2011,Urban,3,India,10,Bihar,220,Vaishali,53.90000000000001,30.5,7.100000000000001,16.3,1302,736,172,393,1,1,0,24.13,24.13,0
3_10_221_0,2011,Rural,3,India,10,Bihar,221,Samastipur,555,442,113,0,215,171,43.7,0,11,11,0,4.26,4.26,0
3_10_221_0,2011,Total,3,India,10,Bihar,221,Samastipur,577,461,115,0,222,177,44.40000000000001,0,15,15,0,5.770000000000001,5.770000000000001,0
3_10_221_0,2011,Urban,3,India,10,Bihar,221,Samastipur,22,19.6,2.4,0,1357,1207,151,0,4,4,0,247,247,0
3_10_222_0,2011,Rural,3,India,10,Bihar,222,Begusarai,351,252,57.90000000000001,41.8,201,144,33.2,24,6,6,0,3.44,3.44,0
3_10_222_0,2011,Total,3,India,10,Bihar,222,Begusarai,455,309,90.7,56.1,242,164,48.1,29.7,17,17,0,9.02,9.02,0
3_10_222_0,2011,Urban,3,India,10,Bihar,222,Begusarai,104,57.1,32.7,14.2,736,404,232,101,11,11,0,77.83,77.83,0
3_10_223_0,2011,Rural,3,India,10,Bihar,223,Khagaria,221,147,73.10000000000001,.8,149,99.30000000000001,49.5,.6000000000000001,7,7,0,4.74,4.74,0
3_10_223_0,2011,Total,3,India,10,Bihar,223,Khagaria,229,153,74.8,.8,154,103,50.3,.6000000000000001,8,8,0,5.38,5.38,0
3_10_223_0,2011,Urban,3,India,10,Bihar,223,Khagaria,8.300000000000001,6.600000000000001,1.7,0,753,595,157,0,1,1,0,90.42,90.42,0
3_10_224_0,2011,Rural,3,India,10,Bihar,224,Bhagalpur,464,353,109,2.4,186,141,43.7,1,11,11,0,4.4,4.4,0
3_10_224_0,2011,Total,3,India,10,Bihar,224,Bhagalpur,520,398,119,2.4,203,156,46.5,.9,15,15,0,5.86,5.86,0
3_10_224_0,2011,Urban,3,India,10,Bihar,224,Bhagalpur,55.1,45.40000000000001,9.700000000000001,0,960,790,170,0,4,4,0,69.66,69.66,0
3_10_225_0,2011,Rural,3,India,10,Bihar,225,Banka,423,378,45.1,0,139,124,14.8,0,3,3,0,.99,.99,0
3_10_225_0,2011,Total,3,India,10,Bihar,225,Banka,444,399,45.1,0,144,130,14.7,0,4,4,0,1.3,1.3,0
3_10_225_0,2011,Urban,3,India,10,Bihar,225,Banka,21.8,21.8,0,0,643,643,0,0,1,1,0,29.58,29.58,0
