id,spatial_data_yr,geography,L0_code,L0_name,L1_code,L1_name,L2_code,L2_name,pc_exp,pov_nl,exp_sh_b40,pc_exp_r9010,pc_exp_gini,pc_exp_mld
3_10_203_0,2011,Rural,3,India,10,Bihar,203,Pashchim Champaran,21.2,27.1,27.5,2.6,20.2,.068
3_10_203_0,2011,Total,3,India,10,Bihar,203,Pashchim Champaran,21.3,29.1,27.1,2.7,20.9,.072
3_10_203_0,2011,Urban,3,India,10,Bihar,203,Pashchim Champaran,22.6,53.5,22.9,3.3,26.7,.115
3_10_204_0,2011,Rural,3,India,10,Bihar,204,Purba Champaran,20.5,21.8,30.1,1.9,16.2,.046
3_10_204_0,2011,Total,3,India,10,Bihar,204,Purba Champaran,20.8,22.4,29.8,1.9,16.5,.048
3_10_204_0,2011,Urban,3,India,10,Bihar,204,Purba Champaran,27.4,39.3,25.5,2.5,24.2,.096
3_10_205_0,2011,Rural,3,India,10,Bihar,205,Sheohar,16.1,72.90000000000001,29.8,2,17,.051
3_10_205_0,2011,Total,3,India,10,Bihar,205,Sheohar,16.4,72.5,29.2,2,18.1,.059
3_10_205_0,2011,Urban,3,India,10,Bihar,205,Sheohar,26.3,57.40000000000001,18.9,4.600000000000001,38.2,.234
3_10_206_0,2011,Rural,3,India,10,Bihar,206,Sitamarhi,16.7,64.60000000000001,29.2,2,18.8,.06
3_10_206_0,2011,Total,3,India,10,Bihar,206,Sitamarhi,17.2,63.7,28.4,2.2,19.7,.065
3_10_206_0,2011,Urban,3,India,10,Bihar,206,Sitamarhi,25.2,47.5,22.6,4.2,28,.123
3_10_207_0,2011,Rural,3,India,10,Bihar,207,Madhubani,23.3,15.1,28.3,2.2,20,.067
3_10_207_0,2011,Total,3,India,10,Bihar,207,Madhubani,23.4,15.4,28.1,2.2,20.1,.067
3_10_207_0,2011,Urban,3,India,10,Bihar,207,Madhubani,26.1,22.5,28.7,2.4,20.1,.07
3_10_208_0,2011,Rural,3,India,10,Bihar,208,Supaul,23,11,29.8,2.1,17.6,.05
3_10_208_0,2011,Total,3,India,10,Bihar,208,Supaul,23.6,11.5,29.1,2.3,18.3,.054
3_10_208_0,2011,Urban,3,India,10,Bihar,208,Supaul,35.6,21.2,24.4,3.4,24,.095
3_10_209_0,2011,Rural,3,India,10,Bihar,209,Araria,22.5,19.4,31.4,1.8,13.9,.032
3_10_209_0,2011,Total,3,India,10,Bihar,209,Araria,23,19,30.7,1.8,14.5,.036
3_10_209_0,2011,Urban,3,India,10,Bihar,209,Araria,33,11.1,30.1,2.4,20.2,.075
3_10_210_0,2011,Rural,3,India,10,Bihar,210,Kishanganj,21.6,15.8,29.9,1.9,15.9,.044
3_10_210_0,2011,Total,3,India,10,Bihar,210,Kishanganj,22.6,16.8,28.7,1.9,17.4,.052
3_10_210_0,2011,Urban,3,India,10,Bihar,210,Kishanganj,30.7,24.2,25.4,3.1,24.9,.098
3_10_211_0,2011,Rural,3,India,10,Bihar,211,Purnia,18.5,49.1,29.2,1.9,17,.048
3_10_211_0,2011,Total,3,India,10,Bihar,211,Purnia,19.2,46.90000000000001,28.6,2,17.9,.053
3_10_211_0,2011,Urban,3,India,10,Bihar,211,Purnia,26,25.5,27.3,3,23.6,.091
3_10_212_0,2011,Rural,3,India,10,Bihar,212,Katihar,20.6,47,26.7,2.4,20.6,.067
3_10_212_0,2011,Total,3,India,10,Bihar,212,Katihar,21.4,45.8,25.7,2.6,21.3,.072
3_10_212_0,2011,Urban,3,India,10,Bihar,212,Katihar,29.1,34.4,24,2.8,25.5,.106
3_10_213_0,2011,Rural,3,India,10,Bihar,213,Madhepura,28,0,29.4,2.3,17.1,.046
3_10_213_0,2011,Total,3,India,10,Bihar,213,Madhepura,28.6,.1,29.6,2.3,17.8,.051
3_10_213_0,2011,Urban,3,India,10,Bihar,213,Madhepura,42.40000000000001,3.3,27.4,2.7,28,.137
3_10_214_0,2011,Rural,3,India,10,Bihar,214,Saharsa,26.2,21.6,24.9,3.4,22.5,.079
3_10_214_0,2011,Total,3,India,10,Bihar,214,Saharsa,27.5,20.1,24.2,3.4,23.6,.087
3_10_214_0,2011,Urban,3,India,10,Bihar,214,Saharsa,43.3,2.8,23.2,3.2,27.6,.121
3_10_215_0,2011,Rural,3,India,10,Bihar,215,Darbhanga,19.9,40.90000000000001,28.7,2.7,19.2,.059
3_10_215_0,2011,Total,3,India,10,Bihar,215,Darbhanga,20.4,39.40000000000001,28.3,2.6,19.4,.06
3_10_215_0,2011,Urban,3,India,10,Bihar,215,Darbhanga,26.4,20.3,28.5,2.6,18.9,.062
3_10_216_0,2011,Rural,3,India,10,Bihar,216,Muzaffarpur,20.4,42.5,28.3,2.4,19.9,.063
3_10_216_0,2011,Total,3,India,10,Bihar,216,Muzaffarpur,22.4,40.40000000000001,25.8,2.6,23.3,.087
3_10_216_0,2011,Urban,3,India,10,Bihar,216,Muzaffarpur,39.90000000000001,22.7,19.2,5.9,32,.17
3_10_217_0,2011,Rural,3,India,10,Bihar,217,Gopalganj,20.4,33.9,29,2.1,17.8,.05
3_10_217_0,2011,Total,3,India,10,Bihar,217,Gopalganj,20.6,33.8,28.7,2.1,18,.051
