id,spatial_data_yr,geography,L0_code,L0_name,L1_code,L1_name,L2_code,L2_name,ear_t,ear_f,ear_m,ear_agr,ear_ind,ear_sev
3_10_203_0,2011,Rural,3,India,10,Bihar,203,Pashchim Champaran,2.8,3.1,2.7,2.1,2.9,6.800000000000001
3_10_203_0,2011,Total,3,India,10,Bihar,203,Pashchim Champaran,2.8,3.1,2.8,2.1,2.9,6.600000000000001
3_10_203_0,2011,Urban,3,India,10,Bihar,203,Pashchim Champaran,6.5,,6.5,,,5.800000000000001
3_10_204_0,2011,Rural,3,India,10,Bihar,204,Purba Champaran,4.4,4.600000000000001,4.4,2,3.3,8.9
3_10_204_0,2011,Total,3,India,10,Bihar,204,Purba Champaran,4.600000000000001,4.5,4.600000000000001,2,3.3,9
3_10_204_0,2011,Urban,3,India,10,Bihar,204,Purba Champaran,8.800000000000001,2.3,9,,3.2,9.5
3_10_205_0,2011,Rural,3,India,10,Bihar,205,Sheohar,2.8,2.8,2.8,2.8,3.2,5.600000000000001
3_10_205_0,2011,Total,3,India,10,Bihar,205,Sheohar,2.9,2.8,2.9,2.8,3.2,6.600000000000001
3_10_205_0,2011,Urban,3,India,10,Bihar,205,Sheohar,7.300000000000001,,7.300000000000001,,5.100000000000001,10
3_10_206_0,2011,Rural,3,India,10,Bihar,206,Sitamarhi,2.9,2.2,3,2.7,4,3.4
3_10_206_0,2011,Total,3,India,10,Bihar,206,Sitamarhi,2.9,2.2,3.1,2.7,4,4.2
3_10_206_0,2011,Urban,3,India,10,Bihar,206,Sitamarhi,4.3,4.3,4.3,2.5,3.2,5
3_10_207_0,2011,Rural,3,India,10,Bihar,207,Madhubani,4.5,2.2,4.5,2.9,3.2,27.4
3_10_207_0,2011,Total,3,India,10,Bihar,207,Madhubani,4.5,2.2,4.5,2.9,3.3,26.2
3_10_207_0,2011,Urban,3,India,10,Bihar,207,Madhubani,3.6,,3.6,2.8,3.8,3.2
3_10_208_0,2011,Rural,3,India,10,Bihar,208,Supaul,3,2.1,3.1,2.9,3.9,8.300000000000001
3_10_208_0,2011,Total,3,India,10,Bihar,208,Supaul,3.2,2.5,3.3,2.9,3.8,9.1
3_10_208_0,2011,Urban,3,India,10,Bihar,208,Supaul,8,7,8.1,2.6,3.3,9.5
3_10_209_0,2011,Rural,3,India,10,Bihar,209,Araria,2.8,.7000000000000001,3.2,2.8,3.9,4.4
3_10_209_0,2011,Total,3,India,10,Bihar,209,Araria,2.8,.8,3.3,2.8,3.9,4.4
3_10_209_0,2011,Urban,3,India,10,Bihar,209,Araria,4.100000000000001,5.4,4,2.7,4.100000000000001,4.5
3_10_210_0,2011,Rural,3,India,10,Bihar,210,Kishanganj,3.4,1.2,3.5,2.7,3.6,15.4
3_10_210_0,2011,Total,3,India,10,Bihar,210,Kishanganj,3.8,1.7,4,2.7,3.6,11.5
3_10_210_0,2011,Urban,3,India,10,Bihar,210,Kishanganj,9.4,4,11,,3.4,9.5
3_10_211_0,2011,Rural,3,India,10,Bihar,211,Purnia,2.5,2,2.5,2.4,2.9,9
3_10_211_0,2011,Total,3,India,10,Bihar,211,Purnia,2.9,2.2,2.9,2.4,3,12.4
3_10_211_0,2011,Urban,3,India,10,Bihar,211,Purnia,7.800000000000001,3.6,8.5,,3.4,14.5
3_10_212_0,2011,Rural,3,India,10,Bihar,212,Katihar,2.4,1.5,2.5,2.7,3.7,6.7
3_10_212_0,2011,Total,3,India,10,Bihar,212,Katihar,2.7,1.5,2.8,2.7,4.2,11.1
3_10_212_0,2011,Urban,3,India,10,Bihar,212,Katihar,6.5,,6.5,3.2,4.2,13.2
3_10_213_0,2011,Rural,3,India,10,Bihar,213,Madhepura,3.1,2,3.3,2.9,2.1,8.200000000000001
3_10_213_0,2011,Total,3,India,10,Bihar,213,Madhepura,3.4,2,3.5,2.9,2.7,11.7
3_10_213_0,2011,Urban,3,India,10,Bihar,213,Madhepura,13.6,2.2,14.3,2.7,4.2,15
3_10_214_0,2011,Rural,3,India,10,Bihar,214,Saharsa,3.3,2.2,3.7,2.5,4.7,5.7
3_10_214_0,2011,Total,3,India,10,Bihar,214,Saharsa,3.6,2.2,4.100000000000001,2.5,4.600000000000001,7.800000000000001
3_10_214_0,2011,Urban,3,India,10,Bihar,214,Saharsa,10.9,,10.9,,3.7,13.6
3_10_215_0,2011,Rural,3,India,10,Bihar,215,Darbhanga,3.5,4.600000000000001,3.5,2.5,2.5,14
3_10_215_0,2011,Total,3,India,10,Bihar,215,Darbhanga,3.7,4.600000000000001,3.7,2.5,2.5,13.6
3_10_215_0,2011,Urban,3,India,10,Bihar,215,Darbhanga,6.100000000000001,,6.100000000000001,,2.6,11.6
