id,spatial_data_yr,geography,L0_code,L0_name,L1_code,L1_name,L2_code,L2_name,e,e_z1,e_z2,e_z3,e_z4,e_z5,e_z6,e_s1,e_s2,e_s3,e_s4,e_s5,e_s6,e_s7,e_s8,e_s9,e_s10,sp_e_2,sp_e_4,di_e_2,di_e_4,e_own1,e_own2
3_10_203_0,2011,Rural,3,India,10,Bihar,203,Pashchim Champaran,35.6,62.3,35.1,2.3,.2,.1,0,.3,21.8,0,.2,63.7,1.5,.2,.6000000000000001,.6000000000000001,7.4,57.6,38.3,2.8,6,95.10000000000001,4.9
3_10_203_0,2011,Total,3,India,10,Bihar,203,Pashchim Champaran,51.7,62.40000000000001,34.9,2.3,.2,.2,0,.2,18.8,0,.2,66.7,1.6,.2,.9,.8,6.800000000000001,58.6,34.6,2.8,7.2,95.90000000000001,4.100000000000001
3_10_203_0,2011,Urban,3,India,10,Bihar,203,Pashchim Champaran,16,62.7,34.4,2.3,.3,.2,.1,.1,12.2,0,.3,73.40000000000001,2,.2,1.5,1.1,5.600000000000001,61.1,26.4,2.6,10.3,97.80000000000001,2.2
3_10_204_0,2011,Rural,3,India,10,Bihar,204,Purba Champaran,37.7,60.3,38,1.5,.2,0,0,.2,22.5,0,.9,62.5,2.1,.2,2.9,.5,5.4,53.40000000000001,30.7,3.2,8.6,96.40000000000001,3.6
3_10_204_0,2011,Total,3,India,10,Bihar,204,Purba Champaran,48.90000000000001,57.90000000000001,39.90000000000001,1.9,.2,.1,0,.1,20.7,0,.7000000000000001,63.7,2.4,.2,2.9,.6000000000000001,5.800000000000001,53.8,29.2,3.2,9.4,96.7,3.3
3_10_204_0,2011,Urban,3,India,10,Bihar,204,Purba Champaran,11.3,49.90000000000001,46.1,3.3,.3,.4,.1,0,14.7,0,.2,67.90000000000001,3.3,.3,2.9,.9,6.800000000000001,55.2,24.1,3.2,12.1,97.80000000000001,2.2
3_10_205_0,2011,Rural,3,India,10,Bihar,205,Sheohar,5.300000000000001,78.10000000000001,20,1.5,.2,.2,0,0,6,0,0,62.7,.3,.1,1.4,1.1,5.9,53,24,2.9,8.700000000000001,94.7,5.300000000000001
3_10_205_0,2011,Total,3,India,10,Bihar,205,Sheohar,6.7,76.90000000000001,21,1.5,.5,.2,0,0,5.9,0,0,64,.3,.1,1.5,1.4,5.5,53.5,21.3,2.9,10,95.30000000000001,4.7
3_10_205_0,2011,Urban,3,India,10,Bihar,205,Sheohar,1.4,72.10000000000001,24.7,1.4,1.4,.4,0,.1,5.5,.1,0,68.7,.4,.3,1.9,2.5,3.9,55.40000000000001,12.8,2.9,14.2,97.5,2.5
3_10_206_0,2011,Rural,3,India,10,Bihar,206,Sitamarhi,21,51.40000000000001,46.5,1.8,.1,.1,0,.3,25,0,0,61.8,2,.2,1.8,.5,4.9,52.8,29.7,3.2,8.9,97.10000000000001,2.9
