id,spatial_data_yr,geography,L0_code,L0_name,L1_code,L1_name,L2_code,L2_name,cls_good_pri,elec_sch_pri,grl_tlt_pri,wtr_sch_pri,ptr_pri,ptr30_pri
3_10_203_0,2011,Rural,3,India,10,Bihar,203,Pashchim Champaran,47.6,2.6,23.3,78.7,67.10000000000001,80.90000000000001
3_10_203_0,2011,Total,3,India,10,Bihar,203,Pashchim Champaran,47.40000000000001,3.4,23.6,83.40000000000001,66.40000000000001,84.60000000000001
3_10_203_0,2011,Urban,3,India,10,Bihar,203,Pashchim Champaran,45.1,.8,27.8,4.800000000000001,53.8,3.7
3_10_204_0,2011,Rural,3,India,10,Bihar,204,Purba Champaran,61.6,2.7,16.8,88.90000000000001,72.40000000000001,87.30000000000001
3_10_204_0,2011,Total,3,India,10,Bihar,204,Purba Champaran,61.7,3,16.9,91.2,72.5,89.5
3_10_204_0,2011,Urban,3,India,10,Bihar,204,Purba Champaran,64.60000000000001,.3,24.3,2.3,75.5,2.2
3_10_205_0,2011,Rural,3,India,10,Bihar,205,Sheohar,56.5,1,12.7,80.7,66.90000000000001,93.5
3_10_205_0,2011,Total,3,India,10,Bihar,205,Sheohar,56.3,1,12.8,82.90000000000001,67.5,96.60000000000001
3_10_205_0,2011,Urban,3,India,10,Bihar,205,Sheohar,50,0,15.4,2.2,86.30000000000001,3.1
3_10_206_0,2011,Rural,3,India,10,Bihar,206,Sitamarhi,54.8,1.6,41.40000000000001,82.2,79,90.90000000000001
3_10_206_0,2011,Total,3,India,10,Bihar,206,Sitamarhi,54.90000000000001,1.9,40.7,86.60000000000001,79.5,95.60000000000001
3_10_206_0,2011,Urban,3,India,10,Bihar,206,Sitamarhi,56.90000000000001,.2,26.5,4.4,90.2,4.7
3_10_207_0,2011,Rural,3,India,10,Bihar,207,Madhubani,64.40000000000001,1.6,45.5,97,63.8,88
3_10_207_0,2011,Total,3,India,10,Bihar,207,Madhubani,64.5,1.8,46,99.60000000000001,63.7,90.10000000000001
3_10_207_0,2011,Urban,3,India,10,Bihar,207,Madhubani,67.5,.2,64.2,2.6,60,2.1
3_10_208_0,2011,Rural,3,India,10,Bihar,208,Supaul,48.2,2.6,12.4,87.60000000000001,69.3,88.80000000000001
3_10_208_0,2011,Total,3,India,10,Bihar,208,Supaul,48.3,3,12.3,90.5,68.90000000000001,90.90000000000001
3_10_208_0,2011,Urban,3,India,10,Bihar,208,Supaul,50.8,.4,10.2,2.9,56.1,2.1
3_10_209_0,2011,Rural,3,India,10,Bihar,209,Araria,62.7,1.2,20.1,91.90000000000001,68.60000000000001,83.7
3_10_209_0,2011,Total,3,India,10,Bihar,209,Araria,62.8,1.3,19.7,94.60000000000001,68.10000000000001,86.30000000000001
3_10_209_0,2011,Urban,3,India,10,Bihar,209,Araria,66,.2,8.200000000000001,2.8,52.5,2.6
3_10_210_0,2011,Rural,3,India,10,Bihar,210,Kishanganj,61.3,10,28.8,93.80000000000001,58.3,81.80000000000001
3_10_210_0,2011,Total,3,India,10,Bihar,210,Kishanganj,60.90000000000001,12.8,29.5,97.60000000000001,58.40000000000001,84.80000000000001
3_10_210_0,2011,Urban,3,India,10,Bihar,210,Kishanganj,52.3,2.9,46,3.8,60.5,3
3_10_211_0,2011,Rural,3,India,10,Bihar,211,Purnia,50.40000000000001,3.8,48.7,87.80000000000001,79.10000000000001,78.60000000000001
3_10_211_0,2011,Total,3,India,10,Bihar,211,Purnia,50.5,5.2,47.3,99.60000000000001,81.10000000000001,89.60000000000001
