id,spatial_data_yr,geography,L0_code,L0_name,L1_code,L1_name,L2_code,L2_name,emp_agr,emp_man,emp_ind,emp_sev,emp_fmr_t,emp_fmr_f,emp_fmr_m,emp_slf_t,emp_slf_f,emp_slf_m,emp_cwg_t,emp_cwg_f,emp_cwg_m,emp_rwg_t,emp_rwg_f,emp_rwg_m
3_10_203_0,2011,Rural,3,India,10,Bihar,203,Pashchim Champaran,60.5,2.6,15.5,24,15.3,10.3,17.9,2.5,3.4,2,70.90000000000001,78,67.3,11.3,8.200000000000001,12.9
3_10_203_0,2011,Total,3,India,10,Bihar,203,Pashchim Champaran,56.40000000000001,3,15,28.6,14.7,10.1,16.9,2.6,3.5,2.2,67.5,76.5,63.2,15.1,9.9,17.7
3_10_203_0,2011,Urban,3,India,10,Bihar,203,Pashchim Champaran,9.5,8.4,8.4,82.10000000000001,7.4,3.9,8.1,4.3,6.7,3.9,26.3,36.5,24.5,61.90000000000001,52.90000000000001,63.6
3_10_204_0,2011,Rural,3,India,10,Bihar,204,Purba Champaran,51,13.8,28.6,20.4,20.9,13.7,23.7,2.6,4.600000000000001,1.8,63.1,70.5,60.2,13.4,11.2,14.3
3_10_204_0,2011,Total,3,India,10,Bihar,204,Purba Champaran,49.6,13.5,28,22.4,20.1,13.4,22.6,2.7,4.600000000000001,1.9,60.90000000000001,69.40000000000001,57.6,16.4,12.6,17.8
3_10_204_0,2011,Urban,3,India,10,Bihar,204,Purba Champaran,10.6,3.7,11.2,78.2,8.6,5.300000000000001,9.300000000000001,3.9,6.4,3.4,28.7,39.3,26.7,58.8,49,60.6
3_10_205_0,2011,Rural,3,India,10,Bihar,205,Sheohar,74.8,.3,9.5,15.7,18.3,11.7,20.3,4.2,11.2,2.1,63.5,59,64.90000000000001,13.9,18.1,12.6
3_10_205_0,2011,Total,3,India,10,Bihar,205,Sheohar,72.8,.8,10.3,16.9,17.9,11.5,19.8,4.2,11.1,2.2,63,58.90000000000001,64.2,14.9,18.6,13.8
3_10_205_0,2011,Urban,3,India,10,Bihar,205,Sheohar,.7000000000000001,19.9,38.1,61.2,6.600000000000001,4.3,7.100000000000001,3.8,5.5,3.4,49.1,54.40000000000001,48.1,40.5,35.8,41.40000000000001
3_10_206_0,2011,Rural,3,India,10,Bihar,206,Sitamarhi,57.1,14.1,21.6,21.2,20.1,13.8,21.9,3.3,7.2,2.2,59.1,61,58.6,17.5,18,17.3
3_10_206_0,2011,Total,3,India,10,Bihar,206,Sitamarhi,55.1,13.6,21.3,23.6,19.4,13.6,21,3.4,7.300000000000001,2.3,57.1,59.40000000000001,56.40000000000001,20.2,19.7,20.3
3_10_206_0,2011,Urban,3,India,10,Bihar,206,Sitamarhi,15.3,4.2,14.8,69.90000000000001,6.600000000000001,7.300000000000001,6.5,5.100000000000001,10.1,4.2,18,18.4,17.9,70.3,64.2,71.40000000000001
3_10_207_0,2011,Rural,3,India,10,Bihar,207,Madhubani,60.2,2.3,13.8,25.9,24.7,20.4,26.8,3.3,5.2,2.4,58.5,64.7,55.5,13.5,9.700000000000001,15.4
3_10_207_0,2011,Total,3,India,10,Bihar,207,Madhubani,57.90000000000001,2.3,14.6,27.5,24.2,20.3,26.1,3.4,5.2,2.5,57.5,64.10000000000001,54.3,14.9,10.3,17.1
3_10_207_0,2011,Urban,3,India,10,Bihar,207,Madhubani,6.2,2.1,30.7,63.1,9.9,15.9,8.300000000000001,5.600000000000001,8.4,4.800000000000001,23.7,33.8,20.9,60.7,42,65.90000000000001
3_10_208_0,2011,Rural,3,India,10,Bihar,208,Supaul,82.80000000000001,1.5,4.2,12.9,23.4,17.4,27.1,2.6,3.8,1.8,64.60000000000001,71.60000000000001,60.3,9.4,7.2,10.8
3_10_208_0,2011,Total,3,India,10,Bihar,208,Supaul,79.5,1.8,4.7,15.8,23,17.4,26.3,2.6,3.8,1.8,63.2,71.10000000000001,58.40000000000001,11.3,7.7,13.4
3_10_208_0,2011,Urban,3,India,10,Bihar,208,Supaul,12.8,8.200000000000001,13,74.2,11.1,17.3,9.9,3,4.100000000000001,2.7,23.2,37.3,20.5,62.7,41.3,66.90000000000001
3_10_209_0,2011,Rural,3,India,10,Bihar,209,Araria,81.90000000000001,.8,4.2,13.9,21.6,14.6,25.3,2.2,3.7,1.4,66.90000000000001,73.90000000000001,63.2,9.300000000000001,7.7,10.1
3_10_209_0,2011,Total,3,India,10,Bihar,209,Araria,78.5,.9,5.100000000000001,16.5,20.8,14.4,24.1,2.3,3.8,1.5,64.7,72.8,60.5,12.2,9,13.9
3_10_209_0,2011,Urban,3,India,10,Bihar,209,Araria,11.9,4.4,21.7,66.5,5.7,5.2,5.800000000000001,4,5.7,3.6,20.6,36,16.8,69.7,53.1,73.8
3_10_210_0,2011,Rural,3,India,10,Bihar,210,Kishanganj,66.60000000000001,21.3,28.5,5,21.9,13,24.2,2.1,5.5,1.2,65.2,66.10000000000001,65,10.8,15.5,9.700000000000001
3_10_210_0,2011,Total,3,India,10,Bihar,210,Kishanganj,59.8,19.3,25.7,14.5,20.4,12.1,22.5,2.2,5.7,1.3,60.8,62.2,60.5,16.6,20,15.7
3_10_210_0,2011,Urban,3,India,10,Bihar,210,Kishanganj,5.300000000000001,3.5,3.7,91,6.2,3.5,6.9,3.4,8.4,2.2,20.2,23.4,19.5,70.10000000000001,64.7,71.40000000000001
3_10_211_0,2011,Rural,3,India,10,Bihar,211,Purnia,84.7,1,7.300000000000001,8,18.4,11.9,21.2,2.4,4.2,1.6,69.3,73.7,67.3,10,10.2,9.9
3_10_211_0,2011,Total,3,India,10,Bihar,211,Purnia,77.7,1.7,9.700000000000001,12.6,17.3,11.5,19.7,2.5,4.3,1.8,65.2,71.60000000000001,62.40000000000001,15,12.6,16.1
3_10_211_0,2011,Urban,3,India,10,Bihar,211,Purnia,7,8.800000000000001,33.9,59.1,5.9,4.100000000000001,6.300000000000001,3.8,7,3.1,22.3,35.2,19.4,68,53.8,71.2
3_10_212_0,2011,Rural,3,India,10,Bihar,212,Katihar,90.60000000000001,.8,1.3,8.1,17.6,9.800000000000001,20.3,1.9,3.8,1.2,70.5,76.80000000000001,68.3,10,9.600000000000001,10.2
3_10_212_0,2011,Total,3,India,10,Bihar,212,Katihar,85.60000000000001,1.4,4.100000000000001,10.4,16.7,9.600000000000001,19,2,3.9,1.4,66.3,74.3,63.7,15,12.2,15.9
3_10_212_0,2011,Urban,3,India,10,Bihar,212,Katihar,5.800000000000001,11,47.5,46.7,5,4.600000000000001,5,3.5,5.7,3.1,16.1,21,15.3,75.40000000000001,68.7,76.60000000000001
3_10_213_0,2011,Rural,3,India,10,Bihar,213,Madhepura,78.90000000000001,4.3,4.600000000000001,16.5,25,18.4,28.9,2,2.7,1.6,63.8,72,59,9.200000000000001,6.9,10.5
