id,spatial_data_yr,geography,L0_code,L0_name,L1_code,L1_name,L2_code,L2_name,hh_elec_t,hh_elec_slm,hh_fuel_cook_1,hh_fuel_cook_2,hh_fuel_cook_3,hh_fuel_cook_4,hh_fuel_cook_5,hh_fuel_cook_6,hh_fuel_lit_1,hh_fuel_lit_2,hh_fuel_lit_3,hh_fuel_lit_4,hh_fuel_lit_5,e_elc_t,e_elc_pu,e_elc_pr
3_10_203_0,2011,Rural,3,India,10,Bihar,203,Pashchim Champaran,4.100000000000001,,97.30000000000001,0,.1,2,.1,.1,67.8,0,32.2,0,0,1.7,.1,1.6
3_10_203_0,2011,Total,3,India,10,Bihar,203,Pashchim Champaran,8.1,,93.7,.1,.1,5.4,.1,.1,64.3,0,35.7,0,0,3,.1,2.9
3_10_203_0,2011,Urban,3,India,10,Bihar,203,Pashchim Champaran,43.40000000000001,39.1,63.2,.2,.6000000000000001,35.1,.1,.3,28.6,0,71.40000000000001,0,0,5.9,.1,5.800000000000001
3_10_204_0,2011,Rural,3,India,10,Bihar,204,Purba Champaran,5,,96.10000000000001,.1,.1,2.8,.1,.1,97.60000000000001,0,2.4,0,0,3,.1,3
3_10_204_0,2011,Total,3,India,10,Bihar,204,Purba Champaran,7.600000000000001,,93.5,.1,.2,5.300000000000001,.1,.1,94.30000000000001,0,5.7,0,0,3.9,.1,3.8
3_10_204_0,2011,Urban,3,India,10,Bihar,204,Purba Champaran,41.1,30.2,60.5,.3,.6000000000000001,37.1,.1,.2,33.7,0,66.3,0,0,6.9,.2,6.7
3_10_205_0,2011,Rural,3,India,10,Bihar,205,Sheohar,5.800000000000001,,96.30000000000001,0,.1,2,.1,.2,91,0,9,0,0,1.4,0,1.4
3_10_205_0,2011,Total,3,India,10,Bihar,205,Sheohar,6.7,,95.60000000000001,0,.1,2.7,.1,.2,89.30000000000001,0,10.7,0,0,2.1,.1,2
3_10_205_0,2011,Urban,3,India,10,Bihar,205,Sheohar,30.5,17.5,77.5,.2,.5,20.4,0,.6000000000000001,49.1,0,50.90000000000001,0,0,4.4,.2,4.2
3_10_206_0,2011,Rural,3,India,10,Bihar,206,Sitamarhi,6.9,,94.5,.1,.1,3.3,.1,.2,77.40000000000001,0,22.5,0,0,3,.1,3
3_10_206_0,2011,Total,3,India,10,Bihar,206,Sitamarhi,9,,92.40000000000001,.1,.2,5.4,.1,.1,75.5,0,24.5,0,0,3.6,.1,3.6
3_10_206_0,2011,Urban,3,India,10,Bihar,206,Sitamarhi,49,62.2,53.8,.3,1,43.8,.1,.1,37.2,0,62.8,0,0,5.9,.1,5.800000000000001
3_10_207_0,2011,Rural,3,India,10,Bihar,207,Madhubani,11.2,,92.90000000000001,.1,.2,4,.2,.2,74.5,0,25.4,.1,0,2.4,0,2.3
3_10_207_0,2011,Total,3,India,10,Bihar,207,Madhubani,12.6,,91.7,.1,.3,5.2,.2,.2,72.3,0,27.6,.1,0,3,.1,2.9
3_10_207_0,2011,Urban,3,India,10,Bihar,207,Madhubani,51.3,19.5,56.7,.6000000000000001,1.1,39.6,.1,.4,18.9,0,81.10000000000001,0,0,6,.1,5.800000000000001
