id,spatial_data_yr,geography,L0_code,L0_name,L1_code,L1_name,L2_code,L2_name,ger_t,ger_f,ger_m,oos_child
3_10_203_0,2011,Rural,3,India,10,Bihar,203,Pashchim Champaran,65.2,63.8,66.5,.8
3_10_203_0,2011,Total,3,India,10,Bihar,203,Pashchim Champaran,64.2,63.3,65,
3_10_203_0,2011,Urban,3,India,10,Bihar,203,Pashchim Champaran,54,58.1,50.2,
3_10_204_0,2011,Rural,3,India,10,Bihar,204,Purba Champaran,73.60000000000001,71.60000000000001,75.40000000000001,2
3_10_204_0,2011,Total,3,India,10,Bihar,204,Purba Champaran,70.5,68.60000000000001,72.2,
3_10_204_0,2011,Urban,3,India,10,Bihar,204,Purba Champaran,30.6,30.4,30.9,
3_10_205_0,2011,Rural,3,India,10,Bihar,205,Sheohar,72.90000000000001,71.90000000000001,73.8,7.2
3_10_205_0,2011,Total,3,India,10,Bihar,205,Sheohar,72.7,71.90000000000001,73.5,
3_10_205_0,2011,Urban,3,India,10,Bihar,205,Sheohar,68.7,71.5,66.40000000000001,
3_10_206_0,2011,Rural,3,India,10,Bihar,206,Sitamarhi,68.40000000000001,67.90000000000001,68.8,1
3_10_206_0,2011,Total,3,India,10,Bihar,206,Sitamarhi,68.40000000000001,68.10000000000001,68.7,
3_10_206_0,2011,Urban,3,India,10,Bihar,206,Sitamarhi,68.3,71.8,65.2,
3_10_207_0,2011,Rural,3,India,10,Bihar,207,Madhubani,77,76.40000000000001,77.5,2.5
3_10_207_0,2011,Total,3,India,10,Bihar,207,Madhubani,76.5,76.10000000000001,76.90000000000001,
3_10_207_0,2011,Urban,3,India,10,Bihar,207,Madhubani,63.3,66.90000000000001,60,
3_10_208_0,2011,Rural,3,India,10,Bihar,208,Supaul,78.2,74.3,81.80000000000001,1.9
3_10_208_0,2011,Total,3,India,10,Bihar,208,Supaul,77.60000000000001,73.7,81.10000000000001,
3_10_208_0,2011,Urban,3,India,10,Bihar,208,Supaul,63.90000000000001,60.6,66.90000000000001,
3_10_209_0,2011,Rural,3,India,10,Bihar,209,Araria,68.90000000000001,67.7,70,1.3
3_10_209_0,2011,Total,3,India,10,Bihar,209,Araria,67.8,66.7,68.7,
3_10_209_0,2011,Urban,3,India,10,Bihar,209,Araria,47.7,48.90000000000001,46.5,
3_10_210_0,2011,Rural,3,India,10,Bihar,210,Kishanganj,78.30000000000001,78.40000000000001,78.2,4.2
3_10_210_0,2011,Total,3,India,10,Bihar,210,Kishanganj,76.40000000000001,76.60000000000001,76.2,
3_10_210_0,2011,Urban,3,India,10,Bihar,210,Kishanganj,55.3,57,53.6,
3_10_211_0,2011,Rural,3,India,10,Bihar,211,Purnia,67.7,64.3,70.90000000000001,6.7
3_10_211_0,2011,Total,3,India,10,Bihar,211,Purnia,69.7,66.3,72.8,
3_10_211_0,2011,Urban,3,India,10,Bihar,211,Purnia,89.40000000000001,86.5,92,
3_10_212_0,2011,Rural,3,India,10,Bihar,212,Katihar,78.7,75.8,81.40000000000001,5
3_10_212_0,2011,Total,3,India,10,Bihar,212,Katihar,75.8,73.2,78.30000000000001,
3_10_212_0,2011,Urban,3,India,10,Bihar,212,Katihar,39.5,39.40000000000001,39.7,
3_10_213_0,2011,Rural,3,India,10,Bihar,213,Madhepura,83.7,79.90000000000001,87.2,2.9
3_10_213_0,2011,Total,3,India,10,Bihar,213,Madhepura,83.30000000000001,79.7,86.7,
3_10_213_0,2011,Urban,3,India,10,Bihar,213,Madhepura,73.7,74.7,72.8,
3_10_214_0,2011,Rural,3,India,10,Bihar,214,Saharsa,86.7,81.10000000000001,91.7,2.4
3_10_214_0,2011,Total,3,India,10,Bihar,214,Saharsa,84.10000000000001,78.90000000000001,88.80000000000001,
3_10_214_0,2011,Urban,3,India,10,Bihar,214,Saharsa,50.2,50,50.40000000000001,
3_10_215_0,2011,Rural,3,India,10,Bihar,215,Darbhanga,76.60000000000001,74.10000000000001,78.90000000000001,3.4
3_10_215_0,2011,Total,3,India,10,Bihar,215,Darbhanga,74.5,72.3,76.5,
3_10_215_0,2011,Urban,3,India,10,Bihar,215,Darbhanga,51.7,52.5,51,
3_10_216_0,2011,Rural,3,India,10,Bihar,216,Muzaffarpur,80.7,80.80000000000001,80.60000000000001,3.3
3_10_216_0,2011,Total,3,India,10,Bihar,216,Muzaffarpur,77.10000000000001,77.40000000000001,76.90000000000001,
3_10_216_0,2011,Urban,3,India,10,Bihar,216,Muzaffarpur,36.8,38.7,35.2,
3_10_217_0,2011,Rural,3,India,10,Bihar,217,Gopalganj,80.60000000000001,79.90000000000001,81.2,.8
3_10_217_0,2011,Total,3,India,10,Bihar,217,Gopalganj,79.30000000000001,78.90000000000001,79.7,
3_10_217_0,2011,Urban,3,India,10,Bihar,217,Gopalganj,59.90000000000001,62.6,57.3,
3_10_218_0,2011,Rural,3,India,10,Bihar,218,Siwan,75.3,77.2,73.40000000000001,.5
3_10_218_0,2011,Total,3,India,10,Bihar,218,Siwan,74.40000000000001,76.3,72.5,
3_10_218_0,2011,Urban,3,India,10,Bihar,218,Siwan,56.8,57.90000000000001,55.8,
3_10_219_0,2011,Rural,3,India,10,Bihar,219,Saran,71,72.2,70,5.2
3_10_219_0,2011,Total,3,India,10,Bihar,219,Saran,69.40000000000001,70.7,68.2,
3_10_219_0,2011,Urban,3,India,10,Bihar,219,Saran,50.8,53.90000000000001,48,
3_10_220_0,2011,Rural,3,India,10,Bihar,220,Vaishali,79.2,81.80000000000001,76.80000000000001,1
3_10_220_0,2011,Total,3,India,10,Bihar,220,Vaishali,77.40000000000001,80.10000000000001,75,
3_10_220_0,2011,Urban,3,India,10,Bihar,220,Vaishali,51.1,55,47.6,
3_10_221_0,2011,Rural,3,India,10,Bihar,221,Samastipur,76,76.40000000000001,75.7,2.1
3_10_221_0,2011,Total,3,India,10,Bihar,221,Samastipur,75.7,76.10000000000001,75.40000000000001,
3_10_221_0,2011,Urban,3,India,10,Bihar,221,Samastipur,65.2,66.10000000000001,64.40000000000001,
3_10_222_0,2011,Rural,3,India,10,Bihar,222,Begusarai,92.60000000000001,94.10000000000001,91.2,1.2
3_10_222_0,2011,Total,3,India,10,Bihar,222,Begusarai,79.40000000000001,80.7,78.2,
3_10_222_0,2011,Urban,3,India,10,Bihar,222,Begusarai,18.8,19.1,18.4,
3_10_223_0,2011,Rural,3,India,10,Bihar,223,Khagaria,73.60000000000001,72.7,74.40000000000001,3.5
3_10_223_0,2011,Total,3,India,10,Bihar,223,Khagaria,73.3,72.60000000000001,73.90000000000001,
3_10_223_0,2011,Urban,3,India,10,Bihar,223,Khagaria,67.2,71.5,63.2,
3_10_224_0,2011,Rural,3,India,10,Bihar,224,Bhagalpur,76.60000000000001,76.40000000000001,76.7,6.300000000000001
3_10_224_0,2011,Total,3,India,10,Bihar,224,Bhagalpur,71.3,71.5,71.10000000000001,
