id,spatial_data_yr,geography,L0_code,L0_name,L1_code,L1_name,L2_code,L2_name,phc,shc,inst_bth,drrh,dpt,full_imm
3_10_203_0,2011,Rural,3,India,10,Bihar,203,Pashchim Champaran,.1,.01,23.4,61.3,43,27.9
3_10_203_0,2011,Total,3,India,10,Bihar,203,Pashchim Champaran,,,24.9,58.8,42,27.1
3_10_203_0,2011,Urban,3,India,10,Bihar,203,Pashchim Champaran,,,,,,
3_10_204_0,2011,Rural,3,India,10,Bihar,204,Purba Champaran,.1,0,26.5,80.30000000000001,48.2,36.7
3_10_204_0,2011,Total,3,India,10,Bihar,204,Purba Champaran,,,27.1,79.30000000000001,48.3,37.3
3_10_204_0,2011,Urban,3,India,10,Bihar,204,Purba Champaran,,,,,,
3_10_205_0,2011,Rural,3,India,10,Bihar,205,Sheohar,.4,.05,11.5,61.3,46.7,28.1
3_10_205_0,2011,Total,3,India,10,Bihar,205,Sheohar,,,12,60.40000000000001,47,27.4
3_10_205_0,2011,Urban,3,India,10,Bihar,205,Sheohar,,,,,,
3_10_206_0,2011,Rural,3,India,10,Bihar,206,Sitamarhi,.2,0,14.7,78.40000000000001,44.1,35
3_10_206_0,2011,Total,3,India,10,Bihar,206,Sitamarhi,,,16.3,79,45.90000000000001,36.8
3_10_206_0,2011,Urban,3,India,10,Bihar,206,Sitamarhi,,,,,,
3_10_207_0,2011,Rural,3,India,10,Bihar,207,Madhubani,.1,0,16,84.2,56.6,44.40000000000001
3_10_207_0,2011,Total,3,India,10,Bihar,207,Madhubani,,,16,84,55.2,43.1
3_10_207_0,2011,Urban,3,India,10,Bihar,207,Madhubani,,,,,,
3_10_208_0,2011,Rural,3,India,10,Bihar,208,Supaul,.2,.01,22.1,73.3,52.40000000000001,40.3
3_10_208_0,2011,Total,3,India,10,Bihar,208,Supaul,,,23.2,71.3,53.1,41.5
3_10_208_0,2011,Urban,3,India,10,Bihar,208,Supaul,,,,,,
3_10_209_0,2011,Rural,3,India,10,Bihar,209,Araria,.2,.01,12.6,84.10000000000001,49.8,32.6
3_10_209_0,2011,Total,3,India,10,Bihar,209,Araria,,,13.7,83.90000000000001,51.1,33.3
