id,spatial_data_yr,geography,L0_code,L0_name,L1_code,L1_name,L2_code,L2_name,hh_size_t,ppl_room_t,ppl_room_slm,ovr_crw_t,ovr_crw_slm
3_10_203_0,2011,Rural,3,India,10,Bihar,203,Pashchim Champaran,5.600000000000001,3.3,,44.90000000000001,
3_10_203_0,2011,Total,3,India,10,Bihar,203,Pashchim Champaran,5.5,3.3,3.4,44.5,45.6
3_10_203_0,2011,Urban,3,India,10,Bihar,203,Pashchim Champaran,5.4,3.2,3.4,41.1,45.6
3_10_204_0,2011,Rural,3,India,10,Bihar,204,Purba Champaran,5.2,3.2,,42.1,
3_10_204_0,2011,Total,3,India,10,Bihar,204,Purba Champaran,5.2,3.2,3.1,41.8,38.1
3_10_204_0,2011,Urban,3,India,10,Bihar,204,Purba Champaran,5.600000000000001,3.1,3.1,38.6,38.1
3_10_205_0,2011,Rural,3,India,10,Bihar,205,Sheohar,4.4,3,,37.9,
3_10_205_0,2011,Total,3,India,10,Bihar,205,Sheohar,4.4,3.1,3.4,38,45.8
3_10_205_0,2011,Urban,3,India,10,Bihar,205,Sheohar,4.800000000000001,3.2,3.4,41.8,45.8
3_10_206_0,2011,Rural,3,India,10,Bihar,206,Sitamarhi,4.600000000000001,3.4,,44.6,
3_10_206_0,2011,Total,3,India,10,Bihar,206,Sitamarhi,4.600000000000001,3.3,3,44.2,37.3
3_10_206_0,2011,Urban,3,India,10,Bihar,206,Sitamarhi,5.100000000000001,3,3,36.5,37.3
3_10_207_0,2011,Rural,3,India,10,Bihar,207,Madhubani,5,3.5,,47.40000000000001,
3_10_207_0,2011,Total,3,India,10,Bihar,207,Madhubani,5,3.5,3.8,47.3,53.90000000000001
3_10_207_0,2011,Urban,3,India,10,Bihar,207,Madhubani,5.4,3.3,3.8,43.8,53.90000000000001
3_10_208_0,2011,Rural,3,India,10,Bihar,208,Supaul,5,3.7,,52.6,
3_10_208_0,2011,Total,3,India,10,Bihar,208,Supaul,5,3.6,3.3,52.1,45.3
3_10_208_0,2011,Urban,3,India,10,Bihar,208,Supaul,5.100000000000001,3.1,3.3,41.40000000000001,45.3
3_10_209_0,2011,Rural,3,India,10,Bihar,209,Araria,4.9,3.8,,54,
3_10_209_0,2011,Total,3,India,10,Bihar,209,Araria,4.9,3.8,,53.6,
3_10_209_0,2011,Urban,3,India,10,Bihar,209,Araria,5.100000000000001,3.4,,46.5,
3_10_210_0,2011,Rural,3,India,10,Bihar,210,Kishanganj,5,4.100000000000001,,59.3,
3_10_210_0,2011,Total,3,India,10,Bihar,210,Kishanganj,5,4,3.6,58.1,51.2
3_10_210_0,2011,Urban,3,India,10,Bihar,210,Kishanganj,5,3.4,3.6,46.3,51.2
3_10_211_0,2011,Rural,3,India,10,Bihar,211,Purnia,5,3.9,,56.3,
3_10_211_0,2011,Total,3,India,10,Bihar,211,Purnia,5,3.9,3.5,54.90000000000001,50.5
3_10_211_0,2011,Urban,3,India,10,Bihar,211,Purnia,5.100000000000001,3.2,3.5,41.5,50.5
3_10_212_0,2011,Rural,3,India,10,Bihar,212,Katihar,4.9,3.9,,55.90000000000001,
3_10_212_0,2011,Total,3,India,10,Bihar,212,Katihar,5,3.8,3.4,54.8,46.3
