id,spatial_data_yr,geography,L0_code,L0_name,L1_code,L1_name,L2_code,L2_name,hs_good_t,hs_good_slm,hous_slm,bmas_ins_t,bmas_ins_slm
3_10_203_0,2011,Rural,3,India,10,Bihar,203,Pashchim Champaran,31.8,,,88.60000000000001,
3_10_203_0,2011,Total,3,India,10,Bihar,203,Pashchim Champaran,32.7,,,85.5,
3_10_203_0,2011,Urban,3,India,10,Bihar,203,Pashchim Champaran,40.6,34.5,16.9,59.1,70.7
3_10_204_0,2011,Rural,3,India,10,Bihar,204,Purba Champaran,38.3,,,87.60000000000001,
3_10_204_0,2011,Total,3,India,10,Bihar,204,Purba Champaran,39.3,,,85.2,
3_10_204_0,2011,Urban,3,India,10,Bihar,204,Purba Champaran,51.40000000000001,42.5,3.7,54.8,61.7
3_10_205_0,2011,Rural,3,India,10,Bihar,205,Sheohar,37,,,87.5,
3_10_205_0,2011,Total,3,India,10,Bihar,205,Sheohar,37.4,,,86.80000000000001,
3_10_205_0,2011,Urban,3,India,10,Bihar,205,Sheohar,47,53.2,38.8,69.7,75.10000000000001
3_10_206_0,2011,Rural,3,India,10,Bihar,206,Sitamarhi,35,,,82.7,
3_10_206_0,2011,Total,3,India,10,Bihar,206,Sitamarhi,35.9,,,80.90000000000001,
3_10_206_0,2011,Urban,3,India,10,Bihar,206,Sitamarhi,51.7,49.8,20,45.90000000000001,43.2
3_10_207_0,2011,Rural,3,India,10,Bihar,207,Madhubani,44.5,,,72.3,
3_10_207_0,2011,Total,3,India,10,Bihar,207,Madhubani,44.7,,,71.40000000000001,
3_10_207_0,2011,Urban,3,India,10,Bihar,207,Madhubani,50.2,36.8,4.100000000000001,46.1,63.5
3_10_208_0,2011,Rural,3,India,10,Bihar,208,Supaul,33,,,54.8,
3_10_208_0,2011,Total,3,India,10,Bihar,208,Supaul,33.3,,,54.5,
3_10_208_0,2011,Urban,3,India,10,Bihar,208,Supaul,40.40000000000001,27.4,8.9,48.3,57.40000000000001
3_10_209_0,2011,Rural,3,India,10,Bihar,209,Araria,31.9,,,49.8,
3_10_209_0,2011,Total,3,India,10,Bihar,209,Araria,32.7,,,49.5,
3_10_209_0,2011,Urban,3,India,10,Bihar,209,Araria,45.1,,0,44.1,
3_10_210_0,2011,Rural,3,India,10,Bihar,210,Kishanganj,34.2,,,28.5,
3_10_210_0,2011,Total,3,India,10,Bihar,210,Kishanganj,35.3,,,29.2,
3_10_210_0,2011,Urban,3,India,10,Bihar,210,Kishanganj,45.7,36,38.2,36.1,39.8
3_10_211_0,2011,Rural,3,India,10,Bihar,211,Purnia,29.8,,,33.6,
3_10_211_0,2011,Total,3,India,10,Bihar,211,Purnia,31.2,,,33.4,
3_10_211_0,2011,Urban,3,India,10,Bihar,211,Purnia,44.2,24.3,13.4,31.5,44.3
3_10_212_0,2011,Rural,3,India,10,Bihar,212,Katihar,33,,,49.5,
3_10_212_0,2011,Total,3,India,10,Bihar,212,Katihar,34.6,,,48.5,
3_10_212_0,2011,Urban,3,India,10,Bihar,212,Katihar,50.6,42.8,12.2,38.40000000000001,45.6
3_10_213_0,2011,Rural,3,India,10,Bihar,213,Madhepura,29.8,,,48.5,
3_10_213_0,2011,Total,3,India,10,Bihar,213,Madhepura,30.5,,,48.1,
3_10_213_0,2011,Urban,3,India,10,Bihar,213,Madhepura,45.40000000000001,12.1,4.3,38.90000000000001,80.90000000000001
3_10_214_0,2011,Rural,3,India,10,Bihar,214,Saharsa,29.1,,,57.90000000000001,
3_10_214_0,2011,Total,3,India,10,Bihar,214,Saharsa,30.6,,,56.40000000000001,
3_10_214_0,2011,Urban,3,India,10,Bihar,214,Saharsa,49.40000000000001,45.8,40.2,38.6,43.90000000000001
3_10_215_0,2011,Rural,3,India,10,Bihar,215,Darbhanga,39.1,,,67.10000000000001,
3_10_215_0,2011,Total,3,India,10,Bihar,215,Darbhanga,40.2,,,64.5,
3_10_215_0,2011,Urban,3,India,10,Bihar,215,Darbhanga,51,48.1,10.8,38.40000000000001,43.6
3_10_216_0,2011,Rural,3,India,10,Bihar,216,Muzaffarpur,31.2,,,83.5,
3_10_216_0,2011,Total,3,India,10,Bihar,216,Muzaffarpur,33.6,,,78.80000000000001,
3_10_216_0,2011,Urban,3,India,10,Bihar,216,Muzaffarpur,57,50,9.1,33,31.2
3_10_217_0,2011,Rural,3,India,10,Bihar,217,Gopalganj,38.90000000000001,,,81.90000000000001,
3_10_217_0,2011,Total,3,India,10,Bihar,217,Gopalganj,39.8,,,80.10000000000001,
3_10_217_0,2011,Urban,3,India,10,Bihar,217,Gopalganj,54.3,21.2,2.6,51.8,60.2
3_10_218_0,2011,Rural,3,India,10,Bihar,218,Siwan,45.2,,,86.40000000000001,
3_10_218_0,2011,Total,3,India,10,Bihar,218,Siwan,45.90000000000001,,,83.80000000000001,
3_10_218_0,2011,Urban,3,India,10,Bihar,218,Siwan,59.6,,0,36.2,
3_10_219_0,2011,Rural,3,India,10,Bihar,219,Saran,39.90000000000001,,,85.60000000000001,
3_10_219_0,2011,Total,3,India,10,Bihar,219,Saran,40.8,,,82.30000000000001,
3_10_219_0,2011,Urban,3,India,10,Bihar,219,Saran,50.6,21,1.1,47.5,54.2
3_10_220_0,2011,Rural,3,India,10,Bihar,220,Vaishali,30.9,,,82.10000000000001,
3_10_220_0,2011,Total,3,India,10,Bihar,220,Vaishali,31.7,,,80.30000000000001,
3_10_220_0,2011,Urban,3,India,10,Bihar,220,Vaishali,44.8,41,27,52.1,54.5
3_10_221_0,2011,Rural,3,India,10,Bihar,221,Samastipur,31.1,,,80.7,
3_10_221_0,2011,Total,3,India,10,Bihar,221,Samastipur,31.9,,,79.30000000000001,
3_10_221_0,2011,Urban,3,India,10,Bihar,221,Samastipur,54.90000000000001,43.6,9.600000000000001,36.6,51.8
3_10_222_0,2011,Rural,3,India,10,Bihar,222,Begusarai,31.3,,,77.60000000000001,
