id,spatial_data_yr,geography,L0_code,L0_name,L1_code,L1_name,L2_code,L2_name,est_sh_1,est_sh_2,est_sh_3,est_sh_4,est_sh_5,est_sh_6,est_sh_7,est_sh_8,est_sh_9,est_sh_10,est_sh_11,est_sh_12,est_sh_13,own_fen,own_men,size
3_10_203_0,2011,Rural,3,India,10,Bihar,203,Pashchim Champaran,22.5,60.8,2.3,,,,12.9,1.5,,,,,,0,100,2
3_10_203_0,2011,Total,3,India,10,Bihar,203,Pashchim Champaran,26.6,51.1,4.2,,,2.9,9,2.2,,,,,4,1,99,2
3_10_203_0,2011,Urban,3,India,10,Bihar,203,Pashchim Champaran,36.2,28.6,8.800000000000001,,,9.5,,3.7,,,,,13.2,3,97,3
3_10_204_0,2011,Rural,3,India,10,Bihar,204,Purba Champaran,31,49.6,12.9,,,,3.2,,,,,,3.3,0,100,2
3_10_204_0,2011,Total,3,India,10,Bihar,204,Purba Champaran,31.3,45,14.5,.3,,,2.2,.3,,,,,6.300000000000001,1,99,2
3_10_204_0,2011,Urban,3,India,10,Bihar,204,Purba Champaran,31.9,35.4,17.9,1,,,,1,,,,,12.8,4,96,2
3_10_205_0,2011,Rural,3,India,10,Bihar,205,Sheohar,42.6,23.6,2.8,,,,25.8,2.6,,,,,2.7,1,99,1
3_10_205_0,2011,Total,3,India,10,Bihar,205,Sheohar,41.3,24.1,2.5,.7000000000000001,,,24,3.3,,,,,4.2,2,98,1
3_10_205_0,2011,Urban,3,India,10,Bihar,205,Sheohar,29.3,28.3,,7.100000000000001,,,6.100000000000001,10.1,,,,,19.2,10,90,2
3_10_206_0,2011,Rural,3,India,10,Bihar,206,Sitamarhi,20.8,23.1,18.8,,,,20.3,14,,,,,3.1,4,96,2
3_10_206_0,2011,Total,3,India,10,Bihar,206,Sitamarhi,21.1,25.8,16.7,,,,18,13.5,,.4,,,4.5,4,96,2
3_10_206_0,2011,Urban,3,India,10,Bihar,206,Sitamarhi,22.9,43.8,3.3,,,,2.7,10,,3.3,,,14,0,100,2
3_10_207_0,2011,Rural,3,India,10,Bihar,207,Madhubani,4.5,1.9,66.40000000000001,,,,6.300000000000001,1.6,,,,,19.2,0,100,1
3_10_207_0,2011,Total,3,India,10,Bihar,207,Madhubani,4.5,2.3,66.7,0,,.1,6,1.7,,,.1,,18.5,0,100,1
3_10_207_0,2011,Urban,3,India,10,Bihar,207,Madhubani,5.2,8.700000000000001,70.90000000000001,.9,,2.6,,3.9,,,2.6,,5.2,0,100,2
3_10_208_0,2011,Rural,3,India,10,Bihar,208,Supaul,66.5,29.4,1.3,,,,,,,,,,2.8,1,99,1
3_10_208_0,2011,Total,3,India,10,Bihar,208,Supaul,60.3,31,2,.2,,,,1.1,,,,,5.300000000000001,1,99,2
3_10_208_0,2011,Urban,3,India,10,Bihar,208,Supaul,20.1,41.90000000000001,7.100000000000001,1.5,,,,8.1,,,,,21.4,4,96,2
3_10_209_0,2011,Rural,3,India,10,Bihar,209,Araria,36.1,16.9,10.5,.2,,,3.5,8.300000000000001,,,,,24.5,1,99,2
3_10_209_0,2011,Total,3,India,10,Bihar,209,Araria,35.3,22.2,8.6,.3,,,2.9,7.5,,.1,,,23.1,0,100,2
3_10_209_0,2011,Urban,3,India,10,Bihar,209,Araria,31.9,46.5,,.5,,,,4,,.7000000000000001,,,16.4,0,100,2
3_10_210_0,2011,Rural,3,India,10,Bihar,210,Kishanganj,47.90000000000001,27.3,9.5,.1,,,,4.9,,,,,10.3,0,100,2
3_10_210_0,2011,Total,3,India,10,Bihar,210,Kishanganj,49.90000000000001,23.6,7.5,.8,,,,5.5,,,,,12.7,2,98,2
3_10_210_0,2011,Urban,3,India,10,Bihar,210,Kishanganj,55.8,12.3,1.3,2.9,,,,7.600000000000001,,,,,20,7,93,2
3_10_211_0,2011,Rural,3,India,10,Bihar,211,Purnia,49.2,16.6,.2,,,,.9,4.7,,,,,28.5,1,99,2
3_10_211_0,2011,Total,3,India,10,Bihar,211,Purnia,45.3,18.6,2.1,.6000000000000001,,,1,5.600000000000001,,,,,26.8,1,99,2
3_10_211_0,2011,Urban,3,India,10,Bihar,211,Purnia,19.3,32.2,15.1,4.7,,,1.8,11.5,,,,,15.3,1,99,2
3_10_212_0,2011,Rural,3,India,10,Bihar,212,Katihar,27.9,17.7,49.7,,,,,3.1,,,,,1.6,13,87,2
3_10_212_0,2011,Total,3,India,10,Bihar,212,Katihar,26.1,19.6,46.40000000000001,.3,,,,4.800000000000001,.1,,,.1,2.6,12,88,2
3_10_212_0,2011,Urban,3,India,10,Bihar,212,Katihar,,45.2,.9,4.600000000000001,,,,28.4,1.8,,,1.8,17.1,2,98,2
3_10_213_0,2011,Rural,3,India,10,Bihar,213,Madhepura,10.2,13.2,14.5,,,,2.2,3.1,,,,,56.8,1,99,2
3_10_213_0,2011,Total,3,India,10,Bihar,213,Madhepura,10.7,14,13.9,,,,2.3,3.8,,.2,,.1,55.1,1,99,2
3_10_213_0,2011,Urban,3,India,10,Bihar,213,Madhepura,23.2,31.2,,,,,4.7,18.7,,3.8,,3,15.5,0,100,3
3_10_214_0,2011,Rural,3,India,10,Bihar,214,Saharsa,21,1,3.7,,,,67.2,.3,,,,,6.800000000000001,0,100,2
3_10_214_0,2011,Total,3,India,10,Bihar,214,Saharsa,22.4,2.9,3.4,.2,,,62.8,.3,,,,.2,7.800000000000001,1,99,2
3_10_214_0,2011,Urban,3,India,10,Bihar,214,Saharsa,42.5,30.4,,3.2,,,,,,,,3.2,20.6,14,86,2
3_10_215_0,2011,Rural,3,India,10,Bihar,215,Darbhanga,30.5,7.800000000000001,24.9,,,,,.6000000000000001,,,,,36.2,0,100,1
3_10_215_0,2011,Total,3,India,10,Bihar,215,Darbhanga,32.9,10.1,22.8,,,,,1.4,,,,,32.8,0,100,1
3_10_215_0,2011,Urban,3,India,10,Bihar,215,Darbhanga,54.6,30,4.4,,,,,8.800000000000001,,,,,2.2,0,100,2
3_10_216_0,2011,Rural,3,India,10,Bihar,216,Muzaffarpur,34.8,37.2,4.4,,,,10.9,10.2,,,,,2.4,0,100,2
3_10_216_0,2011,Total,3,India,10,Bihar,216,Muzaffarpur,33.7,35.9,5.2,,,,10.4,10.8,,,,.1,3.9,0,100,2
3_10_216_0,2011,Urban,3,India,10,Bihar,216,Muzaffarpur,18.1,16.5,18,,,,1.5,19.1,,,,1.5,25.4,7,93,2
3_10_217_0,2011,Rural,3,India,10,Bihar,217,Gopalganj,23.4,30.7,21.7,,,,8.9,,,,,.5,14.9,0,100,2
3_10_217_0,2011,Total,3,India,10,Bihar,217,Gopalganj,23.7,30.6,21.5,.1,,,8.700000000000001,.7000000000000001,,,,.4,14.4,0,100,2
3_10_217_0,2011,Urban,3,India,10,Bihar,217,Gopalganj,30.2,28.5,17,2.2,,,4.4,14.4,,,,,3.3,0,100,2
